,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,67.31,68.34,67.16,68.34,2261697,61.1454077211,62.0810750804,61.0091454844,62.0810750804,2261697,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,68.28,68.68,67.23,67.45,2172319,62.0265701857,62.3899361505,61.0727345282,61.2725858088,2172319,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,68.92,69.12,68.35,68.35,1544171,62.6079557293,62.7896387117,62.0901592295,62.0901592295,1544171,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,68.71,69.26,68.42,69.21,1724615,62.4171885978,62.9168167994,62.1537482734,62.8713960538,1724615,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,68.28,68.57,68.0,68.5,2250046,62.0265701857,62.2900105102,61.7722140104,62.2264214663,2250046,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,67.82,68.6,67.51,67.7,2824052,61.6086993262,62.3172629575,61.3270907035,61.4996895368,2824052,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,67.54,67.92,67.12,67.66,1879025,61.3543431509,61.6995408174,60.9728088879,61.4633529403,1879025,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,66.86,67.51,66.29,67.51,2190527,60.7366210108,61.3270907035,60.218824511,61.3270907035,2190527,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,67.66,67.89,66.62,66.99,2005788,61.4633529403,61.6722883701,60.5186014319,60.8547149493,2005788,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,68.26,68.48,67.75,67.92,3396963,62.0084018875,62.2082531681,61.5451102824,61.6995408174,3396963,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,69.64,69.85,68.41,68.71,2561758,63.2620144659,63.4527815974,62.1446641243,62.4171885978,2561758,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,68.91,69.92,68.65,69.61,1574991,62.5988715802,63.5163706412,62.3626837031,63.2347620186,1574991,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,69.49,69.7,68.75,68.89,2381899,63.1257522291,63.3165193606,62.4535251943,62.580703282,2381899,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,69.7,70.15,69.23,69.62,1644385,63.3165193606,63.725306071,62.889564352,63.2438461677,1644385,0.0,1.0,22742373258.7778,22618573258.7778,30.704845815,12.7085815424,-17.1947136564
14,2018-01-23 00:00:00+00:00,69.99,73.1,69.1,69.69,6809081,63.5799596851,66.4051300611,62.7714704135,63.3074352115,6809081,0.0,1.0,22836997193.427,22713197193.427,30.8325991189,12.7614579936,-17.2662555066
15,2018-01-24 00:00:00+00:00,68.02,70.15,67.95,70.11,3132846,61.7903823086,63.725306071,61.7267932648,63.6889694745,3132846,0.0,1.0,22194207016.6724,22070407016.6724,29.9647577093,12.4022627908,-16.7802643172
16,2018-01-25 00:00:00+00:00,68.63,68.7,67.63,68.22,1821873,62.3445154049,62.4081044487,61.436100493,61.972065291,1821873,0.0,1.0,22393243568.8655,22269443568.8655,30.2334801762,12.5134856708,-16.9307488987
17,2018-01-26 00:00:00+00:00,70.01,70.24,68.6,68.93,1677268,63.5981279833,63.8070634131,62.3172629575,62.6170398784,1677268,0.0,1.0,22843522982.0235,22719722982.0235,30.8414096916,12.7651046454,-17.2711894273
18,2018-01-29 00:00:00+00:00,68.83,69.88,68.74,69.81,1228503,62.5261983873,63.4800340448,62.4444410452,63.4164450009,1228503,0.0,1.0,22458501454.8304,22334701454.8304,30.3215859031,12.5499521889,-16.9800881057
19,2018-01-30 00:00:00+00:00,68.56,69.27,68.14,68.67,1337812,62.280926361,62.9259009485,61.899392098,62.3808520013,1337812,0.0,1.0,22370403308.7777,22246603308.7777,30.2026431718,12.5007223895,-16.9134801762
20,2018-01-31 00:00:00+00:00,68.25,68.8,67.79,68.6,2098447,62.4535251943,62.9568136757,62.0325930098,62.7737996825,2098447,0.5,1.0,22432398300.4444,22308598300.4444,30.0660792952,12.4441992865,-16.8370044053
21,2018-02-01 00:00:00+00:00,67.03,68.49,66.77,68.09,2720001,61.3371398355,62.6731419862,61.0992216443,62.3071139997,2720001,0.0,1.0,22031408909.5793,21907608909.5793,29.5286343612,12.2217535264,-16.5360352423
22,2018-02-02 00:00:00+00:00,66.6,67.45,66.51,66.65,3198686,60.94365975,61.7214692213,60.8613034531,60.9894132484,3198686,0.0,1.0,21890076583.2908,21766276583.2908,29.3392070485,12.1433505126,-16.4299559471
