,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,17049300000.0,10392400000.0,6572800000.0,0.0,13650000000.0,10953600000.0,0.0,1124500000.0,0.0,1364700000.0,-1189000000.0,7443900000.0,12518800000.0,11324500000.0,0.0,27233700000.0,19789800000.0,3399300000.0,487900000.0,791300000.0,10392400000.0,3993600000.0,1194300000.0,3344300000.0,346148924.0,10184400000.0,0.0,450600000.0,-440200000.0,831700000.0,34400000.0,30000000.0,266200000.0,176700000.0,-209600000.0,-235800000.0,-110900000.0,216300000.0,-381100000.0,-128700000.0,347600000.0,801300000.0,535100000.0,1.11,462000000.0,977700000.0,1.11,489900000.0,0.0,515700000.0,104400000.0,385500000.0,45200000.0,346800000.0,385500000.0,3958300000.0,131700000.0,4936000000.0,385500000.0,0.0,64700000.0,0.0,6.0,-0.224752630752317,0.198075364667747,2.18983320095314,10184400000.0,0.198075364667747,14.2597583229812,-0.365714285714286,1.02042339263972,0.144908878581951,29.4220183680247,0.0521117443563757
1,2020,2,2020-06-30 00:00:00+00:00,16629600000.0,10396600000.0,6448500000.0,0.0,13493200000.0,10679100000.0,0.0,1136400000.0,0.0,1248300000.0,-1289900000.0,7044100000.0,12280300000.0,11133100000.0,0.0,26406400000.0,19362300000.0,3136400000.0,506000000.0,774900000.0,10396600000.0,3625000000.0,1147200000.0,3128000000.0,345726900.0,9776800000.0,0.0,639600000.0,-214300000.0,934900000.0,29000000.0,4900000.0,241300000.0,129500000.0,-944700000.0,-48500000.0,-110600000.0,-195100000.0,-295300000.0,-839000000.0,346800000.0,472200000.0,230900000.0,0.43,418300000.0,620700000.0,0.43,184000000.0,0.0,202400000.0,36300000.0,147700000.0,46900000.0,346400000.0,147700000.0,2441500000.0,120200000.0,3062200000.0,147700000.0,0.0,66500000.0,0.0,7.0,-0.537983373315832,0.20269740709294,2.24591888789695,9776800000.0,0.20269740709294,8.85728012486156,-0.759776536312849,1.06339497586122,0.168492695033646,28.2789681682276,0.0599581716818462
2,2020,1,2020-03-31 00:00:00+00:00,17657300000.0,11138500000.0,6433100000.0,0.0,14436500000.0,10642200000.0,0.0,1270100000.0,0.0,12976800000.0,-1383900000.0,7405100000.0,12796800000.0,11699800000.0,0.0,27294700000.0,19889600000.0,3220800000.0,542900000.0,780100000.0,11138500000.0,3803000000.0,1097000000.0,3323100000.0,346353327.0,9637400000.0,0.0,-30600000.0,-379800000.0,425900000.0,-64400000.0,-35200000.0,272000000.0,113100000.0,-833700000.0,-53700000.0,-907400000.0,-852000000.0,-456500000.0,108900000.0,347300000.0,790600000.0,518600000.0,1.04,481400000.0,972100000.0,1.03,462200000.0,0.0,490700000.0,102800000.0,359400000.0,56400000.0,346900000.0,359400000.0,4189600000.0,164000000.0,5161700000.0,359400000.0,0.0,71000000.0,0.0,6.0,-0.204374499044331,0.188329426351783,2.29914927968207,9637400000.0,0.188329426351783,14.9029895127873,-0.425414364640884,1.1557577769938,0.217587361587608,27.825342644969,0.0766169613090313
3,2019,4,2019-12-31 00:00:00+00:00,18655000000.0,11222700000.0,6531900000.0,0.0,14664300000.0,10398500000.0,0.0,1153200000.0,0.0,1306100000.0,-1100100000.0,8016700000.0,13248100000.0,12086000000.0,0.0,28361100000.0,20344400000.0,3990700000.0,587300000.0,790200000.0,11222700000.0,3823200000.0,1162100000.0,4175100000.0,345873618.0,9706100000.0,0.0,398500000.0,-650900000.0,943700000.0,40700000.0,27000000.0,284900000.0,160500000.0,172100000.0,-266200000.0,-110800000.0,505600000.0,-545200000.0,255900000.0,347200000.0,1030200000.0,745300000.0,1.53,512300000.0,1227200000.0,1.53,687800000.0,0.0,714900000.0,156500000.0,531300000.0,57500000.0,346900000.0,531300000.0,4890000000.0,183200000.0,6117200000.0,531300000.0,0.0,83600000.0,0.0,7.0,-0.0258770323423093,0.200614660302099,2.00884556594081,9706100000.0,0.200614660302099,17.6862289623952,-0.0727272727272726,1.15625225373734,0.248676766545951,28.0625624357392,0.0872658833848009
5,2019,3,2019-09-30 00:00:00+00:00,17805000000.0,10856000000.0,6231800000.0,0.0,14265200000.0,10798700000.0,0.0,1292600000.0,0.0,1729000000.0,-1190000000.0,8051900000.0,12779500000.0,11671700000.0,0.0,27767700000.0,19715800000.0,3539800000.0,646000000.0,753700000.0,10856000000.0,4177300000.0,1107800000.0,3669500000.0,346369155.0,9962700000.0,0.0,211800000.0,-431100000.0,727100000.0,-39200000.0,-43800000.0,272100000.0,178400000.0,193300000.0,-95300000.0,-110800000.0,450100000.0,-515300000.0,347900000.0,347200000.0,1109300000.0,837200000.0,1.75,455700000.0,1260200000.0,1.75,777600000.0,0.0,804500000.0,169700000.0,607900000.0,59600000.0,346600000.0,607900000.0,5106800000.0,172600000.0,6367000000.0,607900000.0,0.0,82200000.0,0.0,8.0,0.105996386881601,0.197926810114654,2.27467653539748,9962700000.0,0.197926810114654,18.3821218145132,0.129032258064516,1.0896644483925,0.26111833550065,28.7632425006205,0.0913795222720462
6,2019,2,2019-06-30 00:00:00+00:00,17532800000.0,10632100000.0,6254200000.0,0.0,14065200000.0,10301800000.0,0.0,1336600000.0,0.0,1711200000.0,-1062200000.0,7632700000.0,12721800000.0,11604500000.0,0.0,27168200000.0,19535500000.0,3467600000.0,753000000.0,737600000.0,10632100000.0,4073800000.0,1117300000.0,3219400000.0,346443375.0,9635400000.0,0.0,306400000.0,-724700000.0,826500000.0,6700000.0,-15600000.0,261200000.0,134700000.0,268300000.0,-339300000.0,-110900000.0,376800000.0,-520100000.0,394800000.0,347700000.0,1135600000.0,874400000.0,1.79,443400000.0,1286200000.0,1.78,814400000.0,0.0,842800000.0,194700000.0,619700000.0,60000000.0,347000000.0,619700000.0,5341700000.0,173300000.0,6627900000.0,619700000.0,0.0,82500000.0,0.0,9.0,0.141717770274926,0.194058449886088,2.20114776790864,9635400000.0,0.194058449886088,19.1312649578015,0.125786163522013,1.10344147622309,0.259921982862528,27.8123372975454,0.091312758033317
7,2019,1,2019-03-31 00:00:00+00:00,17051500000.0,10196400000.0,6103000000.0,0.0,13544100000.0,9793100000.0,0.0,1272600000.0,0.0,1736200000.0,-1095500000.0,7225200000.0,12437300000.0,11355700000.0,0.0,26157000000.0,18931800000.0,3507400000.0,813200000.0,692000000.0,10196400000.0,4077700000.0,1081600000.0,2842600000.0,346718291.0,9105500000.0,0.0,-27200000.0,-400700000.0,363000000.0,-5300000.0,-17000000.0,259100000.0,164500000.0,-550300000.0,-175000000.0,-806100000.0,-593300000.0,-390200000.0,272800000.0,347800000.0,1131900000.0,872800000.0,1.81,427300000.0,1270500000.0,1.81,819400000.0,0.0,843200000.0,190400000.0,629000000.0,53400000.0,347200000.0,629000000.0,5217100000.0,169400000.0,6487600000.0,629000000.0,0.0,78300000.0,0.0,8.0,0.147435443933498,0.195835131635736,2.05998745509494,9105500000.0,0.195835131635736,18.71144432931,0.248275862068966,1.11980671023008,0.259419671910415,26.2619545503009,0.0916563758069983
8,2018,4,2018-12-31 00:00:00+00:00,16889500000.0,9950500000.0,6122500000.0,0.0,13166700000.0,9275400000.0,0.0,1184700000.0,0.0,1314400000.0,-1098500000.0,7163400000.0,11861200000.0,10840800000.0,0.0,25482400000.0,18319000000.0,3722800000.0,842400000.0,704900000.0,9950500000.0,3550900000.0,1020400000.0,3435900000.0,349435196.0,8592900000.0,0.0,525700000.0,-654200000.0,1065100000.0,-23800000.0,-195100000.0,259700000.0,163000000.0,134800000.0,-277800000.0,-97700000.0,521900000.0,-539400000.0,427600000.0,349700000.0,1063000000.0,803300000.0,1.65,426000000.0,1191100000.0,1.65,752400000.0,0.0,765100000.0,174300000.0,578100000.0,50900000.0,349200000.0,578100000.0,5088600000.0,166200000.0,6279700000.0,578100000.0,0.0,80500000.0,0.0,6.0,0.151266820665127,0.189674665987229,1.92419684108735,8592900000.0,0.189674665987229,17.9710002652395,-0.0119760479041916,1.15799089946351,0.250078323924969,24.5908257049184,0.0891200355651912
10,2018,3,2018-09-30 00:00:00+00:00,15932400000.0,9586900000.0,5988700000.0,0.0,12698300000.0,9718400000.0,0.0,1292000000.0,0.0,1608600000.0,-895000000.0,7069700000.0,11579300000.0,10579000000.0,0.0,25103400000.0,18033700000.0,3234100000.0,832400000.0,695600000.0,9586900000.0,3764200000.0,1000300000.0,2914000000.0,350543255.0,9171000000.0,0.0,234400000.0,-531300000.0,728700000.0,-5100000.0,-56700000.0,252600000.0,182400000.0,214900000.0,-219400000.0,-98100000.0,407200000.0,-494300000.0,369700000.0,351500000.0,970400000.0,717800000.0,1.55,409200000.0,1103200000.0,1.55,668800000.0,0.0,694000000.0,123500000.0,545300000.0,49000000.0,350700000.0,545300000.0,4653600000.0,153500000.0,5756800000.0,545300000.0,0.0,72900000.0,0.0,8.0,0.137774966895271,0.191634241245136,2.18598682786556,9171000000.0,0.191634241245136,16.4225096842899,0.359649122807018,1.04534947115909,0.255286650736804,26.1622492208558,0.0914666188507386
11,2018,2,2018-06-30 00:00:00+00:00,15376400000.0,9207700000.0,5889800000.0,0.0,12280400000.0,9271300000.0,0.0,1258500000.0,0.0,1546900000.0,-893700000.0,6743100000.0,11218800000.0,10185500000.0,0.0,24155800000.0,17412700000.0,3096000000.0,758200000.0,682100000.0,9207700000.0,3613100000.0,1033300000.0,2506800000.0,351811817.0,8779400000.0,0.0,129700000.0,-689100000.0,673200000.0,-42100000.0,-79300000.0,268300000.0,178300000.0,60700000.0,-322000000.0,-98400000.0,2700000.0,-543500000.0,238400000.0,352500000.0,1033600000.0,765300000.0,1.59,423600000.0,1157900000.0,1.59,719600000.0,0.0,734300000.0,160000000.0,559600000.0,45700000.0,351700000.0,559600000.0,4647300000.0,156800000.0,5805200000.0,559600000.0,0.0,76700000.0,0.0,9.0,0.234046171506314,0.199459105629436,2.17800387596899,8779400000.0,0.199459105629436,16.500866996176,0.5,1.04878465498781,0.247635962175395,24.9548183880361,0.0873651589304161
