,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,74523000000.0,37668000000.0,66563000000.0,0.0,61202000000.0,-9400000000.0,2968000000.0,646000000.0,0.0,7787000000.0,-10000000.0,9798000000.0,3318000000.0,3318000000.0,67000000.0,95587000000.0,85789000000.0,13321000000.0,0.0,1225000000.0,40636000000.0,2756000000.0,0.0,679000000.0,1941473377.0,20812000000.0,0.0,-24586000000.0,-2083000000.0,-22510000000.0,0.0,7582000000.0,845000000.0,0.0,9891000000.0,-9000000.0,0.0,-14702000000.0,-2076000000.0,1148000000.0,2140000000.0,1210000000.0,365000000.0,0.04,1127000000.0,1388000000.0,0.04,-26000000.0,3000000.0,261000000.0,-109000000.0,83000000.0,391000000.0,1967000000.0,86000000.0,3494000000.0,0.0,4882000000.0,83000000.0,0.0,0.0,0.0,2.0,0.101534296028881,0.2843097091356,0.735530365588169,21064000000.0,0.2843097091356,2.51458508668492,-1.01307189542484,1.8099173553719,-0.586790081133585,10.8494920659425,-0.0545261481284842
1,2020-06-30 00:00:00+00:00,2,2020,105428000000.0,36496000000.0,65528000000.0,0.0,59633000000.0,-9486000000.0,3301000000.0,653000000.0,0.0,7033000000.0,-10000000.0,25013000000.0,3196000000.0,3196000000.0,67000000.0,109229000000.0,84216000000.0,45795000000.0,0.0,1171000000.0,39797000000.0,3399000000.0,0.0,15381000000.0,529785896.0,3549000000.0,0.0,-72000000.0,-1786000000.0,1686000000.0,0.0,0.0,874000000.0,0.0,13514000000.0,-31000000.0,0.0,13414000000.0,-1758000000.0,13503000000.0,529000000.0,-360000000.0,-1234000000.0,-3.73,2841000000.0,1499000000.0,-3.73,-1433000000.0,4000000.0,-1342000000.0,539000000.0,-1972000000.0,199000000.0,529000000.0,-1968000000.0,3034000000.0,0.0,4533000000.0,-1972000000.0,0.0,0.0,0.0,4.0,0.149632259700736,0.330686079858813,0.546194999454089,3801000000.0,0.330686079858813,8.55628667019101,-0.227743271221532,10.283460129614,-1.19262134228773,7.17459643357512,-0.074553057853042
2,2020-03-31 00:00:00+00:00,1,2020,80929000000.0,52406000000.0,64707000000.0,0.0,72676000000.0,-7518000000.0,2554000000.0,644000000.0,0.0,6212000000.0,-10000000.0,10558000000.0,2911000000.0,2911000000.0,67000000.0,86688000000.0,76130000000.0,8253000000.0,0.0,505000000.0,54960000000.0,1851000000.0,0.0,1960000000.0,529785896.0,5507000000.0,0.0,-36000000.0,-1655000000.0,1605000000.0,0.0,0.0,855000000.0,0.0,440000000.0,-19000000.0,0.0,390000000.0,-1641000000.0,431000000.0,648000000.0,1444000000.0,589000000.0,0.7,1031000000.0,1510000000.0,0.57,335000000.0,3000000.0,479000000.0,-36000000.0,371000000.0,254000000.0,529000000.0,374000000.0,2796000000.0,0.0,4306000000.0,371000000.0,0.0,0.0,0.0,5.0,0.0735477437048118,0.350673478866698,1.27929237852902,5759000000.0,0.350673478866698,8.12781169244264,1.8,9.51625204285455,-0.998250571928408,10.8704290610258,-0.0867642930663423
3,2019-12-31 00:00:00+00:00,4,2019,79808000000.0,52276000000.0,63921000000.0,0.0,72177000000.0,-7892000000.0,2056000000.0,647000000.0,0.0,6167000000.0,-10000000.0,10165000000.0,3173000000.0,3173000000.0,67000000.0,85196000000.0,75031000000.0,7631000000.0,0.0,320000000.0,54332000000.0,1954000000.0,0.0,1577000000.0,529229517.0,5136000000.0,0.0,-1372000000.0,-2128000000.0,749000000.0,0.0,0.0,801000000.0,0.0,-21000000.0,-10000000.0,0.0,-1400000000.0,-2121000000.0,1000000.0,528000000.0,-3565000000.0,-4366000000.0,-6.85,5878000000.0,1445000000.0,-6.85,-5085000000.0,4000000.0,-4433000000.0,-1468000000.0,-3617000000.0,719000000.0,528000000.0,-3613000000.0,3298000000.0,0.0,4743000000.0,-3617000000.0,0.0,0.0,0.0,5.0,0.160225048923679,0.304659498207885,1.33206657056742,5388000000.0,0.304659498207885,8.96208515898028,-0.484574868322047,10.1783489096573,-0.825254758181916,10.1808380427126,-0.0906799216785205
5,2019-09-30 00:00:00+00:00,3,2019,76722000000.0,48475000000.0,63759000000.0,0.0,70250000000.0,-4279000000.0,553000000.0,635000000.0,0.0,5994000000.0,-9000000.0,11577000000.0,3061000000.0,3061000000.0,82000000.0,85713000000.0,74136000000.0,6472000000.0,0.0,1721000000.0,49028000000.0,1844000000.0,0.0,2970000000.0,529223793.0,8739000000.0,0.0,-472000000.0,-1816000000.0,1310000000.0,0.0,0.0,840000000.0,0.0,17000000.0,-36000000.0,0.0,-489000000.0,-1782000000.0,-3000000.0,529000000.0,-1456000000.0,-2296000000.0,-3.06,3461000000.0,1088000000.0,-3.06,-2348000000.0,3000000.0,-2373000000.0,-729000000.0,-1619000000.0,52000000.0,529000000.0,-1616000000.0,3344000000.0,0.0,4432000000.0,-1619000000.0,0.0,0.0,0.0,4.0,0.0116411778132846,0.245487364620939,1.78878244746601,8991000000.0,0.245487364620939,8.37452899628041,-3.80733944954128,5.54697333791052,-0.978188257974848,16.9890320860914,-0.132478398941047
6,2019-06-30 00:00:00+00:00,2,2019,73793000000.0,46226000000.0,62913000000.0,0.0,68082000000.0,-2663000000.0,546000000.0,608000000.0,0.0,5505000000.0,-9000000.0,11577000000.0,3016000000.0,3016000000.0,85000000.0,84387000000.0,72810000000.0,5711000000.0,0.0,2354000000.0,46772000000.0,1679000000.0,0.0,3459000000.0,529210278.0,10342000000.0,0.0,-673000000.0,-1187000000.0,513000000.0,0.0,0.0,796000000.0,0.0,1168000000.0,-4000000.0,0.0,494000000.0,-1186000000.0,1150000000.0,529000000.0,-2816000000.0,-3612000000.0,-4.83,4752000000.0,1056000000.0,-4.83,-3672000000.0,4000000.0,-3696000000.0,-1119000000.0,-2553000000.0,60000000.0,529000000.0,-2549000000.0,2887000000.0,0.0,3943000000.0,-2553000000.0,0.0,0.0,0.0,4.0,-0.0687293339631554,0.267816383464367,2.02714060584836,10594000000.0,0.267816383464367,7.45072453033499,1.52879581151832,4.46973506091665,-0.631015656072604,20.0185076526424,-0.110787357087991
7,2019-03-31 00:00:00+00:00,1,2019,69158000000.0,41871000000.0,61975000000.0,0.0,64350000000.0,-114000000.0,539000000.0,536000000.0,0.0,4999000000.0,-9000000.0,10693000000.0,2932000000.0,2932000000.0,69000000.0,82287000000.0,71594000000.0,4808000000.0,0.0,3273000000.0,42410000000.0,867000000.0,0.0,2964000000.0,527561429.0,12877000000.0,0.0,1020000000.0,-1247000000.0,2244000000.0,0.0,85000000.0,797000000.0,0.0,300000000.0,-26000000.0,0.0,1297000000.0,-1224000000.0,239000000.0,527000000.0,952000000.0,155000000.0,0.25,924000000.0,986000000.0,0.25,52000000.0,0.0,62000000.0,-84000000.0,136000000.0,103000000.0,526000000.0,136000000.0,3025000000.0,0.0,4011000000.0,136000000.0,0.0,0.0,0.0,5.0,-0.011094674556213,0.245823984043879,2.22400166389351,13129000000.0,0.245823984043879,7.60290608735917,-0.709302325581395,3.25161140017085,-0.448848403129459,24.8862014512437,-0.0952501364138463
8,2018-12-31 00:00:00+00:00,4,2018,64092000000.0,0.0,58557000000.0,0.0,22397000000.0,-250000000.0,21994000000.0,554000000.0,0.0,4659000000.0,-9000000.0,9195000000.0,2730000000.0,2730000000.0,92000000.0,76995000000.0,67800000000.0,41695000000.0,0.0,3281000000.0,21994000000.0,1975000000.0,0.0,1668000000.0,518674276.0,12651000000.0,0.0,-1406000000.0,-1947000000.0,516000000.0,0.0,63000000.0,779000000.0,0.0,2669000000.0,-29000000.0,0.0,1238000000.0,-1922000000.0,2640000000.0,517000000.0,-8608000000.0,-9387000000.0,-13.29,10442000000.0,912000000.0,-13.29,-9638000000.0,4000000.0,-9530000000.0,-2765000000.0,-6873000000.0,251000000.0,520000000.0,-6869000000.0,3176000000.0,0.0,4088000000.0,-6873000000.0,0.0,0.0,0.0,3.0,-0.00292682926829269,0.223091976516634,0.22053003957309,12903000000.0,0.223091976516634,7.88163244093486,-64.2857142857143,0.0,-0.387966305655836,24.8768843897707,-0.0956766740101179
10,2018-09-30 00:00:00+00:00,3,2018,51689000000.0,18407000000.0,56205000000.0,0.0,42200000000.0,6623000000.0,943000000.0,505000000.0,0.0,4815000000.0,-12000000.0,6349000000.0,2917000000.0,2917000000.0,67000000.0,71385000000.0,65036000000.0,9489000000.0,0.0,5822000000.0,19350000000.0,1699000000.0,0.0,430000000.0,517151337.0,19444000000.0,0.0,-212000000.0,-1722000000.0,1483000000.0,0.0,55000000.0,759000000.0,0.0,152000000.0,-31000000.0,0.0,-87000000.0,-1695000000.0,93000000.0,517000000.0,1570000000.0,811000000.0,1.09,749000000.0,1445000000.0,1.09,579000000.0,3000000.0,696000000.0,15000000.0,564000000.0,232000000.0,517000000.0,567000000.0,2936000000.0,0.0,4381000000.0,564000000.0,0.0,0.0,0.0,5.0,-0.0301084790790348,0.329833371376398,0.669090525872062,19696000000.0,0.329833371376398,8.47140805129544,0.0186915887850467,0.946667352396626,0.00704626703279623,38.085563336753,0.00196078431372549
11,2018-06-30 00:00:00+00:00,2,2018,50828000000.0,17612000000.0,55154000000.0,0.0,41042000000.0,6057000000.0,1643000000.0,487000000.0,0.0,5030000000.0,-13000000.0,6367000000.0,2828000000.0,2828000000.0,66000000.0,69889000000.0,63522000000.0,9786000000.0,0.0,5667000000.0,19255000000.0,1477000000.0,0.0,517000000.0,516427502.0,18809000000.0,0.0,-186000000.0,-1420000000.0,1241000000.0,0.0,47000000.0,746000000.0,0.0,552000000.0,-2000000.0,0.0,373000000.0,-1427000000.0,482000000.0,516000000.0,-605000000.0,-1351000000.0,-1.91,2871000000.0,1406000000.0,-1.91,-1577000000.0,4000000.0,-1465000000.0,-593000000.0,-984000000.0,226000000.0,516000000.0,-980000000.0,2828000000.0,0.0,4234000000.0,-984000000.0,0.0,0.0,0.0,5.0,-0.00376470588235289,0.332073689182806,0.650623339464541,19061000000.0,0.332073689182806,8.19863385199807,-3.41772151898734,0.936360253070339,0.00635466312472329,36.9093433757523,0.00175804539936091
