,date,quarter,year,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.debt,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.costRev,statementData.incomeStatement.eps,statementData.incomeStatement.netinc,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebitda,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebt,statementData.incomeStatement.revenue,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020-09-30 00:00:00+00:00,3,2020,0.0,278484800000.0,3358800000.0,1747100000.0,0.0,103033800000.0,0.0,3556700000.0,998800000.0,1530200000.0,11521400000.0,0.0,2122600000.0,42947100000.0,4355600000.0,274518698.0,15650900000.0,262485200000.0,-153700000.0,-1553800000.0,0.0,1027800000.0,11300000.0,-1418800000.0,-36500000.0,0.0,0.0,1064300000.0,0.0,112300000.0,406300000.0,760800000.0,236000000.0,1869700000.0,0.86,236000000.0,0.85,275200000.0,0.0,275200000.0,274518698.0,-100000.0,0.0,1165900000.0,1165900000.0,1441000000.0,275200000.0,3310700000.0,0.0,39200000.0,235900000.0,275100000.0,0.0,0.00456419123331133,5.0,15999600000.0,-0.131313131313131,12.0600164000486,0.435255384057752,0.278297094735766,-0.257424188049524,58.282368802434,0.435255384057752,0.0838144797541917
1,2020-06-30 00:00:00+00:00,2,2020,0.0,271309400000.0,3340200000.0,1450700000.0,0.0,100558600000.0,0.0,3150400000.0,993100000.0,1760000000.0,11441400000.0,0.0,2077800000.0,42308400000.0,4239700000.0,273867770.0,15243100000.0,255725700000.0,-153500000.0,-1254700000.0,0.0,428600000.0,14100000.0,-1308400000.0,-28400000.0,0.0,0.0,457000000.0,0.0,458800000.0,-332300000.0,519100000.0,398300000.0,1632700000.0,1.45,398300000.0,1.45,480800000.0,0.0,480800000.0,273867770.0,17800000.0,0.0,983300000.0,983300000.0,1481900000.0,480800000.0,3114600000.0,0.0,82500000.0,416100000.0,498600000.0,0.0,0.00475398047700438,5.0,15583700000.0,0.0507246376811594,11.3726416219039,0.475791433891993,0.278138961234919,-0.215979459296179,56.9022780592254,0.475791433891993,0.0879026206819887
2,2020-03-31 00:00:00+00:00,1,2020,0.0,246903900000.0,3333000000.0,-599200000.0,0.0,94775300000.0,0.0,3482700000.0,973800000.0,1691000000.0,11198800000.0,0.0,1465000000.0,42126600000.0,3775700000.0,274687952.0,12907500000.0,233691600000.0,-153600000.0,-908900000.0,0.0,1571100000.0,-222800000.0,-912700000.0,-18000000.0,0.0,0.0,1589100000.0,0.0,-39900000.0,966800000.0,290400000.0,288900000.0,2887600000.0,1.05,288900000.0,1.04,332100000.0,0.0,332100000.0,274687952.0,-3900000.0,0.0,1335500000.0,1335500000.0,1663700000.0,332100000.0,4551300000.0,0.0,43200000.0,285000000.0,328200000.0,0.0,0.00472394004192252,5.0,13212300000.0,-0.318181818181818,16.5689829745427,0.365543910531057,0.29251985279876,0.215657469483693,48.0993065178192,0.365543910531057,0.0889355692600294
3,2019-12-31 00:00:00+00:00,4,2019,0.0,276087800000.0,3480500000.0,1037900000.0,0.0,96351400000.0,0.0,2515900000.0,967700000.0,1740300000.0,11074300000.0,0.0,1812800000.0,41367500000.0,3827500000.0,277671934.0,14618000000.0,261137100000.0,-152400000.0,-2563500000.0,1100000.0,994100000.0,-76700000.0,-2762300000.0,-34300000.0,15900000.0,63000000.0,1028400000.0,0.0,-31400000.0,-682100000.0,1051800000.0,300900000.0,2453300000.0,1.08,300900000.0,1.07,356900000.0,0.0,419900000.0,277671934.0,14400000.0,0.0,1222600000.0,1222600000.0,1593900000.0,356900000.0,4047200000.0,0.0,56000000.0,315300000.0,371300000.0,0.0,0.00519417572032072,7.0,14950700000.0,0.285714285714286,14.575473803557,0.39382783158727,0.261834724312491,0.073357025407097,53.8430362212985,0.39382783158727,0.0993173800072305
5,2019-09-30 00:00:00+00:00,3,2019,0.0,270238400000.0,3492400000.0,1307100000.0,0.0,94412400000.0,0.0,3198000000.0,961700000.0,1635700000.0,10927800000.0,0.0,1949700000.0,40300000000.0,3860000000.0,278796363.0,14804200000.0,254996300000.0,-153000000.0,-1309500000.0,-1209600000.0,1753700000.0,-35000000.0,-2582200000.0,-32700000.0,0.0,0.0,1786400000.0,0.0,26500000.0,-117900000.0,677900000.0,277100000.0,2870400000.0,0.99,277100000.0,0.98,338200000.0,0.0,338200000.0,278796363.0,7500000.0,0.0,1242300000.0,1242300000.0,1588000000.0,338200000.0,4458400000.0,0.0,61100000.0,284600000.0,345700000.0,0.0,0.00511160543541476,7.0,15242100000.0,-0.38125,15.9916002921458,0.356181589808003,0.260736817930047,0.0253674018536831,54.6710862221685,0.356181589808003,0.100507715883174
6,2019-06-30 00:00:00+00:00,2,2019,0.0,267918000000.0,2412200000.0,647700000.0,0.0,91195200000.0,0.0,3315900000.0,959500000.0,1549200000.0,10805800000.0,0.0,1707300000.0,39658800000.0,3839200000.0,278548135.0,14034700000.0,253511500000.0,-150400000.0,-833400000.0,0.0,1466000000.0,16200000.0,-852900000.0,-36000000.0,0.0,0.0,1502000000.0,0.0,528600000.0,1056200000.0,407100000.0,386300000.0,2476000000.0,1.38,386300000.0,1.37,444500000.0,0.0,444500000.0,278548135.0,5800000.0,0.0,1046300000.0,1046300000.0,1496600000.0,444500000.0,3972600000.0,0.0,58200000.0,392100000.0,450300000.0,0.0,0.00586513512402633,7.0,14406500000.0,-0.132075471698113,14.2618079277393,0.376730604641796,0.273550556834133,0.228044143559306,51.7199657430842,0.376730604641796,0.12115640537215
7,2019-03-31 00:00:00+00:00,1,2019,0.0,259419900000.0,2420900000.0,-418900000.0,0.0,88543900000.0,0.0,2259700000.0,933200000.0,1641100000.0,10571900000.0,0.0,1341000000.0,39649300000.0,3310300000.0,278313686.0,12694400000.0,246120000000.0,-150200000.0,-1248400000.0,0.0,1147000000.0,-147800000.0,-1491100000.0,-29400000.0,0.0,0.0,1176400000.0,0.0,6500000.0,-717800000.0,-403100000.0,429900000.0,2225200000.0,1.54,429900000.0,1.53,503800000.0,0.0,503800000.0,278313686.0,22200000.0,0.0,992700000.0,992700000.0,1518700000.0,503800000.0,3743900000.0,0.0,73900000.0,452100000.0,526000000.0,0.0,0.0062341714345828,7.0,13299900000.0,0.124087591240876,13.4520872969215,0.405646518336494,0.260768527854802,0.298342349840477,47.7874451348397,0.405646518336494,0.133205410705437
8,2018-12-31 00:00:00+00:00,4,2018,0.0,243036100000.0,2415100000.0,-1565100000.0,0.0,84766600000.0,0.0,2977500000.0,767300000.0,1413100000.0,10290200000.0,0.0,983700000.0,39699700000.0,3302500000.0,283048481.0,11390000000.0,231188900000.0,-152100000.0,-964400000.0,0.0,1423700000.0,-198500000.0,-1293800000.0,-18900000.0,17100000.0,53200000.0,1442600000.0,0.0,23000000.0,50800000.0,-98000000.0,236500000.0,2471100000.0,0.84,236500000.0,0.84,247700000.0,0.0,300900000.0,283048481.0,-4800000.0,0.0,1056600000.0,1056600000.0,1299500000.0,247700000.0,3770600000.0,0.0,11200000.0,231700000.0,242900000.0,0.0,0.00613973769047603,5.0,11847200000.0,-0.712328767123288,13.3213928111488,0.344640110327269,0.289947322212467,0.164592148747568,41.8557271819452,0.344640110327269,0.131849862523179
10,2018-09-30 00:00:00+00:00,3,2018,0.0,258758300000.0,2482600000.0,-1347600000.0,0.0,84007200000.0,0.0,2926700000.0,770600000.0,1514400000.0,10207900000.0,0.0,940700000.0,39813200000.0,3281600000.0,284748761.0,11700800000.0,246841100000.0,-150700000.0,-2003000000.0,-43200000.0,2045900000.0,-57200000.0,-2067200000.0,-29800000.0,19500000.0,50700000.0,2075700000.0,0.0,-3200000.0,584700000.0,576200000.0,456300000.0,2674000000.0,1.6,456300000.0,1.59,565400000.0,0.0,616100000.0,284748761.0,3700000.0,0.0,1105000000.0,1105000000.0,1674100000.0,565400000.0,4348100000.0,0.0,109100000.0,460000000.0,569100000.0,0.0,0.00845135697733789,5.0,11917200000.0,-0.428571428571428,15.2699523071849,0.385018743819139,0.280459455763708,-0.0604390855266002,41.8516307433555,0.385018743819139,0.177921833625143
11,2018-06-30 00:00:00+00:00,2,2018,0.0,252104000000.0,2458600000.0,-1137900000.0,0.0,82404800000.0,0.0,2342000000.0,762900000.0,1455600000.0,9904300000.0,0.0,907700000.0,39128700000.0,3284400000.0,286386230.0,11639300000.0,240258600000.0,-148500000.0,-1390700000.0,-27600000.0,874100000.0,-184800000.0,-1361600000.0,-17600000.0,19200000.0,50600000.0,891700000.0,0.0,12500000.0,6300000.0,476200000.0,456600000.0,1729400000.0,1.59,456600000.0,1.58,512500000.0,0.0,563100000.0,286386230.0,2900000.0,0.0,990100000.0,990100000.0,1505500000.0,512500000.0,3234900000.0,0.0,55900000.0,459500000.0,515400000.0,0.0,0.0099470502283957,6.0,11845400000.0,0.485981308411215,11.2955849867502,0.465393056972395,0.28218191815659,0.0178082622785767,41.3616255222886,0.465393056972395,0.205925801129605
12,2018-03-31 00:00:00+00:00,1,2018,0.0,253636500000.0,2489100000.0,-469300000.0,0.0,81952800000.0,0.0,2335700000.0,775200000.0,1638400000.0,9598300000.0,0.0,926600000.0,38319700000.0,3274700000.0,289656803.0,12186900000.0,241252900000.0,-147300000.0,-828200000.0,-113900000.0,720500000.0,-167100000.0,-979900000.0,-26000000.0,21600000.0,50600000.0,746500000.0,0.0,55700000.0,-135100000.0,98300000.0,397100000.0,1441600000.0,1.37,397100000.0,1.36,451600000.0,0.0,502200000.0,289656803.0,5400000.0,0.0,985000000.0,985000000.0,1442000000.0,451600000.0,2883600000.0,0.0,54500000.0,402500000.0,457000000.0,0.0,0.00947547428593467,5.0,12383600000.0,0.132231404958678,9.95522967226839,0.50006935774726,0.268706561964076,-0.0543713517413261,42.752664089854,0.50006935774726,0.195731597258961
