,year,quarter,date,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,14427700000.0,0.0,950600000.0,0.0,1181600000.0,14199300000.0,91100000.0,18087200000.0,213900000.0,638200000.0,62890800000.0,0.0,5405800000.0,45764300000.0,13025000000.0,44803600000.0,585396906.0,5395400000.0,-18000000.0,-45400000.0,-58500000.0,-117300000.0,0.0,-57000000.0,-1380400000.0,-1514700000.0,85100000.0,1479700000.0,0.0,16700000.0,0.0,1422700000.0,1524100000.0,2166100000.0,1923500000.0,2065000000.0,6700000.0,6742100000.0,587800000.0,1979900000.0,4205100000.0,1979900000.0,2.6,392700000.0,10947200000.0,0.0,0.0,1530800000.0,56400000.0,0.0,2.59,585100000.0,1530800000.0,2225200000.0,0.0866590649942987,5.0,18087200000.0,0.818181818181818,18.7004746485626,0.384125621163402,0.298299349816445,0.148649074025497,30.8973276329547,0.384125621163402,0.322242663162505
1,2020,2,2020-06-30 00:00:00+00:00,13001800000.0,0.0,975000000.0,0.0,1189800000.0,13055600000.0,109100000.0,16670600000.0,197100000.0,652400000.0,59406100000.0,0.0,5576100000.0,43777900000.0,11573000000.0,42735500000.0,585298466.0,5394700000.0,-261300000.0,4700000.0,-58500000.0,-296800000.0,0.0,-47000000.0,-2217300000.0,-1850200000.0,81800000.0,2252800000.0,0.0,21900000.0,0.0,2205800000.0,1783700000.0,2234400000.0,2268800000.0,2407000000.0,6700000.0,6354800000.0,587200000.0,2325200000.0,4616900000.0,2325200000.0,3.05,478400000.0,10971700000.0,0.0,0.0,1790400000.0,56400000.0,0.0,3.04,584800000.0,1790400000.0,2291700000.0,0.0778128613775283,5.0,16670600000.0,0.826347305389222,18.7454788237904,0.420800787480518,0.323605629071539,0.160940459436867,28.4822205565118,0.420800787480518,0.297096496686422
2,2020,1,2020-03-31 00:00:00+00:00,11266200000.0,0.0,404200000.0,0.0,1215100000.0,12641100000.0,370400000.0,14351500000.0,0.0,666500000.0,56265200000.0,34600000.0,5346500000.0,40342300000.0,11646100000.0,41688100000.0,585253659.0,5394000000.0,143000000.0,-26500000.0,-1375400000.0,-429000000.0,0.0,-58900000.0,-1053800000.0,-1581000000.0,77100000.0,1625800000.0,986300000.0,23300000.0,0.0,1566900000.0,686000000.0,2192700000.0,868300000.0,993400000.0,6700000.0,6155200000.0,586900000.0,922700000.0,3168200000.0,916300000.0,1.17,175600000.0,9323400000.0,6400000.0,0.0,692700000.0,48000000.0,0.0,1.17,584700000.0,699100000.0,2245500000.0,0.0657333638809235,4.0,14577100000.0,-0.364130434782609,15.9305283386532,0.339811656691765,0.375849214367836,0.00251612903225817,24.9073197165607,0.339811656691765,0.256508792547784
3,2019,4,2019-12-31 00:00:00+00:00,10679600000.0,0.0,341700000.0,0.0,1213700000.0,12388800000.0,227400000.0,13673200000.0,132500000.0,681000000.0,54895300000.0,0.0,5962700000.0,39254300000.0,11512700000.0,40996500000.0,584630089.0,4407100000.0,181200000.0,-3200000.0,-58500000.0,-72900000.0,0.0,-68900000.0,-874100000.0,-541800000.0,83400000.0,1128200000.0,0.0,25500000.0,11200000.0,1059300000.0,1064000000.0,2154600000.0,1335100000.0,1465900000.0,6800000.0,7147100000.0,586900000.0,1386300000.0,3594000000.0,1382500000.0,1.82,264300000.0,10741100000.0,3800000.0,0.0,1070800000.0,47400000.0,0.0,1.82,584100000.0,1074600000.0,2207700000.0,0.0754436504288593,7.0,13898800000.0,3.13636363636364,18.3724721017566,0.334602601223338,0.32231664862651,0.336772411046533,23.7736651970371,0.334602601223338,0.296284608738119
5,2019,3,2019-09-30 00:00:00+00:00,10995200000.0,0.0,510500000.0,0.0,1214200000.0,12526500000.0,46200000.0,14123300000.0,136000000.0,695600000.0,54008100000.0,0.0,5222900000.0,38573700000.0,11444400000.0,39661900000.0,584647532.0,4406500000.0,-46700000.0,-59700000.0,-58400000.0,-131500000.0,0.0,-62700000.0,-1673900000.0,-1594200000.0,72200000.0,1758700000.0,0.0,18700000.0,0.0,1696000000.0,835000000.0,1991800000.0,1008400000.0,1128100000.0,6700000.0,6426300000.0,587100000.0,1057800000.0,3104200000.0,1055900000.0,1.43,166700000.0,9530500000.0,1900000.0,0.0,841700000.0,47500000.0,0.0,1.42,584100000.0,843600000.0,2046400000.0,0.0625092150932268,7.0,14346200000.0,-0.0949367088607596,16.3012746626971,0.3257121871885,0.312002152471448,0.121789590150427,24.5382033016091,0.3257121871885,0.249058281368459
6,2019,2,2019-06-30 00:00:00+00:00,10276400000.0,0.0,453100000.0,0.0,1174900000.0,11796700000.0,92900000.0,13330800000.0,134500000.0,711400000.0,51324200000.0,0.0,4867500000.0,36814600000.0,10556600000.0,37773300000.0,583985804.0,4406000000.0,-65800000.0,-700000.0,-58400000.0,-70300000.0,0.0,-109000000.0,-1501700000.0,-1772700000.0,80000000.0,1506200000.0,0.0,26800000.0,0.0,1397200000.0,972700000.0,1970100000.0,1244000000.0,1371400000.0,6700000.0,6138100000.0,586900000.0,1291000000.0,3312600000.0,1291400000.0,1.67,264600000.0,9450700000.0,-400000.0,0.0,979400000.0,47400000.0,0.0,1.66,583600000.0,979000000.0,2021600000.0,0.0670642539621786,7.0,13550900000.0,0.391666666666667,16.1830988617662,0.35051371856053,0.330512797431512,0.17868545772013,23.2041599422167,0.35051371856053,0.267984979874112
7,2019,1,2019-03-31 00:00:00+00:00,9358100000.0,0.0,178100000.0,0.0,1127300000.0,11603600000.0,158700000.0,12110700000.0,38500000.0,729400000.0,48850300000.0,0.0,4594300000.0,34512500000.0,10479300000.0,36518400000.0,583896232.0,4405400000.0,83700000.0,-26100000.0,-1467900000.0,-1507400000.0,0.0,-69600000.0,-277400000.0,-125400000.0,70500000.0,1868500000.0,0.0,19200000.0,0.0,1798900000.0,1071700000.0,1881800000.0,1563100000.0,1681000000.0,6700000.0,5759000000.0,586600000.0,1614900000.0,3541000000.0,1610500000.0,1.84,484700000.0,9300000000.0,4400000.0,0.0,1078400000.0,47400000.0,0.0,1.83,583500000.0,1082800000.0,1926100000.0,0.0639887160430201,7.0,12331900000.0,0.495934959349594,15.9274876087914,0.380752688172043,0.363760971702709,0.251665522671296,21.120019832565,0.380752688172043,0.257581547908919
8,2018,4,2018-12-31 00:00:00+00:00,8386600000.0,0.0,-120900000.0,0.0,1131700000.0,10686500000.0,75000000.0,10821800000.0,0.0,747300000.0,46575000000.0,43200000.0,5046500000.0,33567400000.0,9502900000.0,35538700000.0,583144753.0,4404900000.0,-47700000.0,-300000.0,0.0,247300000.0,0.0,-99900000.0,-1378300000.0,-1576000000.0,70600000.0,1083300000.0,544500000.0,23200000.0,296900000.0,983400000.0,257900000.0,1756800000.0,247100000.0,363700000.0,6800000.0,5951800000.0,586700000.0,288200000.0,2083300000.0,293100000.0,0.44,-17600000.0,8035100000.0,-4900000.0,0.0,264700000.0,46000000.0,0.0,0.44,583000000.0,259800000.0,1795100000.0,0.0586811723791959,4.0,11036300000.0,-0.555555555555556,13.778911597272,0.259274931239188,0.407039494353989,0.128556981937695,18.9254896716871,0.259274931239188,0.235784440717561
10,2018,3,2018-09-30 00:00:00+00:00,9602100000.0,0.0,-263700000.0,0.0,1139300000.0,11009200000.0,122700000.0,11858800000.0,53500000.0,765300000.0,45543700000.0,0.0,3924100000.0,32350600000.0,9646700000.0,33467500000.0,582512182.0,3859900000.0,-35000000.0,-39300000.0,0.0,-52800000.0,0.0,-61400000.0,-1700400000.0,-1281100000.0,69200000.0,1718200000.0,0.0,15500000.0,-1000000.0,1656800000.0,921700000.0,1758600000.0,1128700000.0,1239900000.0,6700000.0,5523100000.0,586600000.0,1172500000.0,2972700000.0,1170700000.0,1.58,200300000.0,8495800000.0,1800000.0,0.0,928400000.0,42000000.0,0.0,1.57,582700000.0,930200000.0,1800200000.0,0.0689549441722559,7.0,12076200000.0,3.05128205128205,14.5847593621656,0.349902304668189,0.325488245016359,0.250890780058306,20.7312402609977,0.349902304668189,0.274307942996543
11,2018,2,2018-06-30 00:00:00+00:00,8720400000.0,0.0,-221900000.0,0.0,1116400000.0,10245900000.0,157700000.0,11000800000.0,46000000.0,783300000.0,43363500000.0,0.0,3922300000.0,30921200000.0,8930700000.0,32144500000.0,582376344.0,3859500000.0,-38900000.0,500000.0,0.0,500000.0,0.0,-61000000.0,-1775600000.0,-1697200000.0,63700000.0,1736200000.0,0.0,21100000.0,-295900000.0,1675200000.0,697500000.0,1677700000.0,883100000.0,988500000.0,6700000.0,5375300000.0,585800000.0,921800000.0,2642700000.0,924800000.0,1.2,178900000.0,8018000000.0,-3000000.0,0.0,704200000.0,41700000.0,0.0,1.19,582000000.0,701200000.0,1720900000.0,0.0545709248300665,7.0,11219000000.0,0.904761904761905,13.7677295491247,0.32959590920429,0.350838120863937,0.21380020285511,19.2641753319568,0.32959590920429,0.222025053761824
12,2018,1,2018-03-31 00:00:00+00:00,8017900000.0,0.0,-172600000.0,0.0,1112000000.0,9837800000.0,196600000.0,10323200000.0,53200000.0,801300000.0,41330900000.0,0.0,3414300000.0,29251600000.0,8625700000.0,30493500000.0,582275989.0,3859200000.0,-78700000.0,-36600000.0,-654900000.0,354800000.0,0.0,-34300000.0,-2180600000.0,-2235700000.0,58900000.0,1747100000.0,552400000.0,17400000.0,0.0,1712800000.0,716800000.0,1576400000.0,899000000.0,994700000.0,1200000.0,4870800000.0,585600000.0,947600000.0,2559300000.0,935800000.0,1.23,181000000.0,7430100000.0,11800000.0,0.0,718000000.0,36800000.0,0.0,1.22,582000000.0,729800000.0,1611700000.0,0.0484329074970528,5.0,10837400000.0,0.684931506849315,12.7604437420826,0.344450276577704,0.373837569745815,0.175332584589588,18.6121361772312,0.344450276577704,0.198971202647741
