,year,quarter,date,statementData.balanceSheet.intangibles,statementData.balanceSheet.acctRec,statementData.balanceSheet.deposits,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxAssets,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.debt,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.investments,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.totalAssets,statementData.balanceSheet.retainedEarnings,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.issrepayEquity,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfx,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.ncff,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.ebitda,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,168466000.0,0.0,403646000.0,0.0,7642338000.0,0.0,80833000.0,15769000.0,0.0,342277000.0,5125007000.0,6240015000.0,3028016000.0,2114208000.0,441789000.0,268177660.0,11365022000.0,,-10179000.0,416412000.0,-3729000.0,6326000.0,-32424000.0,8328000.0,-8200000.0,16998000.0,0.0,450574000.0,0.0,0.0,460753000.0,-40612000.0,0.0,268363000.0,0.0,416398000.0,759907000.0,268961000.0,484167000.0,67769000.0,1.54,0.0,416398000.0,1.54,0.0,271257000.0,484167000.0,2195050000.0,275740000.0,416398000.0,0.0,484167000.0,2954957000.0,501165000.0,0.117359810670022,7.0,6240015000.0,0.555555555555556,11.0186545739865,0.257163471414305,0.485257807873859,0.0902431960271033,23.2682133179923,0.257163471414305,0.22608538016956
1,2020,2,2020-06-30 00:00:00+00:00,173507000.0,0.0,335040000.0,0.0,7614148000.0,0.0,120768000.0,146729000.0,0.0,295249000.0,5106817000.0,5851668000.0,3026977000.0,1697796000.0,441995000.0,268148512.0,10958485000.0,,-16607000.0,-153457000.0,-9654000.0,7062000.0,-32592000.0,5203000.0,-714502000.0,16389000.0,0.0,586650000.0,0.0,0.0,603257000.0,-747060000.0,0.0,268324000.0,0.0,348620000.0,659153000.0,269025000.0,457009000.0,108389000.0,1.29,0.0,348620000.0,1.29,0.0,196858000.0,457009000.0,1934628000.0,202144000.0,348620000.0,0.0,457009000.0,2593781000.0,473398000.0,0.107119951125836,7.0,5851668000.0,0.5,9.67292706811664,0.2541282398167,0.517284473418519,0.0421039098266964,21.8224891734622,0.2541282398167,0.210923969037815
2,2020,1,2020-03-31 00:00:00+00:00,178553000.0,0.0,344973000.0,0.0,7889300000.0,0.0,150387000.0,72546000.0,0.0,429724000.0,5892983000.0,5530391000.0,3725932000.0,1851253000.0,418349000.0,269975049.0,11423374000.0,,-20139000.0,599797000.0,-95796000.0,-77363000.0,-32740000.0,11479000.0,634182000.0,15149000.0,-95676000.0,184476000.0,0.0,0.0,204615000.0,490978000.0,0.0,270000000.0,0.0,203711000.0,550152000.0,271218000.0,263769000.0,60058000.0,0.74,0.0,203711000.0,0.75,0.0,263669000.0,263769000.0,1744828000.0,286383000.0,203711000.0,0.0,263769000.0,2294980000.0,278918000.0,0.0991697196977784,6.0,5530391000.0,0.271186440677966,8.50071148611959,0.239719736119705,0.673719453109192,0.149390517220224,20.4848226548521,0.239719736119705,0.198428528853854
3,2019,4,2019-12-31 00:00:00+00:00,124992000.0,0.0,294427000.0,0.0,7704623000.0,0.0,170107000.0,36093000.0,0.0,435916000.0,5257417000.0,5458180000.0,3091613000.0,1251456000.0,568733000.0,270999901.0,10715597000.0,2220574000.0,-14957000.0,482812000.0,-15837000.0,-1000000.0,-30115000.0,6979000.0,64637000.0,13697000.0,-29945000.0,479808000.0,0.0,0.0,494765000.0,3884000.0,0.0,270778000.0,0.0,335798000.0,701392000.0,271412000.0,435951000.0,100153000.0,1.22,0.0,335798000.0,1.23,0.0,261546000.0,435951000.0,2315521000.0,265441000.0,335798000.0,0.0,435951000.0,3016913000.0,449648000.0,0.0985103232486858,6.0,5458180000.0,0.464285714285714,11.1325243620661,0.232486651090038,0.566418293277246,0.00592267809212621,20.1408929665993,0.232486651090038,0.197006077309045
5,2019,3,2019-09-30 00:00:00+00:00,128592000.0,0.0,333672000.0,0.0,7864554000.0,0.0,191802000.0,38624000.0,0.0,389843000.0,5082921000.0,5181592000.0,2993541000.0,768644000.0,446075000.0,274218679.0,10264513000.0,2220574000.0,-13587000.0,109370000.0,-17021000.0,-3637000.0,-30615000.0,4085000.0,15066000.0,13805000.0,-135917000.0,263486000.0,0.0,0.0,277073000.0,-150682000.0,0.0,272992000.0,0.0,273104000.0,641879000.0,273632000.0,366146000.0,93042000.0,0.99,0.0,273104000.0,0.99,0.0,270625000.0,366146000.0,2068486000.0,275733000.0,273104000.0,0.0,366146000.0,2710365000.0,379951000.0,0.0901857474904126,6.0,5181592000.0,-0.0198019801980198,9.88395469587978,0.236823822621676,0.577726111974852,0.0230239989491825,18.8958389665352,0.236823822621676,0.183685937142234
6,2019,2,2019-06-30 00:00:00+00:00,132192000.0,0.0,334484000.0,0.0,7840710000.0,0.0,224104000.0,27913000.0,0.0,380363000.0,5025730000.0,5069807000.0,2974511000.0,659274000.0,401978000.0,277137113.0,10095537000.0,2220574000.0,-13505000.0,-421679000.0,-176303000.0,-167099000.0,-30818000.0,8285000.0,-281651000.0,13287000.0,-83472000.0,133297000.0,0.0,0.0,146802000.0,-392178000.0,0.0,276652000.0,0.0,241041000.0,583715000.0,277584000.0,320776000.0,79735000.0,0.86,0.0,241041000.0,0.86,0.0,259440000.0,320776000.0,1905270000.0,262939000.0,241041000.0,0.0,320776000.0,2488985000.0,334063000.0,0.0922733352595989,5.0,5069807000.0,-0.232142857142857,8.98105985537924,0.234519292000554,0.586710894517286,-0.0314185736822894,18.2934971975406,0.234519292000554,0.191301380170319
7,2019,1,2019-03-31 00:00:00+00:00,123742000.0,0.0,294548000.0,0.0,7545974000.0,0.0,250881000.0,18108000.0,0.0,444322000.0,5273897000.0,4933439000.0,3246552000.0,1080953000.0,382720000.0,277142007.0,10207336000.0,2220574000.0,-16070000.0,-52747000.0,-17068000.0,-1289000.0,-30802000.0,9019000.0,-129878000.0,13210000.0,-24999000.0,142835000.0,0.0,0.0,158905000.0,-194584000.0,0.0,277637000.0,0.0,166757000.0,470403000.0,278640000.0,216703000.0,49946000.0,0.59,0.0,166757000.0,0.59,0.0,252727000.0,216703000.0,1526290000.0,253700000.0,166757000.0,0.0,216703000.0,1996693000.0,229913000.0,0.101168150788324,5.0,4933439000.0,0.0,7.20458447138257,0.235591049800846,0.658070769700406,0.0135019006716941,17.8011231621051,0.235591049800846,0.214245093508848
8,2018,4,2018-12-31 00:00:00+00:00,127192000.0,0.0,254624000.0,0.0,7290202000.0,0.0,275579000.0,11580000.0,-345000.0,352029000.0,5355194000.0,4817782000.0,3376478000.0,1133700000.0,515944000.0,280861332.0,10172976000.0,1613929000.0,-12510000.0,374688000.0,-9958000.0,0.0,-25736000.0,6769000.0,97559000.0,12712000.0,-122506000.0,422257000.0,0.0,0.0,434767000.0,-50121000.0,0.0,278931000.0,0.0,237648000.0,628904000.0,280176000.0,329491000.0,91843000.0,0.84,0.0,237648000.0,0.84,0.0,292317000.0,329491000.0,2370246000.0,299413000.0,237648000.0,0.0,329491000.0,2999150000.0,342203000.0,0.102845011904017,7.0,4817782000.0,2.11111111111111,10.6784012546092,0.20969407998933,0.700836609045407,0.073083377163323,17.1535966367916,0.20969407998933,0.22280823733165
10,2018,3,2018-09-30 00:00:00+00:00,130642000.0,0.0,342376000.0,0.0,7555359000.0,0.0,408029000.0,10324000.0,0.0,465833000.0,5326202000.0,4728878000.0,3256151000.0,759012000.0,404062000.0,284018567.0,10055080000.0,1613929000.0,-13470000.0,357097000.0,-4840000.0,0.0,-25900000.0,5359000.0,-13608000.0,12556000.0,-59569000.0,453928000.0,0.0,0.0,467398000.0,-105461000.0,0.0,283489000.0,0.0,289535000.0,640933000.0,284672000.0,384688000.0,95153000.0,1.01,0.0,289535000.0,1.01,0.0,252757000.0,384688000.0,2008433000.0,256245000.0,289535000.0,0.0,384688000.0,2649366000.0,397244000.0,0.0877949862086355,7.0,4728878000.0,0.711864406779661,9.32814367731107,0.241919387506294,0.688567351494371,0.243216280364026,16.6498903573441,0.241919387506294,0.194927775656935
11,2018,2,2018-06-30 00:00:00+00:00,134092000.0,0.0,354968000.0,0.0,7577606000.0,0.0,511381000.0,22484000.0,0.0,399330000.0,5288864000.0,4526712000.0,3269733000.0,401915000.0,431352000.0,285524839.0,9815576000.0,1613929000.0,-17631000.0,217128000.0,-11168000.0,0.0,-26037000.0,7711000.0,-72980000.0,12271000.0,-53000000.0,360938000.0,0.0,0.0,378569000.0,-150273000.0,0.0,285276000.0,0.0,324089000.0,637182000.0,286654000.0,409170000.0,85081000.0,1.12,0.0,324089000.0,1.12,0.0,226056000.0,409170000.0,1932540000.0,228012000.0,324089000.0,0.0,409170000.0,2569722000.0,421441000.0,0.0765487620447317,7.0,4526712000.0,2.5,8.99999456789817,0.247957561168095,0.722319643926983,0.270969305490984,15.8540042115215,0.247957561168095,0.173357733427049
