,year,quarter,date,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,15525000000.0,2155000000.0,49374000000.0,0.0,4821000000.0,2144000000.0,39129000000.0,8160000000.0,1225000000.0,31537000000.0,33849000000.0,21676000000.0,1557287371.0,4579000000.0,3712000000.0,0.0,7573000000.0,6134000000.0,29490000000.0,27346000000.0,8631000000.0,-10567000000.0,17453000000.0,4579000000.0,-12092000000.0,0.0,-1827000000.0,-152000000.0,620000000.0,0.0,3614000000.0,-32000000.0,0.0,-2528000000.0,3462000000.0,-434000000.0,-312000000.0,-487000000.0,239000000.0,0.0,0.0,1769000000.0,0.0,20444000000.0,2947000000.0,163000000.0,2307000000.0,2307000000.0,130000000.0,1.48,3110000000.0,640000000.0,3243000000.0,1787000000.0,1.48,3349000000.0,2437000000.0,5030000000.0,15414000000.0,1557287371.0,0.0,6.0,0.00314033366045141,0.246037957346899,1.12418679549114,-10245000000.0,0.246037957346899,13.1279559448761,0.213114754098361,-2.26149520344029,-0.633285332236165,-6.57874724394718,0.194024959031892
1,2020,2,2020-06-30 00:00:00+00:00,15792000000.0,1991000000.0,49282000000.0,0.0,4200000000.0,2585000000.0,39162000000.0,8968000000.0,1159000000.0,31103000000.0,33490000000.0,21386000000.0,1557129538.0,4516000000.0,3944000000.0,0.0,7601000000.0,6184000000.0,29628000000.0,27043000000.0,8981000000.0,-10009000000.0,17776000000.0,4516000000.0,-11997000000.0,0.0,-1830000000.0,-140000000.0,457000000.0,0.0,1925000000.0,134000000.0,0.0,-954000000.0,1785000000.0,-648000000.0,-510000000.0,1078000000.0,229000000.0,-1000000.0,0.0,1722000000.0,0.0,17819000000.0,2475000000.0,162000000.0,1947000000.0,1947000000.0,102000000.0,1.25,2637000000.0,528000000.0,2731000000.0,1741000000.0,1.25,2866000000.0,2049000000.0,4472000000.0,13347000000.0,1557129538.0,0.0,5.0,-0.108470505828789,0.250968067792805,1.12563323201621,-10120000000.0,0.250968067792805,11.4434923782173,-0.161073825503356,-2.25414687005085,-0.613112270661505,-6.4991381596924,0.181048890656162
2,2020,1,2020-03-31 00:00:00+00:00,16584000000.0,2073000000.0,48557000000.0,0.0,3746000000.0,3371000000.0,37494000000.0,9045000000.0,1113000000.0,30984000000.0,31973000000.0,20633000000.0,1555911930.0,4390000000.0,3334000000.0,0.0,7134000000.0,6107000000.0,28370000000.0,24999000000.0,9283000000.0,-10774000000.0,16861000000.0,4390000000.0,-12944000000.0,0.0,-1828000000.0,-170000000.0,-3115000000.0,0.0,1111000000.0,-191000000.0,0.0,-4549000000.0,941000000.0,514000000.0,684000000.0,-2519000000.0,241000000.0,-2000000.0,0.0,1944000000.0,0.0,18253000000.0,2422000000.0,129000000.0,1826000000.0,1826000000.0,161000000.0,1.17,2551000000.0,596000000.0,2789000000.0,1962000000.0,1.17,2792000000.0,1987000000.0,4751000000.0,13502000000.0,1555911930.0,0.0,4.0,0.0309517085569049,0.260285980386786,1.01670284611674,-11063000000.0,0.260285980386786,11.731383793683,0.344827586206897,-1.9313195302843,-0.655424780654826,-7.11029961702267,0.189398436727021
3,2019,4,2019-12-31 00:00:00+00:00,18833000000.0,2299000000.0,52474000000.0,0.0,6861000000.0,4389000000.0,42875000000.0,9235000000.0,1153000000.0,30987000000.0,33641000000.0,22361000000.0,1555874621.0,4635000000.0,3717000000.0,0.0,7971000000.0,6631000000.0,31045000000.0,26656000000.0,9984000000.0,-9363000000.0,20514000000.0,4635000000.0,-11577000000.0,0.0,-1825000000.0,-156000000.0,354000000.0,0.0,3324000000.0,173000000.0,0.0,-2959000000.0,3168000000.0,-184000000.0,-43000000.0,-1051000000.0,255000000.0,0.0,0.0,2413000000.0,0.0,19849000000.0,2239000000.0,136000000.0,1616000000.0,1616000000.0,166000000.0,1.03,2375000000.0,623000000.0,2506000000.0,2429000000.0,1.03,2630000000.0,1782000000.0,4935000000.0,14914000000.0,1555874621.0,0.0,6.0,-0.000453217846711707,0.248627134868255,1.08925821695959,-9599000000.0,0.248627134868255,12.7574547023863,-0.16260162601626,-2.30249632892805,-0.628141801809678,-6.16952026239137,0.177123135708123
5,2019,3,2019-09-30 00:00:00+00:00,18045000000.0,1704000000.0,50575000000.0,0.0,6507000000.0,5390000000.0,41420000000.0,8529000000.0,968000000.0,31197000000.0,32530000000.0,21845000000.0,1555839852.0,4499000000.0,3729000000.0,0.0,7808000000.0,6636000000.0,31816000000.0,26426000000.0,9098000000.0,-8966000000.0,19575000000.0,4499000000.0,-11010000000.0,0.0,-1779000000.0,-194000000.0,2498000000.0,0.0,2083000000.0,-160000000.0,0.0,453000000.0,1889000000.0,122000000.0,313000000.0,2280000000.0,237000000.0,-3000000.0,0.0,2234000000.0,0.0,20380000000.0,2531000000.0,132000000.0,1896000000.0,1896000000.0,150000000.0,1.22,2663000000.0,635000000.0,2788000000.0,2249000000.0,1.22,2900000000.0,2046000000.0,5037000000.0,15343000000.0,1555839852.0,0.0,6.0,-0.0028866382895445,0.247154072620216,1.08478802992519,-9155000000.0,0.247154072620216,13.0990345656733,-0.152777777777778,-2.40018165304269,-0.641478685993653,-5.88428171976148,0.187931099468546
6,2019,2,2019-06-30 00:00:00+00:00,18046000000.0,1708000000.0,49332000000.0,0.0,4008000000.0,5031000000.0,39923000000.0,8255000000.0,1042000000.0,31128000000.0,31286000000.0,22760000000.0,1555802811.0,4665000000.0,4074000000.0,0.0,7958000000.0,6917000000.0,29889000000.0,24858000000.0,9850000000.0,-9051000000.0,17163000000.0,4665000000.0,-11199000000.0,0.0,-1777000000.0,-178000000.0,927000000.0,0.0,3442000000.0,42000000.0,0.0,-2404000000.0,3264000000.0,-153000000.0,25000000.0,-457000000.0,232000000.0,-4000000.0,0.0,1831000000.0,0.0,19987000000.0,2930000000.0,150000000.0,2319000000.0,2319000000.0,117000000.0,1.49,3080000000.0,611000000.0,3187000000.0,1847000000.0,1.49,3312000000.0,2436000000.0,5034000000.0,14953000000.0,1555802811.0,0.0,7.0,-0.0527488151658768,0.251863711412418,0.951069489083453,-9409000000.0,0.251863711412418,12.8467437252882,0.0567375886524824,-2.21966246986338,-0.661513116208339,-6.04768157858792,0.199305104806995
7,2019,1,2019-03-31 00:00:00+00:00,18486000000.0,1812000000.0,48227000000.0,0.0,3081000000.0,7133000000.0,38042000000.0,8318000000.0,951000000.0,30588000000.0,29741000000.0,22301000000.0,1554584344.0,4578000000.0,3535000000.0,0.0,7904000000.0,6894000000.0,30264000000.0,23131000000.0,8376000000.0,-9237000000.0,15741000000.0,4578000000.0,-11968000000.0,0.0,-1780000000.0,-324000000.0,-3534000000.0,0.0,1241000000.0,-28000000.0,0.0,-3151000000.0,917000000.0,-1596000000.0,91000000.0,-1315000000.0,240000000.0,-1370000000.0,0.0,2217000000.0,0.0,17705000000.0,1778000000.0,152000000.0,1354000000.0,1354000000.0,110000000.0,0.87,1930000000.0,424000000.0,2050000000.0,2236000000.0,0.87,2170000000.0,1464000000.0,4286000000.0,13419000000.0,1554584344.0,0.0,4.0,-0.0391294909367198,0.242078508895792,0.851509250243427,-10185000000.0,0.242078508895792,11.3888963749914,-0.13,-1.93273729946524,-0.641587948899338,-6.55159048739269,0.195233753735501
8,2018,4,2018-12-31 00:00:00+00:00,17191000000.0,2068000000.0,50540000000.0,0.0,6593000000.0,4784000000.0,39801000000.0,8804000000.0,977000000.0,31014000000.0,33349000000.0,20359000000.0,1554523901.0,1269000000.0,3564000000.0,0.0,9467000000.0,7201000000.0,31759000000.0,26975000000.0,8955000000.0,-10111000000.0,19442000000.0,1269000000.0,-12459000000.0,0.0,-1775000000.0,-334000000.0,707000000.0,0.0,2422000000.0,-134000000.0,0.0,-1747000000.0,2088000000.0,166000000.0,476000000.0,179000000.0,255000000.0,-22000000.0,0.0,1997000000.0,0.0,19858000000.0,2461000000.0,125000000.0,1910000000.0,1910000000.0,93000000.0,1.23,2586000000.0,551000000.0,2702000000.0,2016000000.0,1.23,2841000000.0,2003000000.0,4718000000.0,15140000000.0,1554523901.0,0.0,4.0,-0.0800092656937689,0.237586866753953,1.13094060845791,-10739000000.0,0.237586866753953,12.7743291609899,1.73333333333333,-2.16510153302833,-0.653207827594749,-6.9082244364926,0.194168323392975
10,2018,3,2018-09-30 00:00:00+00:00,15599000000.0,1662000000.0,49322000000.0,0.0,5880000000.0,3587000000.0,39380000000.0,8440000000.0,990000000.0,30877000000.0,33723000000.0,20842000000.0,1554506845.0,1361000000.0,3522000000.0,0.0,9588000000.0,7138000000.0,31766000000.0,28179000000.0,9208000000.0,-9199000000.0,18538000000.0,1361000000.0,-11720000000.0,0.0,-1778000000.0,-328000000.0,-709000000.0,0.0,1683000000.0,-22000000.0,0.0,-1889000000.0,1355000000.0,-481000000.0,-137000000.0,-44000000.0,246000000.0,-11000000.0,0.0,1710000000.0,0.0,20439000000.0,2938000000.0,145000000.0,2247000000.0,2247000000.0,94000000.0,1.44,3083000000.0,691000000.0,3156000000.0,1730000000.0,1.44,3329000000.0,2341000000.0,4886000000.0,15553000000.0,1554506845.0,0.0,3.0,-0.00964240721000098,0.239052791232448,1.18840951343035,-9942000000.0,0.239052791232448,13.1482212932938,0.133858267716535,-2.40435153583618,-0.557092633812486,-6.39559744106498,0.161190328580285
11,2018,2,2018-06-30 00:00:00+00:00,17441000000.0,1953000000.0,50889000000.0,0.0,6587000000.0,3617000000.0,40721000000.0,8925000000.0,909000000.0,30406000000.0,33448000000.0,20693000000.0,1554473725.0,1352000000.0,3772000000.0,0.0,9648000000.0,7113000000.0,31665000000.0,28048000000.0,10661000000.0,-8908000000.0,20028000000.0,1352000000.0,-11915000000.0,0.0,-1673000000.0,-409000000.0,-609000000.0,0.0,3993000000.0,-660000000.0,0.0,-4277000000.0,3584000000.0,335000000.0,742000000.0,-2467000000.0,246000000.0,-12000000.0,0.0,1868000000.0,0.0,21100000000.0,2842000000.0,168000000.0,2198000000.0,2198000000.0,97000000.0,1.41,3010000000.0,644000000.0,3093000000.0,1889000000.0,1.41,3256000000.0,2295000000.0,4982000000.0,16118000000.0,1554473725.0,0.0,4.0,0.0921890366996221,0.236113744075829,1.14832865088011,-10168000000.0,0.236113744075829,13.5737257315173,0.236842105263158,-2.35400755350399,-0.5375434482181,-6.54112053260984,0.152166439452315
