,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,2053700000.0,805200000.0,291100000.0,2652900000.0,1234800000.0,561600000.0,0.0,401700000.0,0.0,362100000.0,-212300000.0,963500000.0,0.0,0.0,0.0,4103500000.0,3140000000.0,818900000.0,0.0,112000000.0,805200000.0,276600000.0,0.0,82600000.0,165908770.0,2049800000.0,4800000.0,220400000.0,-11700000.0,234300000.0,-4500000.0,13800000.0,18500000.0,0.0,-226100000.0,0.0,-31700000.0,-8000000.0,-13900000.0,-208200000.0,167100000.0,149100000.0,130600000.0,0.67,149300000.0,277400000.0,0.66,125200000.0,0.0,128100000.0,14400000.0,110800000.0,5400000.0,166100000.0,110800000.0,521100000.0,130000000.0,798500000.0,110800000.0,0.0,19300000.0,0.0,6.0,0.118974215246637,0.347401377582968,1.17657833679326,2049800000.0,0.347401377582968,4.81288602163707,0.218181818181818,0.392818811591375,0.180170534929071,12.3549828016928,0.0842140380559759
1,2020,2,2020-06-30 00:00:00+00:00,2166400000.0,1013000000.0,284700000.0,2627500000.0,1415800000.0,482500000.0,0.0,396500000.0,0.0,401800000.0,-214800000.0,1001700000.0,0.0,0.0,0.0,4116100000.0,3114400000.0,750600000.0,0.0,112100000.0,1013000000.0,256000000.0,0.0,90600000.0,165725188.0,1949700000.0,4200000.0,416600000.0,-33100000.0,428400000.0,-6500000.0,2100000.0,18200000.0,-21300000.0,-467500000.0,0.0,-31600000.0,-78700000.0,-11800000.0,-438000000.0,166400000.0,127800000.0,109600000.0,0.43,134000000.0,245100000.0,0.43,101900000.0,0.0,111100000.0,29800000.0,72100000.0,7700000.0,165800000.0,72100000.0,468200000.0,116700000.0,713300000.0,72100000.0,0.0,17300000.0,1700000.0,5.0,-0.107817385866166,0.343614187578859,1.33453237410072,1949700000.0,0.343614187578859,4.30411338558868,-0.358208955223881,0.519567112889162,0.174770708032721,11.7646570417528,0.0799155267349532
2,2020,1,2020-03-31 00:00:00+00:00,2534200000.0,1450500000.0,280700000.0,2583300000.0,1851400000.0,442100000.0,0.0,392400000.0,0.0,665000000.0,-225200000.0,1339600000.0,0.0,0.0,0.0,4426700000.0,3087100000.0,682800000.0,0.0,114500000.0,1450500000.0,268200000.0,0.0,169300000.0,168293375.0,1892500000.0,6200000.0,-181000000.0,-25800000.0,-162400000.0,-3800000.0,-110000000.0,19200000.0,-7200000.0,278800000.0,0.0,-32100000.0,86800000.0,-18600000.0,420900000.0,168700000.0,118700000.0,99500000.0,0.43,150900000.0,251600000.0,0.43,92600000.0,0.0,100700000.0,19900000.0,72700000.0,6900000.0,167800000.0,72700000.0,458400000.0,131900000.0,710000000.0,72700000.0,0.0,19000000.0,0.0,4.0,0.0306285382493832,0.354366197183099,1.96192149970709,1892500000.0,0.354366197183099,4.21882323056389,0.433333333333333,0.766446499339498,0.200537105480071,11.2452436110453,0.0896970850231319
3,2019,4,2019-12-31 00:00:00+00:00,2185600000.0,1029100000.0,283200000.0,2597500000.0,1436600000.0,401000000.0,0.0,377400000.0,0.0,502900000.0,-226500000.0,1061900000.0,0.0,0.0,0.0,4139500000.0,3077600000.0,749000000.0,0.0,104400000.0,1029100000.0,325100000.0,0.0,82500000.0,168092998.0,1953900000.0,6100000.0,74600000.0,-2400000.0,88300000.0,-1700000.0,5700000.0,19500000.0,11300000.0,-114900000.0,0.0,-30300000.0,-30700000.0,-13700000.0,-83400000.0,170700000.0,126800000.0,107300000.0,0.58,151900000.0,274200000.0,0.58,100800000.0,0.0,122300000.0,3000000.0,97800000.0,6500000.0,168500000.0,97800000.0,481000000.0,134200000.0,755200000.0,97800000.0,0.0,17700000.0,5100000.0,7.0,0.0198514517218096,0.363082627118644,1.41775700934579,1953900000.0,0.363082627118644,4.49275109008407,0.074074074074074,0.52669020932494,0.189714255236876,11.6239226097925,0.0848313568366513
5,2019,3,2019-09-30 00:00:00+00:00,2211600000.0,1118700000.0,277900000.0,2602400000.0,1517400000.0,335300000.0,0.0,390300000.0,0.0,404000000.0,-234100000.0,1002600000.0,0.0,0.0,0.0,4080400000.0,3077800000.0,694200000.0,0.0,111400000.0,1118700000.0,253400000.0,0.0,113200000.0,168049131.0,1868800000.0,4600000.0,153200000.0,-14800000.0,168000000.0,4100000.0,-400000.0,19600000.0,0.0,-124600000.0,0.0,-30400000.0,32700000.0,-14800000.0,-93800000.0,168600000.0,128700000.0,109100000.0,0.55,146200000.0,255000000.0,0.55,102200000.0,0.0,108800000.0,9900000.0,92300000.0,6900000.0,168100000.0,92300000.0,458600000.0,126400000.0,713600000.0,92300000.0,0.0,19800000.0,-1000000.0,7.0,0.00309249367444475,0.357343049327354,1.44425237683665,1868800000.0,0.357343049327354,4.24637720976968,-0.126984126984127,0.598619434931507,0.190086563079966,11.1205573565269,0.0853574709077748
6,2019,2,2019-06-30 00:00:00+00:00,2363400000.0,1215100000.0,280300000.0,2641700000.0,1653200000.0,273400000.0,0.0,396700000.0,0.0,459600000.0,-230200000.0,1041500000.0,0.0,0.0,0.0,4170000000.0,3128500000.0,710200000.0,0.0,119800000.0,1215100000.0,261700000.0,0.0,80500000.0,171891940.0,1806600000.0,5300000.0,340100000.0,-10200000.0,353000000.0,-4600000.0,-148700000.0,20700000.0,2700000.0,-336600000.0,0.0,-31000000.0,1600000.0,-12900000.0,-156900000.0,170500000.0,166500000.0,145800000.0,0.67,152900000.0,286700000.0,0.67,136400000.0,0.0,133800000.0,22100000.0,114300000.0,9400000.0,169800000.0,114300000.0,512800000.0,132200000.0,799500000.0,114300000.0,0.0,20700000.0,800000.0,7.0,0.0242121445042276,0.358599124452783,1.46648831315122,1806600000.0,0.358599124452783,4.65117794353825,1.91304347826087,0.672589394442599,0.199423802632113,10.5100913981191,0.0911913509234176
7,2019,1,2019-03-31 00:00:00+00:00,2511800000.0,1370700000.0,279100000.0,2644500000.0,1806500000.0,189500000.0,0.0,421800000.0,0.0,645700000.0,-225900000.0,1251600000.0,0.0,0.0,0.0,4382200000.0,3130600000.0,705300000.0,0.0,124600000.0,1370700000.0,265300000.0,0.0,78900000.0,171363615.0,1870400000.0,5400000.0,-272800000.0,-304500000.0,-256300000.0,6400000.0,5900000.0,20200000.0,-286500000.0,559000000.0,0.0,-31000000.0,4600000.0,-16500000.0,584100000.0,172500000.0,89600000.0,69400000.0,0.3,168000000.0,235600000.0,0.3,62100000.0,0.0,67600000.0,10800000.0,51300000.0,7300000.0,171600000.0,51300000.0,453300000.0,147300000.0,688900000.0,51300000.0,0.0,20700000.0,1100000.0,5.0,-0.0596505596505597,0.341994483959936,1.77456401531263,1870400000.0,0.341994483959936,4.02010660197615,-0.473684210526316,0.732837895637297,0.158274921076569,10.9148024217393,0.0748661748142899
8,2018,4,2018-12-31 00:00:00+00:00,1970400000.0,787600000.0,272600000.0,2349000000.0,1151700000.0,169200000.0,0.0,387500000.0,0.0,488200000.0,-228600000.0,1039400000.0,0.0,0.0,0.0,3806500000.0,2767100000.0,818700000.0,0.0,105900000.0,787600000.0,378600000.0,0.0,74300000.0,173601030.0,1836100000.0,4500000.0,140700000.0,-13800000.0,154500000.0,8400000.0,-102700000.0,20700000.0,0.0,-139500000.0,0.0,-30500000.0,9600000.0,-13800000.0,-4300000.0,173700000.0,129900000.0,109200000.0,0.54,155000000.0,268000000.0,0.53,104500000.0,0.0,113000000.0,11600000.0,92900000.0,4700000.0,172800000.0,92900000.0,472500000.0,135300000.0,740500000.0,92900000.0,0.0,19700000.0,1300000.0,6.0,0.027330743618202,0.361917623227549,1.26957371442531,1836100000.0,0.361917623227549,4.26552768724932,-0.485714285714286,0.428952671423125,0.134587259925036,10.5765501506529,0.0668395053414847
10,2018,3,2018-09-30 00:00:00+00:00,1929300000.0,798800000.0,274200000.0,2386400000.0,1221900000.0,107500000.0,0.0,387300000.0,0.0,402400000.0,-221000000.0,989600000.0,0.0,0.0,0.0,3809500000.0,2819900000.0,707400000.0,0.0,106300000.0,798800000.0,261300000.0,0.0,64700000.0,175403866.0,1880200000.0,5100000.0,99300000.0,-13400000.0,112700000.0,-6000000.0,-90300000.0,20600000.0,0.0,-107300000.0,0.0,-30800000.0,-14000000.0,-13400000.0,13800000.0,175700000.0,145600000.0,125000000.0,0.63,135400000.0,243800000.0,0.63,120700000.0,0.0,108400000.0,10600000.0,110100000.0,4300000.0,174300000.0,110100000.0,467600000.0,116300000.0,711400000.0,110100000.0,0.0,19100000.0,-18900000.0,5.0,0.0346131471785922,0.342704526286196,1.39892564320045,1880200000.0,0.342704526286196,4.0557828981945,-0.0869565217391304,0.424848420380811,0.131326423491491,10.7192620258438,0.0693437637846299
11,2018,2,2018-06-30 00:00:00+00:00,1917100000.0,779900000.0,270600000.0,2385300000.0,1207700000.0,27900000.0,0.0,366600000.0,0.0,422100000.0,-217900000.0,996600000.0,0.0,0.0,0.0,3806000000.0,2809400000.0,709400000.0,0.0,118400000.0,779900000.0,275100000.0,0.0,78700000.0,178386369.0,1888900000.0,5300000.0,330200000.0,-10400000.0,339500000.0,1000000.0,-144600000.0,21400000.0,1000000.0,-1158900000.0,0.0,-62600000.0,7900000.0,-9300000.0,-1078400000.0,178600000.0,93800000.0,72400000.0,0.23,160000000.0,282600000.0,0.23,62300000.0,0.0,122600000.0,20800000.0,41500000.0,10100000.0,176900000.0,41500000.0,498000000.0,140900000.0,780600000.0,41500000.0,0.0,19100000.0,36400000.0,6.0,0.0352785145888594,0.362029208301307,1.40484916831125,1888900000.0,0.362029208301307,4.37589488690136,-0.841379310344828,0.412885806554079,0.110333233263284,10.588813543259,0.0603746804833654
12,2018,1,2018-03-31 00:00:00+00:00,4648400000.0,2673100000.0,546500000.0,5916600000.0,3620900000.0,2308000000.0,200000.0,593500000.0,0.0,985200000.0,-244800000.0,2719000000.0,0.0,0.0,0.0,9368100000.0,6649100000.0,1027500000.0,0.0,369100000.0,2673300000.0,404000000.0,0.0,907500000.0,180306617.0,4719700000.0,6000000.0,-179100000.0,-31200000.0,-167600000.0,-4800000.0,-149100000.0,21900000.0,-14700000.0,997800000.0,0.0,-63300000.0,-15500000.0,-11500000.0,417500000.0,181500000.0,153400000.0,131500000.0,0.57,160600000.0,253300000.0,0.57,118000000.0,0.0,92700000.0,15100000.0,102900000.0,13500000.0,179200000.0,102900000.0,479300000.0,141800000.0,732600000.0,102900000.0,0.0,18800000.0,-44500000.0,5.0,-0.380988593155894,0.345754845754846,2.64622871046229,4719700000.0,0.345754845754846,4.06307883864295,0.1875,0.566370743903214,0.138609834465368,26.1759666867911,0.0772357838735173
