,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,13784246000.0,6674910000.0,15156243000.0,266220000.0,12539462000.0,3231485000.0,146989000.0,339077000.0,272654000.0,574687000.0,-57491000.0,1454686000.0,1069837000.0,1069837000.0,4325000.0,19751421000.0,18296735000.0,1244784000.0,0.0,2578347000.0,6821899000.0,288265000.0,0.0,181926000.0,112556967.0,5841386000.0,2989000.0,119070000.0,-302982000.0,402987000.0,0.0,555000.0,172569000.0,0.0,75158000.0,0.0,-86358000.0,175163000.0,-283917000.0,160961000.0,112987000.0,653009000.0,480440000.0,3.07,154373000.0,609381000.0,3.07,423606000.0,4873000.0,455008000.0,77234000.0,346372000.0,56834000.0,112679000.0,351245000.0,645120000.0,0.0,1254501000.0,346372000.0,0.0,0.0,0.0,7.0,0.053505790708162,0.485755690908178,1.16862523939896,5967175000.0,0.485755690908178,11.1454762280508,0.10431654676259,1.14269284721126,0.114062453471533,53.0147103199751,0.0333210266894732
1,2020,2,2020-06-30 00:00:00+00:00,13696911000.0,6331782000.0,15069766000.0,275028000.0,12200548000.0,2885109000.0,375751000.0,335625000.0,262704000.0,459479000.0,-57875000.0,1147089000.0,1024033000.0,1024033000.0,17122000.0,19307388000.0,18160299000.0,1496363000.0,0.0,2421634000.0,6707533000.0,404296000.0,0.0,6763000.0,112493458.0,5489562000.0,2848000.0,-123412000.0,-311361000.0,185404000.0,0.0,-524000.0,170005000.0,0.0,69581000.0,0.0,-86309000.0,-56376000.0,-308816000.0,167786000.0,112879000.0,462592000.0,292587000.0,1.72,153174000.0,415048000.0,1.71,234646000.0,4874000.0,261874000.0,41061000.0,193585000.0,57941000.0,112638000.0,198459000.0,514542000.0,0.0,929590000.0,193585000.0,0.0,0.0,0.0,6.0,0.0691074535854472,0.446485009520326,0.766584712399331,5610477000.0,0.446485009520326,8.26350275408904,0.34375,1.1534220762968,0.10934772818193,49.8738068839523,0.0321085198221807
2,2020,1,2020-03-31 00:00:00+00:00,12964928000.0,4884522000.0,14502549000.0,279238000.0,10669440000.0,2867610000.0,1225360000.0,340475000.0,267510000.0,343942000.0,-55579000.0,1078307000.0,920426000.0,920426000.0,20599000.0,18561760000.0,17483453000.0,2295488000.0,0.0,2413904000.0,6109882000.0,301325000.0,0.0,63139000.0,112439441.0,5469418000.0,6282000.0,-153234000.0,-341160000.0,183628000.0,0.0,-1680000.0,173168000.0,0.0,210388000.0,0.0,-86257000.0,52856000.0,-336862000.0,298325000.0,112862000.0,238110000.0,64942000.0,0.27,154901000.0,195323000.0,0.27,9784000.0,4873000.0,40422000.0,-20209000.0,29993000.0,55158000.0,112594000.0,34866000.0,466607000.0,0.0,661930000.0,29993000.0,0.0,0.0,0.0,6.0,-0.106140196886014,0.295081050866406,0.469750658683469,5596832000.0,0.295081050866406,5.88699120266882,0.6875,0.893060651060131,0.099500036698203,49.7764125312576,0.0299563240012695
3,2019,4,2019-12-31 00:00:00+00:00,12926059000.0,4884430000.0,14377787000.0,290564000.0,10847694000.0,2837610000.0,927388000.0,345920000.0,280238000.0,386420000.0,-57096000.0,1030030000.0,1010775000.0,1010775000.0,21727000.0,18479247000.0,17449217000.0,2078365000.0,0.0,2339895000.0,5811818000.0,434430000.0,0.0,10283000.0,112410824.0,5430648000.0,1890000.0,-175027000.0,-298964000.0,121965000.0,0.0,822000.0,163339000.0,0.0,157430000.0,0.0,-86527000.0,-19569000.0,-296992000.0,254507000.0,112815000.0,194552000.0,31213000.0,0.57,149382000.0,161379000.0,0.56,-24556000.0,4873000.0,11997000.0,-88537000.0,63981000.0,55769000.0,112548000.0,68854000.0,509012000.0,0.0,670391000.0,63981000.0,0.0,0.0,0.0,4.0,-0.113680233111574,0.240723697066339,0.495596298051593,5553188000.0,0.240723697066339,5.96375843664308,1.47826086956522,0.899419369474877,0.096354966886706,49.4008299414298,0.0296235482445212
5,2019,3,2019-09-30 00:00:00+00:00,12695861000.0,5037468000.0,14264914000.0,266587000.0,11109115000.0,2949891000.0,533596000.0,312426000.0,270547000.0,510505000.0,-46538000.0,1133155000.0,967673000.0,967673000.0,14063000.0,18377566000.0,17244411000.0,1586746000.0,0.0,2396378000.0,5571064000.0,276117000.0,0.0,29852000.0,112303854.0,5552666000.0,2761000.0,187557000.0,-304375000.0,488827000.0,0.0,2230000.0,168616000.0,0.0,-156248000.0,0.0,-81137000.0,28204000.0,-301270000.0,-77341000.0,112746000.0,588153000.0,419537000.0,2.78,150244000.0,553534000.0,2.77,365542000.0,4873000.0,403290000.0,53266000.0,312276000.0,53995000.0,112463000.0,317149000.0,637253000.0,0.0,1190787000.0,312276000.0,0.0,0.0,0.0,6.0,-0.0609187135360724,0.464847197693626,0.714137612447109,5681705000.0,0.464847197693626,10.6032603297835,-0.01067615658363,0.907216101238576,0.0904107005191955,50.5922530494813,0.0278499288899206
6,2019,2,2019-06-30 00:00:00+00:00,12276566000.0,4488926000.0,14165920000.0,261429000.0,10426197000.0,2801110000.0,687268000.0,315381000.0,258588000.0,444063000.0,-27276000.0,995414000.0,950448000.0,950448000.0,0.0,18074423000.0,17079009000.0,1850369000.0,0.0,2247644000.0,5176194000.0,402235000.0,0.0,1355000.0,112277359.0,5673692000.0,1651000.0,-98136000.0,-273125000.0,172502000.0,0.0,293000.0,164384000.0,0.0,96162000.0,0.0,-81082000.0,-4461000.0,-270638000.0,188323000.0,112651000.0,378580000.0,214196000.0,1.28,148057000.0,344646000.0,1.28,161225000.0,4874000.0,196589000.0,17080000.0,144145000.0,52971000.0,112337000.0,149019000.0,524855000.0,0.0,869501000.0,144145000.0,0.0,0.0,0.0,6.0,-0.107401221406332,0.396372172084908,0.537954321543433,5797857000.0,0.396372172084908,7.74422383768396,-0.140939597315436,0.791182531586135,0.091729912597419,51.6387012630035,0.0282798334401776
7,2019,1,2019-03-31 00:00:00+00:00,11935857000.0,4488960000.0,14037140000.0,267842000.0,10409346000.0,2816532000.0,472767000.0,307151000.0,243157000.0,349892000.0,-26027000.0,843528000.0,919309000.0,919309000.0,0.0,17756883000.0,16913355000.0,1526511000.0,0.0,2288095000.0,4961727000.0,257124000.0,0.0,6080000.0,112146511.0,5690363000.0,12074000.0,-78422000.0,-254513000.0,173432000.0,0.0,-2653000.0,167801000.0,0.0,81424000.0,0.0,-80897000.0,343000.0,-251854000.0,164974000.0,112735000.0,242125000.0,74324000.0,0.16,149134000.0,209218000.0,0.16,20336000.0,4873000.0,60084000.0,2418000.0,17918000.0,53988000.0,112337000.0,22791000.0,531312000.0,0.0,740530000.0,17918000.0,0.0,0.0,0.0,5.0,0.0690270443501937,0.282524678270968,0.552585602069032,5821026000.0,0.282524678270968,6.60323708153524,4.33333333333333,0.788870586990672,0.0987365103752692,51.9055470214316,0.0297934356307744
8,2018,4,2018-12-31 00:00:00+00:00,12315497000.0,4638232000.0,13660893000.0,262902000.0,10666533000.0,2641183000.0,576400000.0,294094000.0,228327000.0,400988000.0,-47708000.0,924991000.0,851134000.0,851134000.0,0.0,17664202000.0,16739211000.0,1648964000.0,0.0,2185162000.0,5214632000.0,360011000.0,0.0,5766000.0,112079739.0,5222915000.0,3407000.0,42772000.0,-279508000.0,317381000.0,0.0,-3071000.0,161094000.0,0.0,-97098000.0,0.0,-80855000.0,-59225000.0,-274609000.0,-1800000.0,112703000.0,249942000.0,88848000.0,0.23,147122000.0,214006000.0,0.23,32871000.0,4873000.0,66884000.0,6795000.0,26076000.0,55977000.0,112234000.0,30949000.0,542370000.0,0.0,756376000.0,26076000.0,0.0,0.0,0.0,4.0,-0.004321675909849,0.282936000084614,0.560952816435046,5348705000.0,0.282936000084614,6.74855247476977,0.210526315789474,0.888054276203997,0.0979199950335561,47.7223184825582,0.0292708110180035
10,2018,3,2018-09-30 00:00:00+00:00,12186094000.0,4487364000.0,13557414000.0,268630000.0,10451306000.0,2780428000.0,728200000.0,308582000.0,215183000.0,561872000.0,-55074000.0,1207190000.0,906687000.0,906687000.0,0.0,17671955000.0,16464765000.0,1734788000.0,0.0,2250392000.0,5215564000.0,249059000.0,0.0,64991000.0,111974139.0,5353572000.0,2951000.0,348727000.0,-234220000.0,563961000.0,0.0,310000.0,164311000.0,0.0,-268589000.0,0.0,-76095000.0,61152000.0,-215234000.0,-192804000.0,112533000.0,619348000.0,455037000.0,2.81,146871000.0,580178000.0,2.8,399345000.0,4873000.0,433307000.0,84333000.0,315012000.0,55692000.0,112148000.0,319885000.0,687856000.0,0.0,1268034000.0,315012000.0,0.0,0.0,0.0,6.0,0.0715882912681418,0.457541359301091,0.695871772228076,5485861000.0,0.457541359301091,11.3243469547911,0.137651821862348,0.838199990585725,0.0980838271124434,48.9922141754535,0.0292866392383358
11,2018,2,2018-06-30 00:00:00+00:00,12332739000.0,4191525000.0,13450379000.0,257040000.0,10093854000.0,2465402000.0,1216249000.0,310961000.0,208140000.0,525171000.0,-56624000.0,1118711000.0,873643000.0,873643000.0,0.0,17492173000.0,16373462000.0,2238885000.0,0.0,2100275000.0,5407774000.0,338106000.0,0.0,3839000.0,111933168.0,5032019000.0,2652000.0,-79212000.0,-318003000.0,228930000.0,0.0,534000.0,161984000.0,0.0,77472000.0,0.0,-76039000.0,-11601000.0,-308142000.0,164349000.0,112471000.0,427178000.0,265194000.0,1.49,152870000.0,395032000.0,1.48,210777000.0,4874000.0,242162000.0,44039000.0,166738000.0,54417000.0,112115000.0,171612000.0,579091000.0,0.0,974123000.0,166738000.0,0.0,0.0,0.0,6.0,0.0312686920315439,0.405525790890883,0.499673274866731,5159434000.0,0.405525790890883,8.70271982295721,-0.00666666666666671,0.832970821453576,0.0910547685203732,46.0938798766064,0.0273598199374464
