,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,34238000000.0,21243000000.0,38320000000.0,4046000000.0,28796000000.0,5345000000.0,2893000000.0,351000000.0,298000000.0,1124000000.0,-3927000000.0,2695000000.0,0.0,0.0,0.0,47924000000.0,45229000000.0,5442000000.0,0.0,3784000000.0,24136000000.0,864000000.0,0.0,746000000.0,768783540.0,13686000000.0,5000000.0,176000000.0,-785000000.0,948000000.0,17000000.0,-1000000.0,341000000.0,0.0,-712000000.0,-7000000.0,-320000000.0,-532000000.0,-772000000.0,-394000000.0,769660000.0,1080000000.0,739000000.0,0.37,0.0,687000000.0,0.37,490000000.0,0.0,687000000.0,209000000.0,281000000.0,249000000.0,768786000.0,281000000.0,1198000000.0,0.0,1885000000.0,281000000.0,0.0,0.0,0.0,5.0,-0.024831867563373,0.364456233421751,0.495222344726204,13686000000.0,0.364456233421751,2.45192554460778,-0.439393939393939,1.55217010083297,0.116536384577622,17.8021501344839,0.0331023534207195
1,2020-06-30 00:00:00+00:00,2,2020,33476000000.0,21098000000.0,36785000000.0,3816000000.0,28308000000.0,5383000000.0,2886000000.0,333000000.0,267000000.0,1053000000.0,-4602000000.0,3268000000.0,0.0,0.0,0.0,46520000000.0,43252000000.0,5168000000.0,0.0,3478000000.0,23984000000.0,804000000.0,0.0,1278000000.0,768763491.0,13044000000.0,6000000.0,-143000000.0,-740000000.0,607000000.0,-7000000.0,13000000.0,336000000.0,0.0,505000000.0,9000000.0,-319000000.0,365000000.0,-750000000.0,830000000.0,769408000.0,1007000000.0,671000000.0,0.45,0.0,595000000.0,0.45,418000000.0,0.0,595000000.0,74000000.0,344000000.0,253000000.0,768768000.0,344000000.0,1144000000.0,0.0,1739000000.0,344000000.0,0.0,0.0,0.0,4.0,-0.0354963948973932,0.342150661299597,0.632352941176471,13044000000.0,0.342150661299597,2.26207412339252,-0.262295081967213,1.61744863538792,0.135761460002345,16.9675071107142,0.0379491717052549
2,2020-03-31 00:00:00+00:00,1,2020,33087000000.0,20670000000.0,36835000000.0,3926000000.0,27765000000.0,5360000000.0,2866000000.0,320000000.0,265000000.0,1164000000.0,-4366000000.0,2956000000.0,0.0,0.0,0.0,46328000000.0,43372000000.0,5322000000.0,0.0,3440000000.0,23536000000.0,833000000.0,0.0,915000000.0,721840206.0,13241000000.0,6000000.0,-134000000.0,-833000000.0,692000000.0,1000000.0,20000000.0,329000000.0,0.0,240000000.0,0.0,-317000000.0,100000000.0,-826000000.0,545000000.0,768738000.0,1271000000.0,942000000.0,0.72,0.0,817000000.0,0.72,694000000.0,0.0,817000000.0,140000000.0,554000000.0,248000000.0,767948000.0,554000000.0,1237000000.0,0.0,2054000000.0,554000000.0,0.0,0.0,0.0,7.0,-0.012025012025012,0.397760467380721,0.5554302893649,13241000000.0,0.397760467380721,2.84550511723643,0.107692307692308,1.56106034287441,0.146377476704511,18.3433949646191,0.0405817304766804
3,2019-12-31 00:00:00+00:00,4,2019,32689000000.0,20721000000.0,36482000000.0,3940000000.0,27789000000.0,5127000000.0,2323000000.0,332000000.0,261000000.0,1191000000.0,-4358000000.0,2767000000.0,0.0,0.0,0.0,45680000000.0,42913000000.0,4900000000.0,0.0,3311000000.0,23044000000.0,956000000.0,0.0,815000000.0,723033043.0,12991000000.0,12000000.0,-347000000.0,-886000000.0,539000000.0,20000000.0,1118000000.0,330000000.0,0.0,473000000.0,6000000.0,-299000000.0,146000000.0,-886000000.0,-344000000.0,754985000.0,1023000000.0,693000000.0,0.48,0.0,693000000.0,0.48,445000000.0,0.0,693000000.0,81000000.0,364000000.0,248000000.0,748969000.0,364000000.0,1261000000.0,0.0,1954000000.0,364000000.0,0.0,0.0,0.0,6.0,0.00773594636410513,0.354657113613101,0.56469387755102,12991000000.0,0.354657113613101,2.7025044275881,-0.157894736842105,1.59502732661073,0.142391127059207,17.9673669492308,0.0390145801910508
5,2019-09-30 00:00:00+00:00,3,2019,32657000000.0,21547000000.0,35108000000.0,3759000000.0,28817000000.0,5080000000.0,1387000000.0,295000000.0,262000000.0,1055000000.0,-4272000000.0,2534000000.0,0.0,0.0,0.0,44559000000.0,42025000000.0,3840000000.0,0.0,3294000000.0,22934000000.0,846000000.0,0.0,670000000.0,722247303.0,11902000000.0,5000000.0,95000000.0,-715000000.0,818000000.0,-6000000.0,14000000.0,335000000.0,0.0,165000000.0,2000000.0,-299000000.0,262000000.0,-723000000.0,456000000.0,731151000.0,1187000000.0,852000000.0,0.66,0.0,726000000.0,0.65,593000000.0,0.0,726000000.0,118000000.0,475000000.0,259000000.0,722259000.0,475000000.0,1207000000.0,0.0,1933000000.0,475000000.0,0.0,0.0,0.0,5.0,0.0325854700854702,0.375581996896017,0.659895833333333,11902000000.0,0.375581996896017,2.6763685955917,0.0476190476190477,1.81036800537725,0.150647608668315,16.479120033488,0.0406731324196779
6,2019-06-30 00:00:00+00:00,2,2019,32221000000.0,20965000000.0,35130000000.0,3849000000.0,28158000000.0,4903000000.0,1772000000.0,286000000.0,265000000.0,1087000000.0,-3996000000.0,2231000000.0,0.0,0.0,0.0,44204000000.0,41973000000.0,4063000000.0,0.0,3222000000.0,22737000000.0,830000000.0,0.0,406000000.0,721742302.0,11983000000.0,5000000.0,-149000000.0,-757000000.0,596000000.0,-7000000.0,13000000.0,309000000.0,0.0,56000000.0,4000000.0,-298000000.0,-112000000.0,-745000000.0,351000000.0,730915000.0,1080000000.0,771000000.0,0.61,0.0,640000000.0,0.6,525000000.0,0.0,640000000.0,84000000.0,441000000.0,246000000.0,721785000.0,441000000.0,1163000000.0,0.0,1803000000.0,441000000.0,0.0,0.0,0.0,5.0,-0.0243506493506493,0.354963948973932,0.549101649027812,11983000000.0,0.354963948973932,2.49812155253164,-0.175675675675676,1.74956187932905,0.148502994011976,16.6028788485783,0.040340393472938
7,2019-03-31 00:00:00+00:00,1,2019,32395000000.0,21114000000.0,35307000000.0,3988000000.0,28334000000.0,4761000000.0,1630000000.0,274000000.0,260000000.0,1205000000.0,-3647000000.0,2429000000.0,0.0,0.0,0.0,44567000000.0,42138000000.0,4061000000.0,0.0,3178000000.0,22744000000.0,823000000.0,0.0,518000000.0,699127940.0,12172000000.0,14000000.0,-255000000.0,-722000000.0,474000000.0,3000000.0,22000000.0,306000000.0,0.0,142000000.0,2000000.0,-296000000.0,-103000000.0,-729000000.0,424000000.0,729953000.0,1139000000.0,833000000.0,0.65,0.0,781000000.0,0.64,592000000.0,0.0,781000000.0,126000000.0,466000000.0,241000000.0,721023000.0,466000000.0,1298000000.0,0.0,2079000000.0,466000000.0,0.0,0.0,0.0,6.0,-0.022107243650047,0.375661375661376,0.59812853976853,12172000000.0,0.375661375661376,2.97370464124206,0.0,1.73463687150838,0.157175787586442,17.4102611318895,0.0423620099519659
8,2018-12-31 00:00:00+00:00,4,2018,31739000000.0,20069000000.0,34458000000.0,3878000000.0,27176000000.0,4593000000.0,1960000000.0,303000000.0,257000000.0,1159000000.0,-3964000000.0,2432000000.0,0.0,0.0,0.0,43396000000.0,40964000000.0,4563000000.0,0.0,3032000000.0,22029000000.0,989000000.0,0.0,621000000.0,720199922.0,11657000000.0,5000000.0,-283000000.0,-895000000.0,611000000.0,-9000000.0,20000000.0,299000000.0,0.0,72000000.0,3000000.0,-287000000.0,-221000000.0,-894000000.0,339000000.0,727561000.0,1055000000.0,756000000.0,0.57,0.0,657000000.0,0.57,511000000.0,0.0,657000000.0,96000000.0,415000000.0,245000000.0,720405000.0,415000000.0,1282000000.0,0.0,1939000000.0,415000000.0,0.0,0.0,0.0,5.0,0.00674974039460019,0.338834450747808,0.532982686828841,11657000000.0,0.338834450747808,2.69230798389339,4.18181818181818,1.72162649052072,0.159368457780879,16.1857834802709,0.0425735191312858
10,2018-09-30 00:00:00+00:00,3,2018,31259000000.0,19924000000.0,34018000000.0,3942000000.0,26876000000.0,4423000000.0,1879000000.0,295000000.0,265000000.0,1095000000.0,-3648000000.0,2545000000.0,0.0,0.0,0.0,43042000000.0,40497000000.0,4383000000.0,0.0,2965000000.0,21803000000.0,814000000.0,0.0,842000000.0,699570660.0,11783000000.0,5000000.0,68000000.0,-817000000.0,885000000.0,-2000000.0,531000000.0,297000000.0,0.0,-77000000.0,3000000.0,-288000000.0,-11000000.0,-817000000.0,-316000000.0,710517000.0,1089000000.0,792000000.0,0.63,0.0,686000000.0,0.62,548000000.0,0.0,686000000.0,103000000.0,445000000.0,244000000.0,703730000.0,445000000.0,1186000000.0,0.0,1872000000.0,445000000.0,0.0,0.0,0.0,6.0,0.0146341463414634,0.366452991452991,0.580652521104266,11783000000.0,0.366452991452991,2.67592697498206,0.211538461538461,1.69091063396419,0.132562277580071,16.8431877917807,0.0351127319001526
11,2018-06-30 00:00:00+00:00,2,2018,31590000000.0,20217000000.0,33823000000.0,4002000000.0,27142000000.0,4266000000.0,2067000000.0,288000000.0,271000000.0,1128000000.0,-3495000000.0,2600000000.0,0.0,0.0,0.0,42830000000.0,40230000000.0,4448000000.0,0.0,2892000000.0,22284000000.0,804000000.0,0.0,852000000.0,699042874.0,11240000000.0,1000000.0,-18000000.0,-896000000.0,759000000.0,-5000000.0,47000000.0,286000000.0,0.0,364000000.0,-65000000.0,-285000000.0,222000000.0,-777000000.0,609000000.0,700976000.0,1178000000.0,892000000.0,0.74,0.0,658000000.0,0.73,657000000.0,0.0,658000000.0,142000000.0,515000000.0,235000000.0,699006000.0,515000000.0,1190000000.0,0.0,1848000000.0,515000000.0,0.0,0.0,0.0,6.0,0.0713043478260869,0.356060606060606,0.584532374100719,11240000000.0,0.356060606060606,2.64361467477029,0.720930232558139,1.79866548042705,0.12765278442636,16.0791282166764,0.0334418201904989
