,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,115.45,115.71,114.53,115.17,2188079,100.3061658802,100.5320611,99.5068443331,100.062894105,2188079,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,115.49,115.91,114.98,115.26,1439517,100.3409189909,100.7058266537,99.8978168289,100.1410886041,1439517,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,116.51,117.51,115.8,116.04,1823696,101.2271233148,102.0959510834,100.6102555992,100.8187742636,1823696,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,117.68,117.75,116.21,116.84,1638673,102.2436518041,102.3044697479,100.9664749843,101.5138364785,1638673,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,117.61,117.83,117.17,117.78,1444620,102.1828338603,102.3739759693,101.8005496421,102.3305345809,1444620,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,119.0,119.7,117.79,118.0,2533360,103.3905044586,103.9986838965,102.3392228586,102.52167669,2533360,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,121.51,122.94,118.95,119.2,2571886,105.5712621576,106.8136858667,103.3470630701,103.5642700123,2571886,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,123.72,123.78,122.1,122.66,1878789,107.4913715262,107.5435011923,106.0838705411,106.5704140915,1878789,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,124.12,125.0,123.68,124.24,1365346,107.8389026336,108.6034710699,107.4566184154,107.9431619658,1365346,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,122.09,124.11,121.54,122.68,1897520,106.0751822634,107.8302143559,105.5973269907,106.5877906468,1897520,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,123.44,123.86,121.94,122.82,1287817,107.248099751,107.6130074137,105.9448580981,106.7094265344,1287817,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,123.31,124.45,123.23,123.83,1701428,107.135152141,108.1256157972,107.0656459196,107.5869425807,1701428,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,124.13,124.39,123.27,123.88,3133621,107.8475909113,108.0734861311,107.1003990303,107.6303839691,3133621,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,124.33,124.47,123.2,124.27,1505448,108.021356465,108.1429923526,107.0395810865,107.9692267989,1505448,0.0,1.0,45801055141.1481,59781055141.1481,6.8350742166,0.9670693988,0.0058659219
14,2018-01-23 00:00:00+00:00,124.2,124.55,123.08,124.33,1786702,107.9084088551,108.2124985741,106.9353217543,108.021356465,1786702,0.0,1.0,45753165354.545,59733165354.545,6.8279274327,0.9660582268,0.0058597885
15,2018-01-24 00:00:00+00:00,124.83,125.96,124.39,124.98,2002400,108.4557703493,109.4375457277,108.0734861311,108.5860945145,2002400,0.0,1.0,45985246628.0824,59965246628.0824,6.8625618472,0.9709585221,0.005889512
16,2018-01-25 00:00:00+00:00,124.4,125.4,124.27,125.32,1490549,108.0821744088,108.9510021773,107.9692267989,108.8814959558,1490549,0.0,1.0,45826841949.3189,59806841949.3189,6.8389224849,0.9676138761,0.0058692245
17,2018-01-26 00:00:00+00:00,126.02,126.02,124.48,124.75,1373252,109.4896753938,109.4896753938,108.1516806303,108.3862641278,1373252,0.0,1.0,46423622366.9869,60403622366.9869,6.9279824079,0.9802146356,0.0059456565
18,2018-01-29 00:00:00+00:00,125.37,127.14,125.17,125.85,1577245,108.9249373443,110.4627624946,108.7511717906,109.3419746732,1577245,0.0,1.0,46184173433.9718,60164173433.9718,6.8922484882,0.9751587753,0.0059149894
19,2018-01-30 00:00:00+00:00,121.39,124.13,121.18,123.59,2386207,105.4670028254,107.8475909113,105.284548994,107.3784239162,2386207,0.0,1.0,44718009197.9726,58698009197.9726,6.6734469489,0.9442013539,0.0057272119
20,2018-01-31 00:00:00+00:00,118.82,121.97,118.47,121.64,3041528,103.2341154602,105.9709229312,102.9300257412,105.6842097675,3041528,0.0,1.0,43771264955.129,57751264955.129,6.5321605278,0.9242112601,0.0056059587
21,2018-02-01 00:00:00+00:00,120.52,120.59,118.38,118.58,1994369,104.7111226668,104.7719406106,102.851831242,103.0255967958,1994369,0.0,1.0,44397516010.7067,58377516010.7067,6.6256184717,0.9374342793,0.0056861651
22,2018-02-02 00:00:00+00:00,117.33,120.38,116.96,119.68,1993116,101.9395620851,104.5894867792,101.6180958107,103.9813073412,1993116,0.0,1.0,43222374324.0642,57202374324.0642,6.4502473887,0.9126216727,0.0055356601
23,2018-02-05 00:00:00+00:00,110.79,116.89,110.62,115.94,2594494,96.2574284787,101.5572778669,96.109727758,100.7318914868,2594494,0.0,1.0,40813149674.96,54793149674.96,6.0907091809,0.86175194,0.0052271012
24,2018-02-06 00:00:00+00:00,110.99,111.7,106.51,107.72,4129478,96.4311940324,97.0480617481,92.5388456292,93.5901272292,4129478,0.0,1.0,40886826269.7338,54866826269.7338,6.1017042331,0.8633075893,0.0052365372
25,2018-02-07 00:00:00+00:00,111.17,112.51,109.7,110.22,2260554,96.5875830307,97.7518122406,95.3104062109,95.7621966506,2260554,0.0,1.0,40953135205.0303,54933135205.0303,6.1115997801,0.8647076737,0.0052450297
26,2018-02-08 00:00:00+00:00,103.38,111.97,103.26,111.25,4378254,89.8194147137,97.2826452456,89.7151553814,96.6570892522,4378254,0.0,1.0,38083431838.5898,52063431838.5898,5.6833424959,0.8041151327,0.0048774954
