,year,quarter,date,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.debt,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.costRev,statementData.incomeStatement.eps,statementData.incomeStatement.netinc,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebitda,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebt,statementData.incomeStatement.revenue,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,0.0,911589000000.0,0.0,30001000000.0,0.0,679389000000.0,0.0,20658000000.0,0.0,0.0,30372000000.0,0.0,12111000000.0,0.0,33398000000.0,395000000.0,66217000000.0,844699000000.0,-439000000.0,-1319000000.0,1454000000.0,-598000000.0,33000000.0,-390000000.0,0.0,0.0,65000000.0,-598000000.0,116000000.0,-291000000.0,-493000000.0,379000000.0,1487000000.0,10017000000.0,3.72,1487000000.0,3.7,1437000000.0,0.0,1502000000.0,395000000.0,20000000.0,0.0,3961000000.0,3961000000.0,5408000000.0,1437000000.0,15425000000.0,0.0,-50000000.0,1507000000.0,1447000000.0,0.0,-7.22776350757803e-05,2.0,66890000000.0,0.0720461095100864,39.0506329113924,0.350599675850891,0.504371989066252,0.0211850380668652,169.341772151899,0.350599675850891,-0.00101691202928707
1,2020,2,2020-06-30 00:00:00+00:00,0.0,915387000000.0,0.0,30837000000.0,0.0,686045000000.0,0.0,21149000000.0,0.0,0.0,29326000000.0,0.0,13261000000.0,0.0,32977000000.0,395000000.0,65897000000.0,848879000000.0,-438000000.0,-7215000000.0,0.0,-1287000000.0,13000000.0,-7569000000.0,0.0,0.0,54000000.0,-1287000000.0,28000000.0,-1121000000.0,-10500000000.0,-1672000000.0,-2409000000.0,10813000000.0,-6.12,-2409000000.0,-6.12,-2294000000.0,0.0,-2240000000.0,395000000.0,4000000.0,0.0,3634000000.0,3634000000.0,1302000000.0,-2294000000.0,12115000000.0,0.0,115000000.0,-2405000000.0,-2332000000.0,0.0,-0.000150086369665529,2.0,66508000000.0,-4.53757225433526,30.6708860759494,0.107470078415188,0.500432493133223,-0.212698206394593,168.374683544304,0.107470078415188,-0.00209984447047485
2,2020,1,2020-03-31 00:00:00+00:00,0.0,873712000000.0,0.0,22600000000.0,0.0,657743000000.0,0.0,31646000000.0,0.0,0.0,32176000000.0,0.0,11117000000.0,0.0,34496000000.0,397000000.0,60447000000.0,812640000000.0,-448000000.0,-6868000000.0,0.0,14766000000.0,-440000000.0,-5780000000.0,0.0,0.0,329000000.0,14766000000.0,-22000000.0,2222000000.0,15323000000.0,6359000000.0,-271000000.0,9321000000.0,-0.7,-271000000.0,-0.7,-329000000.0,0.0,0.0,397000000.0,1000000.0,0.0,4481000000.0,4481000000.0,4143000000.0,-329000000.0,13464000000.0,0.0,-58000000.0,-270000000.0,-338000000.0,0.0,0.00338044289694777,5.0,61072000000.0,-1.31111111111111,33.9143576826196,0.30770944741533,0.570681754264066,-0.107812603538533,153.833753148615,0.30770944741533,0.0475340610309935
3,2019,4,2019-12-31 00:00:00+00:00,0.0,896552000000.0,0.0,24039000000.0,0.0,652491000000.0,0.0,16327000000.0,0.0,0.0,32991000000.0,0.0,11378000000.0,0.0,31534000000.0,402000000.0,63115000000.0,832833000000.0,-404000000.0,-1936000000.0,-1755000000.0,3985000000.0,-534000000.0,-3912000000.0,0.0,0.0,108000000.0,3985000000.0,-40000000.0,-196000000.0,-1959000000.0,-1992000000.0,1128000000.0,13527000000.0,2.78,1128000000.0,2.76,1349000000.0,0.0,1457000000.0,402000000.0,10000000.0,0.0,4352000000.0,4352000000.0,5696000000.0,1349000000.0,19223000000.0,0.0,221000000.0,1138000000.0,1344000000.0,0.0,0.00477672981721819,6.0,63719000000.0,0.376237623762376,47.818407960199,0.296311709930812,0.499627663788323,0.0429144965277777,158.504975124378,0.296311709930812,0.0681806151077233
5,2019,3,2019-09-30 00:00:00+00:00,0.0,885626000000.0,0.0,27558000000.0,0.0,523504000000.0,0.0,18289000000.0,0.0,0.0,32269000000.0,0.0,12664000000.0,0.0,31115000000.0,402000000.0,65798000000.0,819312000000.0,-410000000.0,-5494000000.0,0.0,7316000000.0,-925000000.0,-5079000000.0,0.0,0.0,441000000.0,7316000000.0,29000000.0,863000000.0,2863000000.0,597000000.0,1418000000.0,9495000000.0,3.47,1418000000.0,3.44,1750000000.0,0.0,2191000000.0,402000000.0,7000000.0,0.0,3885000000.0,3885000000.0,5610000000.0,1750000000.0,15105000000.0,0.0,332000000.0,1425000000.0,1725000000.0,0.0,0.00455627037726211,6.0,66314000000.0,-0.125944584382871,37.5746268656716,0.371400198609732,0.472886713881881,-0.064590042110478,164.960199004975,0.371400198609732,0.0675076270636346
6,2019,2,2019-06-30 00:00:00+00:00,0.0,873825000000.0,0.0,23982000000.0,0.0,512012000000.0,0.0,15421000000.0,0.0,0.0,31263000000.0,0.0,11485000000.0,0.0,31487000000.0,406000000.0,61660000000.0,811672000000.0,-407000000.0,-2910000000.0,0.0,5239000000.0,-460000000.0,-2738000000.0,0.0,0.0,-109000000.0,5239000000.0,29000000.0,-445000000.0,725000000.0,-1805000000.0,708000000.0,10592000000.0,1.73,708000000.0,1.71,870000000.0,0.0,761000000.0,406000000.0,30000000.0,0.0,3920000000.0,3920000000.0,4796000000.0,870000000.0,15388000000.0,0.0,162000000.0,738000000.0,876000000.0,0.0,0.00494380350939831,6.0,62153000000.0,2.76086956521739,37.9014778325123,0.311671432284897,0.510655205968213,0.0500170590242237,153.086206896552,0.311671432284897,0.0783729222874177
7,2019,1,2019-03-31 00:00:00+00:00,0.0,849324000000.0,0.0,17218000000.0,0.0,494403000000.0,0.0,14699000000.0,0.0,0.0,30966000000.0,0.0,10031000000.0,0.0,31956000000.0,409000000.0,55010000000.0,793874000000.0,-420000000.0,-5543000000.0,0.0,3085000000.0,-448000000.0,-5299000000.0,0.0,0.0,20000000.0,3085000000.0,-2000000.0,1510000000.0,-650000000.0,1566000000.0,932000000.0,10360000000.0,2.25,932000000.0,2.22,1164000000.0,0.0,1184000000.0,409000000.0,5000000.0,0.0,3591000000.0,3591000000.0,4731000000.0,1164000000.0,15091000000.0,0.0,232000000.0,937000000.0,1140000000.0,0.0,0.00440639731963314,6.0,55450000000.0,-0.294670846394984,36.8973105134474,0.31349811145716,0.580912561352481,0.0969688158755542,135.574572127139,0.31349811145716,0.0733795270515248
8,2018,4,2018-12-31 00:00:00+00:00,0.0,815078000000.0,0.0,10906000000.0,0.0,479245000000.0,0.0,15353000000.0,0.0,0.0,30470000000.0,0.0,7936000000.0,0.0,30734000000.0,413000000.0,48617000000.0,766047000000.0,-374000000.0,-8993000000.0,0.0,11396000000.0,-363000000.0,-8687000000.0,0.0,0.0,116000000.0,11396000000.0,210000000.0,96000000.0,2891000000.0,-28000000.0,842000000.0,13650000000.0,2.02,842000000.0,1.99,1060000000.0,0.0,1176000000.0,413000000.0,7000000.0,0.0,3729000000.0,3729000000.0,4782000000.0,1060000000.0,18432000000.0,0.0,218000000.0,849000000.0,1053000000.0,0.0,0.00495716475485062,5.0,49031000000.0,-0.768613974799542,44.6295399515738,0.259440104166667,0.632165703354794,0.133230863818014,118.719128329298,0.259440104166667,0.0833964504309021
10,2018,3,2018-09-30 00:00:00+00:00,0.0,822748000000.0,0.0,9150000000.0,0.0,464972000000.0,0.0,12466000000.0,0.0,0.0,30005000000.0,0.0,7014000000.0,0.0,29920000000.0,417000000.0,46725000000.0,775666000000.0,-378000000.0,-6389000000.0,0.0,3593000000.0,-340000000.0,-6452000000.0,0.0,0.0,-3000000.0,3593000000.0,3000000.0,1015000000.0,-2456000000.0,400000000.0,1672000000.0,10787000000.0,3.97,1672000000.0,3.9,1856000000.0,0.0,1853000000.0,417000000.0,3000000.0,0.0,3523000000.0,3523000000.0,5361000000.0,1856000000.0,16148000000.0,0.0,184000000.0,1675000000.0,1838000000.0,0.0,0.00846986506864591,5.0,47082000000.0,-0.235067437379576,38.7242206235012,0.331991577904384,0.640342429106474,-0.0101146325016858,112.906474820144,0.331991577904384,0.139227849549554
11,2018,2,2018-06-30 00:00:00+00:00,0.0,819860000000.0,0.0,11655000000.0,0.0,464519000000.0,0.0,14918000000.0,0.0,0.0,28713000000.0,0.0,7888000000.0,0.0,29265000000.0,420000000.0,48232000000.0,771268000000.0,-381000000.0,-4216000000.0,0.0,4374000000.0,-347000000.0,-4216000000.0,0.0,0.0,70000000.0,4374000000.0,-375000000.0,184000000.0,-697000000.0,-480000000.0,197000000.0,10946000000.0,0.46,197000000.0,0.46,265000000.0,0.0,335000000.0,420000000.0,3000000.0,0.0,3459000000.0,3459000000.0,3709000000.0,265000000.0,14655000000.0,0.0,68000000.0,200000000.0,250000000.0,0.0,0.00915948993642977,4.0,48592000000.0,-0.592920353982301,34.8928571428571,0.25308768338451,0.606754851550838,0.090320660665129,115.695238095238,0.25308768338451,0.14780794543438
