,year,quarter,date,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,-867950000.0,0.0,-62344000.0,0.0,9947322000.0,0.0,293955000.0,8434127000.0,0.0,204700000.0,11385148000.0,0.0,0.0,769923000.0,0.0,2933094000.0,174802792.0,2499570000.0,-974237000.0,1819000.0,-403728000.0,-1399022000.0,-164000.0,-76880000.0,-103317000.0,2649000.0,138333000.0,528266000.0,-505000.0,8734000.0,0.0,451386000.0,246916000.0,21288000.0,324867000.0,477482000.0,77951000.0,217461000.0,174626000.0,353575000.0,513196000.0,339149000.0,1.41,0.0,730657000.0,980000.0,0.0,324867000.0,14282000.0,0.0,1.41,174503000.0,325847000.0,159621000.0,0.0965957543275992,3.0,8452054000.0,-0.27319587628866,4.17989319072203,0.702376080705447,0.296363808607577,0.00181123652198711,48.3519393671927,0.702376080705447,0.127699198545062
1,2020,2,2020-06-30 00:00:00+00:00,-789089000.0,0.0,-73136000.0,0.0,9969870000.0,0.0,1268475000.0,8992691000.0,0.0,206922000.0,12358055000.0,0.0,0.0,753358000.0,0.0,3347857000.0,174792745.0,2457871000.0,550817000.0,1923000.0,-402786000.0,146682000.0,-59000.0,-83445000.0,-134930000.0,4860000.0,137618000.0,539124000.0,-503000.0,7124000.0,10803000.0,455679000.0,246119000.0,20294000.0,314923000.0,466686000.0,68804000.0,225607000.0,174575000.0,325766000.0,483678000.0,329068000.0,1.41,0.0,709285000.0,889000.0,0.0,314923000.0,14145000.0,0.0,1.41,174493000.0,315812000.0,157912000.0,0.104240246757887,3.0,9010198000.0,-0.198863636363636,4.05786292789212,0.68192334534073,0.273318742965815,-0.00234193684506645,51.5478946222854,0.68192334534073,0.136581459910445
2,2020,1,2020-03-31 00:00:00+00:00,-701226000.0,0.0,-78005000.0,0.0,9959530000.0,0.0,718427000.0,9013078000.0,0.0,209440000.0,11825921000.0,0.0,0.0,763226000.0,0.0,2795713000.0,174758632.0,2438668000.0,308574000.0,1763000.0,-401807000.0,135497000.0,31000.0,-105120000.0,-289904000.0,1399000.0,135900000.0,462950000.0,544654000.0,5677000.0,0.0,357830000.0,313134000.0,21064000.0,366156000.0,515677000.0,53022000.0,218870000.0,174616000.0,340248000.0,497212000.0,379777000.0,1.8,0.0,716082000.0,980000.0,0.0,366156000.0,13621000.0,0.0,1.79,174446000.0,367136000.0,156964000.0,0.112353425637144,3.0,9030208000.0,0.0404624277456649,4.09754866929835,0.694350646992942,0.27056994292072,0.039248923861964,51.6724575871022,0.694350646992942,0.144210214655312
3,2019,4,2019-12-31 00:00:00+00:00,-665575000.0,0.0,-64890000.0,0.0,9807605000.0,0.0,409743000.0,9062911000.0,0.0,205936000.0,11365444000.0,0.0,0.0,767816000.0,0.0,2285777000.0,174680496.0,1902493000.0,-131138000.0,555000.0,-401368000.0,-404350000.0,-104000.0,-117188000.0,-226673000.0,0.0,134885000.0,499989000.0,-488000.0,6345000.0,11630000.0,382801000.0,327251000.0,20308000.0,386015000.0,533547000.0,58764000.0,172584000.0,174590000.0,389722000.0,544915000.0,398662000.0,1.87,0.0,717499000.0,1082000.0,0.0,386015000.0,12647000.0,0.0,1.87,174383000.0,387097000.0,155193000.0,0.113722125718924,3.0,9079667000.0,-0.386885245901639,4.10749348914146,0.759464473121217,0.209920741801393,0.036159489356786,51.9787108916842,0.759464473121217,0.142703677487157
5,2019,3,2019-09-30 00:00:00+00:00,-650222000.0,0.0,-78513000.0,0.0,9718516000.0,0.0,541357000.0,8774135000.0,0.0,211476000.0,11413861000.0,0.0,0.0,771167000.0,0.0,2624897000.0,174597753.0,1892435000.0,180861000.0,15619000.0,-399773000.0,-114100000.0,45000.0,-137410000.0,-257544000.0,324000.0,129233000.0,552460000.0,-484000.0,7114000.0,0.0,415050000.0,337362000.0,16908000.0,397942000.0,539772000.0,60580000.0,212262000.0,174611000.0,370933000.0,517074000.0,410539000.0,1.94,0.0,729336000.0,1478000.0,0.0,397942000.0,12597000.0,0.0,1.93,174334000.0,399420000.0,146141000.0,0.133147161776295,4.0,8788964000.0,0.0486486486486486,4.17723588916978,0.708965415117312,0.215683369357777,0.0325156292470781,50.3383568745011,0.708965415117312,0.165185581879152
6,2019,2,2019-06-30 00:00:00+00:00,-648391000.0,0.0,-67549000.0,0.0,9598487000.0,0.0,360331000.0,8768934000.0,0.0,210178000.0,11113291000.0,0.0,0.0,778523000.0,0.0,2318781000.0,174521922.0,1908110000.0,142428000.0,15797000.0,-403118000.0,-179280000.0,-4000.0,-107393000.0,-223641000.0,438000.0,126859000.0,545353000.0,496419000.0,5710000.0,0.0,437960000.0,306411000.0,15264000.0,370056000.0,509169000.0,63645000.0,207736000.0,174542000.0,361091000.0,503214000.0,382310000.0,1.76,0.0,710950000.0,1400000.0,0.0,370056000.0,12254000.0,0.0,1.76,174253000.0,371456000.0,142123000.0,0.133832695321009,4.0,8794510000.0,-0.12,4.07370026557466,0.707805049581546,0.217598855231434,0.0370838244389726,50.392007486601,0.707805049581546,0.162990187464906
7,2019,1,2019-03-31 00:00:00+00:00,-615329000.0,0.0,-65971000.0,0.0,9495670000.0,0.0,217973000.0,9069821000.0,0.0,210459000.0,10875016000.0,0.0,0.0,784314000.0,0.0,1780395000.0,174498758.0,1406150000.0,-142616000.0,1593000.0,-404490000.0,-423005000.0,50000.0,-109994000.0,-189493000.0,0.0,121941000.0,469832000.0,-467000.0,6664000.0,0.0,359838000.0,301743000.0,19503000.0,366521000.0,496605000.0,64778000.0,204201000.0,174376000.0,343393000.0,484837000.0,374664000.0,1.73,0.0,689038000.0,1157000.0,0.0,366521000.0,8143000.0,0.0,1.73,174177000.0,367678000.0,141444000.0,0.139008183018722,4.0,9094621000.0,0.0421686746987953,3.94866993838432,0.703643340425347,0.155036135773793,0.0285315946286444,52.1185428723796,0.703643340425347,0.16707235280208
8,2018,4,2018-12-31 00:00:00+00:00,-577360000.0,0.0,-64060000.0,0.0,9442111000.0,0.0,361218000.0,9119478000.0,0.0,209856000.0,10928270000.0,0.0,0.0,783988000.0,0.0,1783542000.0,174364490.0,1412283000.0,-71093000.0,4582000.0,-403281000.0,-402034000.0,-28000.0,-138735000.0,-161186000.0,50794000.0,121374000.0,492155000.0,-455000.0,18100000.0,0.0,353420000.0,530102000.0,28442000.0,586205000.0,715532000.0,56103000.0,160374000.0,174468000.0,382270000.0,532086000.0,594158000.0,3.05,0.0,692460000.0,1701000.0,0.0,586205000.0,7953000.0,0.0,3.04,174077000.0,587906000.0,149816000.0,0.138326387284341,5.0,9144728000.0,0.588541666666667,3.97133613615938,0.768399618750542,0.154864456057682,0.029974356991141,52.4460456369299,0.768399618750542,0.166351138774602
10,2018,3,2018-09-30 00:00:00+00:00,-760284000.0,0.0,-84339000.0,0.0,9348350000.0,0.0,432525000.0,8895091000.0,0.0,209317000.0,10747940000.0,0.0,0.0,619405000.0,0.0,1827918000.0,174240424.0,1417945000.0,93682000.0,6244000.0,-403246000.0,-399673000.0,-156000.0,-118224000.0,-98699000.0,1443000.0,124516000.0,592210000.0,-447000.0,18605000.0,91927000.0,473986000.0,322679000.0,27429000.0,378027000.0,510637000.0,55348000.0,195544000.0,174348000.0,358879000.0,510824000.0,386121000.0,1.85,0.0,706368000.0,1562000.0,0.0,378027000.0,8094000.0,0.0,1.85,173975000.0,379589000.0,151945000.0,0.120662500571054,6.0,8920022000.0,0.149068322981367,4.05398462528994,0.723169792516082,0.159407587848174,0.0291493834876981,51.1937574256592,0.723169792516082,0.145177845465834
11,2018,2,2018-06-30 00:00:00+00:00,-735065000.0,0.0,-84601000.0,0.0,9254989000.0,0.0,338419000.0,8895806000.0,0.0,207390000.0,10692962000.0,0.0,0.0,762247000.0,0.0,1772170000.0,174229383.0,1420834000.0,-24571000.0,732000.0,-403061000.0,-404235000.0,38000.0,-125221000.0,-141127000.0,0.0,119777000.0,520753000.0,-442000.0,17253000.0,0.0,395532000.0,348300000.0,31329000.0,403802000.0,531967000.0,55502000.0,190977000.0,174224000.0,343445000.0,494551000.0,412190000.0,2.0,0.0,685528000.0,1490000.0,0.0,403802000.0,8388000.0,0.0,2.0,173932000.0,405292000.0,151106000.0,0.116604614849131,5.0,8920792000.0,0.257861635220126,3.9346290975501,0.721416193065783,0.159719535250656,0.0319368007803562,51.2014210599598,0.721416193065783,0.140191876131144
