,date,quarter,year,statementData.balanceSheet.totalAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.acctRec,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.payDiv,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.sga,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.shareswa,statementData.incomeStatement.epsDil,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.rnd,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opex,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,31828810000.0,23500216000.0,8328594000.0,165225000.0,28297015000.0,1358961000.0,0.0,3531795000.0,18874751000.0,142432000.0,6929710000.0,0.0,25947026000.0,18180231000.0,0.0,0.0,421023000.0,3016788000.0,0.0,214667937.0,0.0,809471000.0,-869107000.0,4625465000.0,19539192000.0,1820038000.0,21107000.0,-76904000.0,0.0,-74444000.0,-1129903000.0,-181350000.0,-20209000.0,5340000.0,-857432000.0,-197216000.0,-1038782000.0,317139000.0,-811000.0,0.0,-1006967000.0,-6.29,0.0,246779000.0,-1346756000.0,-1087407000.0,-33688000.0,214163000.0,-6.29,259349000.0,-1346756000.0,7444000.0,-770268000.0,0.0,0.0,308609000.0,-1339312000.0,-342297000.0,214163000.0,664670000.0,0.0,-1346756000.0,3.0,-1.01057093995638,10.1607990976015,0.763554583160828,8328594000.0,10.1607990976015,-0.156930748349252,-2.49406175771971,2.18286916134944,-0.419006090487531,38.7975685442023,-0.129010667049183
1,2020-06-30 00:00:00+00:00,2,2020,33306543000.0,23757769000.0,8963905000.0,205921000.0,28622103000.0,1178049000.0,0.0,4684440000.0,19020861000.0,152596000.0,8276463000.0,0.0,26257137000.0,18322816000.0,0.0,0.0,661427000.0,4146691000.0,0.0,209385377.0,0.0,809384000.0,-951227000.0,4736908000.0,19500865000.0,1805874000.0,16192000.0,2928173000.0,2000.0,2753994000.0,255880000.0,-144593000.0,-20517000.0,-80862000.0,-2247533000.0,-250300000.0,-2392126000.0,319757000.0,-281000.0,-162858000.0,-1366312000.0,-7.83,0.0,301418000.0,-1639292000.0,-1420403000.0,175605000.0,209385000.0,-7.83,218889000.0,-1639292000.0,7444000.0,-1100646000.0,0.0,0.0,680420000.0,-1631848000.0,-504815000.0,209385000.0,861497000.0,0.0,-1639292000.0,2.0,-0.937432102759501,-2.87471882919051,0.988923576307583,9548774000.0,-2.87471882919051,0.838668881829317,-4.46460176991151,2.04406628584306,-0.177900659244382,45.6038245688953,-0.0607544645084407
2,2020-03-31 00:00:00+00:00,1,2020,33445053000.0,22635853000.0,10231775000.0,220876000.0,28850852000.0,3854433000.0,0.0,4594201000.0,13653483000.0,177705000.0,9915758000.0,0.0,26476654000.0,12857301000.0,0.0,0.0,1414394000.0,3890811000.0,0.0,209000016.0,0.0,809216000.0,-1095617000.0,8982370000.0,16711734000.0,2373092000.0,-7428000.0,4970738000.0,384000.0,4790212000.0,3647073000.0,-1247298000.0,-95443000.0,3160000.0,198710000.0,-1341177000.0,-1048588000.0,324330000.0,-672000.0,-163563000.0,-1306407000.0,-6.91,0.0,395890000.0,-1444479000.0,-1351568000.0,2032750000.0,209097000.0,-6.91,92911000.0,-1444479000.0,7444000.0,-1027238000.0,0.0,0.0,1510819000.0,-1437035000.0,521931000.0,209097000.0,1828338000.0,0.0,-1444479000.0,5.0,-0.166826176434061,0.256761038002706,0.511468688107927,10809200000.0,0.256761038002706,9.72607581044396,-6.80672268907563,1.25660513449524,0.0160943806606753,51.7186563277584,0.0059879208841249
3,2019-12-31 00:00:00+00:00,4,2019,30320284000.0,17586457000.0,12163846000.0,305821000.0,29157656000.0,2717742000.0,0.0,1162628000.0,9633561000.0,162107000.0,11523326000.0,0.0,26154363000.0,9015751000.0,0.0,0.0,563706000.0,243738000.0,0.0,209631168.0,0.0,1385644000.0,-797713000.0,7952896000.0,11733493000.0,3428138000.0,24674000.0,305538000.0,-99292000.0,44538000.0,-32992000.0,-682768000.0,19014000.0,-13507000.0,609298000.0,-689062000.0,-73470000.0,321762000.0,2234000.0,-163131000.0,299425000.0,1.31,0.0,414707000.0,273136000.0,367892000.0,2517413000.0,209631168.0,1.31,94756000.0,273136000.0,7338000.0,689654000.0,0.0,0.0,1481519000.0,280474000.0,1035894000.0,209097000.0,736469000.0,0.0,273136000.0,4.0,0.0793688293234878,0.411491479546662,0.146189262376875,12733827000.0,0.411491479546662,12.008772474139,-0.120805369127517,0.741192464948997,0.160081618419405,60.7439586464547,0.0633289526207242
5,2019-09-30 00:00:00+00:00,3,2019,29825461000.0,17285160000.0,11976907000.0,348991000.0,28621504000.0,1958319000.0,0.0,1203957000.0,10171626000.0,167213000.0,11412773000.0,0.0,25702865000.0,9439782000.0,0.0,0.0,538949000.0,276730000.0,0.0,209561071.0,0.0,1373065000.0,-946363000.0,7113534000.0,11398101000.0,3410205000.0,9282000.0,-223102000.0,1187000.0,-366012000.0,41729000.0,-475754000.0,-30675000.0,4345000.0,911541000.0,-502939000.0,435787000.0,320295000.0,-861000.0,-146346000.0,883124000.0,4.21,0.0,352725000.0,883240000.0,985278000.0,3186850000.0,209575000.0,4.2,102038000.0,883240000.0,7125000.0,1305573000.0,0.0,0.0,1623038000.0,890365000.0,1563812000.0,210121000.0,680688000.0,0.0,883240000.0,5.0,0.139712758839091,0.49070775216907,0.169248786889892,12540301000.0,0.49070775216907,15.2072614669926,0.0850515463917525,0.788165258359274,0.167484040748801,59.8407945720033,0.0662269229278529
6,2019-06-30 00:00:00+00:00,2,2019,29808962000.0,17713789000.0,11538403000.0,340921000.0,28525995000.0,2085337000.0,0.0,1282967000.0,10127649000.0,168009000.0,10692890000.0,0.0,25576028000.0,9566099000.0,0.0,0.0,531788000.0,235001000.0,0.0,209647874.0,0.0,1373124000.0,-653173000.0,7586140000.0,11651436000.0,3909454000.0,14652000.0,464878000.0,24000.0,318784000.0,-13196000.0,-1396025000.0,-54679000.0,4639000.0,1117073000.0,-1448957000.0,-278952000.0,311600000.0,-96000.0,-146380000.0,551872000.0,2.26,0.0,376874000.0,472830000.0,584134000.0,2806631000.0,209531000.0,2.25,111304000.0,472830000.0,7125000.0,895734000.0,0.0,0.0,1544504000.0,479955000.0,1262127000.0,210052000.0,710255000.0,0.0,472830000.0,5.0,0.200643821347062,0.449694669516584,0.169119868602478,12095173000.0,0.449694669516584,13.3873573170601,0.0272727272727271,0.829066119462113,0.16340873626654,57.6928006434256,0.0652520863751949
7,2019-03-31 00:00:00+00:00,1,2019,28720049000.0,16901334000.0,11269070000.0,374982000.0,27386927000.0,2846851000.0,0.0,1333122000.0,8795391000.0,157939000.0,10366612000.0,0.0,24418802000.0,8234701000.0,0.0,0.0,497180000.0,248197000.0,0.0,209186598.0,0.0,1378362000.0,-578980000.0,8105943000.0,11081552000.0,3729661000.0,27322000.0,-504913000.0,241000.0,-667681000.0,-39655000.0,-470116000.0,5125000.0,11824000.0,1078454000.0,-450448000.0,608338000.0,292285000.0,20000.0,-146817000.0,318831000.0,1.19,0.0,414947000.0,249681000.0,350096000.0,2439767000.0,209322000.0,1.19,100415000.0,249681000.0,7125000.0,642381000.0,0.0,0.0,1413704000.0,256806000.0,1026063000.0,209874000.0,707232000.0,0.0,249681000.0,5.0,0.203185689007948,0.420557782771879,0.164462296366999,11818715000.0,0.420557782771879,11.6631133319545,0.155339805825243,0.73073474563562,0.165630079365443,56.4984330401511,0.0684982401278734
8,2018-12-31 00:00:00+00:00,4,2018,27698270000.0,16050789000.0,11105461000.0,324507000.0,26456226000.0,2422329000.0,0.0,1242044000.0,8938624000.0,153573000.0,10263282000.0,0.0,23466163000.0,8355370000.0,0.0,0.0,488212000.0,287852000.0,0.0,208996396.0,0.0,1378353000.0,-627734000.0,7112165000.0,10777699000.0,3148837000.0,-17359000.0,577197000.0,58000.0,432319000.0,33031000.0,-1150901000.0,-44662000.0,62759000.0,732155000.0,-1130546000.0,-418746000.0,280168000.0,-897000.0,-146029000.0,364027000.0,1.49,0.0,327693000.0,315703000.0,413123000.0,2332301000.0,208996396.0,1.49,97420000.0,315703000.0,4750000.0,693291000.0,0.0,0.0,1360413000.0,320453000.0,971888000.0,209874000.0,607861000.0,0.0,315703000.0,5.0,0.163551707261831,0.416707792004548,0.174636555816689,11647481000.0,0.416707792004548,11.1595273633331,0.111940298507463,0.752365885576475,0.165150308600954,55.7305351810947,0.0704549778526159
10,2018-09-30 00:00:00+00:00,3,2018,27093540000.0,15217635000.0,11338135000.0,385297000.0,25734540000.0,2527448000.0,0.0,1359000000.0,8144693000.0,152157000.0,10093892000.0,0.0,22599589000.0,7646988000.0,0.0,0.0,432086000.0,254821000.0,0.0,208970026.0,0.0,1374923000.0,-230580000.0,7072942000.0,10174436000.0,3111682000.0,31601000.0,882066000.0,-205419000.0,551797000.0,145823000.0,-296247000.0,-11180000.0,-919435000.0,815398000.0,-1217631000.0,519151000.0,259923000.0,-3741000.0,-126820000.0,799733000.0,3.88,0.0,325167000.0,810391000.0,896901000.0,2796187000.0,209054000.0,3.86,86510000.0,810391000.0,0.0,1156824000.0,0.0,0.0,1411364000.0,810391000.0,1384823000.0,209928000.0,585090000.0,0.0,810391000.0,7.0,0.0882035878739573,0.495254072778394,0.192140696191203,11875905000.0,0.495254072778394,13.3808041924635,0.105413105413106,0.674448487339408,0.164136194778336,56.8306624032291,0.0731773795564524
11,2018-06-30 00:00:00+00:00,2,2018,24057036000.0,13283338000.0,10773698000.0,355729000.0,22957140000.0,1177626000.0,0.0,1099896000.0,7780988000.0,121879000.0,9429784000.0,0.0,21429719000.0,7341463000.0,0.0,0.0,418616000.0,108998000.0,0.0,211746787.0,0.0,288418000.0,-265200000.0,5502350000.0,8519089000.0,3049145000.0,11655000.0,-258328000.0,-94239000.0,-497896000.0,-2247000.0,-492648000.0,-30190000.0,36869000.0,1007464000.0,-495836000.0,514816000.0,253376000.0,-15979000.0,-126805000.0,456895000.0,2.2,0.0,312923000.0,466295000.0,548159000.0,2337605000.0,211673000.0,2.19,81864000.0,466295000.0,0.0,801535000.0,0.0,0.0,1314411000.0,466295000.0,1023194000.0,212509000.0,566299000.0,0.0,466295000.0,8.0,0.0648351868605013,0.437710391618772,0.199895680936327,10773698000.0,0.437710391618772,11.0396244170638,0.279069767441861,0.681424613906943,0.162208510046869,50.8801014298271,0.0746399261449952
