,year,quarter,date,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.debt,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.costRev,statementData.incomeStatement.eps,statementData.incomeStatement.netinc,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebitda,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebt,statementData.incomeStatement.revenue,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,77761000.0,30153027000.0,0.0,411598000.0,364654000.0,22165797000.0,0.0,938881000.0,0.0,4990009000.0,10565792000.0,0.0,0.0,0.0,710813000.0,39971796.0,9591292000.0,20561735000.0,-61905000.0,-1100285000.0,0.0,1086022000.0,-1934000.0,-1100285000.0,0.0,10162000.0,0.0,1086022000.0,4504000.0,90000000.0,16402000.0,26162000.0,243057000.0,2181542000.0,6.08,243057000.0,6.07,279149000.0,0.0,279149000.0,39971796.0,0.0,0.0,149493000.0,149493000.0,428642000.0,272508000.0,2610184000.0,6641000.0,29451000.0,243057000.0,279149000.0,0.0,0.0235934464790769,6.0,9591292000.0,1.375,65.3006434837204,0.16421907421086,0.0741102450014034,0.277923349587764,239.951489795455,0.16421907421086,0.0730436008839221
1,2020,2,2020-06-30 00:00:00+00:00,294333000.0,28584793000.0,0.0,297137000.0,369761000.0,20679197000.0,0.0,922479000.0,0.0,4801364000.0,10384645000.0,0.0,0.0,0.0,620759000.0,39987014.0,9286299000.0,19298494000.0,-61928000.0,-370808000.0,0.0,598597000.0,-426000.0,-370808000.0,0.0,9782000.0,0.0,598597000.0,-1133000.0,-59449000.0,104853000.0,-121803000.0,190880000.0,1873332000.0,4.78,190880000.0,4.77,244320000.0,0.0,244320000.0,39987014.0,0.0,0.0,126863000.0,126863000.0,371183000.0,237067000.0,2244515000.0,7253000.0,46187000.0,190880000.0,244320000.0,0.0,0.0192286479234852,6.0,9286299000.0,-0.414932680538556,56.131097960953,0.165373365738255,0.0668467599417163,0.117381804496081,232.232869401051,0.165373365738255,0.0588642115400574
2,2020,1,2020-03-31 00:00:00+00:00,406413000.0,27222638000.0,0.0,-269751000.0,369385000.0,19518956000.0,0.0,817626000.0,0.0,4587301000.0,10255692000.0,0.0,0.0,0.0,682187000.0,40813432.0,8580944000.0,18641694000.0,-63277000.0,-258181000.0,0.0,505989000.0,-226575000.0,-258181000.0,0.0,9393000.0,0.0,505989000.0,2832000.0,48802000.0,9590000.0,-241050000.0,16612000.0,1879362000.0,0.41,16612000.0,0.41,-36039000.0,0.0,-36039000.0,40813432.0,0.0,0.0,138693000.0,138693000.0,102654000.0,-43622000.0,1982016000.0,7583000.0,-60234000.0,16612000.0,-36039000.0,0.0,0.0248808101422864,3.0,8580944000.0,-0.952873563218391,48.5628358820694,0.0517927201394943,0.0795002274807993,0.00823059502420342,210.248037949859,0.0517927201394943,0.0754915919708019
3,2019,4,2019-12-31 00:00:00+00:00,305711000.0,27324051000.0,0.0,28152000.0,291660000.0,19940464000.0,0.0,808036000.0,0.0,4468275000.0,10306571000.0,0.0,0.0,0.0,633832000.0,40782128.0,9132925000.0,18191126000.0,-63191000.0,-200690000.0,0.0,365139000.0,3548000.0,-200690000.0,0.0,8632000.0,0.0,365139000.0,-13942000.0,0.0,90864000.0,-59643000.0,217644000.0,1858020000.0,5.33,217644000.0,5.32,226799000.0,0.0,226799000.0,40782128.0,0.0,0.0,129267000.0,129267000.0,356066000.0,219078000.0,2214086000.0,7721000.0,1434000.0,217644000.0,226799000.0,0.0,0.0379617601812758,7.0,9132925000.0,-1.56521739130435,54.2905951352024,0.160818504791593,0.0694007670050942,0.235831469052945,223.944297364767,0.160818504791593,0.113976548715482
5,2019,3,2019-09-30 00:00:00+00:00,361243000.0,27023741000.0,0.0,46272000.0,371807000.0,19647421000.0,0.0,717172000.0,0.0,4695894000.0,10152118000.0,0.0,0.0,0.0,633777000.0,40740205.0,8983258000.0,18040483000.0,-56995000.0,-521445000.0,0.0,633352000.0,-1076000.0,-521445000.0,0.0,8215000.0,0.0,633352000.0,1969000.0,0.0,55805000.0,-58071000.0,104398000.0,1815000000.0,2.56,104398000.0,2.56,100927000.0,0.0,100927000.0,40740205.0,0.0,0.0,126593000.0,126593000.0,227520000.0,93020000.0,2042520000.0,7907000.0,-11378000.0,104398000.0,100927000.0,0.0,0.0156659458186552,7.0,8983258000.0,-0.474332648870637,50.1352410966022,0.111391810116914,0.070550907031725,0.0547684102407326,220.501050497905,0.111391810116914,0.0476071856747465
6,2019,2,2019-06-30 00:00:00+00:00,358457000.0,26387791000.0,0.0,-44902000.0,346151000.0,19132485000.0,0.0,661367000.0,0.0,4664238000.0,10152059000.0,0.0,0.0,0.0,633723000.0,40733637.0,8884160000.0,17503631000.0,-56999000.0,-257607000.0,0.0,393709000.0,-7953000.0,-257607000.0,0.0,8115000.0,0.0,393709000.0,6243000.0,0.0,77393000.0,-64952000.0,332868000.0,1515580000.0,8.17,332868000.0,8.15,380779000.0,0.0,380779000.0,40733637.0,0.0,0.0,112368000.0,112368000.0,493147000.0,372345000.0,2008727000.0,8434000.0,39477000.0,332868000.0,380779000.0,0.0,0.0197859763931752,7.0,8884160000.0,3.77777777777778,49.3137158363738,0.245502250928075,0.0713317860101574,0.0611683736242954,218.103775020139,0.245502250928075,0.0597585732720779
7,2019,1,2019-03-31 00:00:00+00:00,475851000.0,25630507000.0,0.0,-216111000.0,287807000.0,18639970000.0,0.0,583974000.0,0.0,4537282000.0,9866203000.0,0.0,0.0,0.0,633668000.0,40675221.0,8426629000.0,17203878000.0,-57137000.0,-432750000.0,0.0,459802000.0,-35884000.0,-432750000.0,0.0,9056000.0,0.0,459802000.0,-6152000.0,0.0,-72121000.0,-93021000.0,354551000.0,1438024000.0,8.7,354551000.0,8.67,422175000.0,0.0,422175000.0,40675221.0,0.0,0.0,105637000.0,105637000.0,527812000.0,414544000.0,1965836000.0,7631000.0,59993000.0,354551000.0,422175000.0,0.0,0.0096278165315087,7.0,8426629000.0,0.692607003891051,48.3300631605665,0.268492386953947,0.0751982791695232,0.126452233237468,207.168610098025,0.268492386953947,0.0289141801024463
8,2018,4,2018-12-31 00:00:00+00:00,594487000.0,24750992000.0,0.0,-462557000.0,218439000.0,17776971000.0,0.0,656095000.0,0.0,4314174000.0,9531433000.0,0.0,0.0,0.0,633613000.0,40647998.0,7860797000.0,16890195000.0,-56878000.0,-2447000.0,0.0,66440000.0,-2047000.0,-2447000.0,0.0,6578000.0,0.0,66440000.0,11266000.0,0.0,16334000.0,-58925000.0,-385313000.0,2397642000.0,-9.43,-385313000.0,-9.38,-697435000.0,0.0,-697435000.0,40647998.0,0.0,0.0,91369000.0,91369000.0,-606066000.0,-705419000.0,1791576000.0,7984000.0,-320106000.0,-385313000.0,-697435000.0,0.0,0.00386413014042015,4.0,7860797000.0,-1.66036414565826,44.0753810310658,-0.338286514219882,0.0806041677453317,-0.0477624030130145,193.387064228846,-0.338286514219882,0.0113842910976451
10,2018,3,2018-09-30 00:00:00+00:00,266464000.0,24410857000.0,0.0,-470317000.0,289961000.0,18026137000.0,0.0,639761000.0,0.0,4210067000.0,10013592000.0,0.0,0.0,0.0,633558000.0,40855442.0,8329013000.0,16081844000.0,-52863000.0,-279348000.0,0.0,410981000.0,-48732000.0,-279348000.0,0.0,8225000.0,0.0,410981000.0,-9770000.0,0.0,20268000.0,-101595000.0,198381000.0,1633259000.0,4.87,198381000.0,4.84,197372000.0,0.0,197372000.0,40855442.0,0.0,0.0,105832000.0,105832000.0,303204000.0,189471000.0,1936463000.0,7901000.0,-8910000.0,198381000.0,197372000.0,0.0,0.044586277418659,5.0,8329013000.0,-1.30959949141767,47.3979206980554,0.156576190714721,0.0760663958622708,0.12228081491952,203.865448328769,0.156576190714721,0.127798247878982
11,2018,2,2018-06-30 00:00:00+00:00,280696000.0,23885885000.0,0.0,-445338000.0,312474000.0,17586191000.0,0.0,619493000.0,0.0,4109634000.0,9860842000.0,0.0,0.0,0.0,633504000.0,40980477.0,8241349000.0,15644536000.0,-53240000.0,57590000.0,0.0,-62992000.0,-25966000.0,57590000.0,0.0,9230000.0,0.0,-62992000.0,3515000.0,0.0,-81093000.0,-79206000.0,69895000.0,1724716000.0,1.71,69895000.0,1.7,68491000.0,0.0,68491000.0,40980477.0,0.0,0.0,99732000.0,99732000.0,168223000.0,60763000.0,1892939000.0,7728000.0,-9132000.0,69895000.0,68491000.0,0.0,0.00950821841871106,2.0,8241349000.0,-0.714046822742475,46.1912388184257,0.088868685150446,0.0768689689030279,0.236721152533204,201.104272163548,0.088868685150446,0.0274142108459665
