,year,quarter,date,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.debt,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.costRev,statementData.incomeStatement.eps,statementData.incomeStatement.netinc,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebitda,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebt,statementData.incomeStatement.revenue,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,0.0,10986639000.0,201472000.0,-23220000.0,222375000.0,474308000.0,0.0,280876000.0,9540089000.0,159137000.0,-1703338000.0,0.0,0.0,52132000.0,4208610000.0,169667456.0,6039594000.0,4873516000.0,-100567000.0,-11000.0,-5869000.0,125654000.0,92000.0,-37396000.0,-31516000.0,5259000.0,84808000.0,157170000.0,0.0,-300000000.0,-306482000.0,-426256000.0,12688000.0,77283000.0,0.07,12688000.0,0.07,53482000.0,0.0,138290000.0,169667456.0,622000.0,0.0,105598000.0,19582000.0,165661000.0,12688000.0,242944000.0,40794000.0,0.0,13310000.0,60063000.0,0.0,0.00414371970837329,3.0,6113123000.0,-0.794117647058823,1.4318833188611,0.681889653582719,0.69683657543868,-0.139338803157194,36.0300268779889,0.681889653582719,0.00760028333611469
1,2020,2,2020-06-30 00:00:00+00:00,0.0,11386309000.0,215376000.0,-25135000.0,223990000.0,474285000.0,0.0,587358000.0,9589868000.0,186232000.0,-1615077000.0,0.0,0.0,50251000.0,4514333000.0,169629023.0,6121983000.0,5189107000.0,-100562000.0,-241000.0,14119000.0,52290000.0,-251000.0,-25573000.0,-39451000.0,7784000.0,85058000.0,91741000.0,0.0,-106170000.0,-149487000.0,-215655000.0,19046000.0,76825000.0,0.11,19046000.0,0.11,59421000.0,0.0,144479000.0,169629023.0,528000.0,0.0,108740000.0,21202000.0,154288000.0,19046000.0,231113000.0,40375000.0,0.0,19574000.0,45548000.0,0.0,0.00803980165808426,3.0,6197202000.0,-0.645161290322581,1.36246142265407,0.667586851453618,0.737397179966034,-0.16224553416077,36.5338542331874,0.667586851453618,0.0146740646191155
2,2020,1,2020-03-31 00:00:00+00:00,0.0,11568311000.0,228819000.0,-25531000.0,194835000.0,489500000.0,0.0,736845000.0,9627489000.0,148058000.0,-1533182000.0,0.0,0.0,48573000.0,4636560000.0,167715882.0,6199422000.0,5293076000.0,-99409000.0,-27000.0,-32972000.0,156124000.0,120524000.0,-2553000.0,30446000.0,-1008000.0,89295000.0,125678000.0,0.0,481109000.0,621283000.0,498158000.0,-25332000.0,78256000.0,-0.15,-25332000.0,-0.15,12104000.0,0.0,101399000.0,167715882.0,549000.0,0.0,104337000.0,13705000.0,205402000.0,-25332000.0,283658000.0,37436000.0,0.0,-24783000.0,101065000.0,0.0,0.0110352575237385,4.0,6275235000.0,-1.27777777777778,1.69130076780683,0.724118480705638,0.747901981829919,-0.00907925395710851,37.4158661968578,0.724118480705638,0.0198030536887896
3,2019,4,2019-12-31 00:00:00+00:00,0.0,11132253000.0,242822000.0,-11997000.0,213705000.0,469522000.0,0.0,115562000.0,9667483000.0,169337000.0,-1408062000.0,0.0,0.0,58865000.0,4142462000.0,167563903.0,6213348000.0,4842292000.0,-97677000.0,-999000.0,7965000.0,119215000.0,-40000.0,-16384000.0,-32700000.0,5241000.0,91644000.0,151915000.0,0.0,34350000.0,68101000.0,-67430000.0,40291000.0,79790000.0,0.24,40291000.0,0.24,78377000.0,0.0,170021000.0,167563903.0,840000.0,0.0,113234000.0,18262000.0,208942000.0,40291000.0,288732000.0,38086000.0,0.0,41131000.0,95708000.0,0.0,0.0216336138815102,6.0,6289961000.0,-0.48936170212766,1.72311574766792,0.723653768892953,0.666703683746669,0.0146612313747541,37.5376849511556,0.723653768892953,0.038114229905471
5,2019,3,2019-09-30 00:00:00+00:00,0.0,11172950000.0,264681000.0,-15804000.0,219529000.0,472863000.0,0.0,47461000.0,9747890000.0,161381000.0,-1350331000.0,0.0,0.0,53227000.0,4110849000.0,167557086.0,6262739000.0,4833103000.0,-97675000.0,-2401000.0,-24363000.0,-46002000.0,-16000.0,-252799000.0,-226035000.0,3981000.0,91856000.0,180033000.0,0.0,188088000.0,10097000.0,82863000.0,56965000.0,75296000.0,0.34,56965000.0,0.34,95218000.0,0.0,187074000.0,167557086.0,979000.0,0.0,110380000.0,16705000.0,206980000.0,56965000.0,282276000.0,38253000.0,0.0,57944000.0,96600000.0,0.0,0.0252294759047408,6.0,6339847000.0,-0.170731707317073,1.68465569996843,0.733253978375774,0.656397943455731,0.0142502964320361,37.8369375557176,0.733253978375774,0.0439382599212357
6,2019,2,2019-06-30 00:00:00+00:00,0.0,10947189000.0,262553000.0,-14086000.0,188723000.0,465495000.0,0.0,37364000.0,9531966000.0,157883000.0,-1309278000.0,0.0,0.0,45527000.0,3902424000.0,167518691.0,6300841000.0,4594341000.0,-97638000.0,225000.0,-8230000.0,105453000.0,1000.0,-60511000.0,-52506000.0,4497000.0,93589000.0,157959000.0,0.0,-3215000.0,-5420000.0,-102868000.0,51728000.0,76265000.0,0.31,51728000.0,0.31,88901000.0,0.0,182490000.0,167518691.0,962000.0,0.0,113839000.0,18717000.0,199607000.0,51728000.0,275872000.0,37173000.0,0.0,52690000.0,85768000.0,0.0,0.0264566060612622,6.0,6352848000.0,0.107142857142857,1.64681325023009,0.72354932722422,0.619349702682547,-0.0196864383892655,37.9232189678464,0.72354932722422,0.045505915122684
7,2019,1,2019-03-31 00:00:00+00:00,0.0,11017604000.0,280613000.0,-6096000.0,183983000.0,456733000.0,0.0,42784000.0,9581511000.0,160635000.0,-1263011000.0,0.0,0.0,46923000.0,3908860000.0,167506148.0,6350695000.0,4614831000.0,-97608000.0,-631000.0,22000000.0,156996000.0,-38918000.0,47001000.0,25632000.0,5789000.0,97194000.0,131364000.0,0.0,-26332000.0,-2406000.0,-180771000.0,90446000.0,74793000.0,0.54,90446000.0,0.54,128198000.0,0.0,225392000.0,167506148.0,1047000.0,0.0,119628000.0,21300000.0,211464000.0,90446000.0,286257000.0,37752000.0,0.0,91493000.0,91836000.0,0.0,0.025964464581332,7.0,6402773000.0,0.741935483870968,1.70893428938501,0.738720799840703,0.615501138064417,0.0345653847404885,38.224107451865,0.738720799840703,0.0445020076305043
8,2018,4,2018-12-31 00:00:00+00:00,0.0,10944663000.0,387069000.0,-927000.0,224807000.0,463001000.0,0.0,45190000.0,9388234000.0,172359000.0,-1255465000.0,0.0,0.0,57750000.0,3715212000.0,169443126.0,6397970000.0,4494495000.0,-93702000.0,-20000.0,-6557000.0,193306000.0,-88862000.0,41157000.0,47734000.0,1063000.0,92876000.0,145572000.0,0.0,0.0,704000.0,-186025000.0,78905000.0,83870000.0,0.47,78905000.0,0.46,115884000.0,0.0,208760000.0,169443126.0,832000.0,0.0,109681000.0,13544000.0,200690000.0,78905000.0,284560000.0,36979000.0,0.0,79737000.0,91009000.0,0.0,0.0224352329191529,6.0,6450168000.0,-0.0961538461538463,1.67938355905922,0.705264267641271,0.580686061360088,0.0748253068932956,38.0668614435265,0.705264267641271,0.03832375122897
10,2018,3,2018-09-30 00:00:00+00:00,0.0,11057030000.0,412653000.0,14066000.0,236250000.0,0.0,0.0,44486000.0,9926164000.0,160709000.0,-1240331000.0,0.0,0.0,43988000.0,3717208000.0,169435706.0,6512094000.0,4504787000.0,-93717000.0,-452000.0,-7886000.0,218917000.0,-17000.0,46730000.0,55068000.0,4369000.0,89183000.0,163849000.0,0.0,-111838000.0,1246000.0,-209333000.0,69722000.0,75686000.0,0.41,69722000.0,0.41,106340000.0,0.0,195523000.0,169435706.0,812000.0,0.0,108792000.0,17564000.0,202624000.0,69722000.0,278310000.0,36618000.0,0.0,70534000.0,93832000.0,0.0,0.0228930112651228,6.0,6552243000.0,0.171428571428571,1.64256995511914,0.728051453415256,0.570816084657255,0.0616805459657208,38.6709693882351,0.728051453415256,0.0388434268575262
11,2018,2,2018-06-30 00:00:00+00:00,0.0,11181730000.0,432951000.0,10317000.0,215300000.0,0.0,0.0,43240000.0,10036816000.0,155540000.0,-1216018000.0,0.0,0.0,49124000.0,3831500000.0,169410491.0,6528100000.0,4612942000.0,-93710000.0,16466000.0,-8146000.0,56013000.0,0.0,-86705000.0,-95025000.0,3681000.0,89104000.0,151038000.0,0.0,-6199000.0,-50396000.0,-114729000.0,47841000.0,73392000.0,0.28,47841000.0,0.28,85915000.0,0.0,175019000.0,169410491.0,748000.0,0.0,108680000.0,16776000.0,208020000.0,47841000.0,281412000.0,38074000.0,0.0,48589000.0,99340000.0,0.0,0.0219611223336197,7.0,6568788000.0,0.0,1.66112498900673,0.73920088695578,0.586924219910847,0.0769483936396165,38.7743873547949,0.73920088695578,0.0371958742096023
12,2018,1,2018-03-31 00:00:00+00:00,0.0,11233856000.0,455589000.0,4764000.0,212515000.0,0.0,0.0,93636000.0,10010225000.0,159587000.0,-1169828000.0,0.0,0.0,48428000.0,3840268000.0,170794466.0,6564301000.0,4628475000.0,-94849000.0,-1392000.0,-37002000.0,81056000.0,-131645000.0,-107206000.0,-68812000.0,3437000.0,88525000.0,149868000.0,0.0,241251000.0,44255000.0,1593000.0,52660000.0,72941000.0,0.31,52660000.0,0.31,89445000.0,0.0,177970000.0,170794466.0,805000.0,0.0,107763000.0,17606000.0,203752000.0,52660000.0,276693000.0,36785000.0,0.0,53465000.0,95989000.0,0.0,0.0220030752733088,6.0,6605381000.0,-2.19230769230769,1.62003492548757,0.736382922589296,0.58502314260117,0.410756076295945,38.6744439366086,0.736382922589296,0.0370452176926241
