,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,5958500000.0,2694800000.0,3138300000.0,0.0,3620700000.0,9743800000.0,0.0,1801600000.0,0.0,4039500000.0,30800000.0,9097600000.0,4328000000.0,2875100000.0,804200000.0,16084000000.0,6986400000.0,2337800000.0,599700000.0,0.0,2694800000.0,443100000.0,1452900000.0,1573000000.0,106392394.0,10125500000.0,101200000.0,-407500000.0,-775800000.0,-254300000.0,0.0,130100000.0,59300000.0,0.0,612000000.0,-622600000.0,0.0,-418100000.0,-153200000.0,481900000.0,113900000.0,1083900000.0,1024600000.0,7.98,966900000.0,2020000000.0,7.39,998300000.0,0.0,1053100000.0,156200000.0,842100000.0,26300000.0,105500000.0,842100000.0,274000000.0,326900000.0,2294000000.0,842100000.0,0.0,684600000.0,0.0,4.0,0.31559327866032,0.880557977332171,3.89152194370776,10125500000.0,0.880557977332171,21.5616917126613,0.303921568627451,0.266139943706484,0.297696530646896,95.171276999369,0.206695330689607
1,2020,2,2020-06-30 00:00:00+00:00,5371300000.0,715900000.0,3031400000.0,0.0,1668900000.0,8901700000.0,1500000000.0,1640900000.0,0.0,2811300000.0,35500000.0,7860200000.0,3739600000.0,2587600000.0,774000000.0,14428700000.0,6568500000.0,3702400000.0,566300000.0,0.0,2215900000.0,380100000.0,1152000000.0,1992200000.0,112522281.0,9057400000.0,103500000.0,813500000.0,1453400000.0,943400000.0,0.0,-4112800000.0,58800000.0,0.0,-2612800000.0,1583300000.0,0.0,-216000000.0,-129900000.0,1500000000.0,117900000.0,987400000.0,928600000.0,8.19,1020100000.0,1676500000.0,7.61,918900000.0,0.0,656400000.0,21600000.0,897300000.0,9700000.0,109600000.0,897300000.0,275500000.0,348300000.0,1952000000.0,897300000.0,0.0,722000000.0,0.0,4.0,0.237165673722905,0.858862704918033,2.12300129645635,9057400000.0,0.858862704918033,17.3476753461832,3.6271186440678,0.079040342703204,0.278932791080882,80.4942800617417,0.202509048764057
2,2020,1,2020-03-31 00:00:00+00:00,3624500000.0,715200000.0,2944600000.0,0.0,1569300000.0,8004400000.0,0.0,1480900000.0,0.0,2933200000.0,-9100000.0,8644100000.0,5031600000.0,3236400000.0,771200000.0,15757500000.0,7113400000.0,2055200000.0,561300000.0,0.0,715200000.0,347800000.0,1795200000.0,2208200000.0,110019809.0,12133000000.0,105800000.0,527900000.0,-443200000.0,698000000.0,0.0,335600000.0,56100000.0,0.0,335600000.0,-273100000.0,0.0,590400000.0,-170100000.0,0.0,115100000.0,730800000.0,674700000.0,5.69,910800000.0,1610900000.0,5.43,668600000.0,0.0,700100000.0,44000000.0,624600000.0,6100000.0,109800000.0,624600000.0,217300000.0,367300000.0,1828200000.0,624600000.0,0.0,583900000.0,0.0,6.0,0.331924814221186,0.881139919046056,4.20596535616972,12133000000.0,0.881139919046056,16.6170075790624,0.345153664302601,0.0589466743591857,0.209672745670722,110.28014055178,0.158077245837061
3,2019,4,2019-12-31 00:00:00+00:00,3715500000.0,713900000.0,2890400000.0,0.0,1618900000.0,7379800000.0,0.0,1415500000.0,0.0,2785600000.0,21100000.0,7689100000.0,4853300000.0,3256800000.0,824200000.0,14805200000.0,7116100000.0,2096600000.0,487400000.0,0.0,713900000.0,418100000.0,1596500000.0,1617800000.0,109795764.0,11089700000.0,133500000.0,648400000.0,-208700000.0,787400000.0,0.0,-345700000.0,54300000.0,0.0,-345700000.0,-69700000.0,0.0,233000000.0,-139000000.0,0.0,114300000.0,950800000.0,896500000.0,7.26,1269900000.0,1945600000.0,6.92,889800000.0,0.0,675700000.0,97800000.0,792000000.0,6700000.0,109200000.0,792000000.0,223900000.0,586800000.0,2169500000.0,792000000.0,0.0,683100000.0,0.0,3.0,0.125376076356468,0.896796496888684,3.66741390823238,11089700000.0,0.896796496888684,19.7594143978086,-0.0434782608695652,0.0643750507227427,0.207458321791801,101.002985871112,0.154514367506559
5,2019,3,2019-09-30 00:00:00+00:00,3434900000.0,712700000.0,2771400000.0,0.0,1669500000.0,6587800000.0,0.0,1344300000.0,0.0,2660000000.0,16500000.0,7109100000.0,4605700000.0,3112600000.0,808300000.0,13939300000.0,6830200000.0,1765400000.0,1292500000.0,0.0,712700000.0,335600000.0,1493100000.0,1384800000.0,109832371.0,10504400000.0,117100000.0,435600000.0,-207000000.0,557300000.0,0.0,-11000000.0,52900000.0,0.0,-11000000.0,-85300000.0,0.0,339300000.0,-121700000.0,0.0,114200000.0,829200000.0,776300000.0,6.12,779700000.0,1518200000.0,5.86,768500000.0,0.0,738500000.0,98900000.0,669600000.0,7800000.0,109400000.0,669600000.0,225500000.0,304400000.0,1743700000.0,669600000.0,0.0,526000000.0,0.0,3.0,0.0482116020438834,0.87067729540632,4.02690608360711,10504400000.0,0.87067729540632,15.8760116359502,0.112727272727273,0.0678477590343094,0.222992384750782,95.6402916950596,0.16588849217248
6,2019,2,2019-06-30 00:00:00+00:00,3417700000.0,711300000.0,2676600000.0,0.0,1704600000.0,5918200000.0,0.0,1317200000.0,0.0,2455900000.0,15800000.0,6651000000.0,4508800000.0,2884600000.0,821600000.0,13173600000.0,6522600000.0,1713100000.0,1317800000.0,0.0,711300000.0,244000000.0,1624200000.0,1045500000.0,109638772.0,9755900000.0,105800000.0,93700000.0,-836000000.0,188300000.0,0.0,-15300000.0,52100000.0,0.0,-15300000.0,-741400000.0,0.0,-663000000.0,-94600000.0,0.0,114600000.0,284800000.0,232700000.0,1.77,1116400000.0,1432000000.0,1.68,224700000.0,0.0,315600000.0,31600000.0,193100000.0,8000000.0,109200000.0,193100000.0,145800000.0,294600000.0,1577800000.0,193100000.0,0.0,885500000.0,0.0,3.0,-0.0187810945273632,0.907592850804918,3.88243535111786,9755900000.0,0.907592850804918,14.3908944912298,-0.654296875,0.07290972642196,0.231037620512362,88.9822078634737,0.170423171077937
7,2019,1,2019-03-31 00:00:00+00:00,3410100000.0,709900000.0,2612800000.0,0.0,1898700000.0,5725100000.0,0.0,1208800000.0,0.0,2305200000.0,2800000.0,6928600000.0,3863700000.0,2339800000.0,829300000.0,12854800000.0,5926200000.0,1511400000.0,1343200000.0,0.0,709900000.0,239600000.0,1523900000.0,1708500000.0,109277189.0,9444700000.0,107900000.0,822700000.0,-776100000.0,897000000.0,0.0,119900000.0,51000000.0,0.0,119900000.0,-701800000.0,0.0,240800000.0,-74300000.0,0.0,115500000.0,604800000.0,553800000.0,4.23,720500000.0,1200500000.0,3.99,546100000.0,0.0,480000000.0,85000000.0,461100000.0,7700000.0,108900000.0,461100000.0,172100000.0,291100000.0,1372600000.0,461100000.0,0.0,486100000.0,0.0,5.0,-0.0918954680780681,0.874617514206615,4.58422654492523,9444700000.0,0.874617514206615,12.5607184130624,-0.0472972972972973,0.0751638485076286,0.291983041265096,86.428833743152,0.214135949733094
8,2018,4,2018-12-31 00:00:00+00:00,2977200000.0,708500000.0,2575800000.0,0.0,1534400000.0,5254300000.0,0.0,1151200000.0,0.0,2243200000.0,-12300000.0,6447600000.0,3097200000.0,1755000000.0,828700000.0,11734500000.0,5286900000.0,1442800000.0,916700000.0,0.0,708500000.0,218200000.0,1342200000.0,1467700000.0,108234564.0,8757300000.0,126700000.0,643300000.0,-265900000.0,728800000.0,0.0,-83000000.0,42800000.0,0.0,-83000000.0,-180400000.0,0.0,379900000.0,-85500000.0,0.0,114800000.0,726400000.0,683600000.0,7.59,1092600000.0,1810700000.0,7.15,676200000.0,0.0,718100000.0,-144200000.0,820400000.0,7400000.0,108200000.0,820400000.0,117100000.0,491300000.0,1927800000.0,820400000.0,0.0,601300000.0,0.0,6.0,0.218260638768468,0.939257184355224,4.46881064596618,8757300000.0,0.939257184355224,17.8113158011151,3.71428571428571,0.0809039315770843,0.321859980704201,80.910382749821,0.233561430346633
10,2018,3,2018-09-30 00:00:00+00:00,2937313000.0,707203000.0,2524446000.0,0.0,1520083000.0,4433904000.0,0.0,1039679000.0,0.0,2202945000.0,-10519000.0,5719583000.0,2977878000.0,1873569000.0,562818000.0,10805613000.0,5086030000.0,1417230000.0,1081792000.0,0.0,707203000.0,172361000.0,1104309000.0,1087843000.0,108056348.0,7868300000.0,111500000.0,346700000.0,-286700000.0,452900000.0,0.0,3700000.0,35400000.0,0.0,3700000.0,-170500000.0,0.0,169900000.0,-106200000.0,0.0,115100000.0,678700000.0,643300000.0,5.5,926200000.0,1553100000.0,5.17,635900000.0,0.0,626900000.0,41200000.0,594700000.0,7400000.0,108000000.0,594700000.0,110400000.0,369200000.0,1663500000.0,594700000.0,0.0,557000000.0,0.0,6.0,0.108502651810221,0.933633904418395,4.03574790259873,7868300000.0,0.933633904418395,15.3947457117466,0.510989010989011,0.0898800249100822,0.258960969831599,72.816638222865,0.184869725709147
11,2018,2,2018-06-30 00:00:00+00:00,2765554000.0,705903000.0,2461614000.0,0.0,1434364000.0,3839179000.0,0.0,928553000.0,0.0,2039247000.0,-11612000.0,4814917000.0,2810345000.0,2044703000.0,545077000.0,9951980000.0,5137063000.0,1331190000.0,1027016000.0,0.0,705903000.0,171906000.0,765642000.0,917876000.0,107861178.0,7186426000.0,106800000.0,282600000.0,-485000000.0,394600000.0,0.0,-11200000.0,33600000.0,0.0,-11200000.0,-373000000.0,0.0,-101600000.0,-112000000.0,0.0,114500000.0,696600000.0,663000000.0,5.12,894100000.0,1516300000.0,4.82,656100000.0,0.0,622200000.0,104700000.0,551400000.0,6900000.0,107800000.0,551400000.0,91700000.0,364800000.0,1608000000.0,551400000.0,0.0,529300000.0,0.0,5.0,0.0937912382424244,0.94297263681592,3.61700208084496,7186426000.0,0.94297263681592,14.908051532684,0.398907103825137,0.09822726902079,0.245277769974238,66.6266226018781,0.173005353519366
