,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,1369063000.0,223198000.0,377622000.0,210986000.0,316278000.0,42802000.0,76803000.0,0.0,0.0,690259000.0,-15996000.0,1853681000.0,0.0,0.0,120803000.0,2563092000.0,709411000.0,1052785000.0,0.0,15583000.0,300001000.0,132651000.0,0.0,587000000.0,114635133.0,1194029000.0,13063000.0,132085000.0,-417000.0,138699000.0,6709000.0,-21036000.0,20984000.0,0.0,-59476000.0,0.0,-38385000.0,85515000.0,-6614000.0,-55000.0,113355000.0,123494000.0,102510000.0,0.67,391133000.0,467346000.0,0.67,102510000.0,0.0,76213000.0,26761000.0,75749000.0,0.0,112809000.0,75749000.0,722551000.0,390799000.0,1189897000.0,75749000.0,0.0,0.0,0.0,5.0,-0.233378990962109,0.392761726435145,1.76074032209805,1194029000.0,0.392761726435145,10.379863213488,-0.343137254901961,0.186928458186526,0.280863249114523,10.4159080096326,0.135976219593332
1,2020-06-30 00:00:00+00:00,2,2020,1245671000.0,205403000.0,366250000.0,210910000.0,268504000.0,29697000.0,75324000.0,0.0,0.0,665409000.0,-27152000.0,1720148000.0,0.0,0.0,105069000.0,2402377000.0,682229000.0,977167000.0,0.0,44439000.0,280727000.0,142492000.0,0.0,501485000.0,114602242.0,1156706000.0,13035000.0,293028000.0,-14665000.0,301016000.0,3723000.0,-9000.0,20207000.0,0.0,-38503000.0,0.0,-38440000.0,251571000.0,-7988000.0,-54000.0,113121000.0,78231000.0,58024000.0,0.41,365158000.0,423077000.0,0.41,58024000.0,0.0,57919000.0,11828000.0,46196000.0,0.0,112865000.0,46196000.0,685249000.0,364828000.0,1108326000.0,46196000.0,0.0,0.0,0.0,5.0,-0.269099865799253,0.381726134729312,1.76034188628965,1156706000.0,0.381726134729312,9.67106734264413,-0.581632653061225,0.177575805779515,0.322432754223556,10.0932231325806,0.157473484192341
2,2020-03-31 00:00:00+00:00,1,2020,1144927000.0,204768000.0,368480000.0,210895000.0,231573000.0,22485000.0,71522000.0,0.0,0.0,853529000.0,-33686000.0,1606655000.0,0.0,0.0,88822000.0,2274852000.0,668197000.0,913354000.0,0.0,19758000.0,276290000.0,137345000.0,0.0,249914000.0,115120403.0,1129925000.0,13525000.0,110650000.0,-28350000.0,124926000.0,-6643000.0,-69968000.0,19539000.0,0.0,-110497000.0,0.0,-40476000.0,-20564000.0,-14276000.0,-53000.0,113858000.0,151302000.0,131763000.0,0.79,479911000.0,610717000.0,0.79,131763000.0,0.0,130806000.0,41848000.0,89915000.0,0.0,113187000.0,89915000.0,895974000.0,479573000.0,1506691000.0,89915000.0,0.0,0.0,0.0,5.0,0.0259858497953736,0.405336595227555,1.75907151006072,1129925000.0,0.405336595227555,13.0879580051505,-0.159574468085106,0.181222647520853,0.386725150817692,9.81515848237606,0.190232311716579
3,2019-12-31 00:00:00+00:00,4,2019,1167725000.0,202200000.0,369414000.0,212116000.0,227033000.0,36067000.0,71626000.0,0.0,0.0,832797000.0,-19986000.0,1628849000.0,0.0,0.0,101029000.0,2311408000.0,682559000.0,940692000.0,0.0,1623000.0,273826000.0,123841000.0,0.0,270478000.0,116096603.0,1143683000.0,13497000.0,66297000.0,-28609000.0,80623000.0,5192000.0,-63488000.0,19742000.0,0.0,-99469000.0,0.0,-35929000.0,-42263000.0,-14326000.0,-52000.0,114842000.0,173989000.0,154247000.0,0.99,486054000.0,638944000.0,0.98,154247000.0,0.0,152890000.0,41405000.0,112842000.0,0.0,114015000.0,112842000.0,898441000.0,485715000.0,1537385000.0,112842000.0,0.0,0.0,0.0,3.0,0.0376112436203226,0.41560441919233,1.731543374452,1143683000.0,0.41560441919233,13.2422909910637,0.0421052631578949,0.176797241893077,0.409236049871121,9.85113233674891,0.200477688109545
5,2019-09-30 00:00:00+00:00,3,2019,1199740000.0,201059000.0,367589000.0,212043000.0,222300000.0,23595000.0,71067000.0,0.0,0.0,852843000.0,-25871000.0,1631183000.0,0.0,0.0,100755000.0,2311570000.0,680387000.0,977440000.0,0.0,6122000.0,272126000.0,126820000.0,0.0,312741000.0,117561004.0,1111830000.0,11889000.0,174666000.0,-25800000.0,191179000.0,-5856000.0,-80430000.0,18372000.0,0.0,-116222000.0,0.0,-35742000.0,43301000.0,-16513000.0,-50000.0,115868000.0,182154000.0,163782000.0,1.02,485176000.0,646278000.0,1.01,163782000.0,0.0,161102000.0,46601000.0,117181000.0,0.0,115181000.0,117181000.0,905854000.0,484837000.0,1552132000.0,117181000.0,0.0,0.0,0.0,4.0,0.0585898763219312,0.416380823280494,1.66883184645605,1111830000.0,0.416380823280494,13.2027793842251,0.0625,0.180836099043919,0.417450457250663,9.45747281981362,0.210264990339766
6,2019-06-30 00:00:00+00:00,2,2019,1130192000.0,200187000.0,368694000.0,212701000.0,220682000.0,22868000.0,70384000.0,0.0,0.0,842294000.0,-15860000.0,1564919000.0,0.0,0.0,93105000.0,2239419000.0,674500000.0,909510000.0,0.0,15013000.0,270571000.0,127482000.0,0.0,269440000.0,118557548.0,1109227000.0,11670000.0,104793000.0,-24649000.0,120748000.0,1092000.0,-61274000.0,16801000.0,0.0,-97396000.0,0.0,-36073000.0,-205000.0,-15955000.0,-49000.0,116988000.0,176904000.0,160103000.0,0.98,478480000.0,637541000.0,0.98,160103000.0,0.0,159061000.0,45491000.0,114612000.0,0.0,116381000.0,114612000.0,878844000.0,478139000.0,1516385000.0,114612000.0,0.0,0.0,0.0,5.0,0.0407198360527474,0.420434784042311,1.72061769524249,1109227000.0,0.420434784042311,12.7902864522805,0.0888888888888888,0.180474330321927,0.41496684594213,9.35602176927613,0.216279827201764
7,2019-03-31 00:00:00+00:00,1,2019,1127578000.0,206017000.0,374213000.0,212900000.0,226848000.0,4485000.0,71269000.0,0.0,0.0,826366000.0,-18006000.0,1532017000.0,0.0,0.0,85477000.0,2204607000.0,672590000.0,900730000.0,0.0,27394000.0,277286000.0,131722000.0,0.0,269645000.0,119078490.0,1077029000.0,11244000.0,114409000.0,-23080000.0,127079000.0,-654000.0,-72343000.0,15994000.0,0.0,-110279000.0,0.0,-37887000.0,-6934000.0,-12670000.0,-49000.0,117966000.0,163377000.0,147383000.0,0.94,461701000.0,607588000.0,0.93,147383000.0,0.0,145887000.0,37585000.0,109798000.0,0.0,117068000.0,109798000.0,860942000.0,461359000.0,1468530000.0,109798000.0,0.0,0.0,0.0,4.0,0.0524584454033554,0.413738908977004,1.70086152343099,1077029000.0,0.413738908977004,12.3324539973592,0.189873417721519,0.191282685981529,0.410091447245997,9.04469816505063,0.221846577732036
8,2018-12-31 00:00:00+00:00,4,2018,839899000.0,457000.0,125176000.0,213107000.0,20363000.0,0.0,200000.0,0.0,0.0,794446000.0,-16109000.0,1473610000.0,0.0,0.0,91204000.0,1903097000.0,429487000.0,819536000.0,0.0,12536000.0,657000.0,168031000.0,0.0,276579000.0,121475032.0,1063198000.0,11953000.0,107747000.0,-33339000.0,123045000.0,-3985000.0,-137108000.0,16271000.0,0.0,-170882000.0,0.0,-33727000.0,-85161000.0,-15298000.0,-47000.0,119829000.0,171254000.0,154983000.0,0.95,466524000.0,620062000.0,0.95,154983000.0,0.0,153538000.0,41419000.0,113564000.0,0.0,118716000.0,113564000.0,861596000.0,466153000.0,1481658000.0,113564000.0,0.0,0.0,0.0,8.0,0.100555455692047,0.418491986679787,1.79810282891783,1063198000.0,0.418491986679787,12.1972225535203,1.5,0.000429835270570486,0.394203872027703,8.75239942311767,0.223702769460663
10,2018-09-30 00:00:00+00:00,3,2018,915665000.0,509000.0,125175000.0,214028000.0,19385000.0,31313000.0,195000.0,0.0,0.0,834347000.0,-9792000.0,1612400000.0,0.0,0.0,83304000.0,2034907000.0,422507000.0,896280000.0,0.0,9932000.0,704000.0,167197000.0,0.0,361740000.0,122445184.0,1119242000.0,11055000.0,175388000.0,-18082000.0,185313000.0,-1991000.0,-78399000.0,16370000.0,0.0,-112156000.0,0.0,-33711000.0,53084000.0,-9925000.0,-46000.0,121443000.0,168275000.0,151905000.0,0.96,459759000.0,610468000.0,0.95,151905000.0,0.0,150709000.0,36663000.0,115242000.0,0.0,120115000.0,115242000.0,855758000.0,459330000.0,1466226000.0,115242000.0,0.0,0.0,0.0,8.0,0.10682874503004,0.416353277052787,1.79899138662025,1119242000.0,0.416353277052787,11.9745501791234,0.391304347826087,0.00045477206895381,0.330669694897638,9.14075967250782,0.190313234332979
11,2018-06-30 00:00:00+00:00,2,2018,824085000.0,559000.0,130010000.0,214377000.0,15209000.0,29240000.0,191000.0,0.0,0.0,801875000.0,-6409000.0,1504129000.0,0.0,0.0,85067000.0,1933583000.0,429454000.0,808876000.0,0.0,17336000.0,750000.0,160864000.0,0.0,308656000.0,123562570.0,1109498000.0,11389000.0,138450000.0,-18538000.0,147746000.0,-8914000.0,-69513000.0,16592000.0,0.0,-103625000.0,0.0,-34066000.0,16669000.0,-9296000.0,-46000.0,122268000.0,166667000.0,150075000.0,0.9,458049000.0,607118000.0,0.89,150075000.0,0.0,149069000.0,40760000.0,109315000.0,0.0,121307000.0,109315000.0,849936000.0,457607000.0,1457054000.0,109315000.0,0.0,0.0,0.0,8.0,0.11359127135769,0.416675016849067,1.85952976723255,1109498000.0,0.416675016849067,11.7920337849884,0.40625,0.000503831462517283,0.301812914459238,8.97924023432015,0.17684326004959
