,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,13491100000.0,9101200000.0,146600000.0,21281100000.0,11151200000.0,8349400000.0,602800000.0,214900000.0,0.0,1023300000.0,-241400000.0,1706200000.0,0.0,0.0,138200000.0,23652000000.0,21945800000.0,2339900000.0,868100000.0,1599000000.0,9704000000.0,173100000.0,0.0,302100000.0,104710813.0,10160900000.0,30200000.0,125800000.0,-5515500000.0,137900000.0,5400000.0,27600000.0,13200000.0,-5500700000.0,3803500000.0,0.0,-53400000.0,-1568700000.0,-12100000.0,3830000000.0,105900000.0,378600000.0,365400000.0,2.24,508300000.0,875900000.0,2.21,303100000.0,0.0,367600000.0,68700000.0,234400000.0,62300000.0,104700000.0,234400000.0,490200000.0,508300000.0,1366100000.0,234400000.0,0.0,0.0,0.0,3.0,0.00856404577334802,0.641168289290681,0.729176460532501,10160900000.0,0.641168289290681,13.0464081106886,-0.161048689138577,0.895708057357124,0.16000490749876,97.0377338202885,0.0791994028415632
1,2020,2,2020-06-30 00:00:00+00:00,9262600000.0,5263800000.0,129600000.0,15358400000.0,6764000000.0,8168700000.0,602600000.0,216600000.0,0.0,963900000.0,-284800000.0,3179200000.0,0.0,0.0,116300000.0,19142300000.0,15963100000.0,2498600000.0,828300000.0,1390400000.0,5866400000.0,185400000.0,0.0,1870800000.0,104396635.0,9879700000.0,30500000.0,438900000.0,-160500000.0,449100000.0,10800000.0,37300000.0,12300000.0,-150300000.0,571600000.0,0.0,-53500000.0,871000000.0,-10200000.0,588000000.0,105500000.0,343900000.0,331600000.0,2.1,510100000.0,843700000.0,2.08,284100000.0,0.0,333600000.0,64900000.0,219200000.0,47500000.0,104500000.0,219200000.0,461300000.0,510100000.0,1305000000.0,219200000.0,0.0,0.0,0.0,5.0,-0.0190182665564158,0.646513409961686,1.2723925398223,9879700000.0,0.646513409961686,12.5004029104961,-0.125,0.532789457169752,0.171374373238273,94.6361920573398,0.0878645942183993
2,2020,1,2020-03-31 00:00:00+00:00,8546500000.0,4674200000.0,133400000.0,15255500000.0,6180400000.0,8003100000.0,602400000.0,206200000.0,0.0,937500000.0,-341000000.0,2273400000.0,0.0,0.0,114100000.0,18137800000.0,15864400000.0,2366100000.0,827500000.0,1350000000.0,5276600000.0,180800000.0,0.0,999800000.0,106109664.0,9591300000.0,27700000.0,353400000.0,-17000000.0,363900000.0,-18100000.0,14900000.0,12800000.0,-6500000.0,-38700000.0,0.0,-53100000.0,290100000.0,-10500000.0,0.0,105300000.0,362800000.0,350000000.0,2.3,507600000.0,856800000.0,2.28,304600000.0,0.0,349200000.0,64300000.0,240300000.0,45400000.0,104300000.0,240300000.0,493900000.0,507600000.0,1350700000.0,240300000.0,0.0,0.0,0.0,5.0,0.0493318831572405,0.634337750795884,0.96082160517307,9591300000.0,0.634337750795884,12.7292835457475,-0.355742296918768,0.487337482927236,0.182038855174904,90.3904473771588,0.0936689432232783
3,2019,4,2019-12-31 00:00:00+00:00,8617000000.0,4673100000.0,139900000.0,15483100000.0,6219600000.0,7818000000.0,602200000.0,198600000.0,0.0,975100000.0,-212800000.0,1999500000.0,0.0,0.0,114100000.0,18108900000.0,16109400000.0,2397400000.0,831800000.0,1323200000.0,5275300000.0,162000000.0,0.0,709700000.0,104057938.0,9491900000.0,24100000.0,453200000.0,887800000.0,466200000.0,7800000.0,-2300000.0,13300000.0,900900000.0,-975100000.0,0.0,-48200000.0,386700000.0,-13000000.0,-925100000.0,105400000.0,1210300000.0,1197000000.0,8.38,494500000.0,892900000.0,8.28,1148000000.0,0.0,398400000.0,276900000.0,871100000.0,49000000.0,104200000.0,871100000.0,501900000.0,494500000.0,1394800000.0,871100000.0,0.0,0.0,0.0,5.0,0.0134418368088354,0.640163464295956,0.834028530908484,9491900000.0,0.640163464295956,13.4040711050799,2.36546184738956,0.492325035029868,0.204667801201681,91.2174523389076,0.105153277898719
5,2019,3,2019-09-30 00:00:00+00:00,9247800000.0,6195100000.0,142600000.0,15477500000.0,7746900000.0,7000300000.0,2900000.0,205000000.0,0.0,895400000.0,-285100000.0,1619400000.0,0.0,0.0,126000000.0,17819100000.0,16199700000.0,1500900000.0,745700000.0,1135100000.0,6198000000.0,156800000.0,0.0,323000000.0,104001819.0,8571300000.0,26100000.0,387400000.0,-1829700000.0,404500000.0,-7600000.0,7400000.0,12500000.0,-1812700000.0,1435000000.0,0.0,-47900000.0,2200000.0,-17100000.0,1473000000.0,105200000.0,399200000.0,386700000.0,2.67,488400000.0,873600000.0,2.64,337900000.0,0.0,385200000.0,60400000.0,277500000.0,48800000.0,104000000.0,277500000.0,480900000.0,488400000.0,1354500000.0,277500000.0,0.0,0.0,0.0,5.0,0.0271479487373929,0.644961240310078,1.07895262842295,8571300000.0,0.644961240310078,13.0238106700807,0.117154811715481,0.722772508254291,0.140727235031191,82.4149046854652,0.0716808249600099
6,2019,2,2019-06-30 00:00:00+00:00,7557300000.0,4718900000.0,134200000.0,13600800000.0,6114100000.0,6771000000.0,2100000.0,203500000.0,0.0,904800000.0,-243200000.0,1602300000.0,0.0,0.0,126400000.0,15908300000.0,14306000000.0,1443200000.0,729100000.0,995700000.0,4721000000.0,162200000.0,0.0,320800000.0,103841015.0,8351000000.0,29000000.0,285800000.0,-551300000.0,300800000.0,-2600000.0,12400000.0,11700000.0,-535900000.0,181400000.0,0.0,-47900000.0,-71700000.0,-15000000.0,230000000.0,105100000.0,379100000.0,367400000.0,2.4,481600000.0,850000000.0,2.38,322300000.0,0.0,368400000.0,72600000.0,249700000.0,45100000.0,103900000.0,249700000.0,480300000.0,481600000.0,1330300000.0,249700000.0,0.0,0.0,0.0,6.0,0.0282909484424518,0.638953619484327,1.1102411308204,8351000000.0,0.638953619484327,12.810930247552,0.0859728506787329,0.565070051490839,0.14146461182186,80.4210166859405,0.0727308022065128
7,2019,1,2019-03-31 00:00:00+00:00,7276700000.0,4487000000.0,132200000.0,13132200000.0,5832000000.0,6569400000.0,15800000.0,207500000.0,0.0,823700000.0,-214600000.0,1586000000.0,0.0,0.0,111500000.0,15414100000.0,13828100000.0,1444700000.0,691100000.0,999200000.0,4502800000.0,172600000.0,0.0,392500000.0,103607782.0,8137400000.0,25300000.0,272500000.0,197200000.0,290300000.0,4900000.0,24200000.0,11700000.0,217200000.0,-464300000.0,0.0,-47700000.0,28100000.0,-17800000.0,-455000000.0,104700000.0,474600000.0,462900000.0,3.57,464200000.0,810600000.0,3.53,419200000.0,0.0,346400000.0,49600000.0,369600000.0,43700000.0,103600000.0,369600000.0,476600000.0,464200000.0,1287200000.0,369600000.0,0.0,0.0,0.0,4.0,0.0704365904365905,0.629738968303294,1.09780577282481,8137400000.0,0.629738968303294,12.4237772023727,0.741463414634146,0.551404625556074,0.143516725939278,78.5404324165534,0.0719899069197336
8,2018,4,2018-12-31 00:00:00+00:00,7511000000.0,4940200000.0,128700000.0,13188900000.0,6062800000.0,6247700000.0,1500000.0,190800000.0,0.0,870200000.0,-243300000.0,1610700000.0,0.0,0.0,73900000.0,15249500000.0,13638800000.0,1448200000.0,677900000.0,989400000.0,4941700000.0,165300000.0,0.0,364400000.0,103430854.0,7738500000.0,52700000.0,446900000.0,-104700000.0,464100000.0,-11100000.0,-34700000.0,12200000.0,-87500000.0,-347300000.0,0.0,-43400000.0,1000000.0,-17200000.0,-276100000.0,104400000.0,377600000.0,365400000.0,2.49,508700000.0,873100000.0,2.47,318100000.0,0.0,364400000.0,61000000.0,257100000.0,47300000.0,103200000.0,257100000.0,503200000.0,508700000.0,1376300000.0,257100000.0,0.0,0.0,0.0,6.0,0.122044676341105,0.63438203879968,1.11220825852783,7738500000.0,0.63438203879968,13.3064742944112,-0.426267281105991,0.638392453317826,0.12697046901364,74.8181002160148,0.0630338546663841
10,2018,3,2018-09-30 00:00:00+00:00,7690200000.0,4414300000.0,130200000.0,13288300000.0,5570900000.0,6038400000.0,801600000.0,212200000.0,0.0,847800000.0,-199600000.0,1608000000.0,0.0,0.0,76200000.0,15245100000.0,13637100000.0,2119300000.0,613800000.0,1003200000.0,5215900000.0,163700000.0,0.0,363400000.0,103345379.0,7554900000.0,27100000.0,404300000.0,-19800000.0,418200000.0,400000.0,15200000.0,12100000.0,-6000000.0,-457200000.0,0.0,-42200000.0,-58400000.0,-13900000.0,-423300000.0,104600000.0,372100000.0,360000000.0,2.39,462500000.0,840000000.0,2.37,311600000.0,0.0,377500000.0,64000000.0,247600000.0,48400000.0,103400000.0,247600000.0,478700000.0,462500000.0,1318700000.0,247600000.0,0.0,0.0,0.0,7.0,0.136908354168463,0.636990975961174,0.758741093757373,7554900000.0,0.636990975961174,12.7601254430544,0.28494623655914,0.58429628453057,0.156692719786404,73.1034137481851,0.0766959451900618
11,2018,2,2018-06-30 00:00:00+00:00,8058100000.0,4821700000.0,138600000.0,13353400000.0,5991700000.0,5833400000.0,801700000.0,201900000.0,0.0,849300000.0,-204600000.0,1651100000.0,0.0,0.0,77800000.0,15361000000.0,13709900000.0,2066400000.0,620000000.0,992400000.0,5623400000.0,165200000.0,0.0,421800000.0,103160340.0,7302900000.0,28000000.0,250200000.0,-1159100000.0,266100000.0,-19400000.0,10100000.0,12600000.0,-1143400000.0,968000000.0,0.0,-42400000.0,55600000.0,-15900000.0,1000000000.0,104400000.0,369200000.0,356600000.0,2.21,461600000.0,815900000.0,2.19,313400000.0,0.0,354300000.0,85000000.0,228400000.0,43200000.0,103200000.0,228400000.0,477800000.0,461600000.0,1293700000.0,228400000.0,0.0,0.0,0.0,6.0,0.140125143209659,0.630671716781325,0.799022454510259,7302900000.0,0.630671716781325,12.5406721226394,0.255681818181818,0.660244560380123,0.154623752707967,70.7917403141556,0.0740644019941801
