,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,4350394000.0,3074370000.0,48192000.0,0.0,3720274000.0,-3988550000.0,45334000.0,0.0,0.0,182698000.0,-574000.0,209147000.0,20326000.0,15062000.0,0.0,6012898000.0,5803751000.0,630120000.0,0.0,62319000.0,3119704000.0,84554000.0,5264000.0,517000.0,256080133.0,1662504000.0,15267000.0,-96780000.0,173665000.0,-24294000.0,0.0,548000.0,-284612000.0,245012000.0,-149422000.0,1139000.0,0.0,-51000.0,-72486000.0,-149481000.0,239895000.0,-1021912000.0,-737300000.0,-2.83,687128000.0,-42351000.0,-2.83,-785299000.0,0.0,-729479000.0,-105251000.0,-680048000.0,47999000.0,239895000.0,-680048000.0,341696000.0,38153000.0,299345000.0,-680048000.0,0.0,8086000.0,0.0,2.0,-0.51908200724562,-0.141478895588702,0.331916142956897,1662504000.0,-0.141478895588702,1.16895050191184,24.7272727272727,1.84924066348111,-1.12782328593864,6.49212408836104,-0.387571195087885
1,2020-06-30 00:00:00+00:00,2,2020,4116395000.0,3200237000.0,56090000.0,0.0,3586142000.0,-3308502000.0,59334000.0,0.0,0.0,169151000.0,-644000.0,331839000.0,146236000.0,2984000.0,0.0,6452211000.0,6120372000.0,530253000.0,0.0,167548000.0,3259571000.0,97494000.0,143252000.0,568000.0,255747337.0,2335816000.0,22637000.0,-49979000.0,-124494000.0,78762000.0,0.0,-315000.0,104626000.0,12000.0,45772000.0,4235000.0,0.0,40000.0,-128741000.0,46885000.0,239472000.0,-36599000.0,-141225000.0,-0.61,179775000.0,29559000.0,-0.61,-189849000.0,0.0,-150216000.0,-43280000.0,-146569000.0,48624000.0,239472000.0,-146569000.0,346987000.0,38288000.0,376546000.0,-146569000.0,0.0,8027000.0,0.0,3.0,-0.557748209187143,0.0785003691448057,0.625812583804335,2335816000.0,0.0785003691448057,1.47233595632708,-2.32608695652174,1.37007238583861,-0.648455773216247,9.13329549155775,-0.257396657573574
2,2020-03-31 00:00:00+00:00,1,2020,4115050000.0,3223797000.0,6051773000.0,0.0,3624925000.0,-3161859000.0,0.0,0.0,0.0,188162000.0,-715000.0,467117000.0,263555000.0,6208000.0,0.0,6589638000.0,6122521000.0,490125000.0,0.0,210803000.0,3223797000.0,163277000.0,257347000.0,528000.0,254715325.0,2474588000.0,476000.0,-17163000.0,-139865000.0,124506000.0,0.0,-22535000.0,179986000.0,1059000.0,15341000.0,745000.0,0.0,-18000.0,-141669000.0,39430000.0,247684000.0,422697000.0,242711000.0,0.58,227788000.0,335477000.0,0.58,195193000.0,0.0,107689000.0,50218000.0,144975000.0,47518000.0,246218000.0,144975000.0,358443000.0,42254000.0,693920000.0,144975000.0,0.0,7077000.0,0.0,6.0,-0.0724693471917577,0.483451982937514,0.953056873246621,2474588000.0,0.483451982937514,2.72429623148902,57.0,1.3027611060912,-0.477945220372298,9.71511235140642,-0.197925230838582
3,2019-12-31 00:00:00+00:00,4,2019,4264915000.0,3214005000.0,67428000.0,0.0,3698371000.0,-3306834000.0,0.0,0.0,0.0,272900000.0,-788000.0,427802000.0,137554000.0,706000.0,0.0,6612403000.0,6184601000.0,566544000.0,0.0,160196000.0,3214005000.0,155341000.0,136848000.0,546000.0,251426800.0,2347488000.0,10481000.0,-25060000.0,-158699000.0,132412000.0,0.0,-6908000.0,1226503000.0,410000.0,26479000.0,-1637000.0,-4993000.0,192000.0,-157472000.0,38393000.0,245411000.0,-1033652000.0,-2260155000.0,-7.27,2479391000.0,216806000.0,-7.27,-2304179000.0,0.0,-2262585000.0,-498859000.0,-1805320000.0,44024000.0,248246000.0,-1805320000.0,388798000.0,42793000.0,605604000.0,-1805320000.0,0.0,9350000.0,0.0,2.0,-0.435406386317086,0.357999616911381,0.755108164590923,2347488000.0,0.357999616911381,2.40866924289694,0.0139470013947001,1.36912520958574,-0.465417668547088,9.33666578105437,-0.19710574575795
5,2019-09-30 00:00:00+00:00,3,2019,4696007000.0,3174340000.0,8349095000.0,0.0,4138577000.0,-1496521000.0,0.0,25895000.0,0.0,249190000.0,-478000.0,412458000.0,156847000.0,19828000.0,0.0,8854199000.0,8441741000.0,557430000.0,0.0,661216000.0,3174340000.0,163327000.0,137019000.0,354000.0,251378410.0,4158192000.0,683000.0,-73703000.0,574090000.0,103915000.0,0.0,154000.0,-280223000.0,750161000.0,-678158000.0,1547000.0,-5028000.0,-153000.0,-177618000.0,-673256000.0,248082000.0,-308026000.0,-27803000.0,-0.11,234302000.0,203514000.0,-0.11,-74800000.0,0.0,-30788000.0,-47219000.0,-27581000.0,46997000.0,248082000.0,-27581000.0,418931000.0,41047000.0,622445000.0,-27581000.0,0.0,11013000.0,0.0,3.0,-0.232709790748559,0.326959008426447,0.739927883321673,4158192000.0,0.326959008426447,2.47612752423726,-1.57894736842105,0.763394282899876,-0.407081556496237,16.5415637723224,-0.176703174428439
6,2019-06-30 00:00:00+00:00,2,2019,5546055000.0,3832352000.0,9176913000.0,0.0,4932424000.0,-1463912000.0,0.0,26706000.0,0.0,289295000.0,-538000.0,459099000.0,163136000.0,20545000.0,0.0,9728308000.0,9269209000.0,613631000.0,0.0,712495000.0,3832352000.0,193190000.0,142591000.0,507000.0,251148010.0,4182253000.0,-385000.0,-14277000.0,-163954000.0,184822000.0,0.0,339000.0,141505000.0,34034000.0,-20849000.0,1111000.0,-5026000.0,19000.0,-199099000.0,-15980000.0,248436000.0,348516000.0,207011000.0,0.46,198212000.0,405223000.0,0.46,155284000.0,0.0,207011000.0,40099000.0,115185000.0,51727000.0,247770000.0,115185000.0,446206000.0,50631000.0,851429000.0,115185000.0,0.0,8109000.0,0.0,4.0,0.297546115114053,0.475932814127778,0.748167872874741,4182253000.0,0.475932814127778,3.39014830338492,-2.4375,0.91633672090139,-0.353009869142602,16.6525428570985,-0.156264810628414
7,2019-03-31 00:00:00+00:00,1,2019,5572401000.0,3832408000.0,9163423000.0,0.0,4901601000.0,-1574070000.0,0.0,25128000.0,0.0,356716000.0,-598000.0,388478000.0,14552000.0,8406000.0,0.0,9635064000.0,9246586000.0,670800000.0,0.0,672376000.0,3832408000.0,215073000.0,6146000.0,488000.0,250161892.0,4062663000.0,14112000.0,46458000.0,-211959000.0,260694000.0,0.0,174000.0,138718000.0,332000.0,-48792000.0,1945000.0,-5023000.0,-57000.0,-214236000.0,-40782000.0,249154000.0,197362000.0,58644000.0,0.01,209807000.0,268640000.0,0.01,7107000.0,0.0,58833000.0,5688000.0,1419000.0,51537000.0,247776000.0,1419000.0,479497000.0,46638000.0,748137000.0,1419000.0,0.0,8211000.0,0.0,3.0,0.00745759151305081,0.359078617953664,0.579126416219439,4062663000.0,0.359078617953664,2.99061137577261,-0.95,0.943324120164532,-0.364261691258932,16.2401354079941,-0.166774209836541
8,2018-12-31 00:00:00+00:00,4,2018,5648723000.0,3836861000.0,9032961000.0,0.0,4893912000.0,-1570462000.0,0.0,0.0,0.0,490723000.0,-658000.0,602185000.0,92795000.0,4842000.0,0.0,9708154000.0,9105969000.0,754811000.0,0.0,666668000.0,3836861000.0,227344000.0,87953000.0,545000.0,249505145.0,4059431000.0,-11495000.0,25992000.0,111114000.0,215743000.0,0.0,1234000.0,147909000.0,300210000.0,-326669000.0,655000.0,-4990000.0,188000.0,-189751000.0,-322873000.0,244047000.0,-1636136000.0,-1784045000.0,-7.17,2284289000.0,500244000.0,-7.17,-1833206000.0,0.0,-1784045000.0,-68784000.0,-1764422000.0,49161000.0,246636000.0,-1764422000.0,572393000.0,50090000.0,1072637000.0,-1764422000.0,0.0,10600000.0,0.0,4.0,0.579656039774267,0.4663683986288,0.79779573959574,4059431000.0,0.4663683986288,4.29905764067511,-9.0561797752809,0.945172118949675,-0.325299718104658,16.2699290229065,-0.154793733333762
10,2018-09-30 00:00:00+00:00,3,2018,6048848000.0,4160900000.0,9725138000.0,1641197000.0,5294981000.0,198950000.0,0.0,24488000.0,0.0,397536000.0,-1124000.0,422484000.0,1217000.0,1114000.0,0.0,11866136000.0,11443652000.0,753867000.0,0.0,731723000.0,4160900000.0,225874000.0,103000.0,357000.0,249454545.0,5817288000.0,7085000.0,20382000.0,-180907000.0,229432000.0,0.0,2864000.0,164266000.0,23973000.0,-48583000.0,4170000.0,-4990000.0,-58000.0,-209050000.0,-46335000.0,247166000.0,291743000.0,127477000.0,0.19,222753000.0,350230000.0,0.19,72676000.0,0.0,127477000.0,24137000.0,48539000.0,54801000.0,246451000.0,48539000.0,460995000.0,43722000.0,811225000.0,48539000.0,0.0,8299000.0,0.0,4.0,0.682229715157849,0.431729791364911,0.560422461787026,5817288000.0,0.431729791364911,3.25199526831632,-1.36538461538462,0.715264570019569,0.0412460667091645,23.3200321124636,0.0202858793352164
11,2018-06-30 00:00:00+00:00,2,2018,6062042000.0,4207162000.0,9718312000.0,1641197000.0,5322033000.0,155432000.0,0.0,21967000.0,0.0,362490000.0,-1194000.0,384872000.0,3295000.0,3295000.0,0.0,11826077000.0,11441205000.0,740009000.0,0.0,707563000.0,4207162000.0,248226000.0,0.0,415000.0,249237217.0,5764035000.0,15640000.0,-115017000.0,-290221000.0,174943000.0,0.0,5014000.0,176328000.0,326000.0,115166000.0,-587000.0,-4989000.0,-112000.0,-289960000.0,115503000.0,245880000.0,121836000.0,-54492000.0,-0.32,292791000.0,238299000.0,-0.32,-108354000.0,0.0,-54492000.0,-28518000.0,-79836000.0,53862000.0,245880000.0,-79836000.0,417885000.0,47583000.0,656184000.0,-79836000.0,0.0,7499000.0,0.0,3.0,-0.0251474125367138,0.363158809114517,0.520090971866558,5764035000.0,0.363158809114517,2.63276892551725,-2.14285714285714,0.72989876015673,0.0109796524972372,23.1267026224258,0.00536088779820908
