,year,quarter,date,statementData.balanceSheet.totalAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debt,statementData.balanceSheet.equity,statementData.balanceSheet.deferredRev,statementData.balanceSheet.inventory,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.investments,statementData.balanceSheet.accoci,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncf,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.nonControllingInterests,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,4,2020-09-27 00:00:00+00:00,29374500000.0,29827100000.0,4350900000.0,25258800000.0,-7810800000.0,8055000000.0,1551400000.0,21568100000.0,1789900000.0,7806400000.0,1169000000.0,22321300000.0,0.0,7346800000.0,98200000.0,37173900000.0,883400000.0,14375500000.0,4149300000.0,966000000.0,-364600000.0,-7815600000.0,2937500000.0,684800000.0,281200000.0,997900000.0,1145500000.0,-779700000.0,-497600000.0,1576800000.0,53800000.0,-345200000.0,-29600000.0,60600000.0,-379800000.0,0.0,-479300000.0,199900000.0,1490700000.0,385000000.0,1976700000.0,439000000.0,567200000.0,1170400000.0,124900000.0,49700000.0,6203100000.0,0.0,3780300000.0,392600000.0,446100000.0,1179100000.0,0.0,392600000.0,0.33,442300000.0,392700000.0,0.34,0.0,4226400000.0,2144000000.0,100000.0,6.0,-0.0806136060471321,0.681336750979349,1.06255784831491,-7799400000.0,0.681336750979349,5.30633019674936,-0.514705882352941,-2.85774824601833,-0.120862953415098,-6.67185628742515,0.0326506063294623
2,2020,3,2020-06-28 00:00:00+00:00,29140600000.0,29762900000.0,3965900000.0,25722400000.0,-8621600000.0,8105900000.0,1583800000.0,21559600000.0,1740000000.0,7581000000.0,1168300000.0,22299200000.0,0.0,8002000000.0,90900000.0,37764900000.0,881100000.0,14509600000.0,4109700000.0,879400000.0,-529900000.0,-8208300000.0,3423200000.0,649500000.0,229900000.0,860800000.0,-747800000.0,2342900000.0,2817300000.0,377100000.0,2200000.0,-380100000.0,-186800000.0,41400000.0,-583800000.0,0.0,-479000000.0,33500000.0,-367700000.0,1393600000.0,1484000000.0,399900000.0,-691500000.0,1168500000.0,120800000.0,-133900000.0,4222100000.0,0.0,3510400000.0,-678400000.0,-772300000.0,1168500000.0,0.0,-678400000.0,-0.58,-812300000.0,-678100000.0,-0.58,0.0,2738100000.0,-314400000.0,300000.0,4.0,-0.381195954858567,0.648516141256721,0.94738815296176,-8624300000.0,0.648516141256721,3.61388342035436,-1.51327433628319,-2.58643407256194,-0.183702178761366,-7.38192245142515,0.0516943064813885
3,2020,2,2020-03-29 00:00:00+00:00,27478900000.0,26746000000.0,2572300000.0,22919100000.0,-7530100000.0,8121800000.0,1492200000.0,21729000000.0,1709700000.0,5749900000.0,1173700000.0,19309100000.0,0.0,8265800000.0,86700000.0,35011800000.0,941000000.0,14647800000.0,4171700000.0,672600000.0,-521800000.0,-7050600000.0,3610000000.0,619700000.0,52900000.0,997700000.0,-1725300000.0,1273100000.0,2348900000.0,377700000.0,-18400000.0,-364000000.0,5000000.0,56300000.0,-361600000.0,0.0,-481000000.0,-575200000.0,-1361300000.0,-468200000.0,1997700000.0,406500000.0,493000000.0,1171800000.0,99200000.0,65400000.0,5995700000.0,0.0,3578500000.0,328400000.0,419500000.0,1180700000.0,0.0,328400000.0,0.28,393800000.0,324800000.0,0.28,0.0,3998000000.0,870700000.0,-3600000.0,3.0,-0.0491920265148512,0.666811214703871,0.695625347818723,-7532900000.0,0.666811214703871,5.1083752236517,-0.481481481481482,-2.56425545477484,-0.545757526968282,-6.41807957740479,0.142238801899203
4,2020,1,2019-12-29 00:00:00+00:00,27731300000.0,25814900000.0,3040500000.0,20630400000.0,-6759900000.0,8442900000.0,1408700000.0,21831600000.0,1731400000.0,5899700000.0,1181000000.0,18364900000.0,0.0,8675500000.0,1414000000.0,34490400000.0,908100000.0,14749400000.0,4255000000.0,679500000.0,-387400000.0,-6414800000.0,2265500000.0,611100000.0,68400000.0,1085600000.0,1441800000.0,-1123000000.0,497900000.0,369200000.0,27100000.0,-394300000.0,27900000.0,90300000.0,-386300000.0,0.0,-484200000.0,-1058300000.0,1836100000.0,353900000.0,2236400000.0,434200000.0,1236100000.0,1180400000.0,91900000.0,258500000.0,7097100000.0,0.0,3714800000.0,885700000.0,1145900000.0,1191000000.0,0.0,885700000.0,0.75,1144200000.0,885300000.0,0.74,0.0,4860700000.0,1605300000.0,-400000.0,6.0,0.0700167352661811,0.684885375716842,0.680041496167368,-6759100000.0,0.684885375716842,6.00939881456393,0.229508196721312,-2.71674137191379,-0.666553322476153,-5.72320067739204,0.174271703834024
5,2019,4,2019-09-29 00:00:00+00:00,19219600000.0,19281900000.0,2686600000.0,11167000000.0,-6233400000.0,8013400000.0,1529400000.0,13565700000.0,1765800000.0,5653900000.0,1197000000.0,11167000000.0,0.0,6168700000.0,1291700000.0,25450600000.0,879200000.0,6431700000.0,4272600000.0,686500000.0,-503300000.0,-5771200000.0,0.0,616000000.0,70500000.0,1189700000.0,582300000.0,-2634100000.0,0.0,365700000.0,-46500000.0,-525900000.0,4800000.0,52600000.0,-504300000.0,100000.0,-430600000.0,-2198100000.0,1108200000.0,-2076700000.0,2139500000.0,458400000.0,1100000000.0,1192400000.0,95700000.0,201500000.0,6747000000.0,0.0,3616100000.0,802800000.0,991400000.0,1205600000.0,0.0,802800000.0,0.68,1004300000.0,802400000.0,0.67,0.0,4607500000.0,1465700000.0,-400000.0,7.0,0.0703407576622883,0.682896101971247,0.916546436040008,-6231000000.0,0.682896101971247,5.63659147869674,0.172413793103448,-1.79147816600892,-0.779268015458059,-5.20551378446115,0.185208625986014
7,2019,3,2019-06-30 00:00:00+00:00,20894400000.0,19317600000.0,4763300000.0,11159100000.0,-4320600000.0,8018100000.0,1517200000.0,13159600000.0,1533000000.0,7734800000.0,1211200000.0,11159100000.0,0.0,5895800000.0,0.0,25213400000.0,790600000.0,6187800000.0,4417900000.0,635000000.0,-349000000.0,-4013900000.0,0.0,562900000.0,72100000.0,1145400000.0,734300000.0,1355100000.0,1921000000.0,360100000.0,-20800000.0,-435100000.0,39700000.0,63300000.0,204500000.0,635700000.0,-436200000.0,-62200000.0,1169400000.0,2708200000.0,2199600000.0,459700000.0,1762900000.0,1211000000.0,86400000.0,303700000.0,6823000000.0,0.0,3578100000.0,1372800000.0,1045300000.0,1223000000.0,0.0,1372800000.0,1.13,1676500000.0,1373200000.0,1.12,0.0,4623400000.0,2123000000.0,400000.0,5.0,0.0812481181560307,0.6776198153305,1.31191695783439,-4319000000.0,0.6776198153305,5.63325627476882,0.82258064516129,-2.58276628246077,-1.2831688175636,-3.56588507265522,0.171860560756707
8,2019,2,2019-03-31 00:00:00+00:00,17641900000.0,17403700000.0,2055100000.0,9216500000.0,-5036900000.0,8073300000.0,1443000000.0,12689600000.0,1006600000.0,4952300000.0,1243600000.0,9141500000.0,0.0,5273400000.0,0.0,22677100000.0,703600000.0,6135500000.0,4521800000.0,637800000.0,-271500000.0,-4807700000.0,75000000.0,561200000.0,76600000.0,1096700000.0,-23800000.0,-2919300000.0,75000000.0,372700000.0,23000000.0,-414200000.0,185600000.0,94800000.0,-200600000.0,48500000.0,-447800000.0,-2545900000.0,390400000.0,-2706500000.0,2012000000.0,458100000.0,898300000.0,1239200000.0,73900000.0,161200000.0,6305900000.0,0.0,3498500000.0,663200000.0,795400000.0,1250700000.0,0.0,663200000.0,0.54,824400000.0,658800000.0,0.53,0.0,4293900000.0,1271000000.0,-4400000.0,4.0,0.0454424881461586,0.680933728730237,0.939109492926764,-5035200000.0,0.680933728730237,5.07068189128337,0.148936170212766,-1.81490599376601,-4.39136732329085,-4.04889031843036,0.153583319508065
9,2019,1,2018-12-30 00:00:00+00:00,19981300000.0,17432600000.0,4761600000.0,9130700000.0,-2884900000.0,8377900000.0,1354600000.0,12305000000.0,650000000.0,7676300000.0,1240600000.0,9130700000.0,0.0,5427500000.0,0.0,22860100000.0,721400000.0,6039300000.0,4541900000.0,831300000.0,-343200000.0,-2584000000.0,0.0,601100000.0,230200000.0,1100500000.0,1947600000.0,-5858600000.0,-350000000.0,350800000.0,-4700000.0,-431400000.0,-62400000.0,97300000.0,-510400000.0,0.0,-446700000.0,-5006300000.0,2379000000.0,-3994700000.0,2175800000.0,448000000.0,1040700000.0,1242000000.0,75000000.0,205100000.0,6632700000.0,0.0,3509000000.0,760600000.0,947900000.0,1253400000.0,0.0,760600000.0,0.61,965700000.0,760400000.0,0.61,0.0,4456900000.0,1391500000.0,-200000.0,7.0,0.0920361558852101,0.671958629215855,1.41433440810686,-2878800000.0,0.671958629215855,5.3463646622602,-0.613924050632911,-3.16499705362404,1.73402991483575,-2.32049008544253,0.153598239201352
10,2018,4,2018-09-30 00:00:00+00:00,24156400000.0,17296400000.0,8756300000.0,9440100000.0,1169500000.0,8418600000.0,1400500000.0,11662200000.0,134700000.0,12494200000.0,1349100000.0,9090200000.0,0.0,5684200000.0,102800000.0,22980600000.0,693100000.0,5929100000.0,4583800000.0,783900000.0,-330300000.0,1457400000.0,349900000.0,602400000.0,181500000.0,1179300000.0,7864800000.0,-875100000.0,2687600000.0,344400000.0,-29300000.0,-568600000.0,-99900000.0,65300000.0,-664800000.0,0.0,-483200000.0,-3049600000.0,8433400000.0,6864200000.0,360900000.0,409200000.0,994900000.0,1337700000.0,63900000.0,175500000.0,6303600000.0,0.0,5074000000.0,755500000.0,868700000.0,1348700000.0,0.0,755500000.0,0.58,931000000.0,756100000.0,0.57,0.0,5942700000.0,1339300000.0,600000.0,6.0,0.10622466349613,0.942747001713307,2.19805777418106,1175800000.0,0.942747001713307,4.67244829886591,0.0545454545454545,7.77272338606242,1.15679585240183,0.871543992291157,0.233472203383262
12,2018,3,2018-07-01 00:00:00+00:00,17182100000.0,7633800000.0,1892100000.0,6798900000.0,3990700000.0,0.0,1387400000.0,11598700000.0,149100000.0,5583400000.0,1380000000.0,6149100000.0,0.0,5551600000.0,0.0,13185400000.0,854800000.0,5689600000.0,4770500000.0,669300000.0,-202700000.0,4150900000.0,649800000.0,584800000.0,84500000.0,921100000.0,704800000.0,-955200000.0,300000000.0,343900000.0,-52800000.0,-511100000.0,49100000.0,68500000.0,-457800000.0,0.0,-412300000.0,-844200000.0,1215900000.0,-249900000.0,2553400000.0,485900000.0,1072700000.0,1377100000.0,45400000.0,174800000.0,6310300000.0,0.0,2790100000.0,852500000.0,966800000.0,1388500000.0,0.0,852500000.0,0.62,1027300000.0,852000000.0,0.61,0.0,3756900000.0,1416600000.0,-500000.0,5.0,0.114598604610086,0.595359967038017,1.00572807839181,3996700000.0,0.595359967038017,4.57268115942029,0.291666666666667,1.54085749367279,0.91466582261946,2.89615942028986,0.269235148928493
