,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,51.44,51.61,50.96,51.55,6955482,49.2626532031,49.4254574613,48.8029705915,49.3679971349,6955482,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,51.52,51.77,51.04,51.2,5480500,49.3392669716,49.5786849985,48.8795843601,49.0328118973,5480500,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,51.81,52.48,51.64,51.93,5286130,49.6169918828,50.2586321947,49.4541876245,49.7319125357,5286130,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,52.01,52.05,51.47,51.99,5181800,49.8085263043,49.8468331885,49.2913833663,49.7893728621,5181800,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,52.24,52.33,51.84,51.9,4459691,50.0287908889,50.1149813786,49.645722046,49.7031823724,4459691,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,53.34,53.59,52.32,52.41,6577998,51.0822302071,51.3216482339,50.1054046575,50.1915951472,6577998,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,53.56,54.48,53.35,53.48,8718938,51.2929180707,52.1739764095,51.0918069281,51.2163043021,8718938,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,54.17,54.23,53.24,53.75,5142629,51.8770980562,51.9345583826,50.9864629963,51.4748757711,5142629,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,55.39,55.52,54.66,54.66,7515526,53.0454580272,53.1699554011,52.3463573888,52.3463573888,7515526,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,55.53,56.13,54.97,55.73,9240930,53.1795321222,53.7541353866,52.6432357421,53.3710665437,9240930,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,56.09,56.25,54.52,55.61,8298548,53.7158285023,53.8690560395,52.2122832937,53.2561458908,8298548,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,55.33,56.22,55.14,55.78,5816111,52.9879977007,53.8403258763,52.8060400003,53.418950149,5816111,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,55.48,55.6,55.15,55.44,7368346,53.1316485168,53.2465691697,52.8156167214,53.0933416325,7368346,0.0,1.0,,,,,
