,year,quarter,date,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,21261000000.0,320717000000.0,5686000000.0,0.0,2346000000.0,0.0,57044000000.0,31331000000.0,0.0,2995000000.0,419355000000.0,0.0,52006000000.0,326044000000.0,25441000000.0,388024000000.0,1288641882.0,7836000000.0,-7951000000.0,6000000.0,-327000000.0,18129000000.0,0.0,-130000000.0,-26000000000.0,-25817000000.0,122000000.0,-80000000.0,-700000000.0,33000000.0,-12000000.0,-210000000.0,615000000.0,1328000000.0,889000000.0,1011000000.0,83000000.0,0.0,1294000000.0,889000000.0,2448000000.0,889000000.0,0.48,191000000.0,2448000000.0,0.0,0.0,698000000.0,0.0,0.0,0.48,1289000000.0,698000000.0,1559000000.0,0.0075278370333748,2.0,31331000000.0,-0.314285714285714,1.89967440465357,1.0,0.250103731128914,-0.0970121726300258,24.3131939428925,1.0,0.101451511878069
1,2020,2,2020-06-30 00:00:00+00:00,20876000000.0,301566000000.0,5611000000.0,0.0,2314000000.0,0.0,66762000000.0,30815000000.0,0.0,3011000000.0,400484000000.0,0.0,50135000000.0,302087000000.0,21421000000.0,369669000000.0,1287412923.0,8526000000.0,-48394000000.0,6000000.0,-266000000.0,26298000000.0,0.0,-179000000.0,-58249000000.0,-60759000000.0,109000000.0,-16443000000.0,0.0,35000000.0,2768000000.0,-16622000000.0,621000000.0,1317000000.0,888000000.0,997000000.0,50000000.0,0.0,1294000000.0,888000000.0,2450000000.0,888000000.0,0.48,217000000.0,2450000000.0,0.0,0.0,671000000.0,0.0,0.0,0.48,1288000000.0,671000000.0,1562000000.0,0.00920063529613057,2.0,30815000000.0,-0.283582089552239,1.90304132903286,1.0,0.276683433392828,-0.0861618798955613,23.9355994098562,1.0,0.123452846761958
2,2020,1,2020-03-31 00:00:00+00:00,20487000000.0,277477000000.0,3995000000.0,0.0,2291000000.0,0.0,102767000000.0,26270000000.0,0.0,1227000000.0,370779000000.0,0.0,49251000000.0,240753000000.0,19001000000.0,344509000000.0,1286215799.0,8522000000.0,49130000000.0,23000000.0,-281000000.0,58208000000.0,0.0,-156000000.0,-19196000000.0,-19018000000.0,96000000.0,10118000000.0,1089000000.0,56000000.0,0.0,9962000000.0,757000000.0,1154000000.0,1047000000.0,1143000000.0,38000000.0,0.0,1294000000.0,1256000000.0,2617000000.0,1047000000.0,0.59,252000000.0,2617000000.0,0.0,0.0,795000000.0,0.0,0.0,0.58,1287000000.0,795000000.0,1361000000.0,0.0110090058782452,4.0,26270000000.0,-0.144927536231884,2.0346507965729,1.0,0.324400456794823,-0.0389276533235402,20.4242554168781,1.0,0.148110575703779
3,2019,4,2019-12-31 00:00:00+00:00,19960000000.0,220094000000.0,88000000.0,0.0,2128000000.0,0.0,49828000000.0,21745000000.0,0.0,1355000000.0,294005000000.0,0.0,39220000000.0,214340000000.0,21767000000.0,272260000000.0,1282287840.0,7430000000.0,13293000000.0,-203000000.0,-252000000.0,10284000000.0,0.0,-193000000.0,-1295000000.0,-1064000000.0,94000000.0,4304000000.0,0.0,52000000.0,0.0,4111000000.0,801000000.0,1299000000.0,1112000000.0,1206000000.0,51000000.0,0.0,1293000000.0,1112000000.0,2606000000.0,1112000000.0,0.63,260000000.0,2606000000.0,0.0,0.0,852000000.0,0.0,0.0,0.62,1284000000.0,852000000.0,1494000000.0,0.0124579552842081,5.0,21745000000.0,-0.0454545454545455,2.03230500883483,1.0,0.341687744309037,-0.0236043461970775,16.95797099659,1.0,0.163916135930454
5,2019,3,2019-09-30 00:00:00+00:00,19374000000.0,209327000000.0,144000000.0,0.0,2017000000.0,0.0,36416000000.0,21354000000.0,0.0,1227000000.0,278987000000.0,0.0,37358000000.0,214069000000.0,22386000000.0,257633000000.0,1307183112.0,7427000000.0,-1898000000.0,-792000000.0,-271000000.0,-111000000.0,0.0,-205000000.0,-7189000000.0,-6957000000.0,88000000.0,5402000000.0,0.0,36000000.0,0.0,5197000000.0,913000000.0,1303000000.0,1236000000.0,1324000000.0,38000000.0,0.0,1308000000.0,1236000000.0,2711000000.0,1236000000.0,0.7,285000000.0,2711000000.0,0.0,0.0,951000000.0,0.0,0.0,0.7,1300000000.0,951000000.0,1475000000.0,0.0127268961444732,5.0,21354000000.0,0.0606060606060606,2.07392520230173,1.0,0.347803690175143,0.0511826289259403,16.3358903614722,1.0,0.169944332638962
6,2019,2,2019-06-30 00:00:00+00:00,18680000000.0,208375000000.0,99000000.0,0.0,1909000000.0,0.0,38345000000.0,21320000000.0,0.0,1227000000.0,276321000000.0,0.0,35635000000.0,210151000000.0,21891000000.0,255001000000.0,1335009396.0,7424000000.0,-7506000000.0,-1133000000.0,-261000000.0,-11883000000.0,0.0,-171000000.0,2163000000.0,2350000000.0,84000000.0,2214000000.0,593000000.0,39000000.0,0.0,2043000000.0,887000000.0,1257000000.0,1236000000.0,1320000000.0,50000000.0,0.0,1337000000.0,1236000000.0,2681000000.0,1236000000.0,0.67,299000000.0,2681000000.0,0.0,0.0,937000000.0,0.0,0.0,0.66,1328000000.0,937000000.0,1445000000.0,0.0127052814528429,5.0,21320000000.0,0.116666666666667,2.00822556607684,1.0,0.348217636022514,0.0784392598551891,15.9699250536211,1.0,0.169664531255551
7,2019,1,2019-03-31 00:00:00+00:00,18017000000.0,219454000000.0,-71000000.0,0.0,1813000000.0,0.0,46482000000.0,21625000000.0,0.0,1227000000.0,282815000000.0,0.0,31303000000.0,209456000000.0,21145000000.0,261190000000.0,1332893531.0,6829000000.0,3461000000.0,26000000.0,-276000000.0,-12229000000.0,0.0,-139000000.0,18285000000.0,18399000000.0,83000000.0,-2595000000.0,0.0,56000000.0,0.0,-2734000000.0,925000000.0,1082000000.0,1264000000.0,1347000000.0,39000000.0,0.0,1344000000.0,1464000000.0,2723000000.0,1264000000.0,0.69,300000000.0,2723000000.0,0.0,0.0,964000000.0,0.0,0.0,0.69,1333000000.0,964000000.0,1259000000.0,0.0126041852865539,4.0,21625000000.0,0.254545454545454,2.042923862011,1.0,0.315791907514451,0.135529608006672,16.2241015482879,1.0,0.16860115829188
8,2018,4,2018-12-31 00:00:00+00:00,17329000000.0,231423000000.0,-252000000.0,0.0,1769000000.0,0.0,41501000000.0,20670000000.0,0.0,1227000000.0,296482000000.0,0.0,32726000000.0,227196000000.0,21651000000.0,275812000000.0,1350452801.0,6878000000.0,11133000000.0,-983000000.0,-208000000.0,17867000000.0,0.0,-170000000.0,-14535000000.0,-14343000000.0,80000000.0,7801000000.0,1085000000.0,84000000.0,0.0,7631000000.0,885000000.0,1267000000.0,1210000000.0,1290000000.0,50000000.0,0.0,1355000000.0,1210000000.0,2669000000.0,1210000000.0,0.66,275000000.0,2669000000.0,0.0,0.0,935000000.0,0.0,0.0,0.66,1345000000.0,935000000.0,1459000000.0,0.0123435046431822,6.0,20670000000.0,0.609756097560976,1.976374145045,1.0,0.332752781809386,0.190454950936664,15.3059773615887,1.0,0.164535221361407
10,2018,3,2018-09-30 00:00:00+00:00,16615000000.0,213408000000.0,-304000000.0,0.0,1683000000.0,0.0,30317000000.0,20834000000.0,0.0,1227000000.0,272102000000.0,0.0,29373000000.0,213574000000.0,23209000000.0,251268000000.0,1351062783.0,5790000000.0,8176000000.0,9000000.0,-225000000.0,13267000000.0,0.0,-147000000.0,-6366000000.0,-6196000000.0,78000000.0,1275000000.0,-2000000.0,30000000.0,0.0,1128000000.0,885000000.0,1154000000.0,1219000000.0,1297000000.0,38000000.0,0.0,1364000000.0,1219000000.0,2579000000.0,1219000000.0,0.66,296000000.0,2579000000.0,0.0,0.0,923000000.0,0.0,0.0,0.65,1351000000.0,923000000.0,1360000000.0,0.0116773175711647,6.0,20834000000.0,0.534883720930233,1.90886762069887,1.0,0.277911106844581,0.191224018475751,15.4204528924545,1.0,0.152006701698271
11,2018,2,2018-06-30 00:00:00+00:00,15903000000.0,199922000000.0,-278000000.0,0.0,1599000000.0,0.0,24262000000.0,20097000000.0,0.0,1320000000.0,261882000000.0,0.0,33666000000.0,209408000000.0,23376000000.0,241785000000.0,1349185040.0,5789000000.0,1293000000.0,50000000.0,-170000000.0,11276000000.0,0.0,-131000000.0,-13115000000.0,-12973000000.0,75000000.0,3132000000.0,1659000000.0,33000000.0,0.0,3001000000.0,813000000.0,1158000000.0,1131000000.0,1206000000.0,53000000.0,0.0,1364000000.0,1131000000.0,2486000000.0,1131000000.0,0.6,265000000.0,2486000000.0,0.0,0.0,866000000.0,0.0,0.0,0.6,1350000000.0,866000000.0,1355000000.0,0.0109084627968177,6.0,20097000000.0,0.5,1.84259380759217,1.0,0.288052943225357,0.167136150234742,14.8956587896943,1.0,0.141302201924216
