,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,49.42,49.81,49.18,49.49,1837217,47.0521333695,47.4234472508,46.8236325194,47.1187794507,1837217,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,49.46,49.55,49.27,49.47,1647769,47.0902168445,47.1759046632,46.9093203382,47.0997377132,1647769,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,49.57,49.85,49.44,49.54,1733889,47.1949464007,47.4615307258,47.071175107,47.1663837945,1733889,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,49.42,49.83,49.24,49.72,2240392,47.0521333695,47.4424889883,46.880757732,47.337759432,2240392,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,49.64,49.86,49.38,49.42,1951815,47.261592482,47.4710515945,47.0140498945,47.0521333695,1951815,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,48.97,49.72,48.93,49.62,2551597,46.6236942757,47.337759432,46.5856108007,47.2425507445,2551597,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,48.66,48.96,48.59,48.92,2172599,46.3285473444,46.6141734069,46.2619012631,46.5760899319,2172599,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,48.65,48.9,48.22,48.72,2727446,46.3190264756,46.5570481944,45.9096291193,46.3856725569,2727446,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,48.86,49.07,48.67,48.93,2076952,46.5189647194,46.7189029632,46.3380682131,46.5856108007,2076952,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,48.43,49.13,48.2,49.02,2354466,46.1095673631,46.7760281757,45.8905873818,46.6712986194,2354466,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,48.5,48.81,48.46,48.79,2012121,46.1762134443,46.4713603756,46.1381299693,46.4523186381,2012121,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,48.74,48.88,48.38,48.38,1611291,46.4047142944,46.5380064569,46.0619630193,46.0619630193,1611291,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,49.1,49.46,49.02,49.02,2340714,46.7474655694,47.0902168445,46.6712986194,46.6712986194,2340714,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,48.97,49.29,48.54,49.1,1847879,46.6236942757,46.9283620757,46.2142969194,46.7474655694,1847879,0.0,1.0,10723287339.6993,13387287339.6993,11.10430839,73.952261894,-0.1008452497
14,2018-01-23 00:00:00+00:00,49.0,49.2,48.61,48.82,1220391,46.6522568819,46.8426742569,46.2809430006,46.4808812444,1220391,0.0,1.0,10729856639.6827,13393856639.6827,11.1111111111,73.9975665266,-0.1009070295
15,2018-01-24 00:00:00+00:00,48.9,49.45,48.57,49.2,1496275,46.5570481944,47.0806959757,46.2428595256,46.8426742569,1496275,0.0,1.0,10707958973.0711,13371958973.0711,11.0884353741,73.8465510847,-0.1007010968
