,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,237.38,237.55,233.35,235.89,394998,237.38,237.55,233.35,235.89,394998,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,237.67,238.3404,234.355,236.96,338890,237.67,238.3404,234.355,236.96,338890,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,239.94,241.78,238.18,239.57,721807,239.94,241.78,238.18,239.57,721807,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,243.85,244.435,240.05,241.86,390073,243.85,244.435,240.05,241.86,390073,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,243.58,244.045,241.16,243.89,405154,243.58,244.045,241.16,243.89,405154,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,246.89,249.45,244.81,245.76,298334,246.89,249.45,244.81,245.76,298334,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,249.65,254.1,247.22,247.22,279115,249.65,254.1,247.22,247.22,279115,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,250.65,253.1986,247.89,251.14,265123,250.65,253.1986,247.89,251.14,265123,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,253.18,253.41,250.18,252.14,344514,253.18,253.41,250.18,252.14,344514,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,251.7,257.24,250.12,255.01,417247,251.7,257.24,250.12,255.01,417247,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,254.62,254.91,249.73,253.71,267638,254.62,254.91,249.73,253.71,267638,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,253.99,257.11,253.26,254.8,325747,253.99,257.11,253.26,254.8,325747,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,256.32,256.655,253.51,253.61,376471,256.32,256.655,253.51,253.61,376471,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,259.35,259.455,255.44,256.78,305729,259.35,259.455,255.44,256.78,305729,0.0,1.0,13678308066.15,12484455066.15,27.8272532189,3.1667038398,1.7145178596
14,2018-01-23 00:00:00+00:00,261.34,262.87,257.05,258.89,440090,261.34,262.87,257.05,258.89,440090,0.0,1.0,13783262116.86,12589409116.86,28.0407725322,3.1910020493,1.7276734044
15,2018-01-24 00:00:00+00:00,260.72,263.09,258.72,262.64,399829,260.72,263.09,258.72,262.64,399829,0.0,1.0,13750562864.88,12556709864.88,27.974248927,3.1834317529,1.723574692
