,year,quarter,date,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.deposits,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.equity,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.eps,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netinc,statementData.incomeStatement.revenue,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.taxExp,statementData.incomeStatement.shareswa,statementData.incomeStatement.sga,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebt,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2021,2,2020-10-31 00:00:00+00:00,5293000000.0,0.0,0.0,14862600000.0,0.0,12624600000.0,-327500000.0,857200000.0,8515000000.0,3010900000.0,0.0,1357100000.0,2086100000.0,1272800000.0,405600000.0,16929700000.0,0.0,577000000.0,993800000.0,2692800000.0,8414700000.0,0.0,4020200000.0,2067100000.0,5721900000.0,114073840.0,500000.0,-900000.0,0.0,113600000.0,-102300000.0,-318500000.0,0.0,378700000.0,-216100000.0,9000000.0,7500000.0,-52400000.0,-51700000.0,326300000.0,0.0,0.0,0.0,2.02,45100000.0,1215800000.0,437400000.0,230800000.0,230800000.0,2034000000.0,380800000.0,0.0,72700000.0,114073840.0,382800000.0,2.02,462200000.0,303500000.0,230800000.0,818200000.0,348600000.0,0.052284596655328,0.0389212381244253,8515000000.0,0.76763963161022,0.0918918918918918,0.402261553588987,17.8305560678943,0.472131532589548,0.402261553588987,74.6446336863912,8.0,0.106136086570444
1,2021,1,2020-07-31 00:00:00+00:00,5517000000.0,0.0,0.0,14917500000.0,0.0,12682300000.0,-360900000.0,780600000.0,8345200000.0,2882300000.0,0.0,1353900000.0,2086900000.0,731700000.0,396600000.0,16902300000.0,0.0,497600000.0,995000000.0,2073100000.0,8557100000.0,0.0,4785300000.0,1984800000.0,6484000000.0,114043184.0,3000000.0,-4600000.0,0.0,113700000.0,-100100000.0,-357300000.0,0.0,409000000.0,-252200000.0,5500000.0,5900000.0,-76600000.0,-49200000.0,332400000.0,0.0,0.0,0.0,2.08,46100000.0,1196400000.0,414300000.0,237000000.0,237000000.0,1971800000.0,361100000.0,0.0,76600000.0,114043184.0,357500000.0,2.08,473400000.0,313600000.0,237000000.0,775400000.0,359700000.0,0.0512274163854627,0.108437798639609,8345200000.0,0.957406782113743,0.529411764705882,0.393244750988944,17.2899416768301,0.5734194507022,0.393244750988944,73.1757892694402,9.0,0.10510398819577
2,2020,4,2020-04-30 00:00:00+00:00,5777800000.0,0.0,0.0,14997700000.0,0.0,12733500000.0,-379000000.0,782000000.0,8190900000.0,2746800000.0,0.0,1351600000.0,2117800000.0,284500000.0,391100000.0,16970400000.0,0.0,551400000.0,895300000.0,1587100000.0,8779500000.0,0.0,5493300000.0,1972700000.0,7192400000.0,114037925.0,-4500000.0,200000.0,0.0,113400000.0,-100100000.0,127400000.0,0.0,287700000.0,235000000.0,316700000.0,7000000.0,-74000000.0,-93900000.0,213700000.0,0.0,0.0,0.0,1.99,45600000.0,1303600000.0,441700000.0,226300000.0,226300000.0,2092000000.0,346700000.0,0.0,72100000.0,114037925.0,373400000.0,1.99,457400000.0,298400000.0,226300000.0,788400000.0,344000000.0,0.0464062676739714,0.0998370222385785,8190900000.0,1.24295885577468,2.15873015873016,0.376864244741874,18.3447743371339,0.670658901952166,0.376864244741874,71.8261052189436,7.0,0.0960439621368703
4,2020,3,2020-01-31 00:00:00+00:00,5568300000.0,0.0,0.0,15033500000.0,0.0,12804200000.0,-266300000.0,575000000.0,8170400000.0,2620500000.0,0.0,1364200000.0,2079700000.0,851500000.0,74400000.0,16636200000.0,0.0,477300000.0,958800000.0,2077400000.0,8465800000.0,0.0,4716800000.0,1602700000.0,6388400000.0,114056389.0,-1700000.0,-800000.0,0.0,112100000.0,-100100000.0,-420900000.0,0.0,521600000.0,-319700000.0,25600000.0,6100000.0,-56500000.0,-73400000.0,465100000.0,0.0,0.0,0.0,1.64,45100000.0,1212300000.0,471000000.0,187400000.0,187400000.0,1972300000.0,289000000.0,0.0,55100000.0,114056389.0,358900000.0,1.64,399700000.0,242500000.0,187400000.0,760000000.0,287600000.0,0.0373344728306098,-0.0196828868234008,8170400000.0,0.771493212669683,0.532710280373832,0.385336916290625,17.2923237119141,0.57730343679624,0.385336916290625,71.6347420046763,8.0,0.0774968288575514
5,2020,2,2019-10-31 00:00:00+00:00,5872500000.0,0.0,0.0,15131800000.0,0.0,12916300000.0,-248400000.0,521800000.0,8095300000.0,2533000000.0,0.0,1377600000.0,2068700000.0,1171800000.0,48800000.0,16791000000.0,0.0,522400000.0,1013300000.0,2310100000.0,8695700000.0,0.0,4700700000.0,1659200000.0,6385600000.0,114047747.0,700000.0,-600000.0,0.0,111400000.0,-100100000.0,-172600000.0,0.0,224000000.0,-72900000.0,0.0,7500000.0,-63400000.0,-52100000.0,160600000.0,0.0,0.0,0.0,1.85,49100000.0,1203800000.0,424200000.0,211200000.0,211200000.0,1957800000.0,329800000.0,0.0,67900000.0,114047747.0,361500000.0,1.85,439600000.0,279100000.0,211200000.0,754000000.0,328200000.0,0.0332453158587654,-0.0315112540192926,8095300000.0,0.71823730574434,0.114457831325301,0.385126162018592,17.1664943104926,0.580670265462676,0.385126162018592,70.9816740176375,5.0,0.0696305666597082
6,2020,1,2019-07-31 00:00:00+00:00,5936300000.0,0.0,0.0,15178100000.0,0.0,12974400000.0,-216700000.0,503100000.0,8007700000.0,2421900000.0,0.0,1387200000.0,2058400000.0,1138100000.0,48800000.0,16791600000.0,0.0,473700000.0,1013300000.0,2290800000.0,8783900000.0,0.0,4798200000.0,1613500000.0,6493100000.0,113742653.0,700000.0,4100000.0,0.0,109600000.0,-96500000.0,-222600000.0,0.0,221500000.0,-130000000.0,-52500000.0,6200000.0,-73000000.0,-52100000.0,148500000.0,0.0,0.0,0.0,1.36,49400000.0,1079300000.0,442000000.0,154600000.0,154600000.0,1778900000.0,257600000.0,0.0,52100000.0,113742653.0,380500000.0,1.36,365700000.0,206700000.0,154600000.0,699600000.0,256100000.0,0.0317137713798005,-0.0649671484888305,8007700000.0,0.704339095512485,0.162393162393162,0.393276744055315,15.6396914708856,0.599198271663524,0.393276744055315,70.4019098270901,5.0,0.0669376643001205
7,2019,4,2019-04-30 00:00:00+00:00,5910800000.0,0.0,0.0,15086100000.0,0.0,13029700000.0,-181800000.0,591000000.0,7970500000.0,2367600000.0,0.0,1398600000.0,1912400000.0,1224500000.0,101300000.0,16711300000.0,0.0,503800000.0,910300000.0,2341500000.0,8740800000.0,0.0,4686300000.0,1625200000.0,6399300000.0,113746566.0,-3400000.0,-200000.0,-1900000.0,112300000.0,-96500000.0,-274600000.0,0.0,274200000.0,-178000000.0,-105200000.0,4200000.0,-91500000.0,-101400000.0,182700000.0,0.0,0.0,0.0,0.63,49100000.0,1209700000.0,538800000.0,71500000.0,71500000.0,1902100000.0,153600000.0,0.0,30400000.0,113746566.0,369800000.0,0.63,263300000.0,101900000.0,71500000.0,692400000.0,151000000.0,0.0301144072323753,0.0678156402627295,7970500000.0,0.694084988255392,-0.615853658536585,0.364018716155828,16.7222630703418,0.587955586224202,0.364018716155828,70.0724450881445,4.0,0.064394781068385
9,2019,3,2019-01-31 00:00:00+00:00,6089100000.0,0.0,0.0,15201400000.0,0.0,13197900000.0,-153300000.0,519600000.0,8021600000.0,2392600000.0,0.0,1449600000.0,1847900000.0,803300000.0,206500000.0,16927600000.0,0.0,502600000.0,924700000.0,1816400000.0,8906000000.0,0.0,5285800000.0,1726200000.0,7089600000.0,113758133.0,700000.0,-200000.0,-700000.0,110900000.0,-96500000.0,-282600000.0,0.0,421100000.0,-186000000.0,35300000.0,6000000.0,-88100000.0,-103900000.0,333000000.0,0.0,0.0,0.0,1.07,51600000.0,1238100000.0,556200000.0,121400000.0,121400000.0,2011900000.0,217600000.0,0.0,35800000.0,113758133.0,373100000.0,1.07,319700000.0,157200000.0,121400000.0,773800000.0,208800000.0,0.0375874230378385,0.0570587926233384,8021600000.0,0.950341334507818,-0.853825136612022,0.384611561210796,17.6857684540234,0.658945846215219,0.384611561210796,70.5145187289598,5.0,0.0789119487975905
10,2019,2,2018-10-31 00:00:00+00:00,6275100000.0,0.0,0.0,15387000000.0,0.0,13400200000.0,-116400000.0,552400000.0,8030000000.0,2367600000.0,0.0,1525300000.0,1818700000.0,390000000.0,171200000.0,17174200000.0,0.0,561900000.0,966200000.0,1434500000.0,9144200000.0,0.0,5885100000.0,1787200000.0,7709700000.0,113737560.0,-2000000.0,-300000.0,374100000.0,111200000.0,-96500000.0,-534300000.0,0.0,202900000.0,-440000000.0,-20800000.0,5900000.0,-77800000.0,312600000.0,125100000.0,0.0,0.0,0.0,1.66,53600000.0,1250200000.0,440800000.0,188500000.0,188500000.0,2021500000.0,330500000.0,0.0,80900000.0,113737560.0,382400000.0,1.66,434200000.0,269400000.0,188500000.0,771300000.0,323000000.0,0.081980966845077,0.0508941567893533,8030000000.0,1.24586964098989,-0.0292397660818714,0.381548355181796,17.7733723142997,0.732889165628892,0.381548355181796,70.6011277189347,6.0,0.169155391851807
11,2019,1,2018-07-31 00:00:00+00:00,6714900000.0,0.0,0.0,15707200000.0,0.0,13717000000.0,-118800000.0,532100000.0,7930800000.0,2275600000.0,0.0,1550200000.0,1827900000.0,530000000.0,192000000.0,17513000000.0,0.0,504200000.0,1017400000.0,1544000000.0,9582200000.0,0.0,6184900000.0,1805800000.0,8038200000.0,113535111.0,-2600000.0,-4700000.0,-1905000000.0,111900000.0,-88400000.0,1790500000.0,0.0,243000000.0,1886000000.0,-600000.0,4600000.0,-101300000.0,-2031500000.0,141700000.0,0.0,0.0,0.0,1.17,53600000.0,1224300000.0,451300000.0,133000000.0,133000000.0,1902500000.0,226900000.0,0.0,40100000.0,113535111.0,383300000.0,1.17,338600000.0,173100000.0,133000000.0,678200000.0,226700000.0,0.0842535249211376,0.0878266338841558,7930800000.0,1.16955958549223,0.044642857142857,0.356478318002628,16.7569308141162,0.779858274070712,0.356478318002628,69.8532808938726,6.0,0.175433103736172
