,year,quarter,date,statementData.balanceSheet.intangibles,statementData.balanceSheet.acctRec,statementData.balanceSheet.deposits,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxAssets,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.debt,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.investments,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.totalAssets,statementData.balanceSheet.retainedEarnings,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.issrepayEquity,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfx,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.ncff,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.ebitda,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,0.0,409415000.0,56212000.0,6761243000.0,0.0,117615000.0,0.0,0.0,-76200000.0,178469000.0,6634385000.0,5056112000.0,5952574000.0,304449000.0,4127770000.0,73250611.0,12324039000.0,,-98354000.0,-796834000.0,-28796000.0,90020000.0,-70673000.0,0.0,-717228000.0,98855000.0,-29742000.0,5284000.0,0.0,-20462000.0,103638000.0,-871676000.0,23536000.0,73020000.0,3080000.0,20677000.0,160412000.0,77491000.0,37276000.0,0.0,0.19,0.0,13859000.0,0.19,0.0,23602000.0,17597000.0,89432000.0,123136000.0,17597000.0,3738000.0,41133000.0,249844000.0,139988000.0,0.01576691533095,4.0,5689654000.0,-0.525,3.4108111398552,0.642048638350331,1.17730263886559,-0.203389938590842,77.6738094375759,0.642048638350331,0.0387983926911074
1,2020,2,2020-06-30 00:00:00+00:00,0.0,410018000.0,58486000.0,6804052000.0,0.0,99655000.0,0.0,0.0,-82371000.0,191176000.0,7281652000.0,5119972000.0,6638458000.0,1101283000.0,4201962000.0,76538603.0,13071564000.0,,-81571000.0,480261000.0,533237000.0,171827000.0,-73812000.0,0.0,26745000.0,101759000.0,-132274000.0,100708000.0,0.0,442981000.0,182279000.0,-235255000.0,30070000.0,75690000.0,6446000.0,66627000.0,171141000.0,80219000.0,43486000.0,0.0,0.74,0.0,56444000.0,0.74,0.0,23510000.0,60181000.0,82558000.0,127655000.0,60181000.0,3737000.0,90251000.0,253699000.0,192010000.0,0.0169489417846666,5.0,5789912000.0,-0.618556701030928,3.31465417522711,0.674582871828427,1.2965809188019,-0.189522209159681,75.6469516434733,0.674582871828427,0.0412390241512939
2,2020,1,2020-03-31 00:00:00+00:00,0.0,424817000.0,59318000.0,6931798000.0,0.0,116197000.0,0.0,0.0,-80868000.0,185313000.0,7251728000.0,5263466000.0,6649555000.0,621022000.0,4657052000.0,77935496.0,13220607000.0,,-188572000.0,379592000.0,-129418000.0,135766000.0,-79662000.0,0.0,808326000.0,74169000.0,-219410000.0,-146546000.0,0.0,-76612000.0,42026000.0,466984000.0,37494000.0,77864000.0,8575000.0,127114000.0,213815000.0,82567000.0,118534000.0,0.0,1.47,0.0,114801000.0,1.47,0.0,19570000.0,118539000.0,100488000.0,95281000.0,118539000.0,3738000.0,156033000.0,314303000.0,230202000.0,0.0246820315418179,6.0,5968879000.0,1.82692307692308,4.03286071342896,0.680283038978311,1.26334149398894,0.0330249297464298,76.5874255807649,0.680283038978311,0.0588094187690096
3,2019,4,2019-12-31 00:00:00+00:00,0.0,348100000.0,62252000.0,6724007000.0,0.0,114052000.0,0.0,0.0,-28485000.0,246187000.0,6555975000.0,5441315000.0,5934256000.0,241430000.0,4523035000.0,80110275.0,12766320000.0,1084719000.0,-103239000.0,24886000.0,355394000.0,66155000.0,-75582000.0,0.0,-109140000.0,80921000.0,-209362000.0,-26199000.0,0.0,392478000.0,77040000.0,-407548000.0,44724000.0,78367000.0,3086000.0,24255000.0,201512000.0,84321000.0,86432000.0,0.0,0.23,0.0,17432000.0,0.23,0.0,25575000.0,21169000.0,106570000.0,115080000.0,21169000.0,3737000.0,65893000.0,308082000.0,146814000.0,0.0192538318702488,5.0,6210345000.0,-1.34328358208955,3.84572390994788,0.654085600586857,1.0905922557323,-0.028242849392498,77.5224526441833,0.654085600586857,0.0449376778271527
5,2019,3,2019-09-30 00:00:00+00:00,0.0,371411000.0,62166000.0,6941094000.0,0.0,126321000.0,0.0,0.0,-40132000.0,221902000.0,6843536000.0,5692148000.0,6264680000.0,216544000.0,4908359000.0,82416822.0,13294984000.0,1084719000.0,-56982000.0,-24603000.0,225504000.0,1154000.0,-76344000.0,0.0,-181674000.0,77033000.0,-65653000.0,24536000.0,0.0,281332000.0,81518000.0,-331625000.0,48112000.0,82292000.0,3827000.0,40722000.0,204161000.0,86714000.0,101517000.0,0.0,0.4,0.0,33157000.0,0.4,0.0,23841000.0,36895000.0,109473000.0,102644000.0,36895000.0,3738000.0,85007000.0,313634000.0,162040000.0,0.0133302785453643,4.0,6451448000.0,-0.611650485436893,3.80546097737183,0.650953021674946,1.10058276770035,0.019798728641337,78.2782912934935,0.650953021674946,0.0304866217067167
6,2019,2,2019-06-30 00:00:00+00:00,0.0,403615000.0,62735000.0,7333209000.0,0.0,122941000.0,0.0,0.0,-28395000.0,212745000.0,7062331000.0,5809922000.0,6514425000.0,241147000.0,5196043000.0,84327249.0,13629941000.0,1084719000.0,-315832000.0,-54564000.0,-174561000.0,126200000.0,-77061000.0,0.0,154977000.0,75590000.0,-74854000.0,-160230000.0,0.0,15071000.0,155602000.0,-35605000.0,47160000.0,82971000.0,8901000.0,173741000.0,208013000.0,87398000.0,104513000.0,0.0,1.94,0.0,161103000.0,1.94,0.0,25480000.0,164840000.0,105011000.0,103500000.0,164840000.0,3737000.0,212000000.0,313024000.0,287590000.0,0.0174277302255603,3.0,6567610000.0,0.630252100840336,3.71201484350569,0.664527320588837,1.12125859865244,0.0395462213897635,77.8824173429398,0.664527320588837,0.039097281644249
7,2019,1,2019-03-31 00:00:00+00:00,0.0,414386000.0,61139000.0,6782418000.0,0.0,102598000.0,0.0,0.0,-4005000.0,191946000.0,6843805000.0,5797799000.0,6323744000.0,295711000.0,5357015000.0,84325436.0,13385774000.0,1084719000.0,-39524000.0,16598000.0,-291843000.0,-40108000.0,-77399000.0,0.0,398745000.0,74466000.0,-34196000.0,22789000.0,0.0,-212211000.0,62313000.0,246128000.0,50525000.0,83313000.0,5239000.0,52769000.0,199869000.0,87810000.0,97194000.0,0.0,0.52,0.0,43792000.0,0.52,0.0,25979000.0,47530000.0,104386000.0,102675000.0,47530000.0,3738000.0,98055000.0,304255000.0,172521000.0,0.0130820388464622,4.0,6541969000.0,-0.535714285714286,3.60810467674309,0.656912786971455,1.09071459703932,0.00848539087489031,77.5800198649432,0.656912786971455,0.0289300128430884
8,2018,4,2018-12-31 00:00:00+00:00,0.0,405607000.0,64688000.0,6414798000.0,0.0,94453000.0,0.0,0.0,15108000.0,227490000.0,6115271000.0,5901521000.0,5588920000.0,279113000.0,5147051000.0,85270726.0,12751358000.0,1278998000.0,-110917000.0,20521000.0,181430000.0,261455000.0,-76223000.0,0.0,48586000.0,74153000.0,-206109000.0,13075000.0,0.0,30892000.0,123992000.0,-284901000.0,51974000.0,83936000.0,-838000.0,-58320000.0,213997000.0,88380000.0,79022000.0,0.0,-0.67,0.0,-61219000.0,-0.67,0.0,26030000.0,-57482000.0,103039000.0,134975000.0,-57482000.0,3737000.0,-5508000.0,317036000.0,68645000.0,0.0174339170104365,6.0,6636087000.0,-3.39285714285714,3.71799344126612,0.674992745303372,0.947030435035307,-0.122615140227264,77.8237422301295,0.674992745303372,0.0374775658424878
10,2018,3,2018-09-30 00:00:00+00:00,0.0,395364000.0,64501000.0,6524929000.0,0.0,110283000.0,0.0,0.0,36299000.0,223978000.0,6418801000.0,6214658000.0,5584214000.0,258592000.0,5076420000.0,86566698.0,13455004000.0,1278998000.0,-97719000.0,-121388000.0,232168000.0,118836000.0,-76308000.0,0.0,-314666000.0,73377000.0,-25389000.0,-26386000.0,0.0,211051000.0,71333000.0,-424889000.0,55168000.0,85566000.0,7507000.0,99454000.0,201888000.0,90428000.0,100877000.0,0.0,1.03,0.0,88209000.0,1.03,0.0,20594000.0,91947000.0,105657000.0,101011000.0,91947000.0,3738000.0,147115000.0,307545000.0,220492000.0,0.0235831319282047,5.0,7036203000.0,1.575,3.55269413187043,0.656450275569429,0.89855531873194,-0.179004271222638,81.2807137451402,0.656450275569429,0.0511996965406011
11,2018,2,2018-06-30 00:00:00+00:00,0.0,397992000.0,63872000.0,6595221000.0,0.0,95756000.0,0.0,0.0,32622000.0,223824000.0,6683877000.0,6190816000.0,5900632000.0,379980000.0,5257070000.0,88422771.0,13713928000.0,1278998000.0,-53403000.0,1715000.0,-187938000.0,185019000.0,-78970000.0,0.0,458002000.0,71460000.0,-337087000.0,98263000.0,0.0,-319554000.0,151666000.0,37987000.0,53611000.0,87176000.0,8606000.0,115899000.0,199557000.0,92083000.0,85180000.0,0.0,1.19,0.0,103556000.0,1.19,0.0,22479000.0,107293000.0,101559000.0,114377000.0,107293000.0,3737000.0,160904000.0,301116000.0,232364000.0,0.0193760285637543,5.0,7030051000.0,13.875,3.40541239088741,0.662724664248994,0.953126696060746,-0.24371216878061,79.5049840724851,0.662724664248994,0.0423260173879683
