,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-26 00:00:00+00:00,2626800000.0,1215400000.0,556400000.0,1180100000.0,1509800000.0,5014900000.0,267900000.0,764400000.0,85900000.0,2221700000.0,-465600000.0,2938200000.0,532100000.0,0.0,47300000.0,6267600000.0,3329400000.0,1117000000.0,0.0,63500000.0,1483300000.0,206000000.0,532100000.0,787500000.0,54466147.0,3619000000.0,5600000.0,214400000.0,-18800000.0,224000000.0,1200000.0,-42400000.0,23900000.0,0.0,-105100000.0,0.0,-58800000.0,101300000.0,-9600000.0,2300000.0,54800000.0,272500000.0,248600000.0,3.31,283800000.0,535100000.0,3.28,234800000.0,5000000.0,251300000.0,55100000.0,179700000.0,13800000.0,54300000.0,184700000.0,492300000.0,283800000.0,1027400000.0,179700000.0,0.0,0.0,0.0,6.0,0.0420935186124354,0.520829277788593,2.63043867502238,3640800000.0,0.520829277788593,18.8630930695355,0.107023411371237,0.335838629455651,0.170069550270473,66.845191013787,0.0996154643405573
1,2020,2,2020-06-27 00:00:00+00:00,2604900000.0,1470100000.0,559600000.0,1165500000.0,1775500000.0,4894200000.0,12100000.0,784000000.0,83300000.0,2168400000.0,-514400000.0,2772400000.0,508500000.0,0.0,47100000.0,6113500000.0,3341100000.0,829400000.0,0.0,67500000.0,1482200000.0,186200000.0,508500000.0,686200000.0,54354240.0,3486700000.0,5800000.0,242700000.0,-45600000.0,253600000.0,2900000.0,12300000.0,23800000.0,0.0,289500000.0,0.0,-58700000.0,500400000.0,-10900000.0,341800000.0,54800000.0,170300000.0,146500000.0,1.86,250100000.0,398800000.0,1.85,133100000.0,4700000.0,148700000.0,31900000.0,101200000.0,13400000.0,54400000.0,105900000.0,410100000.0,250100000.0,808900000.0,101200000.0,0.0,0.0,0.0,5.0,-0.218756036314468,0.493015205835085,3.34265734265734,3508600000.0,0.493015205835085,14.8820036854531,-0.431192660550459,0.421630768348295,0.169567434538722,64.5506219937948,0.099896811609347
2,2020,1,2020-03-28 00:00:00+00:00,2210900000.0,982900000.0,559600000.0,1132500000.0,1289000000.0,4852000000.0,160100000.0,757400000.0,64800000.0,2184700000.0,-609900000.0,2303100000.0,514300000.0,0.0,53300000.0,5564300000.0,3261200000.0,921900000.0,0.0,66300000.0,1143000000.0,193700000.0,514300000.0,185800000.0,54659446.0,3331300000.0,1100000.0,196200000.0,-49800000.0,213400000.0,-5200000.0,-49000000.0,23800000.0,-6100000.0,-157100000.0,0.0,-59000000.0,1300000.0,-17200000.0,-41900000.0,55000000.0,216300000.0,192500000.0,2.52,282700000.0,478500000.0,2.49,181100000.0,4800000.0,195800000.0,43900000.0,137200000.0,11400000.0,54500000.0,142000000.0,459600000.0,282700000.0,938100000.0,137200000.0,0.0,0.0,0.0,5.0,-0.0686985009431152,0.510073552926127,2.49821021802799,3353400000.0,0.510073552926127,17.1626327862891,-0.214953271028037,0.295049980488098,0.195855178776355,61.3507864679053,0.116573510241254
3,2019,4,2019-12-28 00:00:00+00:00,2262700000.0,984400000.0,577100000.0,1157700000.0,1315100000.0,4779700000.0,202900000.0,760400000.0,68200000.0,2258900000.0,-507900000.0,2380500000.0,530100000.0,0.0,52300000.0,5693500000.0,3313000000.0,947600000.0,0.0,69300000.0,1187300000.0,198500000.0,530100000.0,184500000.0,54846349.0,3409100000.0,5100000.0,176500000.0,-41400000.0,196700000.0,900000.0,-46000000.0,23900000.0,300000.0,-139200000.0,0.0,-59000000.0,17000000.0,-20200000.0,-29300000.0,55600000.0,255500000.0,231600000.0,3.12,279100000.0,512700000.0,3.07,219500000.0,4400000.0,233600000.0,48900000.0,170600000.0,12100000.0,54800000.0,175000000.0,526400000.0,279100000.0,1039100000.0,170600000.0,0.0,0.0,0.0,6.0,0.00376738794435849,0.49340775671254,2.5121359223301,3430800000.0,0.49340775671254,18.9456548876207,-0.00319488817891367,0.288756563315831,0.210173806312791,62.5529331040795,0.124248640610583
5,2019,3,2019-09-28 00:00:00+00:00,2271200000.0,981800000.0,564200000.0,1145300000.0,1281100000.0,4668300000.0,232300000.0,753500000.0,76800000.0,2220800000.0,-543900000.0,2347900000.0,533500000.0,0.0,54400000.0,5596400000.0,3248500000.0,990100000.0,0.0,45800000.0,1214100000.0,205800000.0,533500000.0,167500000.0,55210205.0,3303800000.0,4600000.0,101400000.0,-76800000.0,131100000.0,-1300000.0,-58100000.0,22900000.0,-29600000.0,-49500000.0,0.0,-52300000.0,3500000.0,-29700000.0,65100000.0,55700000.0,249900000.0,227000000.0,2.99,280400000.0,509100000.0,2.96,215000000.0,4600000.0,228700000.0,50400000.0,164600000.0,12000000.0,55000000.0,169200000.0,476800000.0,280400000.0,985900000.0,164600000.0,0.0,0.0,0.0,6.0,0.00591776349352102,0.516380971700984,2.37137662862337,3325200000.0,0.516380971700984,17.8572059277809,0.0310344827586209,0.297172952357891,0.216599551531234,60.2279958931505,0.126857464850176
6,2019,2,2019-06-29 00:00:00+00:00,2236700000.0,983600000.0,561800000.0,1134900000.0,1305900000.0,4556100000.0,168200000.0,725800000.0,69500000.0,2212100000.0,-500700000.0,2306600000.0,529000000.0,0.0,53900000.0,5545400000.0,3238800000.0,930800000.0,0.0,45400000.0,1151800000.0,215300000.0,529000000.0,164000000.0,55404447.0,3288100000.0,6800000.0,117700000.0,-65200000.0,145500000.0,400000.0,-40300000.0,23000000.0,-8000000.0,-73100000.0,0.0,-52500000.0,7600000.0,-27800000.0,25600000.0,56000000.0,271400000.0,248400000.0,3.27,283900000.0,534400000.0,3.22,236000000.0,4500000.0,250500000.0,55600000.0,180400000.0,12400000.0,55200000.0,184900000.0,501000000.0,283900000.0,1035400000.0,180400000.0,0.0,0.0,0.0,7.0,-0.00115763071580166,0.516129032258065,2.47808336914482,3308700000.0,0.516129032258065,18.6880305835378,0.0315457413249212,0.299139320580274,0.218528657374362,59.7190330227464,0.128008380735336
7,2019,1,2019-03-30 00:00:00+00:00,2273100000.0,983300000.0,552400000.0,1131400000.0,1337100000.0,4428400000.0,142500000.0,707000000.0,68500000.0,2190400000.0,-496400000.0,2265300000.0,525900000.0,0.0,71300000.0,5490900000.0,3225600000.0,936000000.0,0.0,55100000.0,1125800000.0,200400000.0,525900000.0,156400000.0,55616137.0,3197600000.0,7300000.0,181300000.0,-38700000.0,201300000.0,500000.0,-42600000.0,22600000.0,-1300000.0,-147600000.0,0.0,-52800000.0,15500000.0,-20000000.0,-43800000.0,56300000.0,269900000.0,247300000.0,3.21,284200000.0,533700000.0,3.16,234800000.0,4200000.0,249500000.0,56900000.0,177900000.0,12500000.0,55500000.0,182100000.0,473600000.0,284200000.0,1007300000.0,177900000.0,0.0,0.0,0.0,7.0,-0.0109965635738831,0.529832224759257,2.42019230769231,3217800000.0,0.529832224759257,18.111649861622,0.118466898954704,0.307511883912935,0.221379639955393,57.8573085721506,0.129320453403317
8,2018,4,2018-12-29 00:00:00+00:00,2254500000.0,946000000.0,495100000.0,1135100000.0,1302500000.0,4257600000.0,186300000.0,673800000.0,67500000.0,2210200000.0,-462200000.0,2216900000.0,518500000.0,0.0,64700000.0,5373100000.0,3156200000.0,952000000.0,0.0,41400000.0,1132300000.0,201100000.0,518500000.0,140900000.0,56175480.0,3098800000.0,4600000.0,193900000.0,-60800000.0,215900000.0,-1300000.0,-98300000.0,22900000.0,0.0,-135100000.0,0.0,-53100000.0,18700000.0,-22000000.0,20800000.0,56700000.0,259800000.0,236900000.0,3.13,275300000.0,513500000.0,3.09,224500000.0,4300000.0,238200000.0,49500000.0,175000000.0,12400000.0,56000000.0,179300000.0,521700000.0,275300000.0,1035200000.0,175000000.0,0.0,0.0,0.0,7.0,-0.0183025130393552,0.496039412673879,2.32867647058824,3118600000.0,0.496039412673879,18.4279689287924,0.366812227074236,0.305279463017942,0.218612091348279,55.5153244796484,0.127575935264454
10,2018,3,2018-09-29 00:00:00+00:00,2170700000.0,944800000.0,491000000.0,1151700000.0,1213900000.0,4135800000.0,164500000.0,690600000.0,76800000.0,2180700000.0,-369700000.0,2214600000.0,519000000.0,0.0,52000000.0,5354800000.0,3140200000.0,956800000.0,0.0,27300000.0,1109300000.0,197600000.0,519000000.0,122200000.0,56402181.0,3164400000.0,8000000.0,99700000.0,-48600000.0,129800000.0,0.0,-59900000.0,23200000.0,0.0,-71300000.0,0.0,-46100000.0,9900000.0,-30100000.0,38100000.0,57300000.0,250300000.0,227100000.0,2.9,280800000.0,513200000.0,2.85,214700000.0,4200000.0,232400000.0,51500000.0,163200000.0,12400000.0,56300000.0,167400000.0,466900000.0,280800000.0,980100000.0,163200000.0,0.0,0.0,0.0,6.0,-0.00274725274725274,0.523620038771554,2.31459030100334,3184100000.0,0.523620038771554,17.3769876026603,0.244635193133047,0.298571609151814,0.206386128145485,56.4534906903689,0.119734824356524
11,2018,2,2018-06-30 00:00:00+00:00,2160400000.0,945400000.0,479400000.0,1151900000.0,1233400000.0,4018900000.0,127600000.0,668300000.0,68700000.0,2138600000.0,-377300000.0,2155400000.0,514400000.0,0.0,51700000.0,5272000000.0,3116600000.0,927000000.0,0.0,27200000.0,1073000000.0,198500000.0,514400000.0,112300000.0,56595222.0,3093200000.0,7900000.0,166400000.0,-63700000.0,186900000.0,-3100000.0,-38400000.0,24000000.0,0.0,-105300000.0,0.0,-46300000.0,14800000.0,-20500000.0,-16100000.0,57300000.0,270500000.0,246500000.0,3.17,294000000.0,544900000.0,3.12,234500000.0,4000000.0,250900000.0,55800000.0,178700000.0,12000000.0,56400000.0,182700000.0,491700000.0,294000000.0,1036600000.0,178700000.0,0.0,0.0,0.0,7.0,0.0375337804023621,0.52566081420027,2.32513484358145,3111600000.0,0.52566081420027,18.3160338164236,0.19622641509434,0.305638174059227,0.20065047125979,54.9799062542771,0.11464382386264
