,year,quarter,date,statementData.balanceSheet.totalAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.acctRec,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.payDiv,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.sga,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.shareswa,statementData.incomeStatement.epsDil,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.rnd,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opex,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-26 00:00:00+00:00,23040900000.0,12661600000.0,10372900000.0,1764200000.0,17253900000.0,6300000.0,0.0,5787000000.0,8439800000.0,2874700000.0,7200400000.0,0.0,2005900000.0,4658500000.0,0.0,590100000.0,2345300000.0,683000000.0,0.0,159681745.0,0.0,13956000000.0,-1961100000.0,4221800000.0,4664800000.0,0.0,0.0,-712900000.0,40600000.0,-810200000.0,-180500000.0,-62100000.0,-1000000.0,1400000.0,677200000.0,-63800000.0,615100000.0,145300000.0,16300000.0,-109600000.0,602200000.0,2.47,0.0,731300000.0,394900000.0,526000000.0,3850200000.0,156370000.0,2.44,52700000.0,385500000.0,300000.0,671300000.0,0.0,9400000.0,2473900000.0,395200000.0,1376300000.0,157971000.0,774100000.0,78400000.0,473300000.0,5.0,0.0597561311276871,0.35746195002857,1.37074233739163,10379300000.0,0.35746195002857,24.111710452563,0.593548387096774,0.449102950958748,0.0990575736360064,64.99991592652,0.0425123622062196
1,2020,2,2020-06-27 00:00:00+00:00,22984400000.0,13018800000.0,9959500000.0,1719400000.0,17214900000.0,706200000.0,0.0,5769500000.0,8440500000.0,2753400000.0,6924500000.0,0.0,2024400000.0,4658700000.0,0.0,599700000.0,2117400000.0,859800000.0,0.0,154127089.0,0.0,13911600000.0,-2040600000.0,4578300000.0,5364900000.0,0.0,0.0,-984600000.0,756400000.0,-391500000.0,-121700000.0,-64500000.0,9500000.0,400000.0,328200000.0,-56800000.0,263700000.0,144700000.0,-1600000.0,-105800000.0,271800000.0,1.52,0.0,713000000.0,238400000.0,178400000.0,3147400000.0,153330000.0,1.52,57300000.0,233700000.0,300000.0,323100000.0,0.0,4700000.0,2134700000.0,238700000.0,1012700000.0,154154000.0,740900000.0,-117300000.0,121100000.0,5.0,-0.163214845930928,0.32175764122768,1.26018391105869,9965600000.0,0.32175764122768,20.4208099979102,-0.369294605809129,0.467764446006326,0.0877407983696625,64.6583288159033,0.0362835033054886
2,2020,1,2020-03-28 00:00:00+00:00,22905000000.0,13945800000.0,8953400000.0,1681500000.0,17212100000.0,1677100000.0,0.0,5692900000.0,8575500000.0,2532400000.0,6796600000.0,0.0,2036700000.0,4662600000.0,0.0,727900000.0,2029200000.0,987100000.0,0.0,154025464.0,0.0,13877400000.0,-2143400000.0,5370300000.0,6339700000.0,0.0,0.0,2838300000.0,35600000.0,2475200000.0,683700000.0,-82900000.0,17900000.0,-1302400000.0,-405200000.0,-1363700000.0,-488100000.0,141100000.0,-22600000.0,-105600000.0,281400000.0,0.89,0.0,737800000.0,133200000.0,205800000.0,3129400000.0,150330000.0,0.88,59700000.0,133200000.0,-100000.0,346900000.0,0.0,0.0,2106300000.0,133100000.0,1023100000.0,151903000.0,741700000.0,12900000.0,146100000.0,4.0,-0.0612550995920327,0.326931680194286,1.06007113196656,8959200000.0,0.326931680194286,20.317419722235,-0.226086956521739,0.520763062076976,0.106315789473684,58.1670054245057,0.0425766986265992
3,2019,4,2019-12-28 00:00:00+00:00,20596600000.0,11454400000.0,9136300000.0,1454600000.0,16140000000.0,340400000.0,0.0,4456600000.0,7048700000.0,2255000000.0,6772800000.0,0.0,1959500000.0,3176400000.0,0.0,731200000.0,2087800000.0,297700000.0,0.0,152011804.0,0.0,12859500000.0,-1884600000.0,4405700000.0,3516800000.0,0.0,88800000.0,-1886000000.0,84300000.0,-1203400000.0,-9800000.0,-141200000.0,-9200000.0,96800000.0,1243300000.0,-68700000.0,1102100000.0,139800000.0,19000000.0,-104400000.0,373800000.0,1.33,0.0,718400000.0,199100000.0,289500000.0,3714200000.0,152011804.0,1.32,65100000.0,199100000.0,0.0,429300000.0,0.0,0.0,2553600000.0,199100000.0,1160600000.0,151903000.0,786800000.0,25300000.0,224400000.0,5.0,0.0218725066718024,0.312476441764041,1.0115532151531,9142200000.0,0.312476441764041,24.4336288516121,-2.87323943661972,0.347668093210599,0.113924390105813,60.1413821784524,0.0450302109466097
5,2019,3,2019-09-28 00:00:00+00:00,21322500000.0,13054300000.0,8262300000.0,1902600000.0,15994500000.0,1458000000.0,0.0,5328000000.0,7612400000.0,2743500000.0,6678100000.0,0.0,1911900000.0,3908800000.0,0.0,729600000.0,2070300000.0,311700000.0,0.0,151743308.0,0.0,12813000000.0,-1944900000.0,5441900000.0,5366800000.0,0.0,0.0,28600000.0,18800000.0,-67400000.0,-500000.0,-96700000.0,6400000.0,-6200000.0,192700000.0,-100400000.0,96000000.0,140900000.0,-25400000.0,-102300000.0,412700000.0,1.55,0.0,752800000.0,230500000.0,362100000.0,3633100000.0,148350000.0,1.53,72400000.0,230500000.0,600000.0,503000000.0,0.0,0.0,2393600000.0,231100000.0,1239500000.0,150623000.0,826800000.0,59200000.0,289700000.0,6.0,0.0395730800045782,0.341168698907269,0.979069810176593,8268200000.0,0.341168698907269,23.942406738622,-0.0718562874251496,0.473088607288527,0.0805852630273722,54.4880700768696,0.0310531999273721
6,2019,2,2019-06-29 00:00:00+00:00,21523600000.0,13290300000.0,8228000000.0,1823900000.0,16178400000.0,1464700000.0,0.0,5345200000.0,7637200000.0,2863200000.0,6549900000.0,0.0,1933300000.0,3909100000.0,0.0,730500000.0,2323800000.0,310700000.0,0.0,151532363.0,0.0,12954900000.0,-1814000000.0,5653100000.0,5373800000.0,0.0,0.0,-331300000.0,13300000.0,-429900000.0,39100000.0,-97200000.0,-8300000.0,76900000.0,501000000.0,-32200000.0,403800000.0,141700000.0,200000.0,-97700000.0,515100000.0,2.41,0.0,776200000.0,356300000.0,480300000.0,3761300000.0,148099000.0,2.37,72400000.0,356300000.0,1100000.0,622000000.0,0.0,0.0,2461500000.0,357400000.0,1299800000.0,150358000.0,784700000.0,51600000.0,407900000.0,7.0,0.0323032165989681,0.345572009677505,0.945534308609436,8233300000.0,0.345572009677505,24.8217603522754,0.229591836734694,0.475097228974234,0.0831948726421417,54.3336079303403,0.0322164761780598
7,2019,1,2019-03-30 00:00:00+00:00,21460300000.0,13523600000.0,7932500000.0,1882100000.0,16206400000.0,1783800000.0,0.0,5253900000.0,7757400000.0,2791600000.0,6291300000.0,0.0,1927400000.0,3909400000.0,0.0,744400000.0,2264300000.0,281800000.0,0.0,151356989.0,0.0,13028300000.0,-1813300000.0,5766200000.0,5693200000.0,0.0,0.0,1516800000.0,2100000.0,1408200000.0,-25600000.0,-89600000.0,-241500000.0,-676200000.0,-431300000.0,-1007300000.0,-520900000.0,137800000.0,4800000.0,-97600000.0,336300000.0,1.15,0.0,760600000.0,169900000.0,269000000.0,3333600000.0,147863000.0,1.13,74400000.0,169900000.0,500000.0,406800000.0,0.0,0.0,2228000000.0,170400000.0,1105600000.0,149908000.0,769300000.0,24700000.0,194600000.0,3.0,0.0387311874863678,0.331653467722582,0.911154659914675,7936700000.0,0.331653467722582,22.0247510341263,0.0176991150442478,0.492833280806807,0.0754768809132141,52.4369575031649,0.0296703134893172
8,2018,4,2018-12-29 00:00:00+00:00,19408000000.0,11568100000.0,7836200000.0,1607800000.0,14838600000.0,378600000.0,0.0,4569400000.0,7566500000.0,2373500000.0,6219000000.0,0.0,1915200000.0,3819800000.0,0.0,705300000.0,2233200000.0,288700000.0,0.0,151060094.0,0.0,12441100000.0,-1814300000.0,4001600000.0,4198400000.0,0.0,76500000.0,-999400000.0,-6900000.0,-1137400000.0,-57300000.0,-164700000.0,4900000.0,42500000.0,1220800000.0,-140900000.0,1056100000.0,125500000.0,200000.0,-98400000.0,276300000.0,-0.71,0.0,770200000.0,-106800000.0,243800000.0,3634700000.0,151060094.0,-0.69,73600000.0,-106800000.0,800000.0,369300000.0,0.0,0.0,2474800000.0,-106000000.0,1159900000.0,149908000.0,883600000.0,277000000.0,170200000.0,6.0,0.0492177126031985,0.319118496712246,1.14189324270292,7839900000.0,0.319118496712246,24.0612851730385,-1.37967914438503,0.487455654526429,0.074387733153059,51.8992130376935,0.0303668533652791
10,2018,3,2018-09-29 00:00:00+00:00,20447700000.0,12362600000.0,8082200000.0,2236200000.0,14892300000.0,2387700000.0,0.0,5555400000.0,6310600000.0,2649700000.0,6424300000.0,0.0,1846200000.0,2830600000.0,0.0,423600000.0,2320200000.0,368700000.0,0.0,153009803.0,0.0,12554100000.0,-1751200000.0,6052000000.0,5218300000.0,0.0,0.0,309500000.0,-291600000.0,-97600000.0,-34700000.0,-109400000.0,-10900000.0,-16200000.0,191500000.0,-134400000.0,82100000.0,129700000.0,5800000.0,-97400000.0,417700000.0,1.67,0.0,792900000.0,247800000.0,376500000.0,3494800000.0,147964000.0,1.65,72100000.0,247800000.0,500000.0,506200000.0,0.0,0.0,2256400000.0,248300000.0,1238400000.0,150599000.0,820700000.0,56600000.0,304400000.0,3.0,0.0403048163362505,0.354355041776353,0.917944481163252,8085100000.0,0.354355041776353,22.8403666397767,-0.0874316939890711,0.350226423498552,0.120391408403769,52.8404052647529,0.0500452094368088
11,2018,2,2018-06-30 00:00:00+00:00,20179600000.0,11991800000.0,8185400000.0,2151400000.0,14857000000.0,2080400000.0,0.0,5322600000.0,6352900000.0,2444200000.0,6273900000.0,0.0,1817100000.0,2831200000.0,0.0,467000000.0,2288500000.0,385800000.0,0.0,154309717.0,0.0,12544400000.0,-1772400000.0,5638900000.0,4911600000.0,0.0,0.0,753600000.0,-191800000.0,457500000.0,-19800000.0,-111700000.0,31500000.0,-507300000.0,198000000.0,-587500000.0,86300000.0,127700000.0,-87800000.0,-94200000.0,467100000.0,1.96,0.0,801800000.0,293600000.0,363600000.0,3643600000.0,149748000.0,1.93,69000000.0,293600000.0,-200000.0,491300000.0,0.0,0.0,2356500000.0,293400000.0,1287100000.0,152494000.0,820000000.0,1000000.0,294600000.0,4.0,0.10858916238172,0.353249533428477,0.943907499689656,8187800000.0,0.353249533428477,23.6122524934706,0.053763440860215,0.345884135167493,0.123876451392578,53.0608192353823,0.0518304106119743
