,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,19300000000.0,12008000000.0,2529000000.0,13045000000.0,14611000000.0,12129000000.0,1119000000.0,3459000000.0,0.0,2426000000.0,-917000000.0,13545000000.0,78000000.0,0.0,1627000000.0,32286000000.0,18741000000.0,4689000000.0,0.0,1260000000.0,13127000000.0,647000000.0,78000000.0,7083000000.0,375605813.0,12986000000.0,29000000.0,760000000.0,-69000000.0,829000000.0,26000000.0,0.0,84000000.0,0.0,-242000000.0,2000000.0,-216000000.0,544000000.0,-69000000.0,-5000000.0,380200000.0,864000000.0,780000000.0,1.66,1602000000.0,2461000000.0,1.63,780000000.0,0.0,859000000.0,159000000.0,621000000.0,0.0,375700000.0,621000000.0,1276000000.0,1244000000.0,3737000000.0,621000000.0,0.0,242000000.0,0.0,5.0,0.0418176749372734,0.658549638747659,2.88867562380038,12986000000.0,0.658549638747659,9.94926029006905,0.338709677419355,0.924688125673803,0.135960667415121,34.5734798305691,0.056931656075736
1,2020-06-30 00:00:00+00:00,2,2020,18729000000.0,11811000000.0,2527000000.0,13086000000.0,14324000000.0,11725000000.0,1110000000.0,3442000000.0,0.0,2203000000.0,-715000000.0,12801000000.0,80000000.0,0.0,1570000000.0,31483000000.0,18682000000.0,4405000000.0,0.0,1204000000.0,12921000000.0,635000000.0,80000000.0,6539000000.0,375378477.0,12754000000.0,30000000.0,511000000.0,-117000000.0,620000000.0,16000000.0,0.0,83000000.0,-3000000.0,2056000000.0,4000000.0,-216000000.0,2575000000.0,-109000000.0,2297000000.0,375500000.0,-4000000.0,-87000000.0,-0.22,1568000000.0,1548000000.0,-0.22,-87000000.0,0.0,-20000000.0,-4000000.0,-83000000.0,0.0,375500000.0,-83000000.0,1216000000.0,1225000000.0,2764000000.0,-83000000.0,0.0,233000000.0,0.0,4.0,-0.242739726027397,0.560057887120116,2.90601589103292,12754000000.0,0.560057887120116,7.36323515959068,-1.17054263565891,0.926062411792379,0.125590790531662,33.9763752624528,0.0543868737738749
2,2020-03-31 00:00:00+00:00,1,2020,16325000000.0,9404000000.0,2607000000.0,13132000000.0,12163000000.0,12024000000.0,1103000000.0,3359000000.0,0.0,2646000000.0,-623000000.0,10736000000.0,84000000.0,0.0,1537000000.0,29440000000.0,18704000000.0,4162000000.0,0.0,1253000000.0,10507000000.0,736000000.0,84000000.0,3964000000.0,374575145.0,13115000000.0,56000000.0,447000000.0,-163000000.0,591000000.0,-33000000.0,0.0,80000000.0,-23000000.0,-768000000.0,4000000.0,-215000000.0,-373000000.0,-144000000.0,-496000000.0,379700000.0,670000000.0,590000000.0,1.32,1696000000.0,2331000000.0,1.3,590000000.0,0.0,635000000.0,97000000.0,493000000.0,0.0,374800000.0,493000000.0,1257000000.0,1330000000.0,3588000000.0,493000000.0,0.0,254000000.0,0.0,5.0,0.0204778156996588,0.649665551839465,2.57952907256127,13115000000.0,0.649665551839465,9.57885232881642,0.2,0.717041555470835,0.172499003587087,35.0130011963287,0.0768602379683893
3,2019-12-31 00:00:00+00:00,4,2019,17360000000.0,10231000000.0,2567000000.0,13296000000.0,12960000000.0,11748000000.0,859000000.0,3282000000.0,0.0,2893000000.0,-606000000.0,11360000000.0,88000000.0,0.0,1575000000.0,30167000000.0,18807000000.0,4400000000.0,0.0,1239000000.0,11090000000.0,675000000.0,88000000.0,4337000000.0,374366776.0,12807000000.0,32000000.0,536000000.0,-719000000.0,735000000.0,10000000.0,0.0,83000000.0,-521000000.0,2363000000.0,0.0,-193000000.0,2389000000.0,-199000000.0,2641000000.0,380200000.0,1019000000.0,936000000.0,1.94,1759000000.0,2703000000.0,1.9,936000000.0,0.0,944000000.0,211000000.0,725000000.0,0.0,374600000.0,725000000.0,1428000000.0,1380000000.0,4131000000.0,725000000.0,0.0,254000000.0,0.0,5.0,0.0882507903055849,0.654320987654321,2.58181818181818,12807000000.0,0.654320987654321,11.0346330519458,-0.649186256781193,0.798859998438354,0.170884777882604,34.2097665205205,0.0763584042816426
5,2019-09-30 00:00:00+00:00,3,2019,14344000000.0,7889000000.0,2460000000.0,12760000000.0,10423000000.0,11238000000.0,526000000.0,3269000000.0,0.0,2438000000.0,-553000000.0,8566000000.0,88000000.0,0.0,1586000000.0,26659000000.0,18093000000.0,3921000000.0,0.0,1182000000.0,8415000000.0,659000000.0,88000000.0,1948000000.0,374103607.0,12315000000.0,32000000.0,466000000.0,-186000000.0,629000000.0,-24000000.0,0.0,78000000.0,-21000000.0,-225000000.0,-2000000.0,-195000000.0,194000000.0,-163000000.0,-13000000.0,380300000.0,659000000.0,581000000.0,1.24,1702000000.0,2330000000.0,1.23,581000000.0,0.0,628000000.0,115000000.0,466000000.0,0.0,374200000.0,466000000.0,1257000000.0,1291000000.0,3587000000.0,466000000.0,0.0,246000000.0,0.0,7.0,0.106415792720543,0.649567884025648,2.1846467737822,12315000000.0,0.649567884025648,9.58825291411852,-0.215189873417722,0.640600893219651,0.287410079486588,32.9186882178337,0.129065069363999
6,2019-06-30 00:00:00+00:00,2,2019,14411000000.0,7974000000.0,2387000000.0,12946000000.0,10465000000.0,10967000000.0,539000000.0,3198000000.0,0.0,2408000000.0,-630000000.0,8185000000.0,85000000.0,0.0,1613000000.0,26354000000.0,18169000000.0,3946000000.0,0.0,1245000000.0,8513000000.0,616000000.0,85000000.0,1754000000.0,373810085.0,11943000000.0,28000000.0,349000000.0,-247000000.0,514000000.0,1000000.0,0.0,77000000.0,-80000000.0,-188000000.0,-2000000.0,-195000000.0,80000000.0,-165000000.0,18000000.0,379500000.0,642000000.0,565000000.0,1.29,1767000000.0,2380000000.0,1.26,565000000.0,0.0,613000000.0,85000000.0,480000000.0,0.0,373900000.0,480000000.0,1270000000.0,1282000000.0,3650000000.0,480000000.0,0.0,246000000.0,0.0,7.0,0.0987357013847081,0.652054794520548,2.07425240750127,11943000000.0,0.652054794520548,9.76431655127764,0.0661157024793388,0.66767143933685,0.313978684827312,31.9493787868243,0.13975827723318
7,2019-03-31 00:00:00+00:00,1,2019,14244000000.0,7950000000.0,2297000000.0,12950000000.0,10531000000.0,10683000000.0,521000000.0,3064000000.0,0.0,2284000000.0,-565000000.0,7888000000.0,84000000.0,0.0,1631000000.0,25937000000.0,18049000000.0,3713000000.0,0.0,1372000000.0,8471000000.0,619000000.0,84000000.0,1674000000.0,372664636.0,11693000000.0,35000000.0,191000000.0,-303000000.0,313000000.0,-5000000.0,-307000000.0,76000000.0,-180000000.0,-1947000000.0,-1000000.0,-195000000.0,-1942000000.0,-122000000.0,-1353000000.0,379300000.0,556000000.0,480000000.0,1.1,1755000000.0,2283000000.0,1.09,480000000.0,0.0,528000000.0,68000000.0,412000000.0,0.0,373300000.0,412000000.0,1233000000.0,1403000000.0,3516000000.0,412000000.0,0.0,225000000.0,0.0,6.0,0.0848503548287565,0.649317406143345,2.12442768650687,11693000000.0,0.649317406143345,9.43475624019232,-0.0677966101694915,0.679893953647481,0.329597828884262,31.376736267511,0.14550712662673
8,2018-12-31 00:00:00+00:00,4,2018,15499000000.0,8486000000.0,2291000000.0,12726000000.0,10692000000.0,10765000000.0,1373000000.0,2955000000.0,0.0,2332000000.0,-631000000.0,9733000000.0,83000000.0,0.0,1678000000.0,27229000000.0,17496000000.0,4807000000.0,0.0,1386000000.0,9859000000.0,646000000.0,83000000.0,3616000000.0,374187286.0,11730000000.0,32000000.0,892000000.0,-1628000000.0,1046000000.0,0.0,0.0,83000000.0,-1681000000.0,2280000000.0,209000000.0,-175000000.0,1698000000.0,-154000000.0,2469000000.0,380000000.0,740000000.0,657000000.0,5.53,1758000000.0,2456000000.0,5.44,657000000.0,0.0,698000000.0,-1411000000.0,2068000000.0,0.0,374400000.0,2068000000.0,1340000000.0,1431000000.0,3796000000.0,2068000000.0,0.0,221000000.0,0.0,6.0,0.0936329588014981,0.646996838777661,2.02475556480133,11730000000.0,0.646996838777661,10.1446525363772,-9.37878787878788,0.723444160272805,0.352970395390423,31.3479384224722,0.15279091769158
10,2018-09-30 00:00:00+00:00,3,2018,12224000000.0,5928000000.0,2178000000.0,11097000000.0,8071000000.0,8892000000.0,1275000000.0,2893000000.0,0.0,2076000000.0,-604000000.0,7918000000.0,292000000.0,0.0,0.0,22084000000.0,14166000000.0,4153000000.0,0.0,1351000000.0,7203000000.0,563000000.0,292000000.0,1918000000.0,373990494.0,9860000000.0,30000000.0,478000000.0,-156000000.0,618000000.0,-6000000.0,0.0,73000000.0,-3000000.0,-179000000.0,-13000000.0,-176000000.0,277000000.0,-140000000.0,-1000000.0,380200000.0,607000000.0,534000000.0,1.58,1579000000.0,2155000000.0,1.55,534000000.0,0.0,576000000.0,-56000000.0,590000000.0,0.0,374100000.0,590000000.0,1087000000.0,1242000000.0,3242000000.0,590000000.0,0.0,221000000.0,0.0,7.0,0.0785096473719229,0.664713140037014,1.906573561281,9860000000.0,0.664713140037014,8.6686695304079,0.362068965517242,0.601217038539554,0.128415584415584,26.3643064681746,0.0561920349154392
11,2018-06-30 00:00:00+00:00,2,2018,12110000000.0,5925000000.0,2101000000.0,11203000000.0,8064000000.0,8477000000.0,1277000000.0,2740000000.0,0.0,2089000000.0,-557000000.0,7413000000.0,279000000.0,0.0,0.0,21570000000.0,14157000000.0,4046000000.0,0.0,1392000000.0,7202000000.0,561000000.0,279000000.0,1641000000.0,373710934.0,9460000000.0,28000000.0,492000000.0,-224000000.0,649000000.0,-46000000.0,0.0,76000000.0,-63000000.0,-917000000.0,-4000000.0,-176000000.0,-538000000.0,-157000000.0,-706000000.0,380100000.0,699000000.0,623000000.0,1.21,1518000000.0,2190000000.0,1.19,623000000.0,0.0,672000000.0,171000000.0,452000000.0,0.0,373900000.0,452000000.0,1132000000.0,1190000000.0,3322000000.0,452000000.0,0.0,216000000.0,0.0,7.0,0.102921646746348,0.659241420830825,1.83217993079585,9460000000.0,0.659241420830825,8.88922345526021,0.163461538461538,0.626321353065539,0.110584922564956,25.3136826871648,0.0494364021285118
