,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,14899700000.0,7129500000.0,4180100000.0,21034500000.0,10589200000.0,7914000000.0,1242100000.0,657700000.0,0.0,817300000.0,-1383400000.0,2640500000.0,0.0,0.0,0.0,28675300000.0,26034800000.0,4310500000.0,0.0,2276000000.0,8371600000.0,3068400000.0,0.0,731300000.0,199128714.0,13512700000.0,6200000.0,323600000.0,-109800000.0,433300000.0,18500000.0,0.0,220700000.0,0.0,-391500000.0,0.0,0.0,-68000000.0,-109700000.0,-391500000.0,217000000.0,735400000.0,514700000.0,1.58,694200000.0,1202500000.0,1.58,446800000.0,3600000.0,508300000.0,104000000.0,342800000.0,67900000.0,216900000.0,346400000.0,1551000000.0,634500000.0,2753500000.0,342800000.0,0.0,0.0,0.0,8.0,-0.0310036599099099,0.43671690575631,0.612573947337896,13775600000.0,0.43671690575631,13.8277395795365,-1.8494623655914,0.527614762408697,0.044430424008392,69.1793751050891,0.020395167270031
1,2020,2,2020-06-30 00:00:00+00:00,15370800000.0,8073700000.0,4344000000.0,20945800000.0,11565100000.0,7571200000.0,613000000.0,639100000.0,0.0,842800000.0,-1545600000.0,2542700000.0,0.0,0.0,0.0,28638800000.0,26096100000.0,3805700000.0,0.0,2218500000.0,8686700000.0,3192700000.0,0.0,780800000.0,199032690.0,13002900000.0,5900000.0,959400000.0,-121500000.0,1078000000.0,6700000.0,0.0,237700000.0,0.0,-848500000.0,0.0,-1900000.0,108000000.0,-118600000.0,-846600000.0,217000000.0,706900000.0,469200000.0,0.9,588800000.0,1046800000.0,0.9,399500000.0,2200000.0,458000000.0,204500000.0,195000000.0,69700000.0,216900000.0,197200000.0,1456600000.0,524500000.0,2503400000.0,195000000.0,0.0,0.0,0.0,5.0,-0.15090051894312,0.418151314212671,0.668129384870063,13268000000.0,0.418151314212671,12.5778333197426,-0.407894736842105,0.620915334271586,-0.0123279887816067,66.6624161086302,-0.00561758083118228
2,2020,1,2020-03-31 00:00:00+00:00,15515100000.0,8032100000.0,4393600000.0,20844100000.0,11511700000.0,7376200000.0,1445000000.0,681500000.0,0.0,744900000.0,-1661300000.0,2372500000.0,0.0,0.0,0.0,28461100000.0,26088600000.0,4003400000.0,0.0,2184200000.0,9477100000.0,2558400000.0,0.0,666100000.0,198830279.0,12686600000.0,5900000.0,-241600000.0,-220000000.0,-18100000.0,-17900000.0,4000000.0,256500000.0,0.0,398700000.0,0.0,-123400000.0,160600000.0,-223500000.0,518100000.0,216700000.0,165100000.0,-91400000.0,-0.54,716300000.0,623800000.0,-0.54,-160300000.0,1600000.0,-92500000.0,-43300000.0,-117000000.0,68900000.0,216700000.0,-115400000.0,1479000000.0,629700000.0,2102800000.0,-117000000.0,0.0,0.0,0.0,2.0,-0.0870490166283159,0.296652082937036,0.592621271918869,12946000000.0,0.296652082937036,10.57585399254,-1.77142857142857,0.633116831932906,-0.00200873461004593,65.1108073936767,-0.000919626535186478
3,2019,4,2019-12-31 00:00:00+00:00,15186700000.0,8109500000.0,4546500000.0,21287400000.0,11491200000.0,7617000000.0,928200000.0,615900000.0,0.0,820300000.0,-1162200000.0,2184400000.0,0.0,0.0,0.0,28859800000.0,26675400000.0,3695500000.0,0.0,2258600000.0,9037700000.0,2767300000.0,0.0,523400000.0,198809627.0,13419400000.0,1000000.0,487500000.0,-114300000.0,609100000.0,11800000.0,100000.0,217600000.0,0.0,-393400000.0,0.0,-123500000.0,101400000.0,-121600000.0,-273700000.0,216900000.0,498100000.0,280500000.0,0.76,655300000.0,966200000.0,0.75,204100000.0,2500000.0,310900000.0,40400000.0,163700000.0,76400000.0,216600000.0,166200000.0,1520000000.0,612900000.0,2486200000.0,163700000.0,0.0,0.0,0.0,6.0,0.0279075536445197,0.388625211165634,0.591097280476255,13673100000.0,0.388625211165634,12.5054306349058,1.17142857142857,0.604311668181886,0.0178612006613891,68.774838554473,0.00822832320254373
5,2019,3,2019-09-30 00:00:00+00:00,15345100000.0,8058500000.0,4432000000.0,21136400000.0,11456500000.0,7576800000.0,1193800000.0,642800000.0,0.0,950600000.0,-1378300000.0,2286900000.0,0.0,0.0,0.0,28751600000.0,26464700000.0,3888600000.0,0.0,2214100000.0,9252300000.0,2694800000.0,0.0,410200000.0,198790980.0,13162400000.0,-11100000.0,314500000.0,-151200000.0,460200000.0,-11300000.0,100000.0,211700000.0,0.0,-377700000.0,0.0,-123500000.0,-68700000.0,-145700000.0,-254300000.0,216600000.0,-34800000.0,-246500000.0,-1.86,1393500000.0,1156200000.0,-1.86,-312100000.0,3500000.0,-237300000.0,90700000.0,-402800000.0,65600000.0,216600000.0,-399300000.0,1685400000.0,690200000.0,2841600000.0,-402800000.0,0.0,0.0,0.0,6.0,-0.0315588576102516,0.406883445945946,0.588103687702515,13406500000.0,0.406883445945946,14.2944111448115,-2.18471337579618,0.612236370266821,0.0113618547859047,67.4401826481262,0.00518751694785367
6,2019,2,2019-06-30 00:00:00+00:00,15916600000.0,8517900000.0,4505100000.0,22056300000.0,11836300000.0,8103100000.0,1034700000.0,698100000.0,0.0,1108100000.0,-1178600000.0,2600400000.0,0.0,0.0,0.0,30061600000.0,27461200000.0,4080300000.0,0.0,2199600000.0,9552600000.0,3045600000.0,0.0,490200000.0,198748915.0,13899400000.0,7200000.0,911500000.0,26800000.0,926500000.0,3600000.0,800000.0,216800000.0,0.0,-701100000.0,0.0,-88700000.0,252200000.0,-15000000.0,-613200000.0,216900000.0,682200000.0,465400000.0,1.52,719800000.0,1188500000.0,1.52,399800000.0,800000.0,468700000.0,70400000.0,329400000.0,65600000.0,216600000.0,330200000.0,1759800000.0,769700000.0,2948300000.0,329400000.0,0.0,0.0,0.0,6.0,-0.0443731362634513,0.403113658718584,0.637306080435262,14145000000.0,0.403113658718584,14.8342948186661,-0.224489795918367,0.612825014029383,0.0651951447789622,71.1701998473803,0.02972142185343
7,2019,1,2019-03-31 00:00:00+00:00,15935500000.0,8484800000.0,4553300000.0,22029000000.0,11733100000.0,7862400000.0,1641100000.0,687900000.0,0.0,1051100000.0,-1182700000.0,2338000000.0,0.0,0.0,0.0,29823600000.0,27485600000.0,4202400000.0,0.0,2151500000.0,10125900000.0,2561300000.0,0.0,234400000.0,198603290.0,13647300000.0,11400000.0,-294100000.0,-194600000.0,-98500000.0,4400000.0,600000.0,212900000.0,0.0,-534800000.0,0.0,-88700000.0,-827900000.0,-195600000.0,-446700000.0,216900000.0,469800000.0,256900000.0,0.7,668200000.0,890300000.0,0.7,183600000.0,-2300000.0,222100000.0,32200000.0,151400000.0,73300000.0,216500000.0,149100000.0,1413000000.0,655200000.0,2303300000.0,151400000.0,0.0,0.0,0.0,3.0,-0.0120952176710273,0.386532366604437,0.55634875309347,13888100000.0,0.386532366604437,11.5974916629025,-0.457364341085271,0.621720047188821,0.0725189301662778,69.9288516318133,0.0327302367800166
8,2018,4,2018-12-31 00:00:00+00:00,16374000000.0,8893800000.0,4608300000.0,22037200000.0,12073100000.0,7692900000.0,1594500000.0,591800000.0,0.0,871000000.0,-1150000000.0,2766300000.0,0.0,0.0,0.0,30109800000.0,27343500000.0,4300900000.0,0.0,2128900000.0,10488300000.0,2706400000.0,0.0,1057900000.0,198206807.0,13507400000.0,8800000.0,404200000.0,-135600000.0,539900000.0,-11000000.0,9300000.0,213300000.0,0.0,-85500000.0,0.0,-88600000.0,318800000.0,-135700000.0,-29600000.0,216600000.0,361800000.0,148500000.0,0.35,681000000.0,822700000.0,0.35,69600000.0,-300000.0,141700000.0,-6400000.0,76000000.0,78900000.0,216300000.0,75700000.0,1596000000.0,663000000.0,2418700000.0,76000000.0,0.0,0.0,0.0,4.0,-0.0623740114746473,0.340141398271799,0.643190960031621,13735800000.0,0.340141398271799,12.2029108717744,-0.898255813953488,0.658439077838814,0.0821046438945472,69.3003444629427,0.0368100687819131
10,2018,3,2018-09-30 00:00:00+00:00,16380300000.0,8970300000.0,4593500000.0,22329400000.0,11957700000.0,7953200000.0,1602000000.0,631900000.0,0.0,1117600000.0,-996400000.0,2812300000.0,0.0,0.0,0.0,30470300000.0,27658000000.0,4422600000.0,0.0,1853600000.0,10572300000.0,2820600000.0,0.0,750100000.0,198177848.0,13864100000.0,8700000.0,356800000.0,-136300000.0,493600000.0,-1400000.0,400000.0,214600000.0,0.0,-398700000.0,0.0,-88600000.0,-41400000.0,-136800000.0,-310500000.0,216600000.0,684800000.0,470200000.0,1.57,750500000.0,1220200000.0,1.56,402800000.0,7300000.0,469700000.0,64500000.0,338300000.0,67400000.0,216000000.0,345600000.0,1714000000.0,713900000.0,2934200000.0,338300000.0,0.0,0.0,0.0,7.0,0.0176886792452831,0.41585440665258,0.635892913670691,14090000000.0,0.41585440665258,14.8058929371359,0.180451127819549,0.647016394861549,0.132234289427272,71.0977545785037,0.0586419194056442
11,2018,2,2018-06-30 00:00:00+00:00,16764300000.0,9455100000.0,4599400000.0,22351000000.0,12382300000.0,7703500000.0,1411000000.0,637500000.0,0.0,1116000000.0,-1025400000.0,2887500000.0,0.0,0.0,0.0,30560900000.0,27673400000.0,4382000000.0,0.0,1771000000.0,10866100000.0,2971000000.0,0.0,792900000.0,198145705.0,13576600000.0,10300000.0,842600000.0,-145100000.0,982600000.0,-7700000.0,200000.0,215900000.0,0.0,-234800000.0,0.0,-88500000.0,602700000.0,-140000000.0,-146500000.0,216500000.0,808900000.0,593000000.0,1.96,755200000.0,1346100000.0,1.96,516300000.0,6700000.0,590900000.0,92200000.0,424100000.0,76700000.0,216000000.0,430800000.0,1739100000.0,744700000.0,3085200000.0,424100000.0,0.0,0.0,0.0,8.0,-0.00197327984990137,0.436308829249319,0.658945686900958,13796600000.0,0.436308829249319,15.5703602053852,0.281045751633987,0.696426203909668,0.1317911718814,69.6285594482101,0.056855428618394
