,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-27 00:00:00+00:00,3,2020,1442968000.0,448315000.0,440894000.0,538924000.0,771128000.0,207710000.0,20311000.0,191317000.0,0.0,646342000.0,8248000.0,2243632000.0,396043000.0,108254000.0,78243000.0,3436512000.0,1192880000.0,671840000.0,129438000.0,165662000.0,468626000.0,150427000.0,287789000.0,945180000.0,166032335.0,1993544000.0,11661000.0,279654000.0,-119365000.0,342512000.0,-349000.0,13771000.0,30149000.0,0.0,-3049000.0,-56507000.0,-16604000.0,219749000.0,-62858000.0,0.0,184338000.0,300117000.0,269968000.0,1.34,189267000.0,458928000.0,1.21,263731000.0,0.0,269661000.0,41013000.0,222718000.0,6237000.0,166014000.0,222718000.0,360556000.0,115840000.0,819484000.0,222718000.0,0.0,94909000.0,0.0,8.0,0.407956181555156,0.560020695950134,3.33953322219576,1993544000.0,0.560020695950134,4.93568918367618,0.675,0.224883423691677,0.421272148639238,12.0069623787439,0.231964216032356
1,2020-06-28 00:00:00+00:00,2,2020,1504638000.0,445887000.0,409767000.0,529566000.0,774925000.0,1610000.0,20000000.0,206088000.0,0.0,750155000.0,-8500000.0,2094007000.0,336759000.0,106968000.0,79210000.0,3249189000.0,1155182000.0,729713000.0,124224000.0,176143000.0,465887000.0,184163000.0,229791000.0,725431000.0,165768292.0,1744551000.0,10907000.0,175583000.0,-63014000.0,222897000.0,-1496000.0,-9421000.0,32659000.0,0.0,-26450000.0,-16246000.0,-16580000.0,131937000.0,-47314000.0,0.0,180257000.0,255993000.0,223334000.0,1.14,253524000.0,471473000.0,1.05,217291000.0,0.0,217949000.0,28383000.0,188908000.0,6043000.0,165789000.0,188908000.0,367188000.0,113259000.0,838661000.0,188908000.0,0.0,94102000.0,0.0,7.0,0.486518439215992,0.562173512301156,2.86963093709445,1744551000.0,0.562173512301156,5.05923653963932,1.0,0.255588400683041,0.400147203179538,10.5240331486313,0.216706639382411
2,2020-03-29 00:00:00+00:00,1,2020,1269715000.0,444794000.0,391049000.0,524254000.0,755754000.0,-164323000.0,19591000.0,182978000.0,0.0,538156000.0,-27113000.0,1702578000.0,311514000.0,100513000.0,74493000.0,2820388000.0,1117810000.0,513961000.0,98815000.0,153208000.0,464385000.0,129633000.0,211001000.0,593494000.0,166784497.0,1550673000.0,10460000.0,6402000.0,-110208000.0,43102000.0,571000.0,-66287000.0,31880000.0,149000.0,-113895000.0,-73657000.0,-16686000.0,-180430000.0,-36700000.0,0.0,180736000.0,234500000.0,202620000.0,1.06,198832000.0,405550000.0,0.97,197069000.0,0.0,206718000.0,20878000.0,176191000.0,5551000.0,166589000.0,176191000.0,298805000.0,111388000.0,704355000.0,176191000.0,0.0,85159000.0,0.0,7.0,0.425534154086529,0.575774999822533,3.31265990999317,1550673000.0,0.575774999822533,4.22314431298732,0.682539682539683,0.286839327182456,0.356770820297026,9.29746485969856,0.194765992570215
3,2019-12-31 00:00:00+00:00,4,2019,1306856000.0,440536000.0,377755000.0,541911000.0,767827000.0,-241918000.0,19476000.0,196691000.0,0.0,408342000.0,-18854000.0,1658884000.0,241793000.0,104490000.0,75185000.0,2787014000.0,1128130000.0,539029000.0,104876000.0,140912000.0,460012000.0,126617000.0,137303000.0,773924000.0,167577669.0,1480158000.0,9075000.0,177734000.0,110239000.0,216328000.0,-169000.0,-131186000.0,32298000.0,-57772000.0,-146413000.0,206605000.0,-15036000.0,179985000.0,-38594000.0,0.0,181781000.0,187131000.0,154833000.0,0.74,211584000.0,383238000.0,0.68,148883000.0,0.0,171654000.0,23810000.0,125073000.0,5950000.0,167287000.0,125073000.0,271412000.0,117094000.0,654650000.0,125073000.0,0.0,86794000.0,0.0,6.0,0.260013319013469,0.585408997174062,3.0775412825655,1480158000.0,0.585408997174062,3.90654676071428,-0.0632911392405063,0.297627685693014,0.316261004564449,8.83266851026553,0.173554723879665
5,2019-09-29 00:00:00+00:00,3,2019,1216156000.0,437755000.0,365162000.0,467290000.0,722445000.0,-226390000.0,18386000.0,178203000.0,0.0,400478000.0,-24221000.0,1654579000.0,446096000.0,103558000.0,69120000.0,2698791000.0,1044212000.0,493711000.0,95936000.0,132680000.0,456141000.0,117936000.0,342538000.0,593939000.0,169945820.0,1482635000.0,10713000.0,162056000.0,22288000.0,199148000.0,119000.0,-107369000.0,29499000.0,0.0,-122723000.0,56741000.0,-15250000.0,98832000.0,-37092000.0,0.0,180494000.0,186695000.0,157196000.0,0.8,190117000.0,345038000.0,0.75,151733000.0,0.0,154921000.0,15873000.0,135860000.0,5463000.0,169641000.0,135860000.0,237000000.0,109166000.0,582038000.0,135860000.0,0.0,77804000.0,0.0,6.0,0.0267973072146326,0.592810091437329,3.35131078707989,1482635000.0,0.592810091437329,3.42484445925178,0.230769230769231,0.295254732284075,0.326591631485354,8.72416279494253,0.181860212236269
6,2019-06-30 00:00:00+00:00,2,2019,1192102000.0,433703000.0,352210000.0,493430000.0,725102000.0,-222513000.0,18041000.0,164461000.0,0.0,409564000.0,-7591000.0,1616826000.0,499228000.0,99001000.0,67886000.0,2671514000.0,1054688000.0,467000000.0,89837000.0,151611000.0,451744000.0,103449000.0,400227000.0,495107000.0,171395402.0,1479412000.0,8635000.0,112013000.0,-28236000.0,145258000.0,-190000.0,-89933000.0,29265000.0,-15000000.0,-105453000.0,20009000.0,-15392000.0,11379000.0,-33245000.0,0.0,178590000.0,166242000.0,136977000.0,0.57,189924000.0,323918000.0,0.55,131177000.0,0.0,133994000.0,33780000.0,97397000.0,5800000.0,171241000.0,97397000.0,240260000.0,108811000.0,564178000.0,97397000.0,0.0,81434000.0,0.0,6.0,0.0706907382208988,0.574141494351074,3.46215417558887,1479412000.0,0.574141494351074,3.29167523408825,0.0754716981132073,0.293159038861385,0.306399246614767,8.63157344209269,0.172949596635179
7,2019-03-31 00:00:00+00:00,1,2019,1146415000.0,421652000.0,334033000.0,498885000.0,704447000.0,-215607000.0,17176000.0,161342000.0,0.0,366683000.0,-15706000.0,1594042000.0,513014000.0,91926000.0,69687000.0,2616643000.0,1022601000.0,441968000.0,84764000.0,145403000.0,438828000.0,118816000.0,421088000.0,483728000.0,173629283.0,1470228000.0,9474000.0,-7695000.0,-260951000.0,18016000.0,-329000.0,-142200000.0,29593000.0,-6970000.0,-199760000.0,-228543000.0,-15627000.0,-443024000.0,-25711000.0,0.0,176972000.0,129092000.0,99499000.0,0.63,194550000.0,287635000.0,0.62,93979000.0,0.0,93085000.0,-15159000.0,109138000.0,5520000.0,173532000.0,109138000.0,206464000.0,102013000.0,494099000.0,109138000.0,0.0,76791000.0,0.0,4.0,0.0136050235195408,0.582140421251611,3.60669098215255,1470228000.0,0.582140421251611,2.84571237905763,0.4,0.286793612963432,0.29620194860164,8.46762697280735,0.170216250461506
8,2018-12-31 00:00:00+00:00,4,2018,1184252000.0,379981000.0,279821000.0,507332000.0,707965000.0,-158191000.0,0.0,153541000.0,0.0,324017000.0,-13040000.0,1732482000.0,277827000.0,87731000.0,70848000.0,2706606000.0,974124000.0,476287000.0,77711000.0,140738000.0,379981000.0,100688000.0,190096000.0,926752000.0,179249910.0,1522354000.0,8250000.0,160266000.0,203964000.0,186376000.0,-222000.0,-261201000.0,30385000.0,0.0,-277385000.0,230074000.0,-16002000.0,112733000.0,-26110000.0,0.0,181520000.0,154693000.0,124308000.0,0.79,197265000.0,309535000.0,0.78,111126000.0,0.0,112270000.0,-32662000.0,143788000.0,13182000.0,178960000.0,143788000.0,210023000.0,100554000.0,519558000.0,143788000.0,0.0,74706000.0,0.0,7.0,0.0837332999593254,0.595766016498639,3.63747488384105,1522354000.0,0.595766016498639,2.89851191557084,-2.49056603773585,0.249600946954519,0.26439066825827,8.49291360871534,0.15692246079066
10,2018-09-30 00:00:00+00:00,3,2018,1214727000.0,376417000.0,278071000.0,532961000.0,756315000.0,-23243000.0,0.0,154705000.0,0.0,381863000.0,3524000.0,1879395000.0,510392000.0,91982000.0,70772000.0,2882487000.0,1003092000.0,458412000.0,77953000.0,193711000.0,376417000.0,107890000.0,418410000.0,814019000.0,186437930.0,1667760000.0,7702000.0,214978000.0,300497000.0,240584000.0,472000.0,-191190000.0,29506000.0,1158000.0,-207918000.0,315899000.0,-16638000.0,333635000.0,-25606000.0,0.0,190505000.0,175907000.0,146401000.0,0.65,190100000.0,333693000.0,0.63,140844000.0,0.0,143593000.0,20863000.0,119981000.0,5557000.0,185744000.0,119981000.0,233155000.0,100199000.0,566848000.0,119981000.0,0.0,77049000.0,0.0,6.0,0.126088148468944,0.588681621880998,4.09979450799717,1667760000.0,0.588681621880998,3.04041135835396,0.25,0.225702139396556,0.111235260610963,8.94539002873503,0.0678140556903317
11,2018-07-01 00:00:00+00:00,2,2018,1191780000.0,372897000.0,285302000.0,536798000.0,739470000.0,74270000.0,0.0,135550000.0,0.0,479497000.0,-3504000.0,1894185000.0,823726000.0,111417000.0,73574000.0,2931720000.0,1037535000.0,452310000.0,82491000.0,201867000.0,372897000.0,102737000.0,712309000.0,480384000.0,191316067.0,1739940000.0,8081000.0,103985000.0,-44343000.0,131851000.0,-1289000.0,-226492000.0,27793000.0,-145276000.0,-243708000.0,128799000.0,-17094000.0,-157489000.0,-27866000.0,0.0,194909000.0,153444000.0,125651000.0,0.53,186934000.0,307334000.0,0.52,120012000.0,0.0,120400000.0,18975000.0,101037000.0,5639000.0,190730000.0,101037000.0,219595000.0,99410000.0,526929000.0,101037000.0,0.0,75342000.0,0.0,6.0,-0.243896909317105,0.583255049541779,4.18780261325197,1739940000.0,0.583255049541779,2.75423286848145,-0.397727272727273,0.214316010896927,0.0962614351545431,9.09458378108933,0.061194223714176
