,year,quarter,date,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,18834000000.0,370747000000.0,470000000.0,0.0,3968000000.0,0.0,37108000000.0,69973000000.0,0.0,26709000000.0,499183000000.0,0.0,0.0,431398000000.0,0.0,429210000000.0,1347608932.0,47252000000.0,-4089000000.0,0.0,-607000000.0,-2396000000.0,0.0,-130000000.0,-2118000000.0,-266000000.0,388000000.0,425000000.0,-437000000.0,104000000.0,-1732000000.0,295000000.0,1068000000.0,2816000000.0,1393000000.0,1781000000.0,70000000.0,0.0,1358122000.0,1396000000.0,5151000000.0,1393000000.0,0.79,255000000.0,5151000000.0,3000000.0,0.0,1138000000.0,0.0,0.0,0.79,1347916000.0,1141000000.0,3755000000.0,0.00737936662117604,3.0,69973000000.0,-0.177083333333333,3.8223255112708,1.0,0.675289040058308,0.784823284823285,51.9238173170553,1.0,0.0538981490008288
1,2020,2,2020-06-30 00:00:00+00:00,18373000000.0,376235000000.0,847000000.0,0.0,4002000000.0,0.0,41197000000.0,68883000000.0,0.0,26898000000.0,504336000000.0,0.0,0.0,432239000000.0,0.0,435453000000.0,1347468353.0,47833000000.0,4849000000.0,0.0,-605000000.0,-2673000000.0,0.0,-122000000.0,7546000000.0,7612000000.0,420000000.0,-24000000.0,-30616000000.0,97000000.0,-17000000.0,-146000000.0,902000000.0,2716000000.0,1146000000.0,1566000000.0,53000000.0,0.0,1355834000.0,1384000000.0,5027000000.0,1146000000.0,0.67,191000000.0,5027000000.0,3000000.0,0.0,955000000.0,0.0,0.0,0.67,1347512000.0,958000000.0,3643000000.0,0.00773079174351442,2.0,68883000000.0,-0.390909090909091,3.73069986304903,1.0,0.694409360800197,0.751567944250871,51.1203100589628,1.0,0.0568850110134514
2,2020,1,2020-03-31 00:00:00+00:00,18076000000.0,350179000000.0,898000000.0,0.0,3999000000.0,0.0,36348000000.0,66061000000.0,0.0,27095000000.0,506229000000.0,0.0,0.0,438787000000.0,0.0,440168000000.0,1342769369.0,78358000000.0,17283000000.0,0.0,-605000000.0,32170000000.0,0.0,-464000000.0,-19515000000.0,-19064000000.0,399000000.0,4628000000.0,17984000000.0,79000000.0,-62000000.0,4164000000.0,986000000.0,2640000000.0,1284000000.0,1683000000.0,74000000.0,0.0,1357545000.0,1287000000.0,4718000000.0,1284000000.0,0.73,224000000.0,4718000000.0,3000000.0,0.0,1060000000.0,0.0,0.0,0.73,1344372000.0,1063000000.0,3431000000.0,0.00902601302482707,4.0,66061000000.0,-0.255102040816326,3.51363391876718,1.0,1.18614613766065,0.720014582573824,49.1975774285033,1.0,0.0664002521785994
3,2019,4,2019-12-31 00:00:00+00:00,19806000000.0,334727000000.0,-844000000.0,0.0,3712000000.0,0.0,19065000000.0,66558000000.0,0.0,27296000000.0,473078000000.0,0.0,0.0,423005000000.0,0.0,406520000000.0,766303490.0,59557000000.0,16190000000.0,3000000.0,-345000000.0,-1114000000.0,0.0,0.0,17748000000.0,11298000000.0,213000000.0,-444000000.0,-2599000000.0,46000000.0,6256000000.0,-444000000.0,702000000.0,2156000000.0,874000000.0,1087000000.0,19000000.0,0.0,936095000.0,879000000.0,3454000000.0,874000000.0,0.72,153000000.0,3454000000.0,5000000.0,0.0,721000000.0,0.0,0.0,0.71,924132000.0,726000000.0,2575000000.0,0.0103664637366343,2.0,66558000000.0,-0.26530612244898,4.507352563408,1.0,0.894813546080111,0.236220472440945,86.8559270165923,1.0,0.0749931891918667
5,2019,3,2019-09-30 00:00:00+00:00,19440000000.0,162280000000.0,-1026000000.0,0.0,2022000000.0,0.0,3018000000.0,32303000000.0,0.0,11429000000.0,236750000000.0,0.0,6242000000.0,204047000000.0,0.0,204447000000.0,766010180.0,35925000000.0,351000000.0,0.0,-345000000.0,5135000000.0,0.0,-52000000.0,-6559000000.0,-6520000000.0,141000000.0,1775000000.0,2908000000.0,39000000.0,-33000000.0,1723000000.0,735000000.0,1485000000.0,1043000000.0,1184000000.0,90000000.0,0.0,775791000.0,1046000000.0,2886000000.0,1043000000.0,0.96,218000000.0,2886000000.0,3000000.0,0.0,825000000.0,0.0,0.0,0.95,766167000.0,828000000.0,1840000000.0,0.0133767353382512,4.0,32303000000.0,-0.0588235294117647,3.76757395051852,1.0,1.11212580874841,0.034037979218918,42.1704578390851,1.0,0.0984591778019308
6,2019,2,2019-06-30 00:00:00+00:00,19050000000.0,159521000000.0,-1119000000.0,0.0,2029000000.0,0.0,2701000000.0,31764000000.0,0.0,11512000000.0,230872000000.0,0.0,6603000000.0,197517000000.0,0.0,199108000000.0,765919922.0,32984000000.0,-167000000.0,0.0,-310000000.0,1125000000.0,0.0,-30000000.0,-2226000000.0,-2136000000.0,139000000.0,934000000.0,1764000000.0,48000000.0,0.0,904000000.0,842000000.0,1417000000.0,1120000000.0,1259000000.0,44000000.0,0.0,774603000.0,1119000000.0,2870000000.0,1120000000.0,1.1,234000000.0,2870000000.0,-1000000.0,0.0,886000000.0,0.0,0.0,1.09,765958000.0,885000000.0,1751000000.0,0.0138193018254134,5.0,31764000000.0,0.1,3.74712801895235,1.0,1.03840826092432,0.0459183673469388,41.4716983951228,1.0,0.102058095610264
7,2019,1,2019-03-31 00:00:00+00:00,18518000000.0,159766000000.0,-1421000000.0,0.0,2078000000.0,0.0,2972000000.0,30883000000.0,0.0,11580000000.0,227683000000.0,0.0,6000000000.0,194740000000.0,0.0,196800000000.0,763599034.0,31034000000.0,-1124000000.0,0.0,-309000000.0,207000000.0,0.0,-34000000.0,-586000000.0,-643000000.0,137000000.0,-745000000.0,2039000000.0,32000000.0,0.0,-779000000.0,749000000.0,1387000000.0,969000000.0,1106000000.0,43000000.0,0.0,774071000.0,975000000.0,2743000000.0,969000000.0,0.98,177000000.0,2743000000.0,6000000.0,0.0,792000000.0,0.0,0.0,0.97,764135000.0,798000000.0,1768000000.0,0.0136470933737955,2.0,30883000000.0,0.0208333333333333,3.59219941077086,1.0,1.0048894213645,0.0300413067968457,40.4440008759885,1.0,0.101472291149711
8,2018,4,2018-12-31 00:00:00+00:00,18118000000.0,161199000000.0,-1715000000.0,0.0,2118000000.0,0.0,3844000000.0,30178000000.0,0.0,10576000000.0,225697000000.0,0.0,0.0,209159000000.0,0.0,195519000000.0,770619748.0,28887000000.0,818000000.0,-375000000.0,-309000000.0,1677000000.0,0.0,0.0,-2230000000.0,-2334000000.0,142000000.0,1371000000.0,-4163000000.0,28000000.0,-296000000.0,1371000000.0,754000000.0,1656000000.0,1003000000.0,1145000000.0,44000000.0,0.0,775516000.0,1010000000.0,2794000000.0,1003000000.0,0.98,205000000.0,2794000000.0,7000000.0,0.0,798000000.0,0.0,0.0,0.97,764926000.0,805000000.0,1784000000.0,0.0137355491977507,7.0,30178000000.0,0.256410256410256,3.6256532579801,1.0,0.957220491748956,0.0230684730867814,39.1606886253841,1.0,0.102373850048881
10,2018,3,2018-09-30 00:00:00+00:00,17673000000.0,154556000000.0,-1852000000.0,0.0,2154000000.0,0.0,3153000000.0,30007000000.0,0.0,11800000000.0,222885000000.0,0.0,5434000000.0,191542000000.0,0.0,192878000000.0,774446877.0,32888000000.0,100000000.0,-200000000.0,-313000000.0,-281000000.0,0.0,0.0,-1170000000.0,-618000000.0,139000000.0,1551000000.0,5290000000.0,37000000.0,0.0,1551000000.0,789000000.0,1326000000.0,1042000000.0,1181000000.0,43000000.0,0.0,781867000.0,1049000000.0,2791000000.0,1042000000.0,1.02,210000000.0,2791000000.0,7000000.0,0.0,832000000.0,0.0,0.0,1.01,771562000.0,839000000.0,1742000000.0,0.0131676008545651,6.0,30007000000.0,0.36,3.603862424769,1.0,1.09601093078282,0.038704875325642,38.7463632318321,1.0,0.0980905399510051
11,2018,2,2018-06-30 00:00:00+00:00,17197000000.0,159475000000.0,-1706000000.0,0.0,2154000000.0,0.0,3053000000.0,29832000000.0,0.0,11407000000.0,222681000000.0,0.0,5717000000.0,191936000000.0,0.0,192849000000.0,779751860.0,27657000000.0,-58000000.0,-310000000.0,-290000000.0,589000000.0,0.0,0.0,-1766000000.0,-1739000000.0,136000000.0,1119000000.0,0.0,45000000.0,0.0,1119000000.0,775000000.0,1293000000.0,1021000000.0,1157000000.0,44000000.0,0.0,785750000.0,1024000000.0,2744000000.0,1021000000.0,1.0,202000000.0,2744000000.0,3000000.0,0.0,819000000.0,0.0,0.0,0.99,775836000.0,822000000.0,1720000000.0,0.012338037840866,7.0,29832000000.0,0.282051282051282,3.51906823280935,1.0,0.927091713596138,0.00882352941176467,38.258324898385,1.0,0.0917659313519598
