,date,quarter,year,statementData.balanceSheet.ppeq,statementData.balanceSheet.accoci,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.acctRec,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.equity,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.deposits,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.cashFlow.issrepayDebt,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.incomeStatement.netinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebit,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.ebt,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.incomeStatement.taxExp,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.costRev,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.intexp,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.revenue,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-27 00:00:00+00:00,3,2020,548166000.0,0.0,347480000.0,390476000.0,0.0,475247000.0,6613288000.0,3236203000.0,2901838000.0,0.0,91750000.0,2218952000.0,1420561000.0,4592767000.0,0.0,59943000.0,5192727000.0,96917000.0,509785000.0,3377085000.0,526125000.0,46516030.0,0.0,0.0,2127202000.0,,-285000000.0,83939000.0,56879000.0,-948000.0,6277000.0,107256000.0,7172000.0,8509000.0,-206055000.0,-296218000.0,0.0,-15826000.0,-24265000.0,-23317000.0,116587000.0,47333000.0,132288000.0,189167000.0,116587000.0,2.51,115636000.0,46530000.0,0.0,116587000.0,197232000.0,-951000.0,329324000.0,2.46,298977000.0,0.0,132092000.0,18000.0,16652000.0,171673000.0,29218000.0,628301000.0,4.0,-0.0308767751677801,0.52415004910067,2.9891004046317,3236203000.0,0.52415004910067,13.5071931117079,-0.492929292929293,0.657314142530614,0.118669308262128,69.5717798788934,0.0556969696097
1,2020-06-28 00:00:00+00:00,2,2020,534383000.0,0.0,553535000.0,374886000.0,0.0,456615000.0,6765130000.0,3097402000.0,3211113000.0,0.0,83000000.0,2503708000.0,1544617000.0,4604424000.0,0.0,12649000.0,5220513000.0,107140000.0,519689000.0,3667728000.0,514755000.0,46425420.0,0.0,0.0,2420708000.0,,25000000.0,125974000.0,57346000.0,-735000.0,4960000.0,145342000.0,4727000.0,5690000.0,147058000.0,7106000.0,9986000.0,-15791000.0,-10117000.0,-19368000.0,11456000.0,47242000.0,38986000.0,96332000.0,11456000.0,0.25,23304000.0,46442000.0,0.0,11456000.0,239562000.0,11848000.0,278372000.0,0.24,288662000.0,0.0,38810000.0,-13000.0,15682000.0,191193000.0,29364000.0,567034000.0,5.0,-0.130991698173353,0.490926470017671,3.38275571323763,3097402000.0,0.490926470017671,12.2138690398493,-0.861878453038674,0.781528519707807,0.159897063349464,66.7178024452983,0.0737198436979521
2,2020-03-29 00:00:00+00:00,1,2020,534742000.0,0.0,406477000.0,441714000.0,0.0,402300000.0,6701564000.0,3073024000.0,3226240000.0,0.0,53625000.0,2490850000.0,1446786000.0,4629592000.0,0.0,13652000.0,5254778000.0,104348000.0,508805000.0,3628540000.0,488856000.0,46363711.0,0.0,0.0,2437225000.0,,485000000.0,-30934000.0,55753000.0,-265160000.0,3522000.0,-11650000.0,-3842000.0,-3022000.0,105394000.0,405330000.0,0.0,-15767000.0,-284444000.0,-19284000.0,131150000.0,47231000.0,157663000.0,213416000.0,131150000.0,2.83,142224000.0,46382000.0,0.0,131150000.0,176538000.0,11074000.0,333624000.0,2.78,297018000.0,0.0,157086000.0,2000.0,15439000.0,147796000.0,27396000.0,630642000.0,3.0,0.0278005945396229,0.52902280533171,3.59628635346756,3073024000.0,0.52902280533171,13.6020604562909,2.17977528089888,0.793103145305731,0.190738523671747,66.2808031048248,0.0862634589502019
3,2019-12-31 00:00:00+00:00,4,2019,543879000.0,0.0,301083000.0,418673000.0,0.0,563055000.0,6309820000.0,2979320000.0,2767445000.0,0.0,50000000.0,2010315000.0,1306332000.0,4401590000.0,0.0,17648000.0,5003488000.0,102916000.0,456544000.0,3330500000.0,476557000.0,46295915.0,0.0,0.0,1960315000.0,2824916000.0,-93000000.0,125674000.0,16802000.0,12148000.0,6903000.0,147707000.0,4025000.0,7192000.0,43539000.0,-108309000.0,10001000.0,-15757000.0,116000.0,-22033000.0,108265000.0,47207000.0,119029000.0,135831000.0,108265000.0,2.34,101754000.0,46332000.0,0.0,108265000.0,271334000.0,-6511000.0,398266000.0,2.29,282686000.0,0.0,126932000.0,-459000.0,17275000.0,240598000.0,31128000.0,680952000.0,8.0,0.0613093521816042,0.584866481044185,2.32007885552921,2979320000.0,0.584866481044185,14.7086843407242,0.187817258883249,0.657973967213995,0.166789644690196,64.3538420182429,0.0733957094382982
5,2019-09-29 00:00:00+00:00,3,2019,544761000.0,0.0,257544000.0,396663000.0,0.0,530363000.0,6257182000.0,2852976000.0,2873843000.0,0.0,50000000.0,2103204000.0,1237610000.0,4407003000.0,0.0,32230000.0,5019572000.0,100630000.0,483328000.0,3404206000.0,472594000.0,46232846.0,0.0,0.0,2053204000.0,2824916000.0,-133000000.0,106002000.0,52696000.0,-240000.0,7337000.0,131735000.0,-9236000.0,6185000.0,-46352000.0,-142878000.0,0.0,-15724000.0,-25973000.0,-25733000.0,228929000.0,47176000.0,118091000.0,170787000.0,228929000.0,4.95,98546000.0,46248000.0,0.0,228929000.0,237454000.0,-130383000.0,355075000.0,4.85,293244000.0,0.0,117621000.0,0.0,19545000.0,209291000.0,27984000.0,648319000.0,6.0,0.0633898227243501,0.547685630067914,2.33351496993569,2852976000.0,0.547685630067914,14.0229091672185,3.02439024390244,0.719670968139935,0.167032190292591,61.7088552151862,0.0706739626777216
6,2019-06-30 00:00:00+00:00,2,2019,533018000.0,0.0,303896000.0,382142000.0,0.0,493892000.0,6314410000.0,2664844000.0,3155674000.0,0.0,50000000.0,2227874000.0,1245141000.0,4492486000.0,0.0,22362000.0,5069269000.0,108059000.0,620333000.0,3649566000.0,461320000.0,46154088.0,0.0,0.0,2177874000.0,2824916000.0,-27500000.0,63881000.0,53855000.0,0.0,6919000.0,96307000.0,3761000.0,5587000.0,32684000.0,-43288000.0,8330000.0,-15697000.0,-24096000.0,-32426000.0,83375000.0,47036000.0,107977000.0,161832000.0,83375000.0,1.81,87219000.0,46172000.0,0.0,83375000.0,244780000.0,3844000.0,352238000.0,1.77,300269000.0,0.0,107458000.0,-47000.0,20758000.0,215500000.0,27595000.0,652507000.0,6.0,0.0699186378647112,0.53982256129053,2.5210795072607,2664844000.0,0.53982256129053,14.1375775857601,-37.2,0.817261348131448,0.1055795381435,57.7379841196299,0.0433157403938121
7,2019-03-31 00:00:00+00:00,1,2019,522241000.0,0.0,271212000.0,375756000.0,0.0,520916000.0,6268069000.0,2569878000.0,3177275000.0,0.0,86625000.0,2260272000.0,1182614000.0,4522256000.0,0.0,12985000.0,5085455000.0,103532000.0,628080000.0,3698191000.0,445566000.0,46020435.0,0.0,0.0,2173647000.0,2824916000.0,0.0,41273000.0,53396000.0,-1025000.0,5781000.0,63776000.0,-1836000.0,2242000.0,-85949000.0,-124361000.0,0.0,-15650000.0,-23528000.0,-22503000.0,40897000.0,46942000.0,74561000.0,127957000.0,40897000.0,0.89,51869000.0,46050000.0,0.0,40897000.0,248727000.0,10972000.0,323970000.0,0.87,289614000.0,0.0,75243000.0,1021000.0,22692000.0,206921000.0,27150000.0,613584000.0,4.0,0.0448784973519745,0.52799616678401,2.27025854456381,2569878000.0,0.52799616678401,13.3328596307271,-0.282258064516129,0.845817194434911,0.0738301895690556,55.8421057949583,0.0297751782644649
8,2018-12-31 00:00:00+00:00,4,2018,432766000.0,-341085000.0,357161000.0,366286000.0,0.0,582456000.0,6277991000.0,2539978000.0,3155557000.0,0.0,86625000.0,2158825000.0,1236169000.0,4571631000.0,0.0,14909000.0,5041822000.0,106709000.0,624882000.0,3738013000.0,427778000.0,45982120.0,0.0,0.0,2072200000.0,2427599000.0,5000000.0,110091000.0,15977000.0,-94597000.0,5969000.0,135135000.0,-9424000.0,3989000.0,885000.0,-6733000.0,1548000.0,-15639000.0,-118093000.0,-25044000.0,90590000.0,46849000.0,122511000.0,138488000.0,90590000.0,1.97,99254000.0,45995000.0,0.0,90590000.0,246555000.0,8664000.0,365821000.0,1.93,275794000.0,0.0,119266000.0,-3077000.0,23257000.0,218540000.0,27798000.0,641615000.0,6.0,0.0781524635947208,0.570156558060519,2.12233885478045,2539978000.0,0.570156558060519,13.9535758681853,-3.07368421052632,0.81583383793088,0.0799886551085273,55.2383839631579,0.0321867299024886
10,2018-09-30 00:00:00+00:00,3,2018,421265000.0,0.0,356276000.0,374341000.0,0.0,549293000.0,6200720000.0,2507065000.0,3144362000.0,0.0,77250000.0,2153084000.0,1240810000.0,4486247000.0,0.0,43020000.0,4959910000.0,97628000.0,632599000.0,3693655000.0,411066000.0,45795694.0,0.0,0.0,2075834000.0,2427599000.0,-80000000.0,103376000.0,14990000.0,-100000.0,5732000.0,121123000.0,3996000.0,8866000.0,9972000.0,-97300000.0,0.0,-15588000.0,-17847000.0,-17747000.0,56524000.0,46815000.0,82409000.0,97399000.0,56524000.0,1.23,55238000.0,45851000.0,0.0,56524000.0,260468000.0,-1286000.0,342573000.0,1.21,267099000.0,0.0,82105000.0,16000.0,27171000.0,214894000.0,26365000.0,609672000.0,5.0,0.140206806395326,0.56189721686415,2.25892192327228,2507065000.0,0.56189721686415,13.3128673625953,-0.280701754385965,0.827993689832533,0.0272063939898976,54.7445574249841,0.0108703256193858
11,2018-07-01 00:00:00+00:00,2,2018,410979000.0,0.0,346304000.0,359119000.0,0.0,536445000.0,6175321000.0,2433981000.0,3204895000.0,0.0,86875000.0,2232343000.0,1185279000.0,4527092000.0,0.0,21470000.0,4990042000.0,94834000.0,614796000.0,3741340000.0,405428000.0,45543546.0,0.0,0.0,2145468000.0,2427599000.0,0.0,72221000.0,14695000.0,-18766000.0,5950000.0,94478000.0,-16335000.0,8400000.0,-32568000.0,-69688000.0,0.0,-15491000.0,-41023000.0,-22257000.0,-2496000.0,45581000.0,33729000.0,48424000.0,-2496000.0,-0.05,7080000.0,45581000.0,0.0,-2496000.0,311288000.0,9576000.0,344778000.0,-0.05,265088000.0,0.0,33490000.0,-56000.0,26649000.0,229917000.0,26018000.0,609866000.0,5.0,0.153709802823616,0.565334024195479,2.2095070324078,2433981000.0,0.565334024195479,13.3908325891005,-1.02890173410405,0.881464563609987,0.0355827624562149,53.4429400820042,0.0144702887393313
