,year,quarter,date,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.equity,statementData.balanceSheet.acctRec,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.taxAssets,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalAssets,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.acctPay,statementData.cashFlow.freeCashFlow,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.eps,statementData.incomeStatement.ebitda,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.taxExp,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.ebit,statementData.incomeStatement.costRev,statementData.incomeStatement.rnd,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2021,3,2020-10-03 00:00:00+00:00,2670000000.0,10120000000.0,3865000000.0,2438000000.0,5741000000.0,872000000.0,6129000000.0,693000000.0,2159000000.0,-1717000000.0,0.0,3991000000.0,5741000000.0,7394000000.0,4252000000.0,0.0,693000000.0,0.0,15861000000.0,0.0,0.0,4724000000.0,859000000.0,228035460.0,8467000000.0,1121000000.0,312000000.0,0.0,-31000000.0,367000000.0,8000000.0,0.0,0.0,-2000000.0,93000000.0,0.0,-5000000.0,-55000000.0,342000000.0,-7000000.0,0.0,0.5,252000000.0,403000000.0,0.5,228035460.0,0.0,244000000.0,0.0,159000000.0,116000000.0,43000000.0,115000000.0,115000000.0,115000000.0,1000000.0,258000000.0,2735000000.0,159000000.0,2332000000.0,0.0,5.0,-0.160785517029764,0.147349177330896,2.12152342771235,5741000000.0,0.147349177330896,11.9937486915412,-0.479166666666667,0.673227660686292,0.0487455197132617,25.1759090450231,0.0174650057788622
1,2021,2,2020-07-04 00:00:00+00:00,2346000000.0,9944000000.0,3625000000.0,2446000000.0,5527000000.0,764000000.0,5872000000.0,691000000.0,2153000000.0,-1791000000.0,0.0,4072000000.0,5631000000.0,7406000000.0,4262000000.0,0.0,691000000.0,0.0,15471000000.0,0.0,0.0,4732000000.0,1107000000.0,227472487.0,8065000000.0,982000000.0,200000000.0,0.0,-29000000.0,246000000.0,6000000.0,0.0,-11000000.0,-310000000.0,97000000.0,0.0,-4000000.0,-46000000.0,-87000000.0,-307000000.0,0.0,-0.4,21000000.0,221000000.0,-0.4,227472487.0,0.0,297000000.0,0.0,-76000000.0,-118000000.0,42000000.0,-92000000.0,-92000000.0,-92000000.0,-26000000.0,239000000.0,2472000000.0,-76000000.0,2251000000.0,0.0,6.0,-0.233963433529594,0.0894012944983819,1.98059921414538,5527000000.0,0.0894012944983819,10.8672483103418,-1.42553191489362,0.65587117785417,0.0684490036766375,24.2974439365935,0.0245215213750264
2,2021,1,2020-04-04 00:00:00+00:00,2446000000.0,10412000000.0,3638000000.0,2483000000.0,5534000000.0,870000000.0,5897000000.0,681000000.0,2150000000.0,-1859000000.0,0.0,4515000000.0,5727000000.0,7444000000.0,4385000000.0,0.0,681000000.0,0.0,15946000000.0,0.0,0.0,5034000000.0,1396000000.0,228049518.0,8502000000.0,1322000000.0,-444000000.0,0.0,-56000000.0,-394000000.0,-16000000.0,-54000000.0,0.0,1548000000.0,89000000.0,0.0,-5000000.0,-50000000.0,1082000000.0,1616000000.0,0.0,0.22,198000000.0,390000000.0,0.22,228049518.0,0.0,281000000.0,0.0,109000000.0,69000000.0,40000000.0,50000000.0,50000000.0,50000000.0,19000000.0,263000000.0,2777000000.0,109000000.0,2387000000.0,0.0,3.0,-0.106786748150531,0.140439323010443,1.88305647840532,5534000000.0,0.140439323010443,12.177179870207,-0.710526315789474,0.65739067582219,0.125641025641026,24.2666594892781,0.0451152543487554
4,2019,4,2020-01-04 00:00:00+00:00,1357000000.0,9500000000.0,3249000000.0,2527000000.0,5518000000.0,921000000.0,5654000000.0,682000000.0,2150000000.0,-1847000000.0,0.0,3846000000.0,5682000000.0,7953000000.0,4069000000.0,0.0,682000000.0,0.0,15018000000.0,0.0,0.0,3810000000.0,561000000.0,228262751.0,7065000000.0,1378000000.0,612000000.0,0.0,-146000000.0,735000000.0,10000000.0,-9000000.0,-2000000.0,-351000000.0,108000000.0,-20000000.0,-9000000.0,-123000000.0,248000000.0,-324000000.0,0.0,0.87,360000000.0,594000000.0,0.86,228262751.0,0.0,342000000.0,0.0,252000000.0,210000000.0,42000000.0,199000000.0,199000000.0,199000000.0,11000000.0,298000000.0,4035000000.0,252000000.0,3441000000.0,0.0,6.0,0.0760000000000001,0.147211895910781,1.83697347893916,5518000000.0,0.147211895910781,17.6769971549147,-0.155339805825243,0.58880028996013,0.151353359023167,24.1738959853331,0.0549228384662039
5,2019,3,2019-09-28 00:00:00+00:00,1053000000.0,9610000000.0,3604000000.0,2497000000.0,5452000000.0,1018000000.0,5844000000.0,730000000.0,2142000000.0,-1729000000.0,0.0,3766000000.0,6009000000.0,7821000000.0,4436000000.0,0.0,730000000.0,0.0,15062000000.0,0.0,0.0,4172000000.0,568000000.0,230123580.0,7241000000.0,1226000000.0,156000000.0,0.0,-79000000.0,237000000.0,-10000000.0,-109000000.0,0.0,8000000.0,98000000.0,0.0,0.0,-81000000.0,156000000.0,118000000.0,0.0,0.96,383000000.0,512000000.0,0.95,230123580.0,0.0,227000000.0,0.0,285000000.0,241000000.0,44000000.0,220000000.0,220000000.0,220000000.0,21000000.0,255000000.0,3259000000.0,285000000.0,2747000000.0,0.0,6.0,0.0184375000000001,0.157103405952746,1.92272968667021,5452000000.0,0.157103405952746,14.1619559368927,-0.580786026200873,0.661041819515774,0.162541837552444,23.6916182166121,0.0588375823350739
6,2019,2,2019-06-29 00:00:00+00:00,857000000.0,9460000000.0,3613000000.0,2517000000.0,5336000000.0,989000000.0,5881000000.0,776000000.0,2147000000.0,-1715000000.0,0.0,3579000000.0,5794000000.0,7882000000.0,4311000000.0,0.0,776000000.0,0.0,14796000000.0,0.0,0.0,4070000000.0,457000000.0,232762261.0,6914000000.0,1231000000.0,86000000.0,0.0,-71000000.0,162000000.0,-5000000.0,-159000000.0,0.0,43000000.0,99000000.0,0.0,-4000000.0,-76000000.0,129000000.0,196000000.0,0.0,0.94,421000000.0,586000000.0,0.93,232762261.0,0.0,264000000.0,0.0,322000000.0,279000000.0,43000000.0,217000000.0,217000000.0,217000000.0,62000000.0,292000000.0,3227000000.0,322000000.0,2641000000.0,0.0,6.0,-0.133923778851315,0.181592810660056,1.93182453199218,5336000000.0,0.181592810660056,13.8639313183162,0.0681818181818181,0.677098950524738,0.226248591813744,22.9246784984616,0.0828050645089247
7,2019,1,2019-03-30 00:00:00+00:00,742000000.0,9247000000.0,3523000000.0,2523000000.0,5233000000.0,1059000000.0,5815000000.0,756000000.0,2141000000.0,-1736000000.0,0.0,3432000000.0,5581000000.0,7893000000.0,4047000000.0,0.0,756000000.0,0.0,14480000000.0,0.0,0.0,3886000000.0,363000000.0,234679051.0,6587000000.0,1147000000.0,-255000000.0,0.0,-56000000.0,-196000000.0,9000000.0,-202000000.0,0.0,-98000000.0,100000000.0,0.0,-5000000.0,-59000000.0,-341000000.0,100000000.0,0.0,0.76,354000000.0,532000000.0,0.76,234679051.0,0.0,278000000.0,0.0,254000000.0,212000000.0,42000000.0,179000000.0,179000000.0,179000000.0,33000000.0,307000000.0,3109000000.0,254000000.0,2577000000.0,0.0,5.0,-0.0567354368932039,0.171116114506272,1.91928904428904,5233000000.0,0.171116114506272,13.2478803998572,0.0410958904109588,0.673227594114275,0.227285513361463,22.2985391226931,0.0836280209070052
8,2018,4,2018-12-29 00:00:00+00:00,1107000000.0,9072000000.0,3526000000.0,2615000000.0,5192000000.0,1024000000.0,5566000000.0,760000000.0,2218000000.0,-1762000000.0,0.0,3506000000.0,5407000000.0,7650000000.0,3818000000.0,0.0,760000000.0,0.0,14264000000.0,0.0,0.0,3784000000.0,258000000.0,242961492.0,6614000000.0,1099000000.0,293000000.0,0.0,-195000000.0,429000000.0,-9000000.0,-326000000.0,-23000000.0,-348000000.0,107000000.0,-25000000.0,-5000000.0,-136000000.0,-123000000.0,55000000.0,0.0,1.03,427000000.0,645000000.0,1.03,242961492.0,0.0,325000000.0,0.0,320000000.0,278000000.0,42000000.0,246000000.0,246000000.0,246000000.0,32000000.0,271000000.0,3750000000.0,320000000.0,3105000000.0,0.0,8.0,-0.0664675130694549,0.172,1.88648031945237,5192000000.0,0.172,15.4345446643866,-3.64102564102564,0.679121725731895,0.224333379228051,21.3696415726654,0.0836141569304983
10,2018,3,2018-09-29 00:00:00+00:00,1293000000.0,9126000000.0,3857000000.0,2593000000.0,5543000000.0,1026000000.0,5703000000.0,786000000.0,2209000000.0,-1297000000.0,0.0,3423000000.0,6419000000.0,7757000000.0,4030000000.0,0.0,786000000.0,0.0,14669000000.0,0.0,0.0,3866000000.0,9000000.0,248410831.0,6912000000.0,1104000000.0,225000000.0,0.0,740000000.0,299000000.0,-3000000.0,-468000000.0,807000000.0,-474000000.0,106000000.0,0.0,-5000000.0,-74000000.0,562000000.0,-26000000.0,0.0,2.29,775000000.0,513000000.0,2.26,248410831.0,0.0,288000000.0,0.0,225000000.0,628000000.0,41000000.0,563000000.0,563000000.0,563000000.0,65000000.0,307000000.0,3200000000.0,669000000.0,2687000000.0,0.0,5.0,-0.0815154994259472,0.1603125,2.01928133216477,5543000000.0,0.1603125,12.8818859754147,2.81666666666667,0.695832581634494,0.156446682251394,22.3138418630386,0.0584530108339632
11,2018,2,2018-06-30 00:00:00+00:00,731000000.0,9196000000.0,3879000000.0,2608000000.0,5362000000.0,1121000000.0,5799000000.0,763000000.0,2207000000.0,-1343000000.0,0.0,3397000000.0,5861000000.0,7788000000.0,3925000000.0,0.0,763000000.0,0.0,14558000000.0,0.0,0.0,3888000000.0,9000000.0,256038330.0,6770000000.0,1147000000.0,368000000.0,0.0,4000000.0,450000000.0,-17000000.0,-571000000.0,0.0,-577000000.0,113000000.0,25000000.0,-5000000.0,-82000000.0,-140000000.0,-36000000.0,0.0,0.88,415000000.0,653000000.0,0.87,256038330.0,0.0,351000000.0,0.0,302000000.0,260000000.0,42000000.0,224000000.0,224000000.0,224000000.0,36000000.0,370000000.0,3726000000.0,302000000.0,3073000000.0,0.0,7.0,0.0338512763596004,0.175254965110038,1.99293494259641,5362000000.0,0.175254965110038,14.5525086029111,0.543859649122807,0.723424095486759,0.0827745459389849,20.9421768998415,0.0306876738940748
