,year,quarter,date,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,15791000000.0,1831000000.0,54186000000.0,0.0,13950000000.0,5343000000.0,61189000000.0,961000000.0,0.0,4524000000.0,38395000000.0,44713000000.0,290983657.0,968000000.0,1171000000.0,5835000000.0,7379000000.0,36194000000.0,33818000000.0,28475000000.0,389000000.0,-1009000000.0,16476000000.0,968000000.0,7003000000.0,0.0,0.0,368000000.0,6786000000.0,0.0,-1889000000.0,0.0,0.0,7905000000.0,-1521000000.0,770000000.0,406000000.0,8152000000.0,0.0,0.0,0.0,2282000000.0,0.0,2489000000.0,-2332000000.0,345000000.0,-1841000000.0,-1841000000.0,0.0,-6.33,-1987000000.0,-491000000.0,-1615000000.0,2506000000.0,-6.33,-1987000000.0,-1841000000.0,891000000.0,1598000000.0,290983657.0,0.0,1.0,-0.78128295254833,0.35797509039775,1.04337914001647,7003000000.0,0.35797509039775,8.55374499606347,-2.5785536159601,4.06611452234756,-0.496970029339987,24.0666437153204,-0.0817294684247551
1,2020,2,2020-06-30 00:00:00+00:00,16395000000.0,1725000000.0,46384000000.0,0.0,7536000000.0,5145000000.0,54901000000.0,955000000.0,0.0,6365000000.0,29989000000.0,44860000000.0,290432163.0,939000000.0,857000000.0,5670000000.0,7375000000.0,36473000000.0,24892000000.0,19747000000.0,804000000.0,-1259000000.0,10041000000.0,939000000.0,8517000000.0,0.0,0.0,-39000000.0,3064000000.0,1135000000.0,-130000000.0,0.0,0.0,2382000000.0,-169000000.0,812000000.0,838000000.0,1260000000.0,0.0,0.0,0.0,2201000000.0,0.0,1475000000.0,-2003000000.0,196000000.0,-1627000000.0,-1627000000.0,0.0,-5.79,-1807000000.0,-376000000.0,-1637000000.0,1898000000.0,-5.79,-1807000000.0,-1627000000.0,261000000.0,1214000000.0,290432163.0,0.0,2.0,-0.870636730398176,0.176949152542373,0.612442817932296,8517000000.0,0.176949152542373,5.07863862171491,-2.43672456575682,2.31853939180463,-0.163465548114897,29.3252645024718,-0.0313207937358413
2,2020,1,2020-03-31 00:00:00+00:00,16087000000.0,2436000000.0,43637000000.0,0.0,5327000000.0,4802000000.0,53055000000.0,1070000000.0,0.0,7991000000.0,27550000000.0,45150000000.0,247951116.0,912000000.0,792000000.0,5488000000.0,7468000000.0,36664000000.0,23429000000.0,18627000000.0,1322000000.0,-771000000.0,7905000000.0,912000000.0,9418000000.0,0.0,0.0,-1959000000.0,680000000.0,-353000000.0,63000000.0,0.0,0.0,2189000000.0,-1896000000.0,-1572000000.0,386000000.0,2595000000.0,0.0,0.0,0.0,3250000000.0,0.0,7979000000.0,-2114000000.0,171000000.0,-1704000000.0,-1704000000.0,0.0,-6.86,-1943000000.0,-410000000.0,-972000000.0,5381000000.0,-6.86,-1943000000.0,-1704000000.0,4409000000.0,3570000000.0,247951116.0,0.0,4.0,-0.167900719574512,0.552575510715628,0.491390563809287,9418000000.0,0.552575510715628,32.1797301368065,-7.29357798165138,1.97780845190062,0.0951844021611463,37.9832934488587,0.0192938599623836
3,2019,4,2019-12-31 00:00:00+00:00,14938000000.0,2703000000.0,41080000000.0,0.0,5050000000.0,2139000000.0,52611000000.0,1072000000.0,0.0,9716000000.0,26142000000.0,44417000000.0,253043650.0,1851000000.0,1364000000.0,5276000000.0,7532000000.0,34928000000.0,20450000000.0,18311000000.0,1736000000.0,-718000000.0,8194000000.0,1851000000.0,11531000000.0,0.0,0.0,-1239000000.0,-195000000.0,-214000000.0,1181000000.0,0.0,0.0,-47000000.0,-58000000.0,-1329000000.0,-15000000.0,178000000.0,2288000000.0,-164000000.0,0.0,3495000000.0,0.0,10888000000.0,844000000.0,161000000.0,641000000.0,641000000.0,0.0,2.56,1005000000.0,203000000.0,861000000.0,5861000000.0,2.54,3293000000.0,641000000.0,6722000000.0,4166000000.0,253043650.0,0.0,8.0,0.0378419597750452,0.617376928728876,0.548533940286518,11531000000.0,0.617376928728876,43.0281494912044,0.505882352941176,1.5879802272136,0.280206732783908,45.5692130586956,0.057977157886117
5,2019,3,2019-09-30 00:00:00+00:00,15691000000.0,2848000000.0,40898000000.0,0.0,5226000000.0,2113000000.0,52199000000.0,1065000000.0,0.0,9075000000.0,25207000000.0,43666000000.0,256921469.0,1660000000.0,1617000000.0,5219000000.0,7637000000.0,34269000000.0,20140000000.0,18027000000.0,1594000000.0,-504000000.0,8533000000.0,1660000000.0,11301000000.0,0.0,0.0,-869000000.0,-263000000.0,-369000000.0,1103000000.0,0.0,0.0,-571000000.0,234000000.0,-795000000.0,73000000.0,-182000000.0,0.0,0.0,0.0,3495000000.0,0.0,11380000000.0,1349000000.0,191000000.0,1024000000.0,1024000000.0,0.0,4.01,1540000000.0,325000000.0,1473000000.0,5688000000.0,3.99,1540000000.0,1024000000.0,7161000000.0,4219000000.0,256921469.0,0.0,8.0,0.0342633827138052,0.629261862917399,0.543814925753617,11301000000.0,0.629261862917399,44.2936903805419,0.310457516339869,1.59516856915317,0.272904859520077,43.9862034262306,0.055467325451444
6,2019,2,2019-06-30 00:00:00+00:00,16078000000.0,3033000000.0,41830000000.0,0.0,5549000000.0,2009000000.0,52150000000.0,996000000.0,0.0,8050000000.0,25752000000.0,43240000000.0,263129397.0,1657000000.0,1762000000.0,5198000000.0,7652000000.0,33826000000.0,20183000000.0,18174000000.0,1192000000.0,-807000000.0,8910000000.0,1657000000.0,10320000000.0,0.0,0.0,-858000000.0,1375000000.0,-549000000.0,2710000000.0,0.0,0.0,-479000000.0,1852000000.0,-856000000.0,-3000000.0,84000000.0,0.0,0.0,0.0,3499000000.0,0.0,11402000000.0,1354000000.0,191000000.0,1052000000.0,1052000000.0,0.0,4.03,1545000000.0,302000000.0,1472000000.0,5676000000.0,4.02,1545000000.0,1052000000.0,7148000000.0,4254000000.0,263129397.0,0.0,9.0,0.0579938758467107,0.626907560077179,0.55417340465232,10320000000.0,0.626907560077179,43.3322925146216,0.625,1.76104651162791,0.26624277748341,39.2202472154793,0.0536587846427663
7,2019,1,2019-03-31 00:00:00+00:00,15335000000.0,2707000000.0,40837000000.0,0.0,4170000000.0,1973000000.0,50639000000.0,972000000.0,0.0,6999000000.0,25502000000.0,43031000000.0,266727577.0,1610000000.0,1789000000.0,5138000000.0,7667000000.0,33651000000.0,20088000000.0,18115000000.0,898000000.0,-793000000.0,7608000000.0,1610000000.0,9802000000.0,0.0,0.0,-1609000000.0,152000000.0,-513000000.0,1915000000.0,0.0,0.0,-183000000.0,306000000.0,-1580000000.0,44000000.0,376000000.0,0.0,0.0,0.0,3233000000.0,0.0,9589000000.0,367000000.0,188000000.0,292000000.0,292000000.0,0.0,1.09,555000000.0,75000000.0,495000000.0,5306000000.0,1.09,555000000.0,292000000.0,5801000000.0,3788000000.0,266727577.0,0.0,6.0,0.0616696191319752,0.604964021274377,0.496119986957939,9802000000.0,0.604964021274377,35.9505384027089,1.13725490196078,1.84809222607631,0.239144182124789,36.7491059988896,0.0479726836900275
8,2018,4,2018-12-31 00:00:00+00:00,13839000000.0,2363000000.0,38982000000.0,0.0,4055000000.0,2072000000.0,49024000000.0,985000000.0,0.0,6715000000.0,25143000000.0,41930000000.0,272464412.0,1482000000.0,1426000000.0,5005000000.0,7682000000.0,32661000000.0,19787000000.0,17715000000.0,828000000.0,-803000000.0,7094000000.0,1482000000.0,10042000000.0,0.0,0.0,-1604000000.0,-927000000.0,-225000000.0,1129000000.0,0.0,0.0,-108000000.0,-475000000.0,-1948000000.0,60000000.0,123000000.0,2165000000.0,-456000000.0,0.0,3320000000.0,0.0,10491000000.0,553000000.0,173000000.0,461000000.0,461000000.0,0.0,1.7,726000000.0,92000000.0,635000000.0,5687000000.0,1.69,2891000000.0,461000000.0,6322000000.0,4169000000.0,272464412.0,0.0,5.0,0.110041265474553,0.602611762463064,0.512609292578944,10042000000.0,0.602611762463064,38.5041111350718,-0.141414141414141,1.76409081856204,0.232637175903086,36.8561894975113,0.0464917565865148
10,2018,3,2018-09-30 00:00:00+00:00,13684000000.0,2581000000.0,35368000000.0,0.0,5040000000.0,1046000000.0,44837000000.0,1011000000.0,0.0,6203000000.0,21684000000.0,36166000000.0,272603972.0,848000000.0,1752000000.0,4987000000.0,7905000000.0,27308000000.0,14380000000.0,13334000000.0,639000000.0,-1089000000.0,8671000000.0,848000000.0,9469000000.0,0.0,0.0,-795000000.0,-265000000.0,-41000000.0,883000000.0,0.0,0.0,-294000000.0,88000000.0,-854000000.0,-125000000.0,-247000000.0,0.0,0.0,0.0,3357000000.0,0.0,11003000000.0,1058000000.0,172000000.0,833000000.0,833000000.0,0.0,3.06,1230000000.0,225000000.0,1187000000.0,5386000000.0,3.05,1230000000.0,833000000.0,6573000000.0,4430000000.0,272603972.0,0.0,8.0,0.111526416809779,0.597382532036717,0.633659748611517,9469000000.0,0.597382532036717,40.3625813640015,0.423255813953489,1.40817404160946,0.254590937517767,34.7353706203518,0.0509176085325086
11,2018,2,2018-06-30 00:00:00+00:00,14092000000.0,2703000000.0,36052000000.0,0.0,5165000000.0,1004000000.0,44691000000.0,942000000.0,0.0,5367000000.0,21960000000.0,35810000000.0,277265493.0,848000000.0,1840000000.0,4989000000.0,7922000000.0,26946000000.0,14503000000.0,13499000000.0,419000000.0,-1102000000.0,8881000000.0,848000000.0,8639000000.0,0.0,0.0,-727000000.0,481000000.0,-440000000.0,2443000000.0,0.0,0.0,-1004000000.0,1716000000.0,-958000000.0,-115000000.0,-554000000.0,0.0,-139000000.0,0.0,3271000000.0,0.0,10777000000.0,855000000.0,163000000.0,683000000.0,683000000.0,0.0,2.48,1018000000.0,172000000.0,1145000000.0,5367000000.0,2.48,1018000000.0,683000000.0,6512000000.0,4265000000.0,277265493.0,0.0,7.0,0.0768385291766587,0.604249791222047,0.630215725234175,8639000000.0,0.604249791222047,38.8688829734755,-0.0711610486891385,1.56256511170274,0.236569681940079,31.1578621144897,0.0472526206658219
12,2018,1,2018-03-31 00:00:00+00:00,14183000000.0,2399000000.0,35682000000.0,0.0,4570000000.0,1779000000.0,44018000000.0,924000000.0,0.0,4684000000.0,21499000000.0,35731000000.0,284700547.0,853000000.0,1760000000.0,4937000000.0,8044000000.0,26739000000.0,14964000000.0,13185000000.0,250000000.0,-1114000000.0,8287000000.0,853000000.0,8336000000.0,0.0,0.0,-944000000.0,919000000.0,-529000000.0,1709000000.0,0.0,0.0,-95000000.0,765000000.0,-695000000.0,244000000.0,466000000.0,0.0,-10000000.0,0.0,3068000000.0,0.0,9032000000.0,182000000.0,162000000.0,145000000.0,145000000.0,0.0,0.51,344000000.0,37000000.0,262000000.0,5029000000.0,0.51,344000000.0,145000000.0,5291000000.0,3741000000.0,284700547.0,0.0,6.0,0.0719202468549727,0.585806023029229,0.584291052668688,8336000000.0,0.585806023029229,31.7245614564977,0.59375,1.58169385796545,0.250931392216427,29.2798875444381,0.0511341073138826
