,date,quarter,year,statementData.balanceSheet.ppeq,statementData.balanceSheet.accoci,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.acctRec,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.equity,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.deposits,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.cashFlow.issrepayDebt,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.incomeStatement.netinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebit,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.ebt,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.incomeStatement.taxExp,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.costRev,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.intexp,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.revenue,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,5579009000.0,0.0,1101230000.0,1540747000.0,0.0,2634222000.0,12975758000.0,5962788000.0,4306438000.0,0.0,151723000.0,3940632000.0,2961154000.0,3854265000.0,0.0,19936000.0,10014604000.0,1591258000.0,32230000.0,6940660000.0,176105000.0,84957557.0,0.0,0.0,3788909000.0,,83486000.0,574742000.0,125961000.0,-51266000.0,15974000.0,766788000.0,933000.0,3392000.0,561617000.0,71784000.0,-34576000.0,0.0,-277888000.0,-192046000.0,241279000.0,85247000.0,345026000.0,470987000.0,241279000.0,2.84,320451000.0,84672000.0,0.0,244092000.0,2562871000.0,79172000.0,2912541000.0,2.82,0.0,2813000.0,349670000.0,0.0,24575000.0,1406348000.0,0.0,2912541000.0,6.0,0.0319183348668695,1.0,1.12410950937317,6035098000.0,1.0,34.2823063991824,1.58181818181818,0.635425743796358,0.156042499298477,71.0366236166607,0.0727426285038339
1,2020-06-30 00:00:00+00:00,2,2020,5439937000.0,0.0,539622000.0,1438697000.0,0.0,2259169000.0,12148499000.0,5688647000.0,4127758000.0,0.0,138714000.0,3868401000.0,2296787000.0,3836020000.0,0.0,20241000.0,9851712000.0,1371698000.0,145599000.0,6386927000.0,167626000.0,84926477.0,0.0,0.0,3729687000.0,,-274234000.0,778799000.0,126208000.0,3374000.0,15907000.0,949307000.0,34000.0,-25112000.0,485049000.0,-302496000.0,5338000.0,0.0,-161796000.0,-170508000.0,251929000.0,85059000.0,356556000.0,482764000.0,251929000.0,2.97,331083000.0,84632000.0,0.0,256504000.0,2371723000.0,79154000.0,2729754000.0,2.95,0.0,4575000.0,358031000.0,0.0,25473000.0,1308010000.0,0.0,2729754000.0,5.0,-0.0439252611405003,1.0,1.01665125539524,5761572000.0,1.0,32.1425554953846,0.112359550561798,0.655636920343273,0.133907907806694,67.8418816313315,0.0626244802002808
2,2020-03-31 00:00:00+00:00,1,2020,5383555000.0,0.0,54619000.0,1486829000.0,0.0,1689951000.0,11620426000.0,5413209000.0,4445432000.0,0.0,127293000.0,4147100000.0,1834346000.0,3836566000.0,0.0,17482000.0,9786080000.0,1382652000.0,68782000.0,6135383000.0,162597000.0,86730241.0,0.0,0.0,4019807000.0,,-179645000.0,317960000.0,124394000.0,-2608000.0,18047000.0,502062000.0,-1673000.0,-169090000.0,-6444000.0,-371814000.0,51691000.0,-17344000.0,-135019000.0,-184102000.0,142037000.0,86455000.0,224711000.0,349105000.0,142037000.0,1.64,188360000.0,86212000.0,0.0,144460000.0,2592973000.0,46323000.0,2829667000.0,1.64,0.0,2423000.0,236694000.0,0.0,36351000.0,1432669000.0,0.0,2829667000.0,5.0,0.00901300852841125,1.0,1.08544330575265,5485043000.0,1.0,32.6260709917778,-0.361867704280156,0.742592240573013,0.133223174712108,63.2425661079392,0.0619887838351914
3,2019-12-31 00:00:00+00:00,4,2019,5343216000.0,0.0,61268000.0,1560847000.0,0.0,1563390000.0,11668250000.0,5504105000.0,4525989000.0,0.0,143992000.0,4310645000.0,1915934000.0,3869760000.0,0.0,16189000.0,9752316000.0,1272374000.0,27586000.0,6089379000.0,159889000.0,87582269.0,0.0,0.0,4166653000.0,5471345000.0,35153000.0,235311000.0,127656000.0,-11860000.0,17264000.0,389159000.0,2218000.0,-179970000.0,-49170000.0,-164790000.0,-110049000.0,-17447000.0,-275757000.0,-153848000.0,245176000.0,87603000.0,357483000.0,485139000.0,245176000.0,2.8,318324000.0,87184000.0,0.0,248010000.0,2555268000.0,73148000.0,2896247000.0,2.78,0.0,2834000.0,340979000.0,0.0,39159000.0,1431640000.0,0.0,2896247000.0,5.0,0.0514616830084342,1.0,1.22549971536213,5578871000.0,1.0,33.0688737922513,0.627906976744186,0.757008269282654,0.149728621077556,63.6986351655265,0.069740150851438
5,2019-09-30 00:00:00+00:00,3,2019,5287737000.0,0.0,58905000.0,1544077000.0,0.0,1621769000.0,11594401000.0,5389215000.0,4508687000.0,0.0,133157000.0,4277699000.0,1930627000.0,3827867000.0,0.0,19199000.0,9663774000.0,1343922000.0,21783000.0,6130456000.0,156285000.0,88488863.0,0.0,0.0,4144542000.0,5471345000.0,-201658000.0,276221000.0,121528000.0,3150000.0,17491000.0,432548000.0,-986000.0,-90350000.0,-1864000.0,-309848000.0,29599000.0,-17603000.0,-123578000.0,-156327000.0,97190000.0,88355000.0,175842000.0,297370000.0,97190000.0,1.1,134395000.0,87952000.0,0.0,100870000.0,2633524000.0,37205000.0,2822453000.0,1.1,0.0,3680000.0,188929000.0,0.0,41447000.0,1408226000.0,0.0,2822453000.0,4.0,0.0655136654167199,1.0,1.19044512504555,5463945000.0,1.0,31.8961381614769,-0.405405405405405,0.769043729003204,0.134433109551542,61.7472619124963,0.0628269534850233
6,2019-06-30 00:00:00+00:00,2,2019,5276833000.0,0.0,61297000.0,1601352000.0,0.0,1544269000.0,11752650000.0,5393089000.0,4743930000.0,0.0,148280000.0,4481089000.0,1965032000.0,3843429000.0,0.0,15747000.0,9787618000.0,1253760000.0,38385000.0,6288199000.0,153574000.0,90140034.0,0.0,0.0,4332809000.0,5471345000.0,254423000.0,86688000.0,121168000.0,-15285000.0,17085000.0,240760000.0,-1067000.0,-348319000.0,-875000.0,-104104000.0,32893000.0,-8872000.0,-136464000.0,-154072000.0,238320000.0,89235000.0,350350000.0,471518000.0,238320000.0,2.67,307863000.0,89136000.0,0.0,241265000.0,2509605000.0,69543000.0,2855168000.0,2.66,0.0,2945000.0,345563000.0,0.0,42487000.0,1383481000.0,0.0,2855168000.0,5.0,0.0648236170321477,1.0,1.2724674263357,5464451000.0,1.0,31.6748050039564,0.1125,0.803400240567141,0.148379886160448,60.6217987448285,0.0697463012185776
7,2019-03-31 00:00:00+00:00,1,2019,5256870000.0,0.0,62726000.0,1602405000.0,0.0,1656766000.0,11721277000.0,5482415000.0,4512200000.0,0.0,128127000.0,4236166000.0,1960441000.0,3856664000.0,0.0,5350000.0,9760836000.0,1355717000.0,80612000.0,6168966000.0,149928000.0,90784756.0,0.0,0.0,4108039000.0,5471345000.0,-105840000.0,261956000.0,120040000.0,-10557000.0,17591000.0,431804000.0,794000.0,-141059000.0,-42109000.0,-266294000.0,-28008000.0,-9081000.0,-208413000.0,-169848000.0,234168000.0,90967000.0,332706000.0,452746000.0,234168000.0,2.57,293066000.0,90776000.0,0.0,237398000.0,2463954000.0,58898000.0,2804391000.0,2.57,0.0,3230000.0,340437000.0,0.0,39640000.0,1365546000.0,0.0,2804391000.0,5.0,0.043488113187047,1.0,1.18329383871953,5552311000.0,1.0,30.8905495103165,0.0843881856540083,0.749311936436771,0.146622895508074,61.1590672777707,0.0697149967199252
8,2018-12-31 00:00:00+00:00,4,2018,4847940000.0,4242000.0,105220000.0,1509909000.0,0.0,1448738000.0,11265480000.0,5389262000.0,4350949000.0,0.0,63446000.0,3998633000.0,1937802000.0,3844628000.0,0.0,5280000.0,9327678000.0,445652000.0,108307000.0,5799687000.0,148206000.0,92512371.0,0.0,0.0,3935187000.0,5384106000.0,-21680000.0,181729000.0,118074000.0,-14725000.0,15936000.0,325342000.0,-1163000.0,-133710000.0,21993000.0,-184011000.0,40063000.0,-9256000.0,-118175000.0,-143613000.0,158075000.0,92706000.0,241777000.0,359851000.0,158075000.0,1.72,201903000.0,92187000.0,0.0,163622000.0,2494674000.0,43828000.0,2754496000.0,1.71,0.0,5547000.0,259822000.0,0.0,39874000.0,1331704000.0,0.0,2754496000.0,5.0,0.0422693921227855,1.0,1.33757932766311,5465793000.0,1.0,29.7743530970577,-0.258620689655172,0.730190330327232,0.14651815379666,59.0817524285482,0.0698785640320524
10,2018-09-30 00:00:00+00:00,3,2018,4836619000.0,0.0,83721000.0,1543348000.0,0.0,1778269000.0,11273585000.0,5363745000.0,4056186000.0,0.0,342425000.0,4026344000.0,1941253000.0,3852851000.0,0.0,2944000.0,9332332000.0,1435592000.0,47017000.0,5834455000.0,144471000.0,93345587.0,0.0,0.0,3683919000.0,5384106000.0,34401000.0,191340000.0,112286000.0,-88336000.0,15929000.0,342437000.0,-604000.0,-123694000.0,7266000.0,-98924000.0,3790000.0,-9282000.0,-235643000.0,-151097000.0,171746000.0,93330000.0,265438000.0,377724000.0,171746000.0,1.85,225932000.0,92849000.0,0.0,174881000.0,2391749000.0,54186000.0,2648913000.0,1.84,0.0,3135000.0,257164000.0,0.0,39506000.0,1316710000.0,0.0,2648913000.0,7.0,0.0421143696122215,1.0,1.09165317508206,5439130000.0,1.0,28.3774850545425,0.25,0.686818444948446,0.161106836151679,58.2687427955218,0.0762538420031913
11,2018-06-30 00:00:00+00:00,2,2018,4753099000.0,0.0,76886000.0,1557298000.0,0.0,1447544000.0,11069417000.0,5317583000.0,4231663000.0,0.0,126302000.0,3990464000.0,1880527000.0,3815203000.0,0.0,2967000.0,9188890000.0,1321049000.0,49835000.0,5679207000.0,140797000.0,94406611.0,0.0,0.0,3864162000.0,5384106000.0,68206000.0,15848000.0,109582000.0,-8238000.0,15016000.0,197059000.0,-2995000.0,-122929000.0,4210000.0,-68556000.0,68151000.0,-9382000.0,-121298000.0,-181211000.0,226052000.0,94281000.0,335111000.0,444693000.0,226052000.0,2.4,297111000.0,93842000.0,0.0,230711000.0,2356891000.0,71059000.0,2681353000.0,2.39,0.0,4659000.0,324462000.0,0.0,38000000.0,1305974000.0,0.0,2681353000.0,5.0,0.0264117907360253,1.0,1.29911560546692,5390210000.0,1.0,28.4021740807961,0.243523316062176,0.726676386621516,0.159062152138358,57.09568369105,0.074560695810804
12,2018-03-31 00:00:00+00:00,1,2018,4700552000.0,0.0,73053000.0,1569803000.0,0.0,1579577000.0,11023517000.0,5215646000.0,4157918000.0,0.0,126248000.0,3921335000.0,1884726000.0,3843126000.0,0.0,3072000.0,9138791000.0,1366333000.0,131846000.0,5737495000.0,137246000.0,94270623.0,0.0,0.0,3795087000.0,5384106000.0,-120176000.0,220863000.0,113134000.0,-37237000.0,19700000.0,409904000.0,1857000.0,-6896000.0,-1081000.0,-140711000.0,-45853000.0,-9422000.0,-272131000.0,-189041000.0,223832000.0,94683000.0,328977000.0,442111000.0,223832000.0,2.37,291401000.0,94226000.0,0.0,228669000.0,2353702000.0,67569000.0,2687516000.0,2.36,0.0,4837000.0,333814000.0,0.0,37576000.0,1300148000.0,0.0,2687516000.0,7.0,0.0285733093799969,1.0,1.1931839979944,5286022000.0,1.0,28.5085206236518,0.112676056338028,0.727635081061867,0.154920534524931,56.0728446655115,0.0716733657238472
