,date,quarter,year,statementData.balanceSheet.acctPay,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.accoci,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsNonCurrent,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebit,statementData.incomeStatement.sga,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-10-31 00:00:00+00:00,3,2021,478501000.0,136271000.0,1439098000.0,-86000.0,1661750000.0,1913921000.0,0.0,560902000.0,95611000.0,0.0,1059840000.0,0.0,1854437000.0,252171000.0,4870994000.0,2552292000.0,8928000.0,3016557000.0,2245009000.0,1786214000.0,224862000.0,0.0,13566000.0,1230343000.0,56323104.0,2625985000.0,243056000.0,-800000000.0,-116000.0,203401000.0,-799422000.0,-596416000.0,135903000.0,-39934000.0,578000.0,-279000.0,0.0,8384000.0,-39655000.0,0.0,1383000.0,1006514000.0,444242000.0,0.0,101277000.0,56327000.0,56546000.0,1.32,99894000.0,74798000.0,1.33,74798000.0,545519000.0,74798000.0,0.0,1552033000.0,0.0,25096000.0,237180000.0,0.0,101277000.0,416378000.0,0.0437441703899591,-0.0775512120552935,1854437000.0,1.8247017295177,-0.408888888888889,0.351486727408502,27.5558854142698,0.896094070599325,0.351486727408502,32.9249787085598,6.0,0.124736258706055
1,2020-08-01 00:00:00+00:00,2,2021,398011000.0,127992000.0,1368543000.0,30000.0,2518549000.0,2763568000.0,0.0,1157318000.0,94272000.0,0.0,985042000.0,0.0,1770793000.0,245019000.0,5497121000.0,2626064000.0,42622000.0,3726328000.0,2799188000.0,2664999000.0,216545000.0,0.0,13797000.0,1061329000.0,56311711.0,2697933000.0,40307000.0,-62000.0,105000.0,4691000.0,202000.0,113778000.0,139348000.0,73164000.0,264000.0,110000000.0,0.0,8413000.0,-35616000.0,-1220000.0,2617000.0,899002000.0,316252000.0,0.0,12755000.0,56318000.0,56497000.0,0.14,10138000.0,8052000.0,0.14,8052000.0,329007000.0,8052000.0,0.0,1228009000.0,0.0,2086000.0,152103000.0,0.0,12755000.0,271587000.0,0.0541793833660769,-0.263168221422327,1770793000.0,2.63743664782551,-0.949458483754513,0.267919046195916,21.8073466103703,1.42227182962661,0.267919046195916,31.4462652360181,5.0,0.155077768744083
2,2020-05-02 00:00:00+00:00,1,2021,466043000.0,88691000.0,1340566000.0,-75000.0,2548245000.0,2788741000.0,0.0,1043540000.0,95276000.0,110000000.0,976990000.0,0.0,1753959000.0,240496000.0,5530551000.0,2731831000.0,48982000.0,3776592000.0,2728820000.0,2680413000.0,216330000.0,110000000.0,14029000.0,1096179000.0,56309476.0,2801731000.0,-24318000.0,798201000.0,-75000.0,-65792000.0,722468000.0,651215000.0,147489000.0,-46860000.0,-75733000.0,-5386000.0,0.0,6182000.0,-41474000.0,0.0,1272000.0,869605000.0,405089000.0,0.0,-101484000.0,56419000.0,56419000.0,-1.39,-102756000.0,-78509000.0,-1.39,-78509000.0,303605000.0,-78509000.0,0.0,1173210000.0,0.0,-24247000.0,46005000.0,0.0,-101484000.0,380912000.0,0.0868968134906647,-0.32691309209428,1753959000.0,2.48939269954998,-1.42378048780488,0.258781462824217,20.8350367174434,1.4528532308908,0.258781462824217,31.1485583705307,4.0,0.237088466577507
3,2020-02-01 00:00:00+00:00,4,2020,414009000.0,139337000.0,1293701000.0,0.0,1698718000.0,1938347000.0,0.0,392325000.0,89367000.0,110000000.0,1128477000.0,0.0,1902094000.0,239629000.0,4863872000.0,2743089000.0,16387000.0,2961778000.0,2055317000.0,1824517000.0,237535000.0,110000000.0,14261000.0,1137261000.0,57161342.0,2808555000.0,543787000.0,0.0,0.0,486389000.0,-173718000.0,183482000.0,135992000.0,-186587000.0,-173718000.0,-129189000.0,0.0,5937000.0,-57398000.0,0.0,0.0,1499033000.0,519129000.0,0.0,287756000.0,56991000.0,57232000.0,3.88,288195000.0,222719000.0,3.9,222719000.0,806885000.0,222719000.0,0.0,2305918000.0,0.0,65476000.0,424187000.0,0.0,288195000.0,515542000.0,0.146541821021547,0.085282927224156,1902094000.0,1.80725180939116,0.0773480662983426,0.349919207881633,40.3405154483602,0.893077839475862,0.349919207881633,33.275880751715,7.0,0.374990587985635
5,2019-11-02 00:00:00+00:00,3,2020,594993000.0,112888000.0,1616920000.0,0.0,1706806000.0,1929433000.0,0.0,208843000.0,83856000.0,0.0,1079862000.0,0.0,1847156000.0,222627000.0,4928848000.0,2762936000.0,40474000.0,3081692000.0,2097468000.0,1824772000.0,190188000.0,0.0,14492000.0,1256920000.0,58848950.0,2831380000.0,110170000.0,0.0,0.0,20247000.0,-128384000.0,31445000.0,141342000.0,49659000.0,-128384000.0,139582000.0,0.0,6342000.0,-89923000.0,0.0,-900000.0,1059081000.0,455653000.0,0.0,167780000.0,57568000.0,57763000.0,2.25,168680000.0,129747000.0,2.25,129747000.0,623433000.0,129747000.0,0.0,1682514000.0,0.0,38933000.0,309122000.0,0.0,167780000.0,449198000.0,0.158642949254033,0.0785270103864653,1847156000.0,1.6687362759762,0.0227272727272727,0.370536589888702,28.5903826661308,0.924018328717228,0.370536589888702,31.3880876379273,4.0,0.374792253845897
6,2019-08-03 00:00:00+00:00,2,2020,450117000.0,107263000.0,1315999000.0,0.0,1683743000.0,1892004000.0,0.0,177398000.0,86598000.0,150000000.0,1078678000.0,0.0,1839451000.0,208261000.0,4710375000.0,2719504000.0,38769000.0,2870924000.0,1920600000.0,1805990000.0,182354000.0,150000000.0,14724000.0,1064934000.0,58457743.0,2789775000.0,175658000.0,0.0,0.0,96281000.0,-270111000.0,-149433000.0,150044000.0,-54980000.0,-270111000.0,24397000.0,0.0,6736000.0,-79377000.0,0.0,-1671000.0,1060708000.0,397881000.0,0.0,208018000.0,58171000.0,58446000.0,2.76,209689000.0,161258000.0,2.77,161258000.0,605899000.0,161258000.0,0.0,1666607000.0,0.0,48431000.0,358062000.0,0.0,208018000.0,392843000.0,0.174823292464635,0.119865261946982,1839451000.0,1.80349204739449,0.121457489878542,0.363552415176463,28.5096022266888,0.915350830220539,0.363552415176463,31.4663362901301,4.0,0.376130987701582
7,2019-05-04 00:00:00+00:00,1,2020,407345000.0,110046000.0,1250037000.0,0.0,1654401000.0,1865833000.0,0.0,326831000.0,107063000.0,195000000.0,1188313000.0,0.0,1941568000.0,211432000.0,4766353000.0,2685051000.0,245000.0,2824785000.0,2019332000.0,1779180000.0,182993000.0,195000000.0,14955000.0,1045605000.0,58803744.0,2747021000.0,271678000.0,0.0,0.0,199842000.0,-74526000.0,-82420000.0,147041000.0,-279572000.0,-74526000.0,-207736000.0,0.0,6030000.0,-71836000.0,0.0,-2046000.0,1098182000.0,407307000.0,0.0,237540000.0,58631000.0,58993000.0,3.26,239586000.0,192221000.0,3.28,192221000.0,644847000.0,192221000.0,0.0,1743029000.0,0.0,47365000.0,384581000.0,0.0,237540000.0,403133000.0,0.191145861072791,0.129148320201183,1941568000.0,1.93125702344576,0.210332103321033,0.36995770007269,29.6414629653513,0.852095316774895,0.36995770007269,33.0177615901464,5.0,0.370517678812416
8,2019-02-02 00:00:00+00:00,4,2019,404016000.0,136168000.0,1214329000.0,0.0,0.0,0.0,0.0,409251000.0,83864000.0,0.0,1105863000.0,0.0,1820218000.0,0.0,3191172000.0,1226029000.0,16997000.0,1370954000.0,1914861000.0,547218000.0,199054000.0,0.0,15187000.0,823736000.0,59312145.0,1276311000.0,413913000.0,0.0,0.0,350928000.0,-236520000.0,112307000.0,71820000.0,-65086000.0,-236520000.0,-2101000.0,0.0,6328000.0,-62985000.0,0.0,0.0,1383857000.0,459649000.0,0.0,281210000.0,59051000.0,59428000.0,3.59,282485000.0,214674000.0,3.62,214674000.0,740859000.0,214674000.0,0.0,2124716000.0,0.0,67811000.0,354305000.0,0.0,282485000.0,457245000.0,0.208743939222127,0.0965755432516238,1820218000.0,2.32460521332077,0.0647058823529412,0.34868613028753,35.8226127212226,0.0,0.34868613028753,30.6887906347005,6.0,0.363249453761205
10,2018-11-03 00:00:00+00:00,3,2019,574480000.0,102353000.0,1484565000.0,0.0,0.0,0.0,0.0,296944000.0,50045000.0,0.0,1127951000.0,0.0,1835736000.0,0.0,3332691000.0,1257775000.0,22294000.0,1496955000.0,2025973000.0,512872000.0,154447000.0,0.0,16069000.0,984083000.0,59770399.0,1306718000.0,154211000.0,0.0,0.0,39487000.0,-115044000.0,59837000.0,69837000.0,20670000.0,-115044000.0,149000000.0,0.0,7136000.0,-114724000.0,-13606000.0,0.0,987733000.0,403065000.0,0.0,169213000.0,59724000.0,60062000.0,2.18,170531000.0,131166000.0,2.2,131166000.0,572278000.0,131166000.0,0.0,1560011000.0,0.0,39365000.0,240368000.0,0.0,170531000.0,395453000.0,0.211415828319679,0.162295547321859,1835736000.0,2.058741996356,0.286549707602339,0.366842285086451,26.1000599979264,0.0,0.366842285086451,30.7131294204678,6.0,0.361959648419676
11,2018-08-04 00:00:00+00:00,2,2019,409849000.0,103666000.0,1219685000.0,0.0,0.0,0.0,0.0,237107000.0,49700000.0,149000000.0,1115751000.0,0.0,1812478000.0,0.0,3073349000.0,1212978000.0,17082000.0,1260871000.0,1830158000.0,502116000.0,145907000.0,149000000.0,0.0,758755000.0,60179958.0,1243191000.0,110740000.0,0.0,0.0,43308000.0,-126280000.0,5221000.0,69026000.0,20761000.0,-126280000.0,88193000.0,0.0,7002000.0,-67432000.0,0.0,0.0,952760000.0,341646000.0,0.0,193815000.0,60070000.0,60375000.0,2.46,194958000.0,148323000.0,2.47,148323000.0,535461000.0,148323000.0,0.0,1488221000.0,0.0,46635000.0,263984000.0,0.0,194958000.0,337142000.0,0.211345097345605,0.153790273937981,1812478000.0,2.41205395681083,0.342391304347826,0.359799384634406,24.7295121076688,0.0,0.359799384634406,30.1176348444776,6.0,0.358156869441794
