,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,123.67,123.71,119.61,120.04,5351669,111.9687215016,112.0049368235,108.2928663281,108.6821810386,5351669,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,126.41,126.69,123.9,124.15,5606526,114.4494710521,114.7029783054,112.1769596025,112.4033053644,5606526,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,127.23,128.95,126.71,127.01,5456848,115.1918851512,116.7491439931,114.7210859664,114.9927008807,5456848,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,127.62,128.66,125.77,127.82,3467128,115.5449845397,116.4865829093,113.8700259016,115.7260611493,3467128,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,129.17,129.52,127.74,128.11,3212882,116.9483282636,117.2652123303,115.6536305055,115.9886222331,3212882,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,129.11,130.0,128.86,129.23,2914021,116.8940052807,117.6997961931,116.6676595188,117.0026512464,2914021,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,129.79,130.46,128.49,128.52,2896138,117.5096657531,118.116272395,116.3326677912,116.3598292826,2896138,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,133.46,133.77,130.02,130.36,4249965,120.832421538,121.1130902827,117.7179038541,118.0257340903,4249965,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,134.09,134.33,133.0,133.45,4201350,121.402812858,121.6201047894,120.415945336,120.8233677075,4201350,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,132.88,134.71,131.76,134.41,4042141,120.3072993703,121.9641503475,119.293270357,121.6925354332,4042141,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,134.01,134.3,132.39,133.53,3449835,121.3303822142,121.592943298,119.863661677,120.8957983513,3449835,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,133.59,135.53,133.53,134.65,3045267,120.9501213341,122.7065644466,120.8957983513,121.9098273646,3045267,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,133.08,134.02,131.92,133.86,3863060,120.4883759799,121.3394360446,119.4381316446,121.194574757,3863060,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,132.86,132.99,131.14,132.52,3079369,120.2891917094,120.4068915056,118.7319328674,119.9813614732,3079369,0.0,1.0,103656969125.883,124625969125.883,23.5985790409,111.8062782111,-0.0416445512
14,2018-01-23 00:00:00+00:00,132.07,132.87,130.91,132.87,2886940,119.5739391017,120.2982455398,118.5236947665,120.2982455398,2886940,0.0,1.0,103040613521.416,124009613521.416,23.458259325,111.1414659291,-0.0413969282
15,2018-01-24 00:00:00+00:00,131.69,132.96,130.15,132.51,2807967,119.2298935436,120.3797300141,117.8356036503,119.9723076427,2807967,0.0,1.0,102744138673.698,123713138673.698,23.3907637655,110.8216828061,-0.0412778184
16,2018-01-25 00:00:00+00:00,131.29,131.97,129.71,131.96,3151248,118.8677403246,119.483400797,117.4372351093,119.4743469665,3151248,0.0,1.0,102432059886.626,123401059886.626,23.3197158082,110.4850689925,-0.0411524397
17,2018-01-26 00:00:00+00:00,132.72,132.72,131.04,131.21,1951647,120.1624380827,120.1624380827,118.6413945627,118.7953096808,1951647,0.0,1.0,103547741550.407,124516741550.407,23.5737122558,111.6884633763,-0.0416006687
18,2018-01-29 00:00:00+00:00,130.64,133.56,130.61,132.76,2667717,118.2792413436,120.9229598427,118.2520798522,120.1986534046,2667717,0.0,1.0,101924931857.635,122893931857.635,23.2042628774,109.9380715452,-0.0409486992
19,2018-01-30 00:00:00+00:00,128.11,130.74,128.1,130.37,4055212,115.9886222331,118.3697796484,115.9795684026,118.0347879207,4055212,0.0,1.0,99951033529.4059,120920033529.406,22.7548845471,107.8089891738,-0.0401556786
