,year,quarter,date,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,63391000000.0,413217000000.0,612000000.0,0.0,3516000000.0,0.0,44047000000.0,52565000000.0,0.0,12543000000.0,540455000000.0,0.0,0.0,441228000000.0,0.0,487260000000.0,1506362519.0,56166000000.0,-8345000000.0,1000000.0,-635000000.0,-7774000000.0,0.0,0.0,-3855000000.0,-3287000000.0,133000000.0,3284000000.0,-6979000000.0,0.0,0.0,3284000000.0,1494000000.0,2876000000.0,1927000000.0,2060000000.0,86000000.0,0.0,1507000000.0,1933000000.0,5304000000.0,1927000000.0,0.99,347000000.0,5304000000.0,6000000.0,0.0,1580000000.0,0.0,0.0,0.99,1506000000.0,1586000000.0,3371000000.0,0.00866455071462783,5.0,53195000000.0,-0.146551724137931,3.52106477232391,1.0,1.06850565965947,-0.040520984081042,35.3135446010125,1.0,0.088623676612127
1,2020,2,2020-06-30 00:00:00+00:00,62526000000.0,413306000000.0,798000000.0,0.0,3616000000.0,0.0,52392000000.0,51850000000.0,0.0,12360000000.0,546652000000.0,0.0,0.0,439250000000.0,0.0,494172000000.0,1506289096.0,63174000000.0,5587000000.0,1000000.0,-635000000.0,2176000000.0,0.0,0.0,4264000000.0,3577000000.0,131000000.0,-853000000.0,-15563000000.0,0.0,0.0,-853000000.0,614000000.0,2824000000.0,753000000.0,884000000.0,75000000.0,0.0,1507000000.0,759000000.0,4077000000.0,753000000.0,0.41,64000000.0,4077000000.0,6000000.0,0.0,689000000.0,0.0,0.0,0.41,1506000000.0,695000000.0,3318000000.0,0.00951628295647425,3.0,52480000000.0,-0.623853211009174,2.70665173825304,1.0,1.21839922854388,-0.249171270718232,34.840589458798,1.0,0.0944853222963133
2,2020,1,2020-03-31 00:00:00+00:00,62544000000.0,394854000000.0,503000000.0,0.0,3660000000.0,0.0,46805000000.0,51532000000.0,0.0,12465000000.0,542909000000.0,0.0,0.0,440393000000.0,0.0,490747000000.0,1522494686.0,78642000000.0,24400000000.0,-1651000000.0,-647000000.0,44305000000.0,0.0,0.0,-22259000000.0,-21174000000.0,129000000.0,2354000000.0,13736000000.0,0.0,0.0,2354000000.0,1088000000.0,2782000000.0,1431000000.0,1560000000.0,83000000.0,0.0,1519000000.0,1439000000.0,4755000000.0,1431000000.0,0.72,260000000.0,4755000000.0,8000000.0,0.0,1171000000.0,0.0,0.0,0.72,1518000000.0,1179000000.0,3316000000.0,0.0120693820119787,4.0,52162000000.0,-0.287128712871287,3.12316361017499,1.0,1.52608088178219,-0.0808041755267737,34.2608749177598,1.0,0.115492219336082
3,2019,4,2019-12-31 00:00:00+00:00,63186000000.0,361916000000.0,-1373000000.0,0.0,3702000000.0,0.0,22405000000.0,51853000000.0,0.0,12878000000.0,495426000000.0,0.0,0.0,420273000000.0,0.0,442943000000.0,1561859164.0,63890000000.0,7133000000.0,-2256000000.0,-663000000.0,7384000000.0,0.0,0.0,-189000000.0,214000000.0,130000000.0,-62000000.0,8181000000.0,0.0,0.0,-62000000.0,1408000000.0,2816000000.0,1840000000.0,1970000000.0,78000000.0,0.0,1556000000.0,1847000000.0,5248000000.0,1840000000.0,0.9,354000000.0,5248000000.0,7000000.0,0.0,1486000000.0,0.0,0.0,0.91,1557000000.0,1493000000.0,3401000000.0,0.0135690622083685,2.0,52483000000.0,-0.181818181818182,3.36009809396617,1.0,1.23213700268065,-0.0340511687833609,33.6029017274441,1.0,0.125187791195208
5,2019,3,2019-09-30 00:00:00+00:00,62419000000.0,359715000000.0,-1173000000.0,0.0,3673000000.0,0.0,15272000000.0,53517000000.0,0.0,12615000000.0,487671000000.0,0.0,0.0,416238000000.0,0.0,433524000000.0,1575827659.0,55853000000.0,-1660000000.0,-764000000.0,-589000000.0,4793000000.0,0.0,0.0,-9499000000.0,-8595000000.0,127000000.0,3046000000.0,-320000000.0,0.0,0.0,3046000000.0,1821000000.0,2772000000.0,2375000000.0,2502000000.0,87000000.0,0.0,1578000000.0,2384000000.0,5528000000.0,2375000000.0,1.16,467000000.0,5528000000.0,9000000.0,0.0,1908000000.0,0.0,0.0,1.15,1575000000.0,1917000000.0,3144000000.0,0.0145398342203741,5.0,54147000000.0,0.0943396226415094,3.5079978247799,1.0,1.04364968140965,0.0379271498310176,34.3609909946377,1.0,0.132724947020753
6,2019,2,2019-06-30 00:00:00+00:00,61252000000.0,353177000000.0,-1344000000.0,0.0,3690000000.0,0.0,16932000000.0,52913000000.0,0.0,12709000000.0,481719000000.0,0.0,0.0,407408000000.0,0.0,428179000000.0,1592062312.0,56040000000.0,-1183000000.0,-784000000.0,-594000000.0,3536000000.0,0.0,0.0,-5328000000.0,-5442000000.0,125000000.0,609000000.0,-97000000.0,0.0,0.0,609000000.0,1741000000.0,2729000000.0,2270000000.0,2395000000.0,80000000.0,0.0,1592000000.0,2277000000.0,5430000000.0,2270000000.0,1.09,449000000.0,5430000000.0,7000000.0,0.0,1821000000.0,0.0,0.0,1.09,1590000000.0,1828000000.0,3153000000.0,0.0145289035314042,4.0,53540000000.0,0.0686274509803921,3.41067052405672,1.0,1.05909700829664,0.0276305828917487,33.629336990423,1.0,0.133020632444009
7,2019,1,2019-03-31 00:00:00+00:00,60092000000.0,348087000000.0,-1773000000.0,0.0,3686000000.0,0.0,18115000000.0,52057000000.0,0.0,12888000000.0,475775000000.0,0.0,0.0,400832000000.0,0.0,423089000000.0,1600622211.0,56076000000.0,-3338000000.0,-633000000.0,-597000000.0,1910000000.0,0.0,0.0,-6544000000.0,-6442000000.0,120000000.0,1296000000.0,600000000.0,0.0,0.0,1296000000.0,1613000000.0,2682000000.0,2077000000.0,2197000000.0,86000000.0,0.0,1605000000.0,2086000000.0,5173000000.0,2077000000.0,1.01,378000000.0,5173000000.0,9000000.0,0.0,1699000000.0,0.0,0.0,1.0,1602000000.0,1708000000.0,3087000000.0,0.0145525751905344,4.0,52686000000.0,0.0412371134020619,3.23186818504045,1.0,1.0772038342586,0.0145126495391252,32.9159495838084,1.0,0.133931429077892
8,2018,4,2018-12-31 00:00:00+00:00,59065000000.0,345475000000.0,-2322000000.0,0.0,2457000000.0,0.0,21453000000.0,51029000000.0,0.0,12761000000.0,467374000000.0,0.0,0.0,397058000000.0,0.0,415717000000.0,1616092910.0,55479000000.0,1371000000.0,-805000000.0,-603000000.0,3478000000.0,0.0,0.0,-4757000000.0,-5140000000.0,121000000.0,2650000000.0,-9335000000.0,0.0,0.0,2650000000.0,1777000000.0,2724000000.0,2147000000.0,2268000000.0,79000000.0,0.0,1617000000.0,2153000000.0,5433000000.0,2147000000.0,1.1,291000000.0,5433000000.0,6000000.0,0.0,1856000000.0,0.0,0.0,1.1,1613000000.0,1862000000.0,3280000000.0,0.0146409708707482,6.0,51657000000.0,0.134020618556701,3.36181166712748,1.0,1.08720531462502,0.0428023032629559,31.9641276069951,1.0,0.135531592905768
10,2018,3,2018-09-30 00:00:00+00:00,57878000000.0,331178000000.0,-2573000000.0,0.0,2438000000.0,0.0,20082000000.0,50375000000.0,0.0,13074000000.0,464607000000.0,0.0,0.0,392998000000.0,0.0,413600000000.0,1629045046.0,64762000000.0,1061000000.0,-710000000.0,-493000000.0,-113000000.0,0.0,0.0,-2051000000.0,-1960000000.0,118000000.0,3225000000.0,9491000000.0,0.0,0.0,3225000000.0,1732000000.0,2626000000.0,2275000000.0,2393000000.0,83000000.0,0.0,1633000000.0,2282000000.0,5326000000.0,2275000000.0,1.06,460000000.0,5326000000.0,7000000.0,0.0,1815000000.0,0.0,0.0,1.06,1629000000.0,1822000000.0,3044000000.0,0.0143239389749986,6.0,51007000000.0,0.191011235955056,3.26940007771891,1.0,1.28559801488834,0.0329712955779675,31.3109819309441,1.0,0.133541845331181
11,2018,2,2018-06-30 00:00:00+00:00,56742000000.0,340080000000.0,-2315000000.0,0.0,2431000000.0,0.0,19021000000.0,49628000000.0,0.0,12840000000.0,461329000000.0,0.0,0.0,391915000000.0,0.0,411072000000.0,1642459857.0,55308000000.0,-225000000.0,-673000000.0,-497000000.0,-1229000000.0,0.0,0.0,-2251000000.0,-2000000000.0,115000000.0,3255000000.0,4457000000.0,0.0,0.0,3255000000.0,1678000000.0,2631000000.0,2191000000.0,2306000000.0,72000000.0,0.0,1646000000.0,2199000000.0,5284000000.0,2191000000.0,1.02,441000000.0,5284000000.0,8000000.0,0.0,1750000000.0,0.0,0.0,1.02,1642000000.0,1758000000.0,3085000000.0,0.0138295938330127,6.0,50257000000.0,0.2,3.2171258113129,1.0,1.11445151930362,0.0469585892609472,30.5986169377654,1.0,0.129638108028365
