,year,quarter,date,statementData.balanceSheet.totalAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debt,statementData.balanceSheet.equity,statementData.balanceSheet.deferredRev,statementData.balanceSheet.inventory,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.investments,statementData.balanceSheet.accoci,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncf,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.nonControllingInterests,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,4,2020-10-02 00:00:00+00:00,4462200000.0,522900000.0,766100000.0,456100000.0,2075500000.0,782200000.0,516300000.0,1858900000.0,81500000.0,2603300000.0,90941138.0,101100000.0,0.0,1854500000.0,0.0,2377400000.0,1066100000.0,465900000.0,895200000.0,0.0,-85700000.0,1133000000.0,355000000.0,0.0,0.0,194900000.0,237300000.0,-204400000.0,-225000000.0,25300000.0,-3900000.0,-29300000.0,-5000000.0,13300000.0,-63000000.0,-27800000.0,0.0,24600000.0,266600000.0,-4700000.0,475800000.0,174500000.0,110200000.0,91200000.0,2100000.0,31500000.0,850500000.0,77200000.0,276300000.0,76600000.0,98400000.0,91800000.0,0.0,76600000.0,0.84,108100000.0,76500000.0,0.83,0.0,374700000.0,135500000.0,-100000.0,5.0,-0.0323131186710661,0.440564373897707,1.40377460231868,2084800000.0,0.440564373897707,9.35220318003938,0.0769230769230769,0.0487111539388099,0.139534281012297,22.9247186240401,0.0607976873390849
2,2020,3,2020-07-03 00:00:00+00:00,4454400000.0,519900000.0,769200000.0,682600000.0,1933500000.0,778400000.0,600400000.0,1822700000.0,92300000.0,2631700000.0,90814945.0,102600000.0,0.0,1991400000.0,0.0,2511300000.0,987400000.0,469900000.0,873100000.0,0.0,-113500000.0,1054900000.0,580000000.0,0.0,0.0,164500000.0,65000000.0,67800000.0,60000000.0,24000000.0,-8200000.0,-18000000.0,-21300000.0,4400000.0,-41100000.0,0.0,0.0,19300000.0,83000000.0,101500000.0,395800000.0,145000000.0,88000000.0,90800000.0,2900000.0,23900000.0,694300000.0,65300000.0,238600000.0,61200000.0,59900000.0,91200000.0,0.0,61200000.0,0.67,85100000.0,60900000.0,0.67,0.0,298500000.0,112000000.0,-300000.0,5.0,-0.159239525308791,0.429929425320467,1.32153259013759,1943100000.0,0.429929425320467,7.64521742539182,1.09375,0.0530643910007758,0.142134171851172,21.3962580718405,0.0607007210083743
3,2020,2,2020-04-03 00:00:00+00:00,4343900000.0,523500000.0,667800000.0,620400000.0,1860800000.0,798100000.0,604000000.0,1843000000.0,93600000.0,2500900000.0,90665845.0,100400000.0,0.0,1949700000.0,0.0,2473200000.0,1004800000.0,465700000.0,896300000.0,0.0,-101800000.0,993700000.0,520000000.0,0.0,0.0,198400000.0,7500000.0,-59900000.0,-22000000.0,24400000.0,5900000.0,-14400000.0,0.0,11300000.0,-21100000.0,-6700000.0,0.0,-30000000.0,21900000.0,-53200000.0,457300000.0,175300000.0,57200000.0,90700000.0,4300000.0,9700000.0,794500000.0,71000000.0,282300000.0,43200000.0,54900000.0,91400000.0,0.0,43200000.0,0.48,52900000.0,43100000.0,0.47,0.0,337200000.0,81600000.0,-100000.0,4.0,0.0193738773415448,0.424417872876023,1.28271016053752,1870700000.0,0.424417872876023,8.76294706126657,-0.505154639175258,0.0539552880481513,0.128254847645429,20.6329075739602,0.0549111696197728
4,2020,1,2020-01-03 00:00:00+00:00,4450700000.0,547000000.0,721900000.0,635700000.0,1847300000.0,817900000.0,597400000.0,1803700000.0,85700000.0,2647000000.0,90897556.0,93700000.0,0.0,2046400000.0,0.0,2593400000.0,1079200000.0,444400000.0,903300000.0,0.0,-97000000.0,983200000.0,542000000.0,0.0,0.0,215300000.0,90000000.0,103400000.0,132000000.0,25200000.0,-2800000.0,-22600000.0,9200000.0,14900000.0,-15100000.0,-1700000.0,0.0,-24100000.0,112600000.0,198100000.0,462100000.0,177000000.0,116700000.0,90900000.0,4700000.0,23800000.0,828900000.0,67100000.0,256800000.0,88200000.0,110000000.0,91700000.0,0.0,88200000.0,0.97,112000000.0,88900000.0,0.96,0.0,366800000.0,141900000.0,700000.0,6.0,0.118623481781376,0.442514175413198,1.29349100860047,1857300000.0,0.442514175413198,9.11905706243631,-0.141592920353982,0.0507226763384399,0.156120938755374,20.4328926071456,0.0696170309052854
5,2019,4,2019-09-27 00:00:00+00:00,4101700000.0,440100000.0,531400000.0,410000000.0,1768300000.0,766000000.0,551500000.0,1706300000.0,84700000.0,2395400000.0,91060717.0,0.0,0.0,1884000000.0,0.0,2324100000.0,1106300000.0,311500000.0,912900000.0,0.0,-102100000.0,934000000.0,410000000.0,0.0,0.0,248500000.0,103500000.0,-14800000.0,10000000.0,35600000.0,6200000.0,-14300000.0,-3000000.0,12700000.0,-108000000.0,-90600000.0,0.0,-24800000.0,117800000.0,1200000.0,494300000.0,181600000.0,115500000.0,91000000.0,4800000.0,40000000.0,878900000.0,65200000.0,273800000.0,70700000.0,110800000.0,91900000.0,0.0,70700000.0,0.78,110700000.0,70400000.0,0.77,0.0,384600000.0,151100000.0,-300000.0,6.0,0.0964321357285429,0.437592445101832,1.27144373673036,1777600000.0,0.437592445101832,9.65180188510925,-0.385826771653543,0.0,0.168625978452384,19.5210411093073,0.0787322993931221
7,2019,3,2019-06-28 00:00:00+00:00,3967300000.0,400100000.0,520700000.0,401000000.0,1743600000.0,749700000.0,529300000.0,1626100000.0,93900000.0,2341200000.0,90945747.0,0.0,0.0,1809900000.0,0.0,2210000000.0,1054200000.0,307400000.0,840000000.0,0.0,-69500000.0,890700000.0,401000000.0,0.0,0.0,226100000.0,108000000.0,350900000.0,383200000.0,20200000.0,-4300000.0,-18500000.0,-9500000.0,12200000.0,-489100000.0,-460600000.0,0.0,-31500000.0,126500000.0,-16000000.0,474400000.0,153600000.0,61700000.0,91000000.0,1800000.0,30500000.0,825800000.0,62100000.0,297500000.0,29400000.0,53900000.0,91800000.0,0.0,29400000.0,0.32,59900000.0,29500000.0,0.32,0.0,351400000.0,81900000.0,100000.0,5.0,0.164574813143421,0.425526761927828,1.29355212995193,1757300000.0,0.425526761927828,9.08013873370021,-0.59493670886076,0.0,0.200347165556429,19.3225088359547,0.0965882268793362
8,2019,2,2019-03-29 00:00:00+00:00,3390200000.0,331300000.0,546300000.0,0.0,1735300000.0,757900000.0,478000000.0,1129000000.0,94900000.0,2261200000.0,90777507.0,0.0,0.0,1318800000.0,0.0,1650100000.0,1029200000.0,268400000.0,400100000.0,0.0,-71800000.0,902300000.0,0.0,0.0,0.0,208700000.0,-24600000.0,-39700000.0,0.0,19700000.0,4800000.0,-11200000.0,-11800000.0,12500000.0,-21500000.0,500000.0,0.0,-34200000.0,-13400000.0,-69800000.0,461200000.0,146800000.0,114200000.0,91000000.0,1000000.0,24600000.0,779400000.0,59400000.0,208400000.0,88600000.0,109800000.0,91900000.0,0.0,88600000.0,0.97,113200000.0,88400000.0,0.96,0.0,318200000.0,133900000.0,-200000.0,4.0,0.0678175092478421,0.408262766230434,1.7145890203215,1740100000.0,0.408262766230434,8.5858273239427,0.2125,0.0,0.234558585749704,19.1688454277556,0.115520837283379
9,2019,1,2018-12-28 00:00:00+00:00,3370800000.0,355800000.0,616000000.0,0.0,1677000000.0,738600000.0,469600000.0,1069900000.0,102500000.0,2300900000.0,91116439.0,0.0,0.0,1333000000.0,0.0,1688800000.0,989500000.0,270100000.0,408000000.0,0.0,-69000000.0,855500000.0,0.0,0.0,0.0,198100000.0,126900000.0,-17200000.0,0.0,17500000.0,1700000.0,-14000000.0,29900000.0,10500000.0,-13100000.0,-25500000.0,0.0,-12800000.0,140900000.0,112300000.0,424900000.0,141100000.0,137900000.0,91000000.0,1200000.0,33500000.0,741000000.0,60900000.0,204400000.0,103200000.0,111700000.0,92000000.0,0.0,103200000.0,1.13,136700000.0,103900000.0,1.12,0.0,316100000.0,155400000.0,700000.0,7.0,0.0921149594694177,0.426585695006748,1.72610652663166,1682000000.0,0.426585695006748,8.13245126930389,-1.92622950819672,0.0,0.235332002318542,18.4598961335616,0.111548676618738
10,2018,4,2018-09-28 00:00:00+00:00,3252700000.0,324300000.0,504800000.0,0.0,1584400000.0,729700000.0,438100000.0,1064300000.0,102200000.0,2188400000.0,91547472.0,0.0,0.0,1339700000.0,0.0,1664000000.0,1009900000.0,274600000.0,394700000.0,0.0,-65300000.0,780400000.0,0.0,0.0,0.0,190300000.0,91300000.0,-65400000.0,-18300000.0,19200000.0,100000.0,-16900000.0,-10200000.0,11900000.0,-71600000.0,-39500000.0,0.0,-46400000.0,108200000.0,-28700000.0,462900000.0,143200000.0,142700000.0,91200000.0,1100000.0,25200000.0,801600000.0,59600000.0,205600000.0,116400000.0,133100000.0,92200000.0,0.0,116400000.0,1.27,141600000.0,116800000.0,1.26,0.0,338700000.0,161900000.0,400000.0,6.0,0.110556940980881,0.42252994011976,1.63350003732179,1588700000.0,0.42252994011976,8.75611289408407,0.476744186046512,0.0,0.101276940747247,17.3538380175042,0.0460105280928191
12,2018,3,2018-06-29 00:00:00+00:00,3171800000.0,291200000.0,536000000.0,18200000.0,1497200000.0,790200000.0,469200000.0,978800000.0,106400000.0,2193000000.0,91504711.0,0.0,0.0,1379100000.0,0.0,1670300000.0,933600000.0,265900000.0,319300000.0,0.0,-70700000.0,704600000.0,18200000.0,0.0,0.0,189200000.0,89200000.0,-267400000.0,-236700000.0,17700000.0,16100000.0,-13000000.0,-5900000.0,12800000.0,-48100000.0,-29100000.0,0.0,-26700000.0,102200000.0,-197200000.0,395500000.0,140400000.0,93400000.0,91500000.0,1300000.0,19500000.0,709100000.0,59500000.0,223600000.0,72600000.0,90000000.0,92500000.0,0.0,72600000.0,0.79,92100000.0,72500000.0,0.79,0.0,313600000.0,111100000.0,-100000.0,7.0,0.120575221238938,0.442250740375123,1.59016750054383,1501500000.0,0.442250740375123,7.74932779144016,0.0394736842105263,0.0,0.0766024326909936,16.4089912266921,0.0342983898726431
