,date,quarter,year,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,7763000000.0,436000000.0,36180000000.0,0.0,3086000000.0,18000000.0,51425000000.0,11234000000.0,1007000000.0,9704000000.0,28417000000.0,38268000000.0,616037880.0,0.0,6946000000.0,710000000.0,19827000000.0,3789000000.0,21490000000.0,21472000000.0,816000000.0,-1910000000.0,13157000000.0,0.0,14556000000.0,0.0,-149000000.0,-81000000.0,800000000.0,0.0,1414000000.0,11000000.0,46000000.0,-543000000.0,1333000000.0,-82000000.0,0.0,-374000000.0,98000000.0,-1000000.0,0.0,1373000000.0,0.0,6116000000.0,653000000.0,259000000.0,615000000.0,615000000.0,12000000.0,1.0,912000000.0,38000000.0,939000000.0,1543000000.0,1.0,1010000000.0,627000000.0,2482000000.0,3634000000.0,616037880.0,0.0,6.0,-0.0868916094356524,0.405820797907129,1.69483447120958,15245000000.0,0.405820797907129,9.92796092344192,-0.0196078431372549,1.47513053036548,0.187198199179465,24.7468548524971,0.0512583446417831
1,2020-06-30 00:00:00+00:00,2,2020,7985000000.0,422000000.0,36638000000.0,0.0,2288000000.0,364000000.0,51188000000.0,11565000000.0,919000000.0,9150000000.0,28653000000.0,38749000000.0,615373324.0,0.0,7139000000.0,695000000.0,20025000000.0,3836000000.0,21884000000.0,21520000000.0,708000000.0,-1999000000.0,12439000000.0,0.0,13874000000.0,0.0,-149000000.0,-81000000.0,1699000000.0,0.0,795000000.0,12000000.0,57000000.0,1128000000.0,714000000.0,-236000000.0,-14000000.0,1323000000.0,124000000.0,-141000000.0,0.0,1222000000.0,0.0,6275000000.0,683000000.0,263000000.0,481000000.0,481000000.0,245000000.0,0.78,946000000.0,202000000.0,1292000000.0,1498000000.0,0.78,1070000000.0,726000000.0,2790000000.0,3485000000.0,615373324.0,0.0,5.0,-0.121517569648607,0.444621513944223,1.5577958672511,14550000000.0,0.444621513944223,10.197062100794,-0.509433962264151,1.5511027821825,0.227545961125005,23.6441838353071,0.0595311890166908
2,2020-03-31 00:00:00+00:00,1,2020,8531000000.0,673000000.0,35524000000.0,0.0,589000000.0,532000000.0,49045000000.0,11414000000.0,931000000.0,8827000000.0,26993000000.0,38639000000.0,613739990.0,0.0,7199000000.0,691000000.0,19918000000.0,3902000000.0,20378000000.0,19846000000.0,639000000.0,-2054000000.0,10406000000.0,0.0,13449000000.0,0.0,-152000000.0,-51000000.0,-103000000.0,-58000000.0,356000000.0,-29000000.0,88000000.0,-479000000.0,305000000.0,49000000.0,-46000000.0,-186000000.0,113000000.0,146000000.0,0.0,1341000000.0,0.0,6669000000.0,653000000.0,241000000.0,516000000.0,516000000.0,3000000.0,0.84,894000000.0,137000000.0,884000000.0,1720000000.0,0.84,1007000000.0,519000000.0,2604000000.0,4065000000.0,613739990.0,0.0,3.0,-0.0607042253521127,0.390463337831759,1.21978666041496,13521000000.0,0.390463337831759,10.8661650025445,-0.7375,1.47564874711874,0.338882641726777,22.0305018742546,0.0841259574468085
3,2019-12-31 00:00:00+00:00,4,2019,9048000000.0,667000000.0,36230000000.0,0.0,632000000.0,717000000.0,49519000000.0,11528000000.0,939000000.0,8494000000.0,27182000000.0,37617000000.0,374727596.0,0.0,7206000000.0,739000000.0,19973000000.0,4024000000.0,20628000000.0,19911000000.0,500000000.0,-1970000000.0,11902000000.0,0.0,13207000000.0,0.0,-390000000.0,-259000000.0,-18000000.0,-42000000.0,889000000.0,-1000000.0,174000000.0,-198000000.0,630000000.0,-708000000.0,-114000000.0,348000000.0,285000000.0,-344000000.0,0.0,3945000000.0,0.0,16541000000.0,1301000000.0,616000000.0,966000000.0,966000000.0,31000000.0,-0.88,1917000000.0,335000000.0,1770000000.0,4883000000.0,-0.87,2202000000.0,997000000.0,6653000000.0,9888000000.0,374727596.0,0.0,4.0,-0.0130668257756563,0.402212683634605,1.31542882404951,13289000000.0,0.402212683634605,44.1413981157662,-1.46315789473684,1.50760960096918,0.662548883447242,35.4630941031629,0.148705959558673
5,2019-09-30 00:00:00+00:00,3,2019,4122000000.0,308000000.0,19424000000.0,0.0,196000000.0,50000000.0,24476000000.0,6825000000.0,779000000.0,-14683000000.0,15302000000.0,18203000000.0,374666806.0,0.0,3685000000.0,0.0,7719000000.0,2172000000.0,10357000000.0,10307000000.0,646000000.0,-918000000.0,6273000000.0,0.0,5052000000.0,0.0,-147000000.0,-109000000.0,18000000.0,0.0,500000000.0,-18000000.0,65000000.0,-333000000.0,391000000.0,-131000000.0,-5000000.0,-171000000.0,108000000.0,-19000000.0,0.0,1473000000.0,0.0,6698000000.0,756000000.0,246000000.0,630000000.0,630000000.0,16000000.0,1.02,1002000000.0,126000000.0,1009000000.0,1730000000.0,1.02,1110000000.0,646000000.0,2739000000.0,3959000000.0,374666806.0,0.0,4.0,1.05271222801103,0.408928038220364,1.52183406113537,5052000000.0,0.408928038220364,17.8772175509992,-0.215384615384615,2.0401821060966,0.914034873795879,13.4839807506193,0.192397525730859
6,2019-06-30 00:00:00+00:00,2,2019,3843000000.0,214000000.0,19082000000.0,0.0,216000000.0,0.0,23835000000.0,6214000000.0,785000000.0,-15002000000.0,15239000000.0,17499000000.0,374812520.0,0.0,3795000000.0,0.0,7722000000.0,2099000000.0,10217000000.0,10217000000.0,648000000.0,-922000000.0,6336000000.0,0.0,4753000000.0,0.0,-149000000.0,-75000000.0,-47000000.0,0.0,260000000.0,1000000.0,50000000.0,-209000000.0,185000000.0,-99000000.0,-33000000.0,0.0,109000000.0,8000000.0,0.0,1371000000.0,0.0,7143000000.0,1218000000.0,237000000.0,977000000.0,977000000.0,6000000.0,1.59,1455000000.0,241000000.0,1461000000.0,1472000000.0,1.58,1564000000.0,983000000.0,2933000000.0,4210000000.0,374812520.0,0.0,4.0,1.06087709174841,0.410611787764245,1.64871194379391,4753000000.0,0.410611787764245,19.0575277474723,0.5,2.14958973280034,0.993428506684795,12.6810064935931,0.193170301828597
7,2019-03-31 00:00:00+00:00,1,2019,4492000000.0,273000000.0,19726000000.0,0.0,500000000.0,0.0,24075000000.0,5846000000.0,797000000.0,-15442000000.0,15234000000.0,17343000000.0,372969983.0,0.0,4147000000.0,0.0,7727000000.0,2146000000.0,10224000000.0,10224000000.0,837000000.0,-934000000.0,6732000000.0,0.0,4349000000.0,0.0,-150000000.0,-67000000.0,131000000.0,-14000000.0,929000000.0,1000000.0,56000000.0,-1018000000.0,862000000.0,219000000.0,-99000000.0,-781000000.0,106000000.0,382000000.0,0.0,1313000000.0,0.0,7100000000.0,1583000000.0,240000000.0,1959000000.0,1959000000.0,5000000.0,3.2,1823000000.0,-376000000.0,1776000000.0,1076000000.0,3.18,1929000000.0,1964000000.0,2852000000.0,4248000000.0,372969983.0,0.0,5.0,0.88779579898963,0.40169014084507,1.4986642920748,4349000000.0,0.40169014084507,19.0363844910275,1.38805970149254,2.35088526097954,1.00682786590687,11.6604557959829,0.178250397636901
8,2018-12-31 00:00:00+00:00,4,2018,8321000000.0,502000000.0,33994000000.0,0.0,856000000.0,1013000000.0,44497000000.0,10083000000.0,266000000.0,5569000000.0,25673000000.0,32617000000.0,374295243.0,0.0,7199000000.0,643000000.0,19469000000.0,2079000000.0,19113000000.0,18100000000.0,656000000.0,-1608000000.0,11880000000.0,0.0,10449000000.0,0.0,-391000000.0,-253000000.0,400000000.0,-83000000.0,2284000000.0,-25000000.0,86000000.0,-1467000000.0,2031000000.0,-392000000.0,-85000000.0,-790000000.0,265000000.0,-50000000.0,0.0,3601000000.0,0.0,16760000000.0,2361000000.0,681000000.0,2056000000.0,2056000000.0,37000000.0,1.9,3042000000.0,305000000.0,3011000000.0,4338000000.0,1.9,3307000000.0,2093000000.0,7349000000.0,9411000000.0,374295243.0,0.0,7.0,-0.000238606537819153,0.438484486873508,1.42771301526259,10503000000.0,0.438484486873508,44.7774859911858,-0.283018867924528,1.7322231792516,0.807573189972535,28.0607360003237,0.129715320862391
10,2018-09-30 00:00:00+00:00,3,2018,3993000000.0,229000000.0,18554000000.0,0.0,182000000.0,388000000.0,21068000000.0,5696000000.0,0.0,-17762000000.0,14561000000.0,15028000000.0,376032500.0,0.0,3697000000.0,0.0,7571000000.0,1222000000.0,9853000000.0,9465000000.0,631000000.0,-634000000.0,6040000000.0,0.0,2514000000.0,0.0,-68000000.0,-37000000.0,-70000000.0,-102000000.0,137000000.0,0.0,14000000.0,-171000000.0,100000000.0,-36000000.0,-5000000.0,0.0,56000000.0,0.0,0.0,549000000.0,0.0,3263000000.0,552000000.0,115000000.0,488000000.0,488000000.0,0.0,1.3,667000000.0,64000000.0,673000000.0,668000000.0,1.29,723000000.0,488000000.0,1341000000.0,1922000000.0,376032500.0,0.0,5.0,0.0290129296751813,0.410971498620901,1.51264713248184,2514000000.0,0.410971498620901,8.67744144455599,-0.121621621621622,3.76491646778043,1.53760703540847,6.68559233576885,0.160314645239905
11,2018-06-30 00:00:00+00:00,2,2018,3784000000.0,138000000.0,18218000000.0,0.0,252000000.0,386000000.0,20385000000.0,5073000000.0,0.0,-18250000000.0,14434000000.0,14337000000.0,378988424.0,0.0,3597000000.0,0.0,7576000000.0,1237000000.0,9850000000.0,9464000000.0,583000000.0,-646000000.0,6048000000.0,0.0,2167000000.0,0.0,-69000000.0,-32000000.0,105000000.0,-202000000.0,326000000.0,0.0,47000000.0,-128000000.0,294000000.0,-93000000.0,-31000000.0,149000000.0,56000000.0,-29000000.0,0.0,532000000.0,0.0,3466000000.0,513000000.0,116000000.0,400000000.0,400000000.0,0.0,1.06,629000000.0,113000000.0,635000000.0,647000000.0,1.05,685000000.0,400000000.0,1282000000.0,2184000000.0,378988424.0,0.0,6.0,0.0641694811175928,0.369878822850548,1.59830866807611,2167000000.0,0.369878822850548,9.14539806630083,6.57142857142857,4.36732810336871,1.5023021267266,5.7178527437028,0.159882398235974
