,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2020-10-09 00:00:00+00:00,28.11,32.9,27.85,32.5,19985326,28.11,32.9,27.85,32.5,19985326,0.0,1.0,4744658790.0,4798158790.0,,2.9889497228,
1,2020-10-12 00:00:00+00:00,27.85,29.0,27.62,28.27,6532629,27.85,29.0,27.62,28.27,6532629,0.0,1.0,4700773650.0,4754273650.0,,2.9613037987,
2,2020-10-13 00:00:00+00:00,26.76,28.42,26.3636,28.29,4937341,26.76,28.42,26.3636,28.29,4937341,0.0,1.0,4516793640.0,4570293640.0,,2.8454035782,
3,2020-10-14 00:00:00+00:00,28.01,28.2,26.43,26.8,7992242,28.01,28.2,26.43,26.8,7992242,0.0,1.0,4727779890.0,4781279890.0,,2.9783166751,
4,2020-10-15 00:00:00+00:00,27.75,28.11,26.51,27.34,7194620,27.75,28.11,26.51,27.34,7194620,0.0,1.0,4683894750.0,4737394750.0,,2.9506707509,
5,2020-10-16 00:00:00+00:00,28.26,28.95,27.63,28.11,11035047,28.26,28.95,27.63,28.11,11035047,0.0,1.0,4769977140.0,4823477140.0,,3.0048992944,
6,2020-10-19 00:00:00+00:00,28.25,28.56,27.76,28.3,4852713,28.25,28.56,27.76,28.3,4852713,0.0,1.0,4768289250.0,4821789250.0,,3.0038359897,
7,2020-10-20 00:00:00+00:00,28.44,28.88,28.1,28.3,4868771,28.44,28.88,28.1,28.3,4868771,0.0,1.0,4800359160.0,4853859160.0,,3.0240387804,
8,2020-10-21 00:00:00+00:00,28.55,29.0,28.05,28.37,3868977,28.55,29.0,28.05,28.37,3868977,0.0,1.0,4818925950.0,4872425950.0,,3.0357351329,
9,2020-10-22 00:00:00+00:00,29.86,29.91,28.65,28.68,5510906,29.86,29.91,28.65,28.68,5510906,0.0,1.0,5040039540.0,5093539540.0,,3.1750280585,
10,2020-10-23 00:00:00+00:00,30.29,30.49,29.51,29.6,5701872,30.29,30.49,29.51,29.6,5701872,0.0,1.0,5112618810.0,5166118810.0,,3.2207501638,
11,2020-10-26 00:00:00+00:00,29.49,30.31,29.25,30.26,4594200,29.49,30.31,29.25,30.26,4594200,0.0,1.0,4977587610.0,5031087610.0,,3.1356857818,
12,2020-10-27 00:00:00+00:00,28.66,29.53,28.26,29.5,3144115,28.66,29.53,28.26,29.5,3144115,0.0,1.0,4837492740.0,4890992740.0,,3.0474314854,
13,2020-10-28 00:00:00+00:00,28.26,29.23,27.95,28.16,3398035,28.26,29.23,27.95,28.16,3398035,0.0,1.0,4769977140.0,4823477140.0,,3.0048992944,
14,2020-10-29 00:00:00+00:00,28.28,29.48,28.14,29.12,3320736,28.28,29.48,28.14,29.12,3320736,0.0,1.0,4773352920.0,4826852920.0,,3.007025904,
15,2020-10-30 00:00:00+00:00,28.74,28.75,27.63,28.15,2948265,28.74,28.75,27.63,28.15,2948265,0.0,1.0,4839204556.5,4892704556.5,,3.0559379236,
16,2020-11-02 00:00:00+00:00,29.96,29.96,28.83,28.91,2303293,29.96,29.96,28.83,28.91,2303293,0.0,1.0,5044626601.0,5098126601.0,,3.1856611062,
17,2020-11-03 00:00:00+00:00,29.81,30.5,29.43,30.0,1518485,29.81,30.5,29.43,30.0,1518485,0.0,1.0,5019369792.25,5072869792.25,,3.1697115346,
18,2020-11-04 00:00:00+00:00,29.5,30.23,29.21,29.6,2307803,29.5,30.23,29.21,29.6,2307803,0.0,1.0,4967172387.5,5020672387.5,,3.1367490866,
19,2020-11-05 00:00:00+00:00,29.35,30.08,29.08,29.56,2331148,29.35,30.08,29.08,29.56,2331148,0.0,1.0,4941915578.75,4995415578.75,,3.1207995149,
20,2020-11-06 00:00:00+00:00,28.94,29.39,28.1,29.04,2295220,28.94,29.39,28.1,29.04,2295220,0.0,1.0,4872880301.5,4926380301.5,,3.0772040192,
21,2020-11-09 00:00:00+00:00,28.54,31.07,28.5,30.19,3059294,28.54,31.07,28.5,30.19,3059294,0.0,1.0,4805528811.5,4859028811.5,,3.0346718281,
22,2020-11-10 00:00:00+00:00,28.26,29.1,28.15,28.5,3128508,28.26,29.1,28.15,28.5,3128508,0.0,1.0,4758382768.5,4811882768.5,,3.0048992944,
23,2020-11-11 00:00:00+00:00,29.01,29.23,28.6,28.6,2961287,29.01,29.23,28.6,28.6,2961287,0.0,1.0,4884666812.25,4938166812.25,,3.0846471526,
24,2020-11-12 00:00:00+00:00,28.54,29.45,28.1,29.31,2002580,28.54,29.45,28.1,29.31,2002580,0.0,1.0,4805528811.5,4859028811.5,,3.0346718281,
25,2020-11-13 00:00:00+00:00,28.57,28.98,28.29,28.61,1764346,28.57,28.98,28.29,28.61,1764346,0.0,1.0,4810580173.25,4864080173.25,,3.0378617425,
26,2020-11-16 00:00:00+00:00,29.11,29.3,28.5,28.75,1572313,29.11,29.3,28.5,28.75,1572313,0.0,1.0,4901504684.75,4955004684.75,,3.0952802003,
27,2020-11-17 00:00:00+00:00,30.64,30.88,28.96,29.43,4329275,30.64,30.88,28.96,29.43,4329275,0.0,1.0,5159124134.0,5212624134.0,,3.2579658309,
28,2020-11-18 00:00:00+00:00,31.19,32.23,30.25,30.67,4008732,31.19,32.23,30.25,30.67,4008732,0.0,1.0,5251732432.75,5305232432.75,,3.3164475935,
29,2020-11-19 00:00:00+00:00,30.72,31.39,30.14,30.95,1438423,30.72,31.39,30.14,30.95,1438423,0.0,1.0,5172594432.0,5226094432.0,,3.2664722691,
30,2020-11-20 00:00:00+00:00,31.18,31.49,30.2301,30.54,1956567,31.18,31.49,30.2301,30.54,1956567,0.0,1.0,5250048645.5,5303548645.5,,3.3153842888,
31,2020-11-23 00:00:00+00:00,31.8,32.0,30.8,31.16,1623142,31.8,32.0,30.8,31.16,1623142,0.0,1.0,5354443455.0,5407943455.0,,3.3813091848,
32,2020-11-24 00:00:00+00:00,32.76,32.96,31.97,32.23,1857690,32.76,32.96,31.97,32.23,1857690,0.0,1.0,5516087031.0,5569587031.0,,3.4833864432,
33,2020-11-25 00:00:00+00:00,33.66,33.83,32.5,32.55,3303787,33.66,33.83,32.5,32.55,3303787,0.0,1.0,5667627883.5,5721127883.5,,3.579083873,
34,2020-11-27 00:00:00+00:00,34.09,34.34,33.36,33.54,610394,34.09,34.34,33.36,33.54,610394,0.0,1.0,5740030735.25,5793530735.25,,3.6248059783,
35,2020-11-30 00:00:00+00:00,33.17,34.37,32.19,34.2,3411806,33.17,34.37,32.19,34.2,3411806,0.0,1.0,5585122308.25,5638622308.25,,3.526981939,
36,2020-12-01 00:00:00+00:00,33.0,33.82,32.81,33.17,1565881,33.0,33.82,32.81,33.17,1565881,0.0,1.0,5556497925.0,5609997925.0,,3.5089057578,
37,2020-12-02 00:00:00+00:00,33.09,33.46,32.71,32.96,1191774,33.09,33.46,32.71,32.96,1191774,0.0,1.0,5571652010.25,5625152010.25,,3.5184755008,
38,2020-12-03 00:00:00+00:00,33.18,33.6,32.96,33.05,1146716,33.18,33.6,32.96,33.05,1146716,0.0,1.0,5586806095.5,5640306095.5,,3.5280452438,
39,2020-12-04 00:00:00+00:00,33.07,33.53,32.775,32.98,1358137,33.07,33.53,32.775,32.98,1358137,0.0,1.0,5568284435.75,5621784435.75,,3.5163488913,
40,2020-12-07 00:00:00+00:00,32.51,33.42,32.3,33.31,2353374,32.51,33.42,32.3,33.31,2353374,0.0,1.0,5473992349.75,5527492349.75,,3.4568038239,
41,2020-12-08 00:00:00+00:00,32.0,32.77,31.6,32.545,1424111,32.0,32.77,31.6,32.545,1424111,0.0,1.0,5388119200.0,5441619200.0,,3.4025752803,
42,2020-12-09 00:00:00+00:00,31.96,32.45,31.36,31.99,2818525,31.96,32.45,31.36,31.99,2818525,0.0,1.0,5381384051.0,5434884051.0,,3.3983220612,
43,2020-12-10 00:00:00+00:00,31.91,32.09,31.22,31.65,1614405,31.91,32.09,31.22,31.65,1614405,0.0,1.0,5372965114.75,5426465114.75,,3.3930055374,
