,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,195.69,196.64,193.6,194.12,355263,195.69,196.64,193.6,194.12,355263,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,197.77,197.94,195.35,195.35,271710,197.77,197.94,195.35,195.35,271710,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,199.66,200.025,198.36,198.47,337388,199.66,200.025,198.36,198.47,337388,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,202.23,202.85,200.0,200.68,363300,202.23,202.85,200.0,200.68,363300,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,204.76,205.29,200.68,202.28,483131,204.76,205.29,200.68,202.28,483131,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,208.96,210.08,205.53,206.24,532237,208.96,210.08,205.53,206.24,532237,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,207.32,209.42,204.35,207.92,307989,207.32,209.42,204.35,207.92,307989,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,207.73,208.1985,205.64,207.35,202821,207.73,208.1985,205.64,207.35,202821,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,209.75,210.04,205.955,207.51,252987,209.75,210.04,205.955,207.51,252987,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,208.94,211.645,207.73,210.86,511312,208.94,211.645,207.73,210.86,511312,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,209.16,210.91,207.12,210.91,589701,209.16,210.91,207.12,210.91,589701,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,207.87,209.405,206.79,208.49,745346,207.87,209.405,206.79,208.49,745346,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,210.72,211.1,208.4782,209.28,738276,210.72,211.1,208.4782,209.28,738276,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,214.77,215.19,210.75,211.28,1230925,214.77,215.19,210.75,211.28,1230925,0.0,1.0,17081305846.32,18436760846.32,859.08,7.646789152,-2.8288370258
14,2018-01-23 00:00:00+00:00,210.99,218.72,206.62,218.5,1034746,210.99,218.72,206.62,218.5,1034746,0.0,1.0,16780671045.84,18136126045.84,843.96,7.5122039539,-2.7790488619
15,2018-01-24 00:00:00+00:00,214.3,215.28,210.18,212.71,859072,214.3,215.28,210.18,212.71,859072,0.0,1.0,17043925328.8,18399380328.8,857.2,7.6300550136,-2.822646434
16,2018-01-25 00:00:00+00:00,217.21,218.23,214.42,215.53,429816,217.21,218.23,214.42,215.53,429816,0.0,1.0,17275366405.36,18630821405.36,868.84,7.7336642534,-2.8609754173
17,2018-01-26 00:00:00+00:00,218.14,218.57,216.69,218.18,373566,218.14,218.57,216.69,218.18,373566,0.0,1.0,17349332110.24,18704787110.24,872.56,7.7667764847,-2.8732248862
18,2018-01-29 00:00:00+00:00,218.7,220.2,217.57,218.03,484044,218.7,220.2,217.57,218.03,484044,0.0,1.0,17393870599.2,18749325599.2,874.8,7.7867150326,-2.8806009105
19,2018-01-30 00:00:00+00:00,214.87,217.0,214.6,217.0,488315,214.87,217.0,214.6,217.0,488315,0.0,1.0,17089259147.92,18444714147.92,859.48,7.650349607,-2.830154173
20,2018-01-31 00:00:00+00:00,215.61,219.795,214.62,216.23,599482,215.61,219.795,214.62,216.23,599482,0.0,1.0,17148113579.76,18503568579.76,862.44,7.6766969738,-2.8399010622
21,2018-02-01 00:00:00+00:00,217.37,218.66,213.52,214.16,453106,217.37,218.66,213.52,214.16,453106,0.0,1.0,17288091687.92,18643546687.92,869.48,7.7393609814,-2.8630828528
22,2018-02-02 00:00:00+00:00,212.49,217.41,212.26,215.88,641989,212.49,217.41,212.26,215.88,641989,0.0,1.0,16899970569.84,18255425569.84,849.96,7.5656107786,-2.7988060698
23,2018-02-05 00:00:00+00:00,203.26,212.64,202.89,211.61,652352,203.26,212.64,202.89,211.61,652352,0.0,1.0,16165880832.16,17521335832.16,813.04,7.2369807843,-2.6772333839
24,2018-02-06 00:00:00+00:00,202.72,204.42,197.82,200.39,852041,202.72,204.42,197.82,200.39,852041,0.0,1.0,16122933003.52,17478388003.52,810.88,7.2177543274,-2.6701207891
25,2018-02-07 00:00:00+00:00,201.98,204.985,201.87,202.2,388341,201.98,204.985,201.87,202.2,388341,0.0,1.0,16064078571.68,17419533571.68,807.92,7.1914069606,-2.6603738998
26,2018-02-08 00:00:00+00:00,191.79,202.91,191.53,201.85,896990,191.79,202.91,191.53,201.85,896990,0.0,1.0,15253637138.64,16609092138.64,767.16,6.8285965985,-2.5261566009
27,2018-02-09 00:00:00+00:00,193.59,195.74,187.66,194.0,616800,193.59,195.74,187.66,194.0,616800,0.0,1.0,15396796567.44,16752251567.44,774.36,6.8926847881,-2.5498652504
28,2018-02-12 00:00:00+00:00,198.45,200.39,194.105,194.95,613906,198.45,200.39,194.105,194.95,613906,0.0,1.0,15783327025.2,17138782025.2,793.8,7.0657228999,-2.6138786039
29,2018-02-13 00:00:00+00:00,200.2,201.15,196.35,197.5,367668,200.2,201.15,196.35,197.5,367668,0.0,1.0,15922509803.2,17277964803.2,800.8,7.128030862,-2.6369286798
30,2018-02-14 00:00:00+00:00,204.62,204.79,196.99,198.71,483115,204.62,204.79,196.99,198.71,483115,0.0,1.0,16274045733.92,17629500733.92,818.48,7.285402972,-2.6951465857
31,2018-02-15 00:00:00+00:00,206.9,206.95,204.47,206.46,465143,206.9,206.95,204.47,206.46,465143,0.0,1.0,16455381010.4,17810836010.4,827.6,7.3665813454,-2.7251775417
32,2018-02-16 00:00:00+00:00,206.18,208.5,205.06,206.47,341482,206.18,208.5,205.06,206.47,341482,0.0,1.0,16398117238.88,17753572238.88,824.72,7.3409460696,-2.7156940819
33,2018-02-20 00:00:00+00:00,203.87,206.17,203.175,204.75,437235,203.87,206.17,203.175,204.75,437235,0.0,1.0,16214395971.92,17569850971.92,815.48,7.2586995596,-2.6852679818
34,2018-02-21 00:00:00+00:00,204.23,209.03,203.86,203.89,429094,204.23,209.03,203.86,203.89,429094,0.0,1.0,16243027857.68,17598482857.68,816.92,7.2715171975,-2.6900097117
35,2018-02-22 00:00:00+00:00,204.47,207.41,203.44,205.38,433438,204.47,207.41,203.44,205.38,433438,0.0,1.0,16262115781.52,17617570781.52,817.88,7.2800622895,-2.6931708649
36,2018-02-23 00:00:00+00:00,208.47,208.65,202.8,205.47,391079,208.47,208.65,202.8,205.47,391079,0.0,1.0,16580247845.52,17935702845.52,833.88,7.4224804885,-2.7458567527
37,2018-02-26 00:00:00+00:00,208.45,208.98,206.035,208.98,322517,208.45,208.98,206.035,208.98,322517,0.0,1.0,16578657185.2,17934112185.2,833.8,7.4217683975,-2.7455933232
38,2018-02-27 00:00:00+00:00,206.11,209.11,205.295,208.19,367815,206.11,209.11,205.295,208.19,367815,0.0,1.0,16238265462.82,17593720462.82,824.44,7.3384537511,-2.7147720789
39,2018-02-28 00:00:00+00:00,204.64,209.48,204.63,206.63,469035,204.64,209.48,204.63,206.63,469035,0.0,1.0,16122452303.68,17477907303.68,818.56,7.286115063,-2.6954100152
40,2018-03-01 00:00:00+00:00,198.17,205.85,197.631,204.81,490952,198.17,205.85,197.631,204.81,490952,0.0,1.0,15612716834.54,16968171834.54,792.68,7.055753626,-2.6101905918
41,2018-03-02 00:00:00+00:00,200.11,200.39,196.2,196.7,347531,200.11,200.39,196.2,196.7,347531,0.0,1.0,15765558690.82,17121013690.82,800.44,7.1248264525,-2.6357432473
42,2018-03-05 00:00:00+00:00,201.38,202.36,198.02,198.84,394794,201.38,202.36,198.02,198.84,394794,0.0,1.0,15865614957.56,17221069957.56,805.52,7.1700442307,-2.6524710167
43,2018-03-06 00:00:00+00:00,205.32,205.4,200.73,201.56,467218,205.32,205.4,200.73,201.56,467218,0.0,1.0,16176025737.84,17531480737.84,821.28,7.3103261568,-2.7043666161
44,2018-03-07 00:00:00+00:00,207.5,208.31,202.48,203.27,388977,207.5,208.31,202.48,203.27,388977,0.0,1.0,16347775865.0,17703230865.0,830.0,7.3879440753,-2.7330804249
45,2018-03-08 00:00:00+00:00,208.96,209.32,206.64,208.67,455995,208.96,209.32,206.64,208.67,455995,0.0,1.0,16462801179.52,17818256179.52,835.84,7.4399267179,-2.7523107739
46,2018-03-09 00:00:00+00:00,212.7,213.37,209.1,209.1,351752,212.7,213.37,209.1,209.1,351752,0.0,1.0,16757455067.4,18112910067.4,850.8,7.573087734,-2.8015720789
47,2018-03-12 00:00:00+00:00,212.87,213.57,211.53,212.9,333153,212.87,213.57,211.53,212.9,333153,0.0,1.0,16770848425.94,18126303425.94,851.48,7.5791405075,-2.8038112291
48,2018-03-13 00:00:00+00:00,212.13,214.0,211.305,214.0,402862,212.13,214.0,211.305,214.0,402862,0.0,1.0,16712547924.06,18068002924.06,848.52,7.5527931407,-2.7940643399
49,2018-03-14 00:00:00+00:00,211.22,213.27,210.85,212.98,326020,211.22,213.27,210.85,212.98,326020,0.0,1.0,16640854063.64,17996309063.64,844.88,7.5203930004,-2.7820783005
50,2018-03-15 00:00:00+00:00,212.34,214.37,210.1,211.04,328116,212.34,214.37,210.1,211.04,328116,0.0,1.0,16729092661.08,18084547661.08,849.36,7.5602700961,-2.796830349
51,2018-03-16 00:00:00+00:00,213.18,213.88,211.615,212.78,452448,213.18,213.88,211.615,212.78,452448,0.0,1.0,16795271609.16,18150726609.16,852.72,7.5901779179,-2.8078943854
52,2018-03-19 00:00:00+00:00,212.98,214.22,210.82,213.07,540196,212.98,214.22,210.82,213.07,540196,0.0,1.0,16779514716.76,18134969716.76,851.92,7.583057008,-2.805260091
53,2018-03-20 00:00:00+00:00,214.46,215.34,211.34,212.59,668284,214.46,215.34,211.34,212.59,668284,0.0,1.0,16896115720.52,18251570720.52,857.84,7.6357517416,-2.8247538695
54,2018-03-21 00:00:00+00:00,211.18,214.93,210.0,214.84,368104,211.18,214.93,210.0,214.84,368104,0.0,1.0,16637702685.16,17993157685.16,844.72,7.5189688184,-2.7815514416
55,2018-03-22 00:00:00+00:00,204.61,210.37,204.0244,208.95,438460,204.61,210.37,204.0244,208.95,438460,0.0,1.0,16120088769.82,17475543769.82,818.44,7.2850469265,-2.695014871
56,2018-03-23 00:00:00+00:00,199.51,206.32,199.115,205.04,372700,199.51,206.32,199.115,205.04,372700,0.0,1.0,15718288013.62,17073743013.62,798.04,7.1034637227,-2.6278403642
57,2018-03-26 00:00:00+00:00,204.2,204.35,199.87,201.6,532461,204.2,204.35,199.87,201.6,532461,0.0,1.0,16087787140.4,17443242140.4,816.8,7.2704490611,-2.6896145675
58,2018-03-27 00:00:00+00:00,200.52,206.57,199.45,205.22,594394,200.52,206.57,199.45,205.22,594394,0.0,1.0,15797860320.24,17153315320.24,802.08,7.1394243179,-2.6411435508
