,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,24971300000.0,11652500000.0,24551700000.0,3052800000.0,22131300000.0,6290100000.0,1367200000.0,573400000.0,0.0,911800000.0,-6400000.0,1727200000.0,1750400000.0,1750400000.0,0.0,35422000000.0,33694800000.0,2840000000.0,417800000.0,3974700000.0,13019700000.0,751300000.0,0.0,13100000.0,315434531.0,10450700000.0,0.0,-11400000.0,-556900000.0,570100000.0,0.0,-3400000.0,245000000.0,1500000.0,-14400000.0,0.0,-199500000.0,-1200000.0,-581500000.0,195100000.0,316500000.0,681000000.0,436000000.0,0.85,245000000.0,615200000.0,0.84,314000000.0,0.0,370200000.0,46900000.0,267100000.0,122000000.0,315400000.0,267100000.0,1035800000.0,0.0,1651000000.0,266800000.0,300000.0,0.0,0.0,6.0,0.0267412935323383,0.372622652937614,0.608169014084507,10450700000.0,0.372622652937614,5.23404966084706,0.148648648648649,1.11499708153521,0.116710541292602,33.1311222232673,0.0343619873367178
1,2020,2,2020-06-30 00:00:00+00:00,24658300000.0,10721600000.0,24171800000.0,3052800000.0,21173700000.0,6222800000.0,2106500000.0,467700000.0,0.0,957900000.0,-7300000.0,1713400000.0,1744700000.0,1744700000.0,0.0,35042000000.0,33328600000.0,3484600000.0,423700000.0,3945900000.0,12828100000.0,696600000.0,0.0,13300000.0,315434531.0,10383700000.0,0.0,148000000.0,-543200000.0,689100000.0,0.0,-5600000.0,242500000.0,-3900000.0,-149200000.0,100000.0,-199500000.0,-3300000.0,-541100000.0,90100000.0,316500000.0,662600000.0,420100000.0,0.77,242500000.0,581300000.0,0.76,295700000.0,200000.0,338800000.0,53800000.0,241900000.0,124400000.0,315400000.0,242100000.0,967400000.0,0.0,1548700000.0,241600000.0,300000.0,0.0,0.0,7.0,-0.0260973462457552,0.375347065280558,0.491706365149515,10383700000.0,0.375347065280558,4.90973513613194,0.0266666666666666,1.03254138698152,0.114672235780907,32.9187168160736,0.0336860072182249
2,2020,1,2020-03-31 00:00:00+00:00,24488100000.0,11194700000.0,23797100000.0,3052800000.0,21640400000.0,6180700000.0,1521500000.0,391100000.0,0.0,1176900000.0,-7100000.0,1845300000.0,1717700000.0,1717700000.0,0.0,34832200000.0,32986900000.0,2847700000.0,428500000.0,3870000000.0,12716200000.0,597900000.0,0.0,15400000.0,315434531.0,10344100000.0,0.0,194400000.0,-463000000.0,690500000.0,0.0,-24400000.0,239100000.0,-3000000.0,-244100000.0,17000000.0,-199500000.0,-16600000.0,-496100000.0,-17600000.0,316700000.0,911300000.0,672200000.0,1.43,239100000.0,865700000.0,1.43,542800000.0,-200000.0,626600000.0,90000000.0,452800000.0,129400000.0,315400000.0,452600000.0,1242900000.0,0.0,2108600000.0,452500000.0,300000.0,0.0,0.0,8.0,-0.113064692521242,0.410556767523475,0.647996628858377,10344100000.0,0.410556767523475,6.68474688968026,0.0751879699248119,1.08223045020833,0.115129785044676,32.7931757097323,0.033785315234747
3,2019,4,2019-12-31 00:00:00+00:00,24838400000.0,11211000000.0,23620100000.0,3052800000.0,21655700000.0,5927700000.0,1524000000.0,549800000.0,0.0,1176500000.0,-4100000.0,2093600000.0,1720800000.0,1720800000.0,0.0,34951800000.0,32858200000.0,3182700000.0,497100000.0,3769300000.0,12735000000.0,908100000.0,0.0,37500000.0,315435595.0,10113400000.0,0.0,-244500000.0,-760400000.0,504800000.0,0.0,-1000000.0,236200000.0,-9900000.0,271300000.0,0.0,-186100000.0,15700000.0,-749300000.0,465300000.0,316700000.0,641100000.0,404900000.0,0.78,236200000.0,599300000.0,0.77,277700000.0,0.0,363100000.0,33500000.0,244200000.0,127200000.0,315400000.0,244200000.0,1348200000.0,0.0,1947500000.0,243900000.0,300000.0,0.0,0.0,6.0,-0.0622592449922958,0.307727856225931,0.657806265120809,10113400000.0,0.307727856225931,6.17400201774946,0.2,1.10852927798762,0.112933865470271,32.061695510299,0.0331093923813361
5,2019,3,2019-09-30 00:00:00+00:00,24326200000.0,10897300000.0,23035100000.0,3052800000.0,21507800000.0,5869900000.0,1379000000.0,593300000.0,0.0,911800000.0,-7100000.0,1773000000.0,1720400000.0,1720400000.0,0.0,34377200000.0,32604200000.0,2818400000.0,502800000.0,3613800000.0,12276300000.0,769000000.0,0.0,20000000.0,315435820.0,10051000000.0,0.0,-106800000.0,-668100000.0,549500000.0,0.0,-15900000.0,233800000.0,-13200000.0,94500000.0,100000.0,-186100000.0,-24100000.0,-656300000.0,305000000.0,316800000.0,605500000.0,371700000.0,0.74,233800000.0,544700000.0,0.74,245900000.0,-300000.0,310900000.0,11300000.0,234600000.0,125800000.0,315400000.0,234300000.0,1063300000.0,0.0,1608000000.0,234300000.0,300000.0,0.0,0.0,5.0,-0.0217192918415769,0.338743781094527,0.629080329264831,10051000000.0,0.338743781094527,5.09770894123565,0.0,1.08420057705701,0.109948143351255,31.8638510997261,0.0323218549574837
6,2019,2,2019-06-30 00:00:00+00:00,23918100000.0,9921000000.0,22535800000.0,3052800000.0,20556100000.0,5821700000.0,2029200000.0,461400000.0,0.0,1004300000.0,-6600000.0,1838700000.0,1696500000.0,1696500000.0,0.0,33934300000.0,32095600000.0,3362000000.0,508700000.0,3598100000.0,11950200000.0,715600000.0,0.0,37900000.0,315438398.0,10016200000.0,0.0,59100000.0,-459800000.0,555500000.0,0.0,-18100000.0,229900000.0,11500000.0,-94100000.0,0.0,-186100000.0,1600000.0,-496400000.0,113500000.0,316700000.0,605200000.0,375300000.0,0.75,229900000.0,544500000.0,0.74,251200000.0,-200000.0,314600000.0,15200000.0,236000000.0,124100000.0,315400000.0,235800000.0,1045700000.0,0.0,1590200000.0,235700000.0,300000.0,0.0,0.0,7.0,-0.0492077727952167,0.342409759778644,0.546906603212374,10016200000.0,0.342409759778644,5.0412378774508,0.0273972602739727,0.990495397456121,0.110603085057715,31.7532680342867,0.0327276425926037
7,2019,1,2019-03-31 00:00:00+00:00,23752600000.0,10326700000.0,22193300000.0,3052800000.0,20862700000.0,5772100000.0,1511200000.0,330100000.0,0.0,1430100000.0,-4000000.0,2008300000.0,1670600000.0,1670600000.0,0.0,33737100000.0,31728800000.0,2889900000.0,514500000.0,3459900000.0,11837900000.0,674100000.0,0.0,30600000.0,315455323.0,9984500000.0,0.0,376900000.0,-606600000.0,735700000.0,0.0,-38100000.0,226400000.0,-271600000.0,-186100000.0,100000.0,-186200000.0,-57000000.0,-358800000.0,41800000.0,316700000.0,836200000.0,609800000.0,1.33,226400000.0,769200000.0,1.33,485400000.0,0.0,542800000.0,65000000.0,420400000.0,124400000.0,315500000.0,420400000.0,1608200000.0,0.0,2377400000.0,420100000.0,300000.0,0.0,0.0,8.0,0.0397550841898098,0.323546731723732,0.694937541091387,9984500000.0,0.323546731723732,7.53640793691727,0.0725806451612905,1.03427312334118,0.110942214413933,31.6510747228697,0.0330810421758233
8,2018,4,2018-12-31 00:00:00+00:00,23686900000.0,9994000000.0,22000900000.0,3052800000.0,20355200000.0,5538200000.0,1805100000.0,548200000.0,0.0,1280900000.0,-2600000.0,2247600000.0,1665300000.0,1665300000.0,0.0,33475800000.0,31228200000.0,3331700000.0,520400000.0,3388100000.0,11799100000.0,876400000.0,0.0,84500000.0,315526051.0,9788900000.0,0.0,-187900000.0,-664400000.0,437300000.0,0.0,-15200000.0,217700000.0,-89400000.0,333000000.0,37000000.0,-174300000.0,105900000.0,-625200000.0,532900000.0,316900000.0,554300000.0,336600000.0,0.65,217700000.0,507500000.0,0.64,218700000.0,0.0,289800000.0,13400000.0,205300000.0,117900000.0,315500000.0,205300000.0,1569300000.0,0.0,2076800000.0,205000000.0,300000.0,0.0,0.0,5.0,0.0106082725060828,0.244366332819723,0.674610559173995,9788900000.0,0.244366332819723,6.5820238722539,-0.525547445255474,1.02095230311884,0.108763841900723,31.0240627326205,0.032653778396349
10,2018,3,2018-09-30 00:00:00+00:00,22787100000.0,9119000000.0,21663700000.0,3052800000.0,19184600000.0,5508100000.0,2157700000.0,608500000.0,0.0,1017300000.0,2400000.0,1839700000.0,1613700000.0,1613700000.0,0.0,32562400000.0,30722700000.0,3602500000.0,525900000.0,3389500000.0,11276700000.0,690400000.0,0.0,14500000.0,315533448.0,9775300000.0,0.0,-80200000.0,-723200000.0,494800000.0,0.0,-13400000.0,212800000.0,-151800000.0,216600000.0,100000.0,-174300000.0,-11800000.0,-575000000.0,405300000.0,316900000.0,575300000.0,362500000.0,0.74,212800000.0,515500000.0,0.74,250500000.0,0.0,302700000.0,17000000.0,233500000.0,112000000.0,315500000.0,233500000.0,1128200000.0,0.0,1643700000.0,233200000.0,300000.0,0.0,0.0,6.0,-0.00832579185520366,0.313621707124171,0.510673143650243,9775300000.0,0.313621707124171,5.20927340799699,0.088235294117647,0.932861395558193,0.133252912868914,30.9802338292833,0.0402545901853435
11,2018,2,2018-06-30 00:00:00+00:00,22211800000.0,9209300000.0,21078400000.0,3052800000.0,19158600000.0,5449100000.0,1663500000.0,466600000.0,0.0,1086100000.0,2500000.0,1810400000.0,1596600000.0,1596600000.0,0.0,31937600000.0,30127200000.0,3053200000.0,531800000.0,3330600000.0,10872800000.0,681000000.0,0.0,29800000.0,315538808.0,9725800000.0,0.0,143500000.0,-561000000.0,619400000.0,0.0,-1000000.0,206700000.0,-88800000.0,-78100000.0,0.0,-174500000.0,-19700000.0,-475900000.0,100900000.0,316900000.0,597600000.0,390900000.0,0.73,206700000.0,537500000.0,0.73,282400000.0,0.0,330800000.0,51100000.0,231300000.0,108500000.0,315500000.0,231300000.0,1135000000.0,0.0,1672500000.0,231000000.0,300000.0,0.0,0.0,7.0,0.025130248237818,0.321375186846039,0.59295165727761,9725800000.0,0.321375186846039,5.30045736878109,0.158730158730159,0.946893828785293,0.133412877165226,30.8228330506972,0.0401846957135744
