,year,quarter,date,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,160913000000.0,1383215000000.0,-750000000.0,0.0,8977000000.0,0.0,246770000000.0,181173000000.0,0.0,26387000000.0,1922220000000.0,0.0,0.0,1547557000000.0,0.0,1740188000000.0,4120047105.0,270935000000.0,-15733000000.0,56000000.0,-655000000.0,-49815000000.0,0.0,0.0,42658000000.0,42636000000.0,2382000000.0,-8576000000.0,-21601000000.0,384000000.0,0.0,-8576000000.0,1720000000.0,12170000000.0,2680000000.0,5062000000.0,315000000.0,0.0,4132200000.0,2864000000.0,18093000000.0,2680000000.0,0.42,645000000.0,18093000000.0,184000000.0,0.0,2035000000.0,0.0,0.0,0.42,4123800000.0,2219000000.0,15229000000.0,0.00082770398044075,3.0,182032000000.0,-0.548387096774194,4.39145464575944,1.0,1.49544910113538,-0.151161154116819,44.1820191276672,1.0,0.00883871400544616
1,2020,2,2020-06-30 00:00:00+00:00,159952000000.0,1410711000000.0,-798000000.0,0.0,9025000000.0,0.0,262503000000.0,179386000000.0,0.0,26385000000.0,1968766000000.0,0.0,0.0,1578423000000.0,0.0,1788644000000.0,4099997545.0,291406000000.0,111694000000.0,243000000.0,-2397000000.0,-8112000000.0,0.0,0.0,103687000000.0,103556000000.0,2194000000.0,16119000000.0,-40046000000.0,371000000.0,0.0,16119000000.0,-2694000000.0,9782000000.0,-6296000000.0,-4102000000.0,315000000.0,0.0,4105500000.0,-6249000000.0,8302000000.0,-6296000000.0,-0.66,-3917000000.0,8302000000.0,47000000.0,0.0,-2379000000.0,0.0,0.0,-0.66,4105500000.0,-2332000000.0,14551000000.0,0.00201032522674331,5.0,180122000000.0,-1.50381679389313,2.02487926123868,1.0,1.62446344753771,-0.606185664816659,43.9322214277082,1.0,0.0211755643360618
2,2020,1,2020-03-31 00:00:00+00:00,165308000000.0,1376532000000.0,-1564000000.0,0.0,9108000000.0,0.0,150809000000.0,182718000000.0,0.0,26381000000.0,1981349000000.0,0.0,0.0,1690762000000.0,0.0,1798019000000.0,4099887226.0,329631000000.0,9559000000.0,-3198000000.0,-2312000000.0,36589000000.0,0.0,0.0,-44303000000.0,-44894000000.0,1868000000.0,17273000000.0,-10891000000.0,582000000.0,0.0,17273000000.0,42000000.0,9029000000.0,812000000.0,2680000000.0,611000000.0,0.0,4135300000.0,664000000.0,13712000000.0,812000000.0,0.01,159000000.0,13712000000.0,-148000000.0,0.0,653000000.0,0.0,0.0,0.01,4104800000.0,505000000.0,13048000000.0,0.00641595258995283,4.0,183330000000.0,-0.991735537190083,3.34448223674141,1.0,1.80404229468361,-0.339626276247351,44.7158640943555,1.0,0.065457026278847
3,2019,4,2019-12-31 00:00:00+00:00,166697000000.0,1322626000000.0,-1311000000.0,0.0,9309000000.0,0.0,141250000000.0,187146000000.0,0.0,26390000000.0,1927555000000.0,0.0,0.0,1660172000000.0,0.0,1739571000000.0,4229359203.0,332703000000.0,-7481000000.0,-7343000000.0,-2466000000.0,-17378000000.0,0.0,0.0,-2526000000.0,-3146000000.0,2135000000.0,12423000000.0,-21291000000.0,389000000.0,0.0,12423000000.0,2546000000.0,7596000000.0,3551000000.0,5686000000.0,327000000.0,0.0,4233100000.0,3602000000.0,19216000000.0,3551000000.0,0.63,678000000.0,19216000000.0,51000000.0,0.0,2873000000.0,0.0,0.0,0.62,4195100000.0,2924000000.0,15614000000.0,0.00933944317644157,4.0,187984000000.0,-0.483606557377049,4.54347788345089,1.0,1.77777243435606,-0.0607556576567769,44.4473952145417,1.0,0.0923064256346131
5,2019,3,2019-09-30 00:00:00+00:00,166320000000.0,1308495000000.0,-1639000000.0,0.0,9315000000.0,0.0,148731000000.0,193304000000.0,0.0,26388000000.0,1943950000000.0,0.0,0.0,1658720000000.0,0.0,1749534000000.0,4406107022.0,354559000000.0,-15696000000.0,-7334000000.0,-2458000000.0,4660000000.0,0.0,0.0,-7381000000.0,-8975000000.0,1840000000.0,-12975000000.0,-3890000000.0,497000000.0,0.0,-12975000000.0,4037000000.0,12188000000.0,5914000000.0,7754000000.0,573000000.0,0.0,4389600000.0,6116000000.0,21315000000.0,5914000000.0,0.93,1304000000.0,21315000000.0,202000000.0,0.0,4610000000.0,0.0,0.0,0.92,4358500000.0,4812000000.0,15199000000.0,0.011032787423051,4.0,194416000000.0,-0.184210526315789,4.83760378346979,1.0,1.83420415511319,-0.00215345723514815,44.1242119243285,1.0,0.107347420467378
6,2019,2,2019-06-30 00:00:00+00:00,164551000000.0,1288426000000.0,-2224000000.0,0.0,9435000000.0,0.0,164427000000.0,199042000000.0,0.0,26415000000.0,1923388000000.0,0.0,0.0,1634657000000.0,0.0,1723351000000.0,4494342882.0,356820000000.0,15459000000.0,-4837000000.0,-2374000000.0,26826000000.0,0.0,0.0,-10698000000.0,-11251000000.0,1651000000.0,-669000000.0,10041000000.0,486000000.0,0.0,-669000000.0,5848000000.0,9193000000.0,7500000000.0,9151000000.0,358000000.0,0.0,4495000000.0,7632000000.0,21081000000.0,7500000000.0,1.31,1294000000.0,21081000000.0,132000000.0,0.0,6206000000.0,0.0,0.0,1.3,4469400000.0,6338000000.0,13449000000.0,0.0118833083290809,4.0,200037000000.0,0.336734693877551,4.69056334896702,1.0,1.79268697058912,-0.000947822378086327,44.508620114668,1.0,0.113763780641364
7,2019,1,2019-03-31 00:00:00+00:00,160776000000.0,1264013000000.0,-3682000000.0,0.0,8825000000.0,0.0,148968000000.0,197832000000.0,0.0,26420000000.0,1887792000000.0,0.0,0.0,1607576000000.0,0.0,1689059000000.0,4549421815.0,342936000000.0,-24319000000.0,-4639000000.0,-2291000000.0,-23244000000.0,0.0,0.0,-9026000000.0,-10390000000.0,1449000000.0,7951000000.0,6250000000.0,902000000.0,0.0,7951000000.0,5507000000.0,9925000000.0,6741000000.0,8190000000.0,353000000.0,0.0,4584000000.0,6848000000.0,20764000000.0,6741000000.0,1.21,881000000.0,20764000000.0,107000000.0,0.0,5860000000.0,0.0,0.0,1.2,4551500000.0,5967000000.0,13916000000.0,0.0113917123872598,6.0,198733000000.0,0.247422680412371,4.56409645980475,1.0,1.73347082372922,-0.0450259853746033,43.6831333917539,1.0,0.107593802440574
8,2018,4,2018-12-31 00:00:00+00:00,158163000000.0,1286170000000.0,-6336000000.0,0.0,8920000000.0,0.0,173287000000.0,196166000000.0,0.0,26418000000.0,1895883000000.0,0.0,0.0,1592759000000.0,0.0,1698817000000.0,4707244168.0,334831000000.0,13764000000.0,-7215000000.0,-2373000000.0,16975000000.0,0.0,0.0,-18245000000.0,-16970000000.0,1371000000.0,15034000000.0,5388000000.0,396000000.0,10000000.0,15034000000.0,5711000000.0,6612000000.0,7030000000.0,8401000000.0,353000000.0,0.0,4698600000.0,7120000000.0,20459000000.0,7030000000.0,1.22,966000000.0,20459000000.0,90000000.0,0.0,6064000000.0,0.0,0.0,1.21,4664400000.0,6154000000.0,13339000000.0,0.010940841507191,5.0,197066000000.0,0.0427350427350428,4.3462797487925,1.0,1.70687580926358,-0.0439272863217908,41.864410038396,1.0,0.102796482689831
10,2018,3,2018-09-30 00:00:00+00:00,154576000000.0,1266594000000.0,-6873000000.0,0.0,8802000000.0,0.0,159523000000.0,198741000000.0,0.0,26425000000.0,1872981000000.0,0.0,0.0,1584003000000.0,0.0,1673302000000.0,4816137157.0,326774000000.0,-3926000000.0,-7280000000.0,-2347000000.0,-10364000000.0,0.0,0.0,-220000000.0,-2638000000.0,1387000000.0,6658000000.0,3930000000.0,573000000.0,-10000000.0,6658000000.0,5453000000.0,9617000000.0,7519000000.0,8906000000.0,554000000.0,0.0,4823200000.0,7598000000.0,21361000000.0,7519000000.0,1.14,1512000000.0,21361000000.0,79000000.0,0.0,6007000000.0,0.0,0.0,1.13,4784000000.0,6086000000.0,13763000000.0,0.0108758388971087,6.0,199679000000.0,0.373493975903614,4.43529727324167,1.0,1.6442203672116,0.0108366458451636,41.4604056094576,1.0,0.101581604698112
11,2018,2,2018-06-30 00:00:00+00:00,150803000000.0,1268864000000.0,-5461000000.0,0.0,8882000000.0,0.0,163449000000.0,205188000000.0,0.0,26429000000.0,1879700000000.0,0.0,0.0,1584679000000.0,0.0,1673631000000.0,4872873834.0,323780000000.0,-38946000000.0,-2859000000.0,-2309000000.0,-38647000000.0,0.0,0.0,550000000.0,-31000000.0,1404000000.0,-849000000.0,1516000000.0,494000000.0,0.0,-849000000.0,4792000000.0,9624000000.0,6996000000.0,8400000000.0,394000000.0,0.0,4899800000.0,7119000000.0,21101000000.0,6996000000.0,0.98,1810000000.0,21101000000.0,123000000.0,0.0,5186000000.0,0.0,0.0,0.98,4865800000.0,5309000000.0,13982000000.0,0.010099737248535,3.0,206069000000.0,-0.100917431192661,4.33029885829792,1.0,1.5779675224672,-0.0267066420664207,42.2890078873321,1.0,0.0942691721192459
12,2018,1,2018-03-31 00:00:00+00:00,147928000000.0,1303689000000.0,-4921000000.0,0.0,8828000000.0,0.0,202395000000.0,204952000000.0,0.0,26445000000.0,1915388000000.0,0.0,0.0,1576791000000.0,0.0,1709478000000.0,4877753899.0,324509000000.0,-13552000000.0,-2647000000.0,-2285000000.0,-38943000000.0,0.0,0.0,10161000000.0,9072000000.0,1431000000.0,15230000000.0,-1273000000.0,792000000.0,0.0,15230000000.0,4733000000.0,10059000000.0,6510000000.0,7941000000.0,403000000.0,0.0,4930700000.0,6701000000.0,21743000000.0,6510000000.0,0.97,1374000000.0,21743000000.0,191000000.0,0.0,5136000000.0,0.0,0.0,0.96,4885700000.0,5327000000.0,15042000000.0,0.0103732661059065,6.0,205910000000.0,-0.0761904761904763,4.45758446412345,1.0,1.58334146531871,0.00429561200923789,42.2141018722191,1.0,0.0974622348419957
