,year,quarter,date,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,19220000000.0,0.0,27417000000.0,0.0,1647000000.0,1116000000.0,38037000000.0,0.0,0.0,2047000000.0,8197000000.0,18123000000.0,128858414.0,0.0,2223000000.0,1733000000.0,14256000000.0,1891000000.0,6672000000.0,5556000000.0,587000000.0,-2253000000.0,19914000000.0,0.0,10515000000.0,0.0,-88000000.0,-64000000.0,543000000.0,3000000.0,521000000.0,17000000.0,31000000.0,-119000000.0,457000000.0,141000000.0,0.0,-8000000.0,217000000.0,210000000.0,0.0,1331000000.0,0.0,2009000000.0,167000000.0,61000000.0,121000000.0,121000000.0,1000000.0,0.93,228000000.0,46000000.0,73000000.0,1936000000.0,0.93,445000000.0,122000000.0,2009000000.0,0.0,128858414.0,0.0,4.0,0.0100553041729512,1.0,1.03610822060354,10620000000.0,1.0,15.5907552920836,0.603448275862069,0.528388017118402,0.102896378318263,82.4160384280378,0.0285063630274615
1,2020,2,2020-06-30 00:00:00+00:00,19019000000.0,0.0,27654000000.0,0.0,1087000000.0,669000000.0,38110000000.0,0.0,0.0,2015000000.0,8635000000.0,18188000000.0,128735691.0,0.0,2430000000.0,1504000000.0,14453000000.0,1883000000.0,6643000000.0,5974000000.0,575000000.0,-2390000000.0,19922000000.0,0.0,10335000000.0,0.0,-87000000.0,-87000000.0,174000000.0,2000000.0,662000000.0,14000000.0,29000000.0,-401000000.0,575000000.0,-87000000.0,0.0,-299000000.0,226000000.0,2000000.0,0.0,1363000000.0,0.0,2113000000.0,169000000.0,62000000.0,94000000.0,94000000.0,8000000.0,0.73,231000000.0,75000000.0,163000000.0,1950000000.0,0.72,457000000.0,102000000.0,2113000000.0,0.0,128735691.0,0.0,4.0,0.03173828125,1.0,1.04747883695252,10456000000.0,1.0,16.4134746439509,-0.311320754716981,0.57803580067731,0.0999656306770757,81.2206771780174,0.0277070887143965
2,2020,1,2020-03-31 00:00:00+00:00,18624000000.0,0.0,27338000000.0,0.0,898000000.0,848000000.0,37727000000.0,0.0,0.0,2009000000.0,8714000000.0,18177000000.0,128718789.0,0.0,2594000000.0,1329000000.0,14522000000.0,1880000000.0,6939000000.0,6091000000.0,501000000.0,-2446000000.0,19550000000.0,0.0,10263000000.0,0.0,-84000000.0,-81000000.0,47000000.0,3000000.0,23000000.0,-36000000.0,-1000000.0,186000000.0,-58000000.0,-162000000.0,0.0,268000000.0,253000000.0,-66000000.0,0.0,1394000000.0,0.0,2466000000.0,383000000.0,61000000.0,305000000.0,305000000.0,8000000.0,2.36,444000000.0,78000000.0,360000000.0,2106000000.0,2.34,697000000.0,313000000.0,2466000000.0,0.0,128718789.0,0.0,4.0,0.0666089965397925,1.0,1.04972079037801,10389000000.0,1.0,19.1580422652982,0.0678733031674208,0.593491181915619,0.104917384968757,80.7108276943159,0.0294954937440113
3,2019,4,2019-12-31 00:00:00+00:00,16070000000.0,0.0,25057000000.0,0.0,887000000.0,480000000.0,35426000000.0,0.0,0.0,1792000000.0,8987000000.0,18389000000.0,128572706.0,0.0,2621000000.0,1784000000.0,14672000000.0,2014000000.0,6745000000.0,6265000000.0,526000000.0,-2227000000.0,17037000000.0,0.0,10249000000.0,0.0,-84000000.0,-87000000.0,1000000.0,11000000.0,461000000.0,20000000.0,26000000.0,-377000000.0,374000000.0,-83000000.0,0.0,-260000000.0,231000000.0,-5000000.0,0.0,1340000000.0,0.0,2690000000.0,668000000.0,62000000.0,544000000.0,544000000.0,7000000.0,4.19,730000000.0,124000000.0,687000000.0,2003000000.0,4.18,961000000.0,551000000.0,2690000000.0,0.0,128572706.0,0.0,5.0,0.134064080944351,1.0,1.06017423771002,10369000000.0,1.0,20.9220143503863,0.449826989619377,0.611279149185286,0.103576566297931,80.6469765052623,0.0293695670520719
5,2019,3,2019-09-30 00:00:00+00:00,16736000000.0,0.0,25672000000.0,0.0,867000000.0,635000000.0,35703000000.0,0.0,0.0,1336000000.0,8936000000.0,18303000000.0,128994464.0,0.0,2167000000.0,1521000000.0,14748000000.0,1922000000.0,6973000000.0,6338000000.0,690000000.0,-2113000000.0,17400000000.0,0.0,9887000000.0,0.0,-84000000.0,-64000000.0,82000000.0,-92000000.0,317000000.0,-20000000.0,21000000.0,1148000000.0,253000000.0,-1383000000.0,0.0,1327000000.0,211000000.0,-1319000000.0,0.0,1283000000.0,0.0,1989000000.0,95000000.0,62000000.0,75000000.0,75000000.0,5000000.0,0.58,157000000.0,20000000.0,107000000.0,1882000000.0,0.58,368000000.0,80000000.0,1989000000.0,0.0,128994464.0,0.0,5.0,0.06993006993007,1.0,1.03967495219885,10031000000.0,1.0,15.4192663647953,0.705882352941176,0.641043794882168,0.0879737481526014,77.7630271016902,0.0252394949226358
6,2019,2,2019-06-30 00:00:00+00:00,17204000000.0,0.0,24934000000.0,0.0,812000000.0,341000000.0,35166000000.0,0.0,0.0,1442000000.0,7730000000.0,16833000000.0,129236178.0,0.0,2461000000.0,1444000000.0,13509000000.0,1897000000.0,5566000000.0,5225000000.0,532000000.0,-1993000000.0,18333000000.0,0.0,10090000000.0,0.0,-84000000.0,-80000000.0,-179000000.0,-46000000.0,350000000.0,-1000000.0,17000000.0,-456000000.0,270000000.0,-73000000.0,0.0,-246000000.0,218000000.0,13000000.0,0.0,1278000000.0,0.0,2048000000.0,176000000.0,56000000.0,138000000.0,138000000.0,11000000.0,1.06,232000000.0,38000000.0,176000000.0,1872000000.0,1.06,450000000.0,149000000.0,2048000000.0,0.0,129236178.0,0.0,5.0,0.0291457286432162,1.0,1.06562427342478,10232000000.0,1.0,15.8469557959227,1.40909090909091,0.517839444995045,0.0845246114312801,79.1728768085358,0.0248232406491556
7,2019,1,2019-03-31 00:00:00+00:00,17654000000.0,0.0,25651000000.0,0.0,992000000.0,345000000.0,35893000000.0,0.0,0.0,1439000000.0,7997000000.0,16873000000.0,129101873.0,0.0,2490000000.0,1240000000.0,13643000000.0,1903000000.0,5824000000.0,5479000000.0,544000000.0,-1974000000.0,19020000000.0,0.0,10092000000.0,0.0,-77000000.0,-74000000.0,-40000000.0,22000000.0,-47000000.0,-1000000.0,10000000.0,82000000.0,-121000000.0,-75000000.0,0.0,137000000.0,217000000.0,-1000000.0,0.0,1348000000.0,0.0,2312000000.0,354000000.0,54000000.0,287000000.0,287000000.0,6000000.0,2.21,408000000.0,67000000.0,359000000.0,1953000000.0,2.2,625000000.0,293000000.0,2312000000.0,0.0,129101873.0,0.0,4.0,0.00872600349040131,1.0,1.07737623201541,10242000000.0,1.0,17.9083381695012,0.364197530864197,0.54290527150218,0.0762785609507471,79.3326987595292,0.0226367204792964
8,2018,4,2018-12-31 00:00:00+00:00,15301000000.0,0.0,22388000000.0,0.0,1033000000.0,186000000.0,32385000000.0,0.0,0.0,1201000000.0,7087000000.0,15965000000.0,129938567.0,0.0,2379000000.0,1647000000.0,13783000000.0,942000000.0,4575000000.0,4389000000.0,559000000.0,-1961000000.0,16420000000.0,0.0,9852000000.0,0.0,-78000000.0,-72000000.0,110000000.0,-177000000.0,572000000.0,-8000000.0,35000000.0,-361000000.0,500000000.0,-101000000.0,0.0,-100000000.0,181000000.0,-28000000.0,0.0,1233000000.0,0.0,2372000000.0,472000000.0,54000000.0,378000000.0,378000000.0,5000000.0,2.89,526000000.0,94000000.0,470000000.0,1902000000.0,2.88,707000000.0,383000000.0,2372000000.0,0.0,129938567.0,0.0,6.0,0.141482194417709,1.0,1.07313247500163,9997000000.0,1.0,18.2547803532419,0.579234972677596,0.445493300852619,0.0681355849121345,76.9363571633047,0.020769362948353
10,2018,3,2018-09-30 00:00:00+00:00,15555000000.0,0.0,22851000000.0,0.0,931000000.0,186000000.0,33041000000.0,0.0,0.0,1102000000.0,7296000000.0,16285000000.0,130769522.0,0.0,2132000000.0,1465000000.0,13886000000.0,944000000.0,4684000000.0,4498000000.0,678000000.0,-1627000000.0,16756000000.0,0.0,10049000000.0,0.0,-79000000.0,-84000000.0,27000000.0,-129000000.0,321000000.0,-7000000.0,11000000.0,-207000000.0,237000000.0,-87000000.0,0.0,12000000.0,181000000.0,0.0,0.0,1238000000.0,0.0,1859000000.0,34000000.0,51000000.0,44000000.0,44000000.0,2000000.0,0.34,85000000.0,-10000000.0,17000000.0,1842000000.0,0.33,266000000.0,46000000.0,1859000000.0,0.0,130769522.0,0.0,5.0,0.00377969762419017,1.0,1.07720990035358,10190000000.0,1.0,14.2158506934055,-1.85,0.447606727037516,0.0547291539866099,77.9233558718675,0.0167856396164989
11,2018,2,2018-06-30 00:00:00+00:00,16382000000.0,0.0,23839000000.0,0.0,911000000.0,85000000.0,34213000000.0,0.0,0.0,1270000000.0,7457000000.0,16324000000.0,131839945.0,0.0,2394000000.0,1357000000.0,14030000000.0,924000000.0,4674000000.0,4589000000.0,691000000.0,-1605000000.0,17889000000.0,0.0,10228000000.0,0.0,-81000000.0,-88000000.0,-8000000.0,-262000000.0,377000000.0,-35000000.0,1000000.0,-311000000.0,289000000.0,-74000000.0,0.0,114000000.0,193000000.0,-3000000.0,0.0,1275000000.0,0.0,1990000000.0,67000000.0,52000000.0,58000000.0,58000000.0,7000000.0,0.44,119000000.0,9000000.0,63000000.0,1927000000.0,0.44,312000000.0,65000000.0,1990000000.0,0.0,131839945.0,0.0,5.0,0.0189452124935996,1.0,1.09199120986449,10374000000.0,1.0,15.0940596948823,0.833333333333333,0.448670316777474,0.0453335287364744,78.6863192335221,0.0139386429349255
