,year,quarter,date,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,2806000000.0,884000000.0,17615000000.0,0.0,1072000000.0,167000000.0,24772000000.0,117000000.0,0.0,10952000000.0,14809000000.0,21415000000.0,422461187.0,425000000.0,2217000000.0,496000000.0,6954000000.0,12846000000.0,10422000000.0,10255000000.0,1468000000.0,-16000000.0,3357000000.0,425000000.0,7155000000.0,0.0,-230000000.0,-343000000.0,-1959000000.0,7000000.0,1029000000.0,4000000.0,51000000.0,-2669000000.0,686000000.0,-323000000.0,0.0,-2439000000.0,419000000.0,3000000.0,0.0,416000000.0,0.0,3861000000.0,516000000.0,97000000.0,390000000.0,390000000.0,0.0,0.92,613000000.0,126000000.0,680000000.0,849000000.0,0.92,1032000000.0,390000000.0,1529000000.0,2332000000.0,422461187.0,0.0,5.0,-0.0267204436601967,0.396011396011396,1.19636493228795,7157000000.0,0.396011396011396,9.13930112117021,-0.213675213675214,1.43326345213138,0.216103672326525,16.941201275373,0.056625780720897
1,2020,2,2020-06-30 00:00:00+00:00,5772000000.0,904000000.0,19726000000.0,0.0,3045000000.0,3190000000.0,26619000000.0,118000000.0,0.0,10795000000.0,13954000000.0,21513000000.0,422025023.0,439000000.0,2107000000.0,494000000.0,6984000000.0,12917000000.0,12788000000.0,9598000000.0,1367000000.0,-41000000.0,5106000000.0,439000000.0,6891000000.0,0.0,-230000000.0,-436000000.0,-465000000.0,11000000.0,856000000.0,1000000.0,10000000.0,-907000000.0,420000000.0,-415000000.0,0.0,-680000000.0,414000000.0,3000000.0,0.0,377000000.0,0.0,3561000000.0,395000000.0,119000000.0,307000000.0,307000000.0,0.0,0.73,514000000.0,88000000.0,527000000.0,854000000.0,0.72,928000000.0,307000000.0,1381000000.0,2180000000.0,422025023.0,0.0,5.0,-0.0975671566142929,0.387812412243752,0.884615384615385,6893000000.0,0.387812412243752,8.43788829080877,-0.188888888888889,1.39283122913946,0.234292574671663,16.3331547286001,0.0592734401605169
2,2020,1,2020-03-31 00:00:00+00:00,3070000000.0,1031000000.0,20433000000.0,0.0,3511000000.0,387000000.0,27178000000.0,116000000.0,0.0,10718000000.0,17363000000.0,21543000000.0,424708758.0,451000000.0,2168000000.0,497000000.0,6992000000.0,12900000000.0,13452000000.0,13065000000.0,1387000000.0,-91000000.0,5635000000.0,451000000.0,6743000000.0,0.0,-236000000.0,-459000000.0,-410000000.0,-371000000.0,765000000.0,-4000000.0,13000000.0,-668000000.0,306000000.0,-503000000.0,0.0,-25000000.0,402000000.0,11000000.0,0.0,425000000.0,0.0,3729000000.0,435000000.0,112000000.0,361000000.0,361000000.0,0.0,0.85,547000000.0,74000000.0,573000000.0,827000000.0,0.85,949000000.0,361000000.0,1400000000.0,2329000000.0,424708758.0,0.0,3.0,0.0089285714285714,0.375435773665862,1.83550488599349,6745000000.0,0.375435773665862,8.78013445628074,0.0365853658536586,1.93756488209996,0.248909910575715,15.8814714152893,0.0623611316841949
3,2019,4,2019-12-31 00:00:00+00:00,3144000000.0,1065000000.0,20673000000.0,0.0,3874000000.0,218000000.0,27743000000.0,106000000.0,0.0,10592000000.0,17529000000.0,21534000000.0,424241200.0,483000000.0,2319000000.0,534000000.0,7053000000.0,12893000000.0,13498000000.0,13280000000.0,1407000000.0,-8000000.0,6209000000.0,483000000.0,7068000000.0,0.0,-218000000.0,-286000000.0,627000000.0,7000000.0,1022000000.0,1000000.0,24000000.0,-116000000.0,736000000.0,-280000000.0,0.0,94000000.0,395000000.0,12000000.0,0.0,445000000.0,0.0,3846000000.0,531000000.0,110000000.0,447000000.0,447000000.0,0.0,1.05,641000000.0,84000000.0,655000000.0,877000000.0,1.05,1036000000.0,447000000.0,1532000000.0,2314000000.0,424241200.0,0.0,6.0,0.00104112441436754,0.398335933437337,1.9748727735369,7070000000.0,0.398335933437337,9.0655975892959,-0.16,1.87889077532541,0.249869080571557,16.6650480905673,0.0641007187341068
5,2019,3,2019-09-30 00:00:00+00:00,2989000000.0,903000000.0,20322000000.0,0.0,3251000000.0,211000000.0,27109000000.0,109000000.0,0.0,10364000000.0,17333000000.0,21549000000.0,424232181.0,494000000.0,2280000000.0,517000000.0,7093000000.0,12805000000.0,13358000000.0,13147000000.0,1331000000.0,-33000000.0,5560000000.0,494000000.0,6785000000.0,0.0,-218000000.0,-483000000.0,678000000.0,15000000.0,952000000.0,-1000000.0,19000000.0,258000000.0,469000000.0,-531000000.0,0.0,470000000.0,404000000.0,-64000000.0,0.0,386000000.0,0.0,3967000000.0,615000000.0,105000000.0,495000000.0,495000000.0,0.0,1.17,720000000.0,120000000.0,734000000.0,792000000.0,1.16,1124000000.0,495000000.0,1526000000.0,2441000000.0,424232181.0,0.0,6.0,0.0379382522239664,0.384673556843963,1.86015389762462,6787000000.0,0.384673556843963,9.35101149245441,0.00862068965517238,1.9376565954311,0.270459889749817,15.9983148473123,0.0707843176819548
6,2019,2,2019-06-30 00:00:00+00:00,2846000000.0,908000000.0,19519000000.0,0.0,2604000000.0,116000000.0,25986000000.0,104000000.0,0.0,10088000000.0,16673000000.0,21150000000.0,424759439.0,333000000.0,2260000000.0,526000000.0,7059000000.0,12665000000.0,12739000000.0,12623000000.0,1289000000.0,-22000000.0,4836000000.0,333000000.0,6466000000.0,0.0,-217000000.0,-578000000.0,2027000000.0,-160000000.0,1010000000.0,2000000.0,16000000.0,1780000000.0,432000000.0,-765000000.0,0.0,2200000000.0,409000000.0,-38000000.0,0.0,391000000.0,0.0,3946000000.0,496000000.0,100000000.0,381000000.0,381000000.0,1000000.0,0.9,596000000.0,115000000.0,696000000.0,807000000.0,0.89,1005000000.0,382000000.0,1503000000.0,2443000000.0,424759439.0,0.0,6.0,0.0553623963626637,0.380892042574759,1.69922698524245,6467000000.0,0.380892042574759,9.28996424256036,-0.224137931034483,1.95221156820291,0.27690490253987,15.2250883823208,0.0743340380549683
7,2019,1,2019-03-31 00:00:00+00:00,3612000000.0,899000000.0,16956000000.0,0.0,423000000.0,1043000000.0,23373000000.0,105000000.0,0.0,9924000000.0,13344000000.0,20885000000.0,423779540.0,334000000.0,2081000000.0,512000000.0,7049000000.0,12390000000.0,10366000000.0,9323000000.0,1297000000.0,-53000000.0,2488000000.0,334000000.0,6415000000.0,0.0,-223000000.0,-471000000.0,132000000.0,-43000000.0,890000000.0,0.0,27000000.0,42000000.0,419000000.0,-800000000.0,0.0,301000000.0,366000000.0,-382000000.0,0.0,409000000.0,0.0,3696000000.0,462000000.0,96000000.0,347000000.0,347000000.0,0.0,0.82,558000000.0,115000000.0,621000000.0,777000000.0,0.81,924000000.0,347000000.0,1398000000.0,2298000000.0,423779540.0,0.0,5.0,0.0526915408715465,0.378246753246753,0.688815060908084,6417000000.0,0.378246753246753,8.72151590895587,-0.098901098901099,1.45331254871395,0.300364247688428,15.1423072477732,0.082800017654588
8,2018,4,2018-12-31 00:00:00+00:00,3108000000.0,1037000000.0,16374000000.0,0.0,357000000.0,432000000.0,22650000000.0,102000000.0,0.0,9797000000.0,13266000000.0,20005000000.0,426347027.0,406000000.0,2275000000.0,522000000.0,7002000000.0,11942000000.0,10026000000.0,9594000000.0,1291000000.0,-87000000.0,2645000000.0,406000000.0,6275000000.0,0.0,-197000000.0,-454000000.0,-247000000.0,-247000000.0,912000000.0,-3000000.0,26000000.0,-493000000.0,458000000.0,-663000000.0,0.0,-46000000.0,370000000.0,-16000000.0,0.0,370000000.0,0.0,3842000000.0,659000000.0,97000000.0,531000000.0,531000000.0,0.0,1.25,756000000.0,128000000.0,767000000.0,696000000.0,1.23,1126000000.0,531000000.0,1463000000.0,2379000000.0,426347027.0,0.0,6.0,0.0520262869660459,0.380791254554919,0.851029601029601,6276000000.0,0.380791254554919,9.01143846840991,-0.396135265700483,1.52892430278884,0.312855517633675,14.7204028703125,0.0861673436957957
10,2018,3,2018-09-30 00:00:00+00:00,3070000000.0,940000000.0,16350000000.0,0.0,477000000.0,447000000.0,22591000000.0,103000000.0,0.0,9464000000.0,13280000000.0,19916000000.0,428716960.0,419000000.0,2342000000.0,512000000.0,6944000000.0,11815000000.0,10016000000.0,9569000000.0,1245000000.0,-16000000.0,2675000000.0,419000000.0,6239000000.0,0.0,-199000000.0,-404000000.0,11000000.0,-188000000.0,874000000.0,1000000.0,22000000.0,-368000000.0,470000000.0,-496000000.0,0.0,29000000.0,376000000.0,-69000000.0,0.0,345000000.0,0.0,3822000000.0,598000000.0,93000000.0,499000000.0,499000000.0,-1000000.0,1.16,691000000.0,99000000.0,699000000.0,750000000.0,1.16,1067000000.0,498000000.0,1449000000.0,2373000000.0,428716960.0,0.0,6.0,0.0285252960172229,0.379120879120879,0.871335504885994,6241000000.0,0.379120879120879,8.91497271299927,0.318181818181818,1.53373938131111,0.377237641648875,14.5573900318756,0.103772306302236
11,2018,2,2018-06-30 00:00:00+00:00,3305000000.0,829000000.0,15958000000.0,0.0,466000000.0,828000000.0,22014000000.0,100000000.0,0.0,9166000000.0,12653000000.0,19543000000.0,431283814.0,254000000.0,2189000000.0,517000000.0,6899000000.0,11625000000.0,9796000000.0,8968000000.0,1250000000.0,-49000000.0,2471000000.0,254000000.0,6054000000.0,0.0,-200000000.0,-436000000.0,-7000000.0,-290000000.0,975000000.0,0.0,18000000.0,-609000000.0,539000000.0,-373000000.0,0.0,-122000000.0,384000000.0,65000000.0,0.0,365000000.0,0.0,3739000000.0,609000000.0,93000000.0,499000000.0,499000000.0,0.0,1.16,702000000.0,110000000.0,715000000.0,711000000.0,1.15,1086000000.0,499000000.0,1426000000.0,2313000000.0,431283814.0,0.0,6.0,0.0168615719336416,0.381385397165017,0.747655068078669,6056000000.0,0.381385397165017,8.66946516105518,0.414634146341463,1.4813346547737,0.373413122462065,14.0417975435545,0.100531657805703
