,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,29422000000.0,21951000000.0,29107000000.0,7531000000.0,27561000000.0,-12376000000.0,432000000.0,157000000.0,0.0,1011000000.0,-160000000.0,1403000000.0,5176000000.0,5176000000.0,0.0,44320000000.0,42917000000.0,1861000000.0,0.0,1846000000.0,22383000000.0,464000000.0,0.0,70000000.0,1213558476.0,12065000000.0,15000000.0,121000000.0,-412000000.0,452000000.0,0.0,3000000.0,426000000.0,0.0,-1103000000.0,-84000000.0,-485000000.0,-1063000000.0,-331000000.0,-571000000.0,1215335000.0,1144000000.0,718000000.0,0.25,555000000.0,1196000000.0,0.25,420000000.0,14000000.0,641000000.0,111000000.0,309000000.0,298000000.0,1213912000.0,323000000.0,737000000.0,114000000.0,1933000000.0,308000000.0,1000000.0,0.0,0.0,5.0,-0.0330165082541271,0.618727366787377,0.753895754970446,14898000000.0,0.618727366787377,1.59283630597789,0.388888888888889,1.81939494405305,0.0172820738488619,12.2762934746294,0.00479116296608478
1,2020,2,2020-06-30 00:00:00+00:00,30263000000.0,22323000000.0,29137000000.0,7609000000.0,27825000000.0,-12197000000.0,626000000.0,134000000.0,0.0,907000000.0,-176000000.0,2338000000.0,5155000000.0,5155000000.0,0.0,45343000000.0,43005000000.0,2438000000.0,0.0,1729000000.0,22949000000.0,769000000.0,0.0,1133000000.0,1213196974.0,12212000000.0,15000000.0,828000000.0,-341000000.0,1143000000.0,0.0,0.0,430000000.0,0.0,-69000000.0,-36000000.0,-486000000.0,733000000.0,-315000000.0,469000000.0,1214581000.0,1149000000.0,719000000.0,0.25,563000000.0,1175000000.0,0.25,420000000.0,12000000.0,612000000.0,117000000.0,303000000.0,299000000.0,1213601000.0,315000000.0,606000000.0,127000000.0,1781000000.0,303000000.0,0.0,0.0,0.0,5.0,-0.127388535031847,0.659741718135879,0.958982772764561,15080000000.0,0.659741718135879,1.46802212515245,-0.0384615384615385,1.8279561087455,0.00993210475266731,12.429968358955,0.00280866517090618
2,2020,1,2020-03-31 00:00:00+00:00,29370000000.0,21848000000.0,29141000000.0,7688000000.0,27254000000.0,-12013000000.0,628000000.0,105000000.0,0.0,930000000.0,-205000000.0,1565000000.0,5179000000.0,5179000000.0,0.0,44629000000.0,43064000000.0,2116000000.0,0.0,1602000000.0,22476000000.0,359000000.0,0.0,400000000.0,1212494859.0,12354000000.0,9000000.0,492000000.0,-329000000.0,787000000.0,0.0,6000000.0,429000000.0,0.0,-347000000.0,-30000000.0,-485000000.0,111000000.0,-295000000.0,184000000.0,1213019000.0,9000000.0,-420000000.0,-0.43,736000000.0,1167000000.0,-0.43,-721000000.0,-53000000.0,431000000.0,-204000000.0,-517000000.0,301000000.0,1213019000.0,-570000000.0,746000000.0,113000000.0,1913000000.0,-518000000.0,1000000.0,0.0,0.0,5.0,-0.0686465433300877,0.610036591740721,0.739603024574669,15259000000.0,0.610036591740721,1.57773864837476,-3.6875,1.7684960336733,0.0101530477945324,12.5847956275747,0.0029434369532157
3,2019,4,2019-12-31 00:00:00+00:00,29676000000.0,20148000000.0,29200000000.0,7959000000.0,25708000000.0,-11002000000.0,2140000000.0,125000000.0,0.0,996000000.0,-199000000.0,1580000000.0,6235000000.0,6235000000.0,0.0,46040000000.0,44460000000.0,3968000000.0,0.0,1782000000.0,22288000000.0,552000000.0,0.0,289000000.0,1212048836.0,13363000000.0,13000000.0,606000000.0,-483000000.0,991000000.0,0.0,0.0,439000000.0,-2000000.0,-466000000.0,-92000000.0,-460000000.0,42000000.0,-385000000.0,26000000.0,1214215000.0,957000000.0,518000000.0,0.1,955000000.0,1189000000.0,0.1,215000000.0,-190000000.0,234000000.0,91000000.0,124000000.0,303000000.0,1212334000.0,-66000000.0,918000000.0,148000000.0,2107000000.0,123000000.0,1000000.0,0.0,15000000.0,6.0,-0.044010889292196,0.564309444708116,0.398185483870968,16364000000.0,0.564309444708116,1.73837879911961,-1.15873015873016,1.50774526678141,0.0613345885079112,13.5011061550989,0.0183333333333333
5,2019,3,2019-09-30 00:00:00+00:00,29422000000.0,20719000000.0,29613000000.0,8041000000.0,26098000000.0,-10664000000.0,1538000000.0,129000000.0,0.0,875000000.0,-266000000.0,1434000000.0,6228000000.0,6228000000.0,0.0,46281000000.0,44847000000.0,3324000000.0,0.0,1651000000.0,22257000000.0,602000000.0,0.0,247000000.0,1212022398.0,13621000000.0,14000000.0,62000000.0,-920000000.0,858000000.0,0.0,4000000.0,435000000.0,-1000000.0,-497000000.0,-119000000.0,-461000000.0,-559000000.0,-796000000.0,-20000000.0,1214165000.0,1036000000.0,601000000.0,0.18,554000000.0,1182000000.0,0.18,298000000.0,21000000.0,628000000.0,77000000.0,221000000.0,303000000.0,1212270000.0,242000000.0,817000000.0,130000000.0,1999000000.0,220000000.0,1000000.0,0.0,0.0,6.0,-0.132001736864959,0.591295647823912,0.431407942238267,16859000000.0,0.591295647823912,1.64930945442809,0.384615384615385,1.52110711401512,0.0107543999292474,13.9098089505768,0.00330323477958514
6,2019,2,2019-06-30 00:00:00+00:00,29428000000.0,20711000000.0,29131000000.0,8123000000.0,26039000000.0,-10423000000.0,1563000000.0,134000000.0,0.0,879000000.0,-265000000.0,2028000000.0,6261000000.0,6261000000.0,0.0,46509000000.0,44481000000.0,3389000000.0,0.0,1567000000.0,22274000000.0,627000000.0,0.0,806000000.0,1211770224.0,13848000000.0,16000000.0,569000000.0,-166000000.0,1069000000.0,0.0,0.0,424000000.0,0.0,-140000000.0,342000000.0,-461000000.0,763000000.0,-500000000.0,-1010000000.0,1214065000.0,1138000000.0,714000000.0,0.26,649000000.0,1147000000.0,0.26,408000000.0,14000000.0,498000000.0,98000000.0,310000000.0,306000000.0,1212045000.0,324000000.0,894000000.0,152000000.0,2041000000.0,310000000.0,0.0,0.0,0.0,6.0,-0.0239120038259206,0.561979421852033,0.598406609619357,17081000000.0,0.561979421852033,1.68431271834915,0.625,1.49559503177354,0.00416922971772264,14.0959066840381,0.00131938962008068
7,2019,1,2019-03-31 00:00:00+00:00,30245000000.0,20703000000.0,29081000000.0,8096000000.0,26076000000.0,-10270000000.0,2575000000.0,129000000.0,0.0,929000000.0,-267000000.0,1287000000.0,6544000000.0,6544000000.0,0.0,45970000000.0,44683000000.0,4169000000.0,0.0,1601000000.0,23278000000.0,620000000.0,0.0,43000000.0,1210981263.0,14406000000.0,14000000.0,359000000.0,-1258000000.0,775000000.0,0.0,6000000.0,416000000.0,-727000000.0,358000000.0,-99000000.0,-460000000.0,-125000000.0,-416000000.0,858000000.0,1213592000.0,986000000.0,570000000.0,0.16,588000000.0,1149000000.0,0.16,264000000.0,19000000.0,561000000.0,69000000.0,195000000.0,306000000.0,1211489000.0,214000000.0,905000000.0,128000000.0,2054000000.0,194000000.0,1000000.0,0.0,0.0,5.0,-0.0162835249042146,0.559396299902629,0.308707124010554,15725000000.0,0.559396299902629,1.69614515332101,-0.111111111111111,1.43710953769263,-0.00844116177042261,12.9853371645437,-0.00246754582005314
8,2018,4,2018-12-31 00:00:00+00:00,29305000000.0,22367000000.0,27504000000.0,7767000000.0,27494000000.0,-10002000000.0,47000000.0,130000000.0,0.0,992000000.0,-270000000.0,1464000000.0,7821000000.0,7821000000.0,0.0,45302000000.0,43838000000.0,1811000000.0,0.0,1524000000.0,22414000000.0,662000000.0,0.0,168000000.0,1210542031.0,14660000000.0,12000000.0,376000000.0,258000000.0,962000000.0,0.0,0.0,435000000.0,1296000000.0,-1094000000.0,-329000000.0,-412000000.0,126000000.0,-586000000.0,-645000000.0,973626000.0,9000000.0,-426000000.0,-0.63,1751000000.0,1117000000.0,-0.62,-730000000.0,25000000.0,-634000000.0,-159000000.0,-571000000.0,304000000.0,973626000.0,-546000000.0,1087000000.0,133000000.0,2204000000.0,-572000000.0,1000000.0,0.0,0.0,4.0,-0.0107719928186715,0.506805807622504,0.808393152954169,15997000000.0,0.506805807622504,1.82067201597232,-1.30882352941176,1.52571623465211,-0.0127118644067797,13.2147414879806,-0.00335698645907866
10,2018,3,2018-09-30 00:00:00+00:00,30194000000.0,21409000000.0,28674000000.0,8324000000.0,27433000000.0,-9018000000.0,856000000.0,153000000.0,0.0,883000000.0,-291000000.0,1984000000.0,7427000000.0,7427000000.0,0.0,47153000000.0,45169000000.0,2761000000.0,0.0,1648000000.0,22265000000.0,739000000.0,0.0,42000000.0,827973071.0,15610000000.0,13000000.0,28000000.0,-1314000000.0,746000000.0,0.0,4000000.0,425000000.0,0.0,335000000.0,-712000000.0,-411000000.0,-233000000.0,-718000000.0,939000000.0,1026504000.0,1030000000.0,605000000.0,0.13,593000000.0,1094000000.0,0.13,319000000.0,71000000.0,501000000.0,190000000.0,129000000.0,286000000.0,1023587000.0,200000000.0,1209000000.0,174000000.0,2303000000.0,129000000.0,0.0,0.0,0.0,5.0,0.217874140666314,0.475032566217977,0.71858022455632,16959000000.0,0.475032566217977,2.78149142848149,2.25,1.37149263292761,0.190817530169676,20.4825502108631,0.0450005617045862
11,2018,2,2018-06-30 00:00:00+00:00,30927000000.0,21313000000.0,28953000000.0,8406000000.0,28969000000.0,-8735000000.0,2000000.0,153000000.0,0.0,844000000.0,-293000000.0,1541000000.0,6810000000.0,6810000000.0,0.0,46374000000.0,44833000000.0,1958000000.0,0.0,3267000000.0,21315000000.0,893000000.0,0.0,275000000.0,827610837.0,9345000000.0,16000000.0,111000000.0,-871000000.0,891000000.0,0.0,1000000.0,434000000.0,0.0,-1037000000.0,-70000000.0,-282000000.0,-1017000000.0,-780000000.0,-570000000.0,830107000.0,909000000.0,475000000.0,0.16,631000000.0,1041000000.0,0.16,187000000.0,134000000.0,410000000.0,52000000.0,135000000.0,288000000.0,827868000.0,269000000.0,1050000000.0,130000000.0,2091000000.0,135000000.0,0.0,0.0,0.0,3.0,0.0867983367983367,0.497847919655667,0.787027579162411,15447000000.0,0.497847919655667,2.52654980640376,0.6,2.28068485821295,0.219446190853675,18.6645695167474,0.0431849724042217
