,year,quarter,date,statementData.balanceSheet.acctPay,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.accoci,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsNonCurrent,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebit,statementData.incomeStatement.sga,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2021,3,2020-10-31 00:00:00+00:00,54152000000.0,5770000000.0,51842000000.0,-14616000000.0,61581000000.0,68478000000.0,0.0,14325000000.0,14205000000.0,0.0,92279000000.0,0.0,81431000000.0,6897000000.0,250863000000.0,124289000000.0,0.0,163359000000.0,73602000000.0,75238000000.0,0.0,0.0,30236000000.0,88121000000.0,2833752938.0,177261000000.0,3924000000.0,-1318000000.0,-101000000.0,1071000000.0,-3526000000.0,-2576000000.0,2771000000.0,-2873000000.0,-463000000.0,0.0,-1524000000.0,0.0,-2853000000.0,7000000.0,541000000.0,100339000000.0,28591000000.0,66000000.0,5778000000.0,2833000000.0,2849000000.0,1.8,7049000000.0,5135000000.0,1.81,5135000000.0,34369000000.0,5201000000.0,0.0,134708000000.0,0.0,1914000000.0,10361000000.0,0.0,7590000000.0,28591000000.0,0.0824617389560917,0.0524802525177552,87504000000.0,0.83523791150804,0.560344827586207,0.255137037147014,47.5369599775603,0.756235340349498,0.255137037147014,30.8791916283846,8.0,0.263534123143668
1,2021,2,2020-07-31 00:00:00+00:00,46326000000.0,5111000000.0,41084000000.0,-15784000000.0,61301000000.0,69494000000.0,0.0,16906000000.0,13537000000.0,0.0,87614000000.0,0.0,75310000000.0,8193000000.0,237382000000.0,122894000000.0,0.0,156185000000.0,64996000000.0,74228000000.0,0.0,0.0,29542000000.0,81957000000.0,2831953450.0,172386000000.0,11939000000.0,-6657000000.0,346000000.0,10145000000.0,-8379000000.0,1968000000.0,2771000000.0,-1938000000.0,0.0,0.0,-1529000000.0,0.0,-1794000000.0,-165000000.0,658000000.0,102689000000.0,28994000000.0,-37000000.0,6059000000.0,2832000000.0,2848000000.0,2.27,8683000000.0,6476000000.0,2.29,6476000000.0,35053000000.0,6439000000.0,0.0,137742000000.0,0.0,2207000000.0,12112000000.0,0.0,9341000000.0,28994000000.0,0.0756180811515753,0.0564900250811109,81197000000.0,0.793050014031748,0.803149606299213,0.254483018977509,48.6385113427624,0.813982206878237,0.254483018977509,28.6717283435573,8.0,0.246939986476603
2,2021,1,2020-04-30 00:00:00+00:00,44096000000.0,5029000000.0,41217000000.0,-16168000000.0,63149000000.0,75432000000.0,0.0,14930000000.0,14289000000.0,0.0,81141000000.0,0.0,68240000000.0,12283000000.0,232892000000.0,123378000000.0,0.0,158782000000.0,63328000000.0,76135000000.0,0.0,0.0,29416000000.0,82647000000.0,2832277220.0,169564000000.0,7017000000.0,3542000000.0,-415000000.0,5325000000.0,565000000.0,5471000000.0,2791000000.0,-1696000000.0,-723000000.0,0.0,-1529000000.0,0.0,-1692000000.0,-10000000.0,592000000.0,102026000000.0,27372000000.0,84000000.0,5224000000.0,2831000000.0,2849000000.0,1.4,5312000000.0,3990000000.0,1.41,3990000000.0,32596000000.0,4074000000.0,0.0,134622000000.0,0.0,1322000000.0,8695000000.0,0.0,5904000000.0,27372000000.0,0.0636769419475933,0.0863183377042567,74110000000.0,0.76624680871659,0.0522388059701491,0.242129815334789,47.5313641791039,0.925395662368113,0.242129815334789,26.1662239404658,6.0,0.211018481141513
3,2020,4,2020-01-31 00:00:00+00:00,46973000000.0,6284000000.0,44435000000.0,-12805000000.0,64192000000.0,72433000000.0,0.0,9465000000.0,13241000000.0,0.0,83943000000.0,0.0,74669000000.0,8241000000.0,236495000000.0,127049000000.0,0.0,154943000000.0,61806000000.0,77153000000.0,0.0,0.0,31073000000.0,77790000000.0,2837174936.0,174689000000.0,10716000000.0,-4374000000.0,97000000.0,7879000000.0,-7086000000.0,884000000.0,2828000000.0,-2843000000.0,-888000000.0,0.0,-1503000000.0,0.0,-2837000000.0,0.0,652000000.0,107748000000.0,28601000000.0,153000000.0,5322000000.0,2835000000.0,2856000000.0,1.45,5520000000.0,4141000000.0,1.46,4141000000.0,33923000000.0,4294000000.0,0.0,141671000000.0,0.0,1379000000.0,9000000000.0,0.0,6172000000.0,28601000000.0,0.0629397396719994,0.0207359160764591,81552000000.0,0.794523717701504,0.149606299212598,0.239449146261408,49.9338261459955,0.859687420482396,0.239449146261408,28.7440858740196,7.0,0.208966122520625
5,2020,3,2019-10-31 00:00:00+00:00,49750000000.0,5612000000.0,51546000000.0,-12382000000.0,64721000000.0,75948000000.0,0.0,8606000000.0,13345000000.0,0.0,80656000000.0,0.0,71649000000.0,11227000000.0,239830000000.0,125425000000.0,0.0,161523000000.0,67912000000.0,77739000000.0,0.0,0.0,30716000000.0,83784000000.0,2844284080.0,171918000000.0,3354000000.0,1254000000.0,100000000.0,550000000.0,-1682000000.0,-689000000.0,2723000000.0,-2461000000.0,-1122000000.0,0.0,-1509000000.0,0.0,-2804000000.0,0.0,633000000.0,95900000000.0,27373000000.0,33000000.0,4718000000.0,2843000000.0,2861000000.0,1.15,4340000000.0,3288000000.0,1.16,3288000000.0,32091000000.0,3321000000.0,0.0,127991000000.0,0.0,1052000000.0,7696000000.0,0.0,4973000000.0,27373000000.0,0.0621498497625279,0.0247970278796419,78307000000.0,0.810560488876158,1.0,0.250728566852357,44.9993729177713,0.903306396460523,0.250728566852357,27.5313568537781,6.0,0.204148197412595
6,2020,2,2019-07-31 00:00:00+00:00,45871000000.0,5382000000.0,44134000000.0,-11270000000.0,64398000000.0,74709000000.0,0.0,9283000000.0,13436000000.0,0.0,78432000000.0,0.0,70327000000.0,10311000000.0,234861000000.0,125862000000.0,0.0,157730000000.0,61371000000.0,77447000000.0,0.0,0.0,31454000000.0,80283000000.0,2854722137.0,173490000000.0,7622000000.0,-1166000000.0,-220000000.0,5042000000.0,-4685000000.0,28000000.0,2722000000.0,-2689000000.0,-1572000000.0,0.0,-1516000000.0,0.0,-2580000000.0,0.0,641000000.0,97923000000.0,26871000000.0,70000000.0,5583000000.0,2853000000.0,2869000000.0,1.26,4843000000.0,3610000000.0,1.27,3610000000.0,32454000000.0,3680000000.0,0.0,130377000000.0,0.0,1233000000.0,8206000000.0,0.0,5484000000.0,26871000000.0,0.0561531242249665,0.018347548973662,77131000000.0,0.764433317140615,-5.37931034482759,0.24892427345314,45.6706445472174,0.915693830250117,0.24892427345314,27.0187416842804,5.0,0.181595907060885
7,2020,1,2019-04-30 00:00:00+00:00,45110000000.0,5342000000.0,44751000000.0,-11091000000.0,66954000000.0,75429000000.0,0.0,9255000000.0,13521000000.0,0.0,76276000000.0,0.0,68205000000.0,8475000000.0,234544000000.0,125241000000.0,0.0,159634000000.0,61739000000.0,79746000000.0,0.0,0.0,31416000000.0,79888000000.0,2869684230.0,172805000000.0,3563000000.0,3215000000.0,-46000000.0,1400000000.0,-846000000.0,1536000000.0,2714000000.0,-1135000000.0,-2135000000.0,0.0,-1520000000.0,0.0,-2163000000.0,777000000.0,673000000.0,93034000000.0,25946000000.0,64000000.0,4945000000.0,2869000000.0,2886000000.0,1.33,5093000000.0,3842000000.0,1.34,3842000000.0,30891000000.0,3906000000.0,0.0,123925000000.0,0.0,1251000000.0,8480000000.0,0.0,5766000000.0,25946000000.0,0.0378032767652885,0.0100660200505338,74910000000.0,0.772819447226117,0.861111111111111,0.249271736937664,43.1841938233044,0.981658236199692,0.249271736937664,26.1039173637582,4.0,0.118049048548341
8,2019,4,2019-01-31 00:00:00+00:00,47060000000.0,6283000000.0,44269000000.0,-11542000000.0,50203000000.0,58033000000.0,0.0,7722000000.0,12409000000.0,0.0,80785000000.0,0.0,72496000000.0,7830000000.0,219295000000.0,111395000000.0,0.0,139661000000.0,61897000000.0,62184000000.0,0.0,0.0,31181000000.0,77477000000.0,2905260059.0,157398000000.0,10445000000.0,-3377000000.0,47000000.0,7326000000.0,-8458000000.0,-1448000000.0,2731000000.0,-3482000000.0,-3249000000.0,0.0,-1505000000.0,0.0,-3119000000.0,-511000000.0,669000000.0,104907000000.0,27819000000.0,126000000.0,6067000000.0,2896000000.0,2912000000.0,1.25,5538000000.0,3687000000.0,1.27,3687000000.0,33886000000.0,3813000000.0,0.0,138793000000.0,0.0,1851000000.0,8938000000.0,0.0,6207000000.0,27819000000.0,0.0311366874905907,0.01853713665084,79634000000.0,0.798908063038063,0.73972602739726,0.244147759613237,47.773003855556,0.692493378945045,0.244147759613237,27.4102828603269,7.0,0.0916117556974065
10,2019,3,2018-10-31 00:00:00+00:00,49729000000.0,5785000000.0,50380000000.0,-11469000000.0,49896000000.0,60991000000.0,0.0,9174000000.0,12083000000.0,0.0,80287000000.0,0.0,71996000000.0,11095000000.0,226583000000.0,111349000000.0,0.0,147114000000.0,69446000000.0,61363000000.0,0.0,0.0,31044000000.0,85751000000.0,2928734576.0,157137000000.0,6213000000.0,7372000000.0,-186000000.0,3584000000.0,3441000000.0,-6658000000.0,2615000000.0,-16126000000.0,-2317000000.0,0.0,-1530000000.0,0.0,-2629000000.0,-13269000000.0,593000000.0,93116000000.0,26792000000.0,107000000.0,4986000000.0,2924000000.0,2941000000.0,0.58,2469000000.0,1710000000.0,0.58,1710000000.0,31778000000.0,1817000000.0,0.0,124894000000.0,0.0,759000000.0,5677000000.0,0.0,3062000000.0,26792000000.0,0.0245008276985705,0.013922827754731,79469000000.0,0.809856444822801,-0.0169491525423729,0.254439764920653,42.6443560380871,0.693038502139008,0.254439764920653,27.1342444792443,4.0,0.0695612302007404
11,2019,2,2018-07-31 00:00:00+00:00,43128000000.0,5002000000.0,41985000000.0,-12629000000.0,51568000000.0,53796000000.0,0.0,15840000000.0,9423000000.0,0.0,80810000000.0,0.0,71185000000.0,2228000000.0,206062000000.0,111017000000.0,0.0,132250000000.0,66370000000.0,60567000000.0,0.0,0.0,17840000000.0,71683000000.0,2950844393.0,139692000000.0,5934000000.0,8060000000.0,-442000000.0,3477000000.0,4966000000.0,7712000000.0,2654000000.0,-2746000000.0,-1305000000.0,0.0,-1534000000.0,0.0,-2457000000.0,0.0,554000000.0,95571000000.0,26707000000.0,134000000.0,5750000000.0,2946000000.0,2946000000.0,-0.29,264000000.0,-861000000.0,-0.29,-861000000.0,32457000000.0,-727000000.0,0.0,128028000000.0,0.0,1125000000.0,3472000000.0,0.0,818000000.0,26707000000.0,0.0251998666545444,0.0378825341494062,73812000000.0,0.925882008286484,-1.30208333333333,0.253514856125223,43.3869031873413,0.724422279974714,0.253514856125223,25.0138571098825,6.0,0.0691203021768839
