,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,863900000.0,313300000.0,950900000.0,139900000.0,416200000.0,1773400000.0,12200000.0,294900000.0,0.0,373000000.0,-159500000.0,1238300000.0,209600000.0,209600000.0,22300000.0,2582800000.0,1344500000.0,447700000.0,0.0,34700000.0,325500000.0,180300000.0,0.0,519400000.0,73840686.0,1718900000.0,9900000.0,71100000.0,-49100000.0,118600000.0,11200000.0,3600000.0,28400000.0,0.0,-7200000.0,0.0,-11900000.0,73500000.0,-47500000.0,-600000.0,75800000.0,133900000.0,105500000.0,1.11,95400000.0,194600000.0,1.09,103400000.0,0.0,99200000.0,21100000.0,82300000.0,2100000.0,73900000.0,82300000.0,353400000.0,76200000.0,548000000.0,82300000.0,0.0,12500000.0,0.0,8.0,0.201490901118176,0.355109489051095,2.76591467500558,1718900000.0,0.355109489051095,7.42138284034902,0.460526315789474,0.182267729361801,0.195160128979745,23.2784944603575,0.130377496601485
1,2020,2,2020-06-30 00:00:00+00:00,786000000.0,314800000.0,908300000.0,138800000.0,410800000.0,1703000000.0,12100000.0,274800000.0,0.0,340600000.0,-187800000.0,1110600000.0,199600000.0,199600000.0,13700000.0,2392300000.0,1281700000.0,375200000.0,0.0,29200000.0,326900000.0,162300000.0,0.0,445900000.0,73602233.0,1606300000.0,12300000.0,111000000.0,-40900000.0,148100000.0,4300000.0,9800000.0,26200000.0,0.0,-900000.0,0.0,-11800000.0,110600000.0,-37100000.0,-500000.0,75500000.0,135400000.0,109200000.0,1.24,91500000.0,195100000.0,1.21,107200000.0,0.0,103600000.0,16000000.0,91200000.0,2000000.0,73800000.0,91200000.0,332100000.0,77700000.0,527200000.0,91200000.0,0.0,10800000.0,0.0,8.0,0.122418565041516,0.370068285280728,2.96002132196162,1606300000.0,0.370068285280728,7.16282616045087,0.377777777777778,0.195978335304738,0.185600831533302,21.8240661258199,0.124838871774705
2,2020,1,2020-03-31 00:00:00+00:00,756300000.0,315600000.0,896800000.0,135000000.0,411900000.0,1611800000.0,11700000.0,251000000.0,0.0,333000000.0,-192300000.0,977500000.0,197700000.0,197700000.0,12300000.0,2246500000.0,1269000000.0,344400000.0,0.0,19500000.0,327300000.0,157900000.0,0.0,335300000.0,73837449.0,1490200000.0,5400000.0,25000000.0,-31900000.0,57100000.0,-8700000.0,-109200000.0,26000000.0,0.0,-120300000.0,0.0,-11800000.0,-103800000.0,-32100000.0,-600000.0,75500000.0,117300000.0,91300000.0,1.01,82500000.0,167000000.0,0.99,89300000.0,0.0,84500000.0,15000000.0,74300000.0,2000000.0,73900000.0,74300000.0,324500000.0,71800000.0,491500000.0,74300000.0,0.0,10700000.0,0.0,6.0,0.108229988726043,0.339776195320448,2.83826945412311,1490200000.0,0.339776195320448,6.65651382403528,0.346666666666667,0.211783653200913,0.173846333450076,20.1821707031076,0.117320007653262
3,2019,4,2019-12-31 00:00:00+00:00,768200000.0,317400000.0,909400000.0,137600000.0,426600000.0,1549400000.0,11900000.0,235700000.0,0.0,319300000.0,-149600000.0,1058700000.0,192700000.0,192700000.0,14000000.0,2341400000.0,1282700000.0,341600000.0,0.0,21900000.0,329300000.0,156800000.0,0.0,439100000.0,73990675.0,1573200000.0,5600000.0,68800000.0,-120600000.0,106400000.0,6300000.0,-400000.0,26300000.0,-85100000.0,51000000.0,0.0,-11800000.0,43100000.0,-37600000.0,61800000.0,75700000.0,108800000.0,82500000.0,0.87,77600000.0,153200000.0,0.85,80400000.0,0.0,75600000.0,16500000.0,63900000.0,2100000.0,74300000.0,63900000.0,317400000.0,69000000.0,470600000.0,63900000.0,0.0,10200000.0,0.0,5.0,0.113846153846154,0.325541861453464,3.09923887587822,1573200000.0,0.325541861453464,6.36026093828716,0.242857142857143,0.201754385964912,0.164550498689451,21.2621387762715,0.111449255314244
5,2019,3,2019-09-30 00:00:00+00:00,686400000.0,258600000.0,883400000.0,135300000.0,351400000.0,1497300000.0,9800000.0,230400000.0,0.0,316100000.0,-170400000.0,1004100000.0,97400000.0,97400000.0,33800000.0,2174000000.0,1169900000.0,335000000.0,0.0,29400000.0,268400000.0,145300000.0,0.0,396000000.0,73748615.0,1487600000.0,5400000.0,76400000.0,-31600000.0,108100000.0,-6800000.0,9300000.0,25300000.0,0.0,-400000.0,0.0,-11100000.0,69300000.0,-31700000.0,0.0,75500000.0,94600000.0,69300000.0,0.76,80500000.0,147800000.0,0.75,67200000.0,0.0,67300000.0,10900000.0,56300000.0,2100000.0,74000000.0,56300000.0,308300000.0,64800000.0,456100000.0,56300000.0,0.0,9300000.0,0.0,5.0,0.0565207319898078,0.324051743038807,2.99731343283582,1487600000.0,0.324051743038807,6.18452292290506,0.0133333333333334,0.173837052971229,0.161305606738615,20.1712262664187,0.110583111774118
6,2019,2,2019-06-30 00:00:00+00:00,678100000.0,262400000.0,897400000.0,137900000.0,364900000.0,1452900000.0,10200000.0,232300000.0,0.0,330800000.0,-152200000.0,944300000.0,95400000.0,95400000.0,27900000.0,2123200000.0,1178900000.0,313200000.0,0.0,18900000.0,272600000.0,152100000.0,0.0,326700000.0,73483687.0,1445100000.0,7200000.0,76800000.0,-47100000.0,105100000.0,100000.0,12900000.0,26300000.0,-18900000.0,3100000.0,0.0,-11100000.0,61200000.0,-28300000.0,-100000.0,75100000.0,109900000.0,83600000.0,0.9,77400000.0,157900000.0,0.88,81600000.0,0.0,80500000.0,15500000.0,66100000.0,2000000.0,73700000.0,66100000.0,311800000.0,70300000.0,469700000.0,66100000.0,0.0,9600000.0,0.0,7.0,0.049608938547486,0.336172024696615,3.01500638569604,1445100000.0,0.336172024696615,6.39189484327317,0.184210526315789,0.181579129472009,0.16445251406691,19.6655891803578,0.113156202068181
7,2019,1,2019-03-31 00:00:00+00:00,666700000.0,262900000.0,889900000.0,124700000.0,365600000.0,1398200000.0,10200000.0,226100000.0,0.0,318200000.0,-153400000.0,867600000.0,94900000.0,94900000.0,32700000.0,2036200000.0,1168600000.0,301100000.0,0.0,31600000.0,273100000.0,137700000.0,0.0,265500000.0,74186169.0,1369500000.0,6200000.0,18800000.0,-28700000.0,47600000.0,-300000.0,-79800000.0,25500000.0,0.0,-90500000.0,0.0,-11100000.0,-71900000.0,-28800000.0,-800000.0,75300000.0,99300000.0,73800000.0,0.75,78400000.0,146800000.0,0.73,71500000.0,0.0,68400000.0,16100000.0,55400000.0,2300000.0,74100000.0,55400000.0,296700000.0,68600000.0,443500000.0,55400000.0,0.0,9800000.0,0.0,5.0,0.0668751503488092,0.331003382187148,2.88143473928927,1369500000.0,0.331003382187148,5.97820329554961,0.271186440677966,0.191967871485944,0.162015001389018,18.4603143478133,0.111654264891703
8,2018,4,2018-12-31 00:00:00+00:00,582600000.0,196000000.0,822000000.0,126100000.0,298900000.0,1353400000.0,100000.0,214500000.0,0.0,288200000.0,-154200000.0,894400000.0,91200000.0,91200000.0,24700000.0,1978900000.0,1084500000.0,283700000.0,0.0,22900000.0,196100000.0,130400000.0,0.0,337400000.0,74079671.0,1396300000.0,400000.0,43200000.0,-28600000.0,73200000.0,3700000.0,1700000.0,26300000.0,0.0,-8200000.0,0.0,-11100000.0,40100000.0,-30000000.0,-100000.0,75400000.0,95500000.0,69200000.0,0.7,65500000.0,133200000.0,0.69,66900000.0,0.0,67700000.0,14900000.0,52000000.0,2300000.0,73900000.0,52000000.0,289300000.0,59700000.0,422500000.0,52000000.0,0.0,9800000.0,0.0,8.0,0.0166025024061598,0.315266272189349,3.15262601339443,1396300000.0,0.315266272189349,5.70331906576637,0.271186440677966,0.140370980448328,0.155117800311135,18.8486258261055,0.107924833405057
10,2018,3,2018-09-30 00:00:00+00:00,594300000.0,196200000.0,822000000.0,127300000.0,305500000.0,1312700000.0,0.0,206800000.0,0.0,302900000.0,-153800000.0,850100000.0,90500000.0,90500000.0,34500000.0,1946100000.0,1096000000.0,288800000.0,0.0,29400000.0,196200000.0,125200000.0,0.0,297300000.0,73538278.0,1351800000.0,5300000.0,61900000.0,-26500000.0,88400000.0,-200000.0,19200000.0,26200000.0,0.0,10100000.0,0.0,-10300000.0,71800000.0,-26500000.0,0.0,75700000.0,91400000.0,65200000.0,0.75,74800000.0,135600000.0,0.73,63200000.0,0.0,60800000.0,8000000.0,55200000.0,2000000.0,73900000.0,55200000.0,296100000.0,64900000.0,431700000.0,55200000.0,0.0,10100000.0,0.0,9.0,0.0841285786037167,0.31410701876303,2.9435595567867,1351800000.0,0.31410701876303,5.87041214100771,0.0869565217391306,0.145139813581891,0.118722336124471,18.3822634519672,0.0820423187945234
11,2018,2,2018-06-30 00:00:00+00:00,591800000.0,196400000.0,826700000.0,128300000.0,304200000.0,1258000000.0,0.0,208200000.0,0.0,296700000.0,-143700000.0,766900000.0,91800000.0,91800000.0,38500000.0,1873700000.0,1106800000.0,287600000.0,0.0,29700000.0,196400000.0,126200000.0,0.0,225500000.0,73577883.0,1281900000.0,6000000.0,61800000.0,-17000000.0,82000000.0,-13600000.0,-16700000.0,25500000.0,0.0,-25700000.0,0.0,-10300000.0,25700000.0,-20200000.0,0.0,75000000.0,89800000.0,64300000.0,0.76,80800000.0,142200000.0,0.75,62100000.0,0.0,61400000.0,6000000.0,56100000.0,2200000.0,73600000.0,56100000.0,305300000.0,70000000.0,447500000.0,56100000.0,0.0,10800000.0,0.0,8.0,0.125503018108652,0.317765363128492,2.66655076495132,1281900000.0,0.317765363128492,6.08199069821022,0.433962264150943,0.153210078789297,0.116280864197531,17.4223550302473,0.0799840774895509
12,2018,1,2018-03-31 00:00:00+00:00,564300000.0,198000000.0,857800000.0,131600000.0,300900000.0,1222800000.0,0.0,215700000.0,0.0,290400000.0,-95800000.0,743500000.0,89900000.0,89900000.0,24900000.0,1869600000.0,1126100000.0,263400000.0,0.0,25600000.0,198000000.0,127600000.0,0.0,199800000.0,73986496.0,1305300000.0,3400000.0,17000000.0,-28700000.0,45000000.0,4500000.0,-47600000.0,26400000.0,0.0,-56900000.0,0.0,-10400000.0,-36100000.0,-28000000.0,0.0,75500000.0,84400000.0,58000000.0,0.59,77900000.0,134400000.0,0.58,56100000.0,0.0,56500000.0,12500000.0,43600000.0,1900000.0,73900000.0,43600000.0,281300000.0,68300000.0,415700000.0,43600000.0,0.0,9600000.0,0.0,7.0,0.0722207892700542,0.323310079384171,2.82270311313592,1305300000.0,0.323310079384171,5.61859288484212,-0.289156626506024,0.15168926683521,0.103722422004082,17.6424086903643,0.0710916890937675
