,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,35.3,35.35,34.91,35.3,2881683,31.5967895791,31.6415442385,31.2477032353,31.5967895791,2881683,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,35.61,35.67,35.23,35.23,2766297,31.8742684677,31.9279740591,31.5341330558,31.5341330558,2766297,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,35.32,35.7,35.29,35.7,2719666,31.6146914428,31.9548268547,31.5878386472,31.9548268547,2719666,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,35.27,35.58,35.22,35.39,2910602,31.5699367834,31.847415672,31.5251821239,31.6773479661,2910602,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,35.5,35.58,35.27,35.3,2603894,31.7758082169,31.847415672,31.5699367834,31.5967895791,2603894,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,35.26,35.56,35.2,35.56,2518246,31.5609858515,31.8295138083,31.5072802601,31.8295138083,2518246,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,34.83,35.22,34.58,35.22,4519691,31.1760957801,31.5251821239,30.9523224828,31.5251821239,4519691,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,34.99,35.05,34.57,34.87,3396357,31.3193106904,31.3730162818,30.9433715509,31.2118995077,3396357,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,35.26,35.36,34.85,35.09,2891478,31.5609858515,31.6504951704,31.1939976439,31.4088200093,2891478,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,34.76,35.45,34.75,35.35,3871464,31.1134392569,31.7310535574,31.104488325,31.6415442385,3871464,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,35.21,35.3,34.78,34.88,3500066,31.516231192,31.5967895791,31.1313411207,31.2208504396,3500066,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,35.3,35.42,34.88,35.16,3005436,31.5967895791,31.7042007618,31.2208504396,31.4714765326,3005436,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,35.8,35.81,35.31,35.32,3541104,32.0443361737,32.0532871056,31.605740511,31.6146914428,3541104,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,35.98,36.15,35.78,35.85,3177888,32.2054529477,32.3576187899,32.0264343099,32.0890908331,3177888,0.0,1.0,24309623272.7513,29988623272.7513,46.7272727273,3.0518892486,-0.8878181818
14,2018-01-23 00:00:00+00:00,36.61,36.74,35.96,35.99,5109317,32.7693616569,32.8857237715,32.1875510839,32.2144038796,5109317,0.0,1.0,24735278154.959,30414278154.959,47.5454545455,3.1053269981,-0.9033636364
15,2018-01-24 00:00:00+00:00,37.59,37.66,36.75,36.98,8662444,33.6465529823,33.7092095056,32.8946747034,33.1005461369,8662444,0.0,1.0,25397407971.7266,31076407971.7266,48.8181818182,3.1884523862,-0.9275454545
16,2018-01-25 00:00:00+00:00,37.73,37.86,37.38,37.81,4612801,33.7718660288,33.8882281434,33.4585834126,33.843473484,4612801,0.0,1.0,25491997945.5505,31170997945.5505,49.0,3.2003274417,-0.931
17,2018-01-26 00:00:00+00:00,37.85,37.89,36.91,37.88,5932359,33.8792772115,33.9150809391,33.0378896137,33.9061300072,5932359,0.0,1.0,25573075065.971,31252075065.971,49.1558441558,3.2105060606,-0.933961039
18,2018-01-29 00:00:00+00:00,37.07,37.83,36.56,37.83,6059440,33.181104524,33.8613753478,32.7246069975,33.8613753478,6059440,0.0,1.0,25046073783.2376,30725073783.2376,48.1428571429,3.1443450374,-0.9147142857
19,2018-01-30 00:00:00+00:00,36.79,37.06,36.52,36.84,5239630,32.930478431,33.1721535921,32.6888032699,32.9752330904,5239630,0.0,1.0,24856893835.5897,30535893835.5897,47.7792207792,3.1205949266,-0.9078051948
20,2018-01-31 00:00:00+00:00,37.54,37.68,36.85,36.89,6418102,33.6017983229,33.7271113694,32.9841840223,33.0199877499,6418102,0.0,1.0,25363625838.218,31042625838.218,48.7532467532,3.184211295,-0.9263116883
21,2018-02-01 00:00:00+00:00,37.16,37.67,37.08,37.47,6208633,33.261662911,33.7181604375,33.1900554559,33.5391417996,6208633,0.0,1.0,25106881623.553,30785881623.553,48.2597402597,3.1519790017,-0.9169350649
22,2018-02-02 00:00:00+00:00,35.68,36.04,34.95,34.95,10381083,31.936924991,32.2591585391,31.2835069628,31.2835069628,10381083,0.0,1.0,24106930471.7,29785930471.7,46.3376623377,3.0264427013,-0.8804155844
23,2018-02-05 00:00:00+00:00,34.79,35.89,34.76,35.48,6963318,31.1402920526,32.1248945607,31.1134392569,31.7579063531,6963318,0.0,1.0,23505608495.2478,29184608495.2478,45.1818181818,2.9509512774,-0.8584545455
24,2018-02-06 00:00:00+00:00,34.68,34.85,33.68,34.19,6843788,31.0418318018,31.1939976439,30.1467386125,30.603236139,6843788,0.0,1.0,23431287801.529,29110287801.529,45.038961039,2.9416208767,-0.8557402597
25,2018-02-07 00:00:00+00:00,34.52,35.16,34.46,34.5,4079150,30.8986168915,31.4714765326,30.8449113001,30.8807150277,4079150,0.0,1.0,23323184974.3017,29002184974.3017,44.8311688312,2.9280493847,-0.8517922078
26,2018-02-08 00:00:00+00:00,33.6,34.67,33.6,34.42,5550335,30.0751311574,31.0328808699,30.0751311574,30.8091075726,5550335,0.0,1.0,22701593717.7444,28380593717.7444,43.6363636364,2.8500133061,-0.8290909091
27,2018-02-09 00:00:00+00:00,33.79,34.03,33.02,33.79,4764439,30.2451988634,30.4600212288,29.5559771077,30.2451988634,4764439,0.0,1.0,22829965825.0769,28508965825.0769,43.8831168831,2.8661294528,-0.8337792208
28,2018-02-12 00:00:00+00:00,34.36,34.41,33.49,34.01,4530977,30.7554019812,30.8001566407,29.9766709066,30.442119365,4530977,0.0,1.0,23215082147.0744,28894082147.0744,44.6233766234,2.9144778928,-0.8478441558
29,2018-02-13 00:00:00+00:00,34.21,34.58,34.19,34.26,4327884,30.6211380028,30.9523224828,30.603236139,30.6658926623,4327884,0.0,1.0,23113735746.5487,28792735746.5487,44.4285714286,2.9017546191,-0.8441428571
30,2018-02-14 00:00:00+00:00,34.96,35.01,33.86,33.96,4822837,31.2924578947,31.3372125542,30.3078553866,30.3973647055,4822837,0.0,1.0,23620467749.1769,29299467749.1769,45.4025974026,2.9653709876,-0.8626493506
31,2018-02-15 00:00:00+00:00,34.95,35.44,34.55,35.25,3572463,31.2835069628,31.7221026256,30.9254696872,31.5520349196,3572463,0.0,1.0,23613711322.4752,29292711322.4752,45.3896103896,2.9645227693,-0.8624025974
32,2018-02-16 00:00:00+00:00,35.18,35.5,34.93,35.0,4058135,31.4893783964,31.7758082169,31.2656050991,31.3282616223,4058135,0.0,1.0,23809051019.9176,29488051019.9176,45.6883116883,2.984031789,-0.8680779221
33,2018-02-20 00:00:00+00:00,34.94,35.46,34.87,35.02,4441504,31.2745560309,31.7400044893,31.2118995077,31.3461634861,4441504,0.0,1.0,23646624293.2325,29325624293.2325,45.3766233766,2.9636745511,-0.8621558442
34,2018-02-21 00:00:00+00:00,34.76,35.28,34.76,35.02,4923712,31.1134392569,31.5788877153,31.1134392569,31.3461634861,4923712,0.0,1.0,23524804248.2187,29203804248.2187,45.1428571429,2.9484066226,-0.8577142857
35,2018-02-22 00:00:00+00:00,34.86,35.305,34.85,34.97,4251393,31.2029485758,31.601265045,31.1939976439,31.3014088266,4251393,0.0,1.0,23592482051.0041,29271482051.0041,45.2727272727,2.9568888051,-0.8601818182
36,2018-02-23 00:00:00+00:00,35.4,35.41,35.0,35.0,2549148,31.686298898,31.6952498299,31.3282616223,31.3282616223,2549148,0.0,1.0,23957942186.0455,29636942186.0455,45.974025974,3.0026925904,-0.8735064935
37,2018-02-26 00:00:00+00:00,35.66,35.71,35.21,35.4,3869373,31.9190231272,31.9637777866,31.516231192,31.686298898,3869373,0.0,1.0,24133904473.2877,29812904473.2877,46.3116883117,3.0247462648,-0.8799220779
38,2018-02-27 00:00:00+00:00,35.26,35.85,35.08,35.65,4871742,31.5609858515,32.0890908331,31.3998690774,31.9100721953,4871742,0.0,1.0,23863193262.1459,29542193262.1459,45.7922077922,2.9908175349,-0.8700519481
39,2018-02-28 00:00:00+00:00,35.03,35.74,35.03,35.39,4553000,31.355114418,31.9906305823,31.355114418,31.6773479661,4553000,0.0,1.0,23707534315.7394,29386534315.7394,45.4935064935,2.9713085153,-0.8643766234
40,2018-03-01 00:00:00+00:00,34.36,34.91,34.13,34.84,4242863,31.0418318018,31.5387179336,30.8340430557,31.4754778805,4242863,0.32,1.0,23470662005.9904,29149662005.9904,44.6233766234,2.9144778928,-0.8478441558
41,2018-03-02 00:00:00+00:00,34.65,34.68,34.0,34.11,3106695,31.3038263076,31.3309291876,30.7165972427,30.8159744691,3106695,0.0,1.0,23668755486.2504,29347755486.2504,45.0,2.9390762219,-0.855
42,2018-03-05 00:00:00+00:00,34.01,34.59,34.0,34.41,4984713,30.725631536,31.2496205478,30.7165972427,31.0870032683,4984713,0.0,1.0,23231583667.7454,28910583667.7454,44.1688311688,2.8847902542,-0.8392077922
43,2018-03-06 00:00:00+00:00,34.23,34.48,34.05,34.08,5811147,30.9243859888,31.1502433214,30.7617687092,30.7888715892,5811147,0.0,1.0,23381861480.3565,29060861480.3565,44.4545454545,2.9034510556,-0.8446363636
44,2018-03-07 00:00:00+00:00,34.28,34.36,33.95,33.95,4238398,30.9695574553,31.0418318018,30.6714257762,30.6714257762,4238398,0.0,1.0,23416015528.6773,29095015528.6773,44.5194805195,2.9076921468,-0.8458701299
45,2018-03-08 00:00:00+00:00,34.47,34.48,34.29,34.35,2539991,31.1412090281,31.1502433214,30.9785917486,31.0327975084,2539991,0.0,1.0,23545800912.2959,29224800912.2959,44.7662337662,2.9238082935,-0.8505584416
46,2018-03-09 00:00:00+00:00,34.86,34.86,34.45,34.68,3098984,31.4935464671,31.4935464671,31.1231404415,31.3309291876,3098984,0.0,1.0,23812202489.1974,29491202489.1974,45.2727272727,2.9568888051,-0.8601818182
47,2018-03-12 00:00:00+00:00,35.12,35.24,34.76,34.8,3444310,31.7284380931,31.8368496127,31.403203534,31.4393407072,3444310,0.0,1.0,23989803540.4651,29668803540.4651,45.6103896104,2.9789424795,-0.8665974026
48,2018-03-13 00:00:00+00:00,35.55,35.56,35.23,35.27,3799641,32.1169127052,32.1259469986,31.8278153194,31.8639524927,3799641,0.0,1.0,24283528356.0232,29962528356.0232,46.1688311688,3.0154158641,-0.8772077922
49,2018-03-14 00:00:00+00:00,35.24,35.6,35.17,35.54,2784224,31.8368496127,32.1620841718,31.7736095596,32.1078784119,2784224,0.0,1.0,24071773256.4348,29750773256.4348,45.7662337662,2.9891210984,-0.8695584416
50,2018-03-15 00:00:00+00:00,35.62,35.67,35.21,35.35,3984777,32.1801527584,32.2253242249,31.8097467328,31.9362268391,3984777,0.0,1.0,24331344023.6722,30010344023.6722,46.2597402597,3.0213533918,-0.8789350649
51,2018-03-16 00:00:00+00:00,35.82,35.98,35.46,35.6,5115190,32.3608386245,32.5053873174,32.0356040655,32.1620841718,5115190,0.0,1.0,24467960216.955,30146960216.955,46.5194805195,3.0383177567,-0.8838701299
52,2018-03-19 00:00:00+00:00,35.53,35.83,35.21,35.83,2699028,32.0988441186,32.3698729178,31.8097467328,32.3698729178,2699028,0.0,1.0,24269866736.6949,29948866736.6949,46.1428571429,3.0137194276,-0.8767142857
53,2018-03-20 00:00:00+00:00,35.39,35.83,35.09,35.53,4014273,31.9723640123,32.3698729178,31.7013352131,32.0988441186,4014273,0.0,1.0,24174235401.3969,29853235401.3969,45.961038961,3.0018443721,-0.8732597403
54,2018-03-21 00:00:00+00:00,35.38,35.92,35.26,35.55,3309628,31.963329719,32.4511815576,31.8549181994,32.1169127052,3309628,0.0,1.0,24167404591.7328,29846404591.7328,45.9480519481,3.0009961539,-0.873012987
55,2018-03-22 00:00:00+00:00,35.2,35.73,35.03,35.06,3328124,31.8007124395,32.2795299848,31.6471294533,31.6742323332,3328124,0.0,1.0,24044450017.7782,29723450017.7782,45.7142857143,2.9857282255,-0.8685714286
56,2018-03-23 00:00:00+00:00,34.05,35.41,33.97,35.35,5784616,30.7617687092,31.990432599,30.6894943628,31.9362268391,5784616,0.0,1.0,23258906906.402,28937906906.402,44.2207792208,2.8881831272,-0.8401948052
57,2018-03-26 00:00:00+00:00,34.53,34.59,33.87,34.34,3717543,31.195414788,31.2496205478,30.5991514297,31.0237632151,3717543,0.0,1.0,23586785770.2808,29265785770.2808,44.8441558442,2.928897603,-0.852038961
58,2018-03-27 00:00:00+00:00,34.9,35.24,34.19,34.5,5091638,31.5296836403,31.8368496127,30.8882488155,31.168311908,5091638,0.0,1.0,23839525727.854,29518525727.854,45.3246753247,2.9602816781,-0.8611688312
59,2018-03-28 00:00:00+00:00,35.02,35.46,34.88,34.97,4378559,31.63809516,32.0356040655,31.5116150537,31.5929236935,4378559,0.0,1.0,23921495443.8237,29600495443.8237,45.4805194805,2.970460297,-0.8641298701
60,2018-03-29 00:00:00+00:00,35.0,35.39,34.91,35.1,3836782,31.6200265734,31.9723640123,31.5387179336,31.7103695064,3836782,0.0,1.0,23907833824.4954,29586833824.4954,45.4545454545,2.9687638605,-0.8636363636
61,2018-04-02 00:00:00+00:00,34.61,35.19,34.42,35.06,4295491,31.2676891344,31.7916781462,31.0960375616,31.6742323332,4295491,0.0,1.0,23641432247.5939,29482432247.5939,38.032967033,2.9105267798,0.5704945055
62,2018-04-03 00:00:00+00:00,34.68,34.75,34.25,34.63,6388867,31.3309291876,31.3941692407,30.9424545754,31.285757721,6388867,0.0,1.0,23689247915.2429,29530247915.2429,38.1098901099,2.9164134274,0.5716483516
63,2018-04-04 00:00:00+00:00,35.24,35.3,34.42,34.42,4303391,31.8368496127,31.8910553726,31.0960375616,31.0960375616,4303391,0.0,1.0,24071773256.4348,29912773256.4348,38.7252747253,2.9635066085,0.5808791209
64,2018-04-05 00:00:00+00:00,35.74,35.82,35.15,35.31,3571077,32.2885642781,32.3608386245,31.755540973,31.9000896659,3571077,0.0,1.0,24413313739.6419,30254313739.6419,39.2747252747,3.0055540916,0.5891208791
65,2018-04-06 00:00:00+00:00,35.48,35.94,35.28,35.48,3793906,32.0536726521,32.4692501442,31.872986786,32.0536726521,3793906,0.0,1.0,24235712688.3742,30076712688.3742,38.989010989,2.9836894004,0.5848351648
66,2018-04-09 00:00:00+00:00,35.28,35.71,35.27,35.59,3161426,31.872986786,32.2614613982,31.8639524927,32.1530498785,3161426,0.0,1.0,24099096495.0914,29940096495.0914,38.7692307692,2.9668704071,0.5815384615
67,2018-04-10 00:00:00+00:00,35.42,35.64,35.26,35.61,5338680,31.9994668923,32.198221345,31.8549181994,32.1711184651,5338680,0.0,1.0,24194727830.3894,30035727830.3894,38.9230769231,2.9786437024,0.5838461538
68,2018-04-11 00:00:00+00:00,35.76,36.1,35.33,35.35,3660100,32.3066328647,32.6137988371,31.9181582525,31.9362268391,3660100,0.0,1.0,24426975358.9702,30267975358.9702,39.2967032967,3.0072359909,0.5894505495
69,2018-04-12 00:00:00+00:00,35.92,36.17,35.74,35.89,2688095,32.4511815576,32.6770388903,32.2885642781,32.4240786777,2688095,0.0,1.0,24536268313.5964,30377268313.5964,39.4725274725,3.0206911855,0.5920879121
70,2018-04-13 00:00:00+00:00,36.19,36.34,36.01,36.11,2733771,32.6951074769,32.8306218765,32.5324901974,32.6228331304,2733771,0.0,1.0,24720700174.5282,30561700174.5282,39.7692307692,3.0433968264,0.5965384615
71,2018-04-16 00:00:00+00:00,36.48,36.66,36.22,36.46,2965822,32.9571019828,33.1197192623,32.7222103568,32.9390333962,2965822,0.0,1.0,24918793654.7884,30759793654.7884,40.0879120879,3.0677843666,0.6013186813
72,2018-04-17 00:00:00+00:00,36.94,37.12,36.49,36.64,4941465,33.3726794749,33.5352967544,32.9661362761,33.1016506757,4941465,0.0,1.0,25233010899.3389,31074010899.3389,40.5934065934,3.106468051,0.6089010989
73,2018-04-18 00:00:00+00:00,36.85,37.24,36.85,37.01,3248979,33.2913708351,33.6437082741,33.2913708351,33.435919528,3248979,0.0,1.0,25171533612.3616,31012533612.3616,40.4945054945,3.098899504,0.6074175824
74,2018-04-19 00:00:00+00:00,36.63,36.85,36.34,36.79,3414980,33.0926163824,33.2913708351,32.8306218765,33.2371650753,3414980,0.0,1.0,25021255799.7505,30862255799.7505,40.2527472527,3.0803986115,0.6037912088
75,2018-04-20 00:00:00+00:00,36.26,36.72,36.14,36.65,4260511,32.75834753,33.1739250221,32.6499360103,33.110684969,4260511,0.0,1.0,24768515842.1772,30609515842.1772,39.8461538462,3.049283474,0.5976923077
76,2018-04-23 00:00:00+00:00,36.21,36.53,36.14,36.28,2788070,32.7131760635,33.0022734493,32.6499360103,32.7764161166,2788070,0.0,1.0,24734361793.8565,30575361793.8565,39.7912087912,3.0450787257,0.5968681319
