,date,quarter,year,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,56468000000.0,33340000000.0,173431000000.0,0.0,8832000000.0,21911000000.0,358043000000.0,17885000000.0,0.0,407728000000.0,116963000000.0,309350000000.0,4228233288.0,43609000000.0,19974000000.0,0.0,0.0,250496000000.0,68799000000.0,46888000000.0,25684000000.0,-20189000000.0,48693000000.0,43609000000.0,177400000000.0,0.0,-3716000000.0,-3291000000.0,-3744000000.0,0.0,4389000000.0,70000000.0,0.0,-4494000000.0,1098000000.0,-3709000000.0,0.0,-928000000.0,4983000000.0,-1819000000.0,188000000.0,2444000000.0,0.0,46199000000.0,-343000000.0,279000000.0,-680000000.0,-680000000.0,-29000000.0,-0.15,-64000000.0,337000000.0,-93000000.0,14990000000.0,-0.15,4919000000.0,-709000000.0,14897000000.0,31302000000.0,4228233288.0,0.0,5.0,-0.289781549293609,0.322452866945172,0.862311397605724,184612000000.0,0.322452866945172,10.9263129191844,-1.2,0.264306651634724,0.0181591441135931,43.6617346833584,0.00923544044636108
1,2020-06-30 00:00:00+00:00,2,2020,57270000000.0,33216000000.0,174342000000.0,0.0,12576000000.0,22952000000.0,361495000000.0,19657000000.0,0.0,412124000000.0,117072000000.0,308479000000.0,4228211252.0,43192000000.0,19036000000.0,0.0,0.0,250524000000.0,69515000000.0,46563000000.0,25827000000.0,-21617000000.0,53016000000.0,43192000000.0,180183000000.0,0.0,-3715000000.0,-4417000000.0,1164000000.0,0.0,0.0,-32000000.0,0.0,6277000000.0,-4417000000.0,-5081000000.0,0.0,9838000000.0,4916000000.0,-753000000.0,214000000.0,2409000000.0,0.0,32605000000.0,-1551000000.0,317000000.0,-1080000000.0,-1080000000.0,-89000000.0,-0.26,-1234000000.0,-471000000.0,-1323000000.0,14705000000.0,-0.26,3682000000.0,-1169000000.0,13382000000.0,19223000000.0,4228211252.0,0.0,5.0,-0.528086147255069,0.410427848489495,0.925720272393924,187153000000.0,0.410427848489495,7.711298716349,-1.35616438356164,0.258420605717521,0.038557352717769,44.2629255838327,0.0199269484185243
2,2020-03-31 00:00:00+00:00,1,2020,64773000000.0,35815000000.0,167061000000.0,0.0,11412000000.0,27755000000.0,355804000000.0,16501000000.0,0.0,416919000000.0,102288000000.0,305555000000.0,4232190744.0,42981000000.0,20871000000.0,0.0,0.0,248409000000.0,59612000000.0,31857000000.0,26066000000.0,-24339000000.0,50249000000.0,42981000000.0,182079000000.0,0.0,-3719000000.0,-5945000000.0,8323000000.0,-305000000.0,6274000000.0,-369000000.0,0.0,8785000000.0,329000000.0,-6367000000.0,0.0,12760000000.0,5819000000.0,-642000000.0,288000000.0,2579000000.0,0.0,56158000000.0,-98000000.0,249000000.0,-610000000.0,-610000000.0,-160000000.0,-0.14,151000000.0,512000000.0,-9000000.0,17252000000.0,-0.14,5970000000.0,-770000000.0,17243000000.0,38915000000.0,4232190744.0,0.0,3.0,-0.11735952848723,0.307044410413476,0.775770768684483,188743000000.0,0.307044410413476,13.2692507018063,-1.25454545454545,0.17496251627041,0.0602897137960401,44.5969974929844,0.0316442716707995
3,2019-12-31 00:00:00+00:00,4,2019,63989000000.0,41831000000.0,163659000000.0,0.0,3089000000.0,20578000000.0,362597000000.0,18528000000.0,0.0,421341000000.0,99670000000.0,312545000000.0,4231106066.0,43164000000.0,26966000000.0,0.0,0.0,253018000000.0,46920000000.0,26342000000.0,27200000000.0,-19493000000.0,50052000000.0,43164000000.0,191650000000.0,0.0,-3716000000.0,-6704000000.0,-2262000000.0,-173000000.0,6352000000.0,106000000.0,0.0,-4456000000.0,-352000000.0,-4264000000.0,0.0,-660000000.0,4923000000.0,1719000000.0,357000000.0,3048000000.0,0.0,67173000000.0,6374000000.0,201000000.0,5690000000.0,5690000000.0,40000000.0,1.33,6575000000.0,684000000.0,6615000000.0,18021000000.0,1.33,11498000000.0,5730000000.0,24636000000.0,42537000000.0,4231106066.0,0.0,4.0,-0.0656791153765909,0.366754499575722,0.782196940099079,198938000000.0,0.366754499575722,15.8759905689398,-0.0567375886524821,0.137448473780329,0.0750624211556681,47.0179657273569,0.0398644497510557
5,2019-09-30 00:00:00+00:00,3,2019,64195000000.0,40541000000.0,162252000000.0,0.0,5351000000.0,21196000000.0,359361000000.0,17590000000.0,0.0,419367000000.0,98057000000.0,309353000000.0,4231106294.0,42920000000.0,25308000000.0,0.0,0.0,250512000000.0,47146000000.0,25950000000.0,28971000000.0,-19277000000.0,50008000000.0,42920000000.0,189915000000.0,0.0,-3716000000.0,-6285000000.0,1138000000.0,0.0,9079000000.0,-125000000.0,0.0,-1666000000.0,2794000000.0,-6150000000.0,0.0,1958000000.0,4873000000.0,-342000000.0,299000000.0,2753000000.0,0.0,65049000000.0,4644000000.0,232000000.0,3170000000.0,3170000000.0,77000000.0,0.75,4876000000.0,1474000000.0,4953000000.0,17130000000.0,0.75,9749000000.0,3247000000.0,22083000000.0,42966000000.0,4231106294.0,0.0,4.0,-0.150851772077541,0.339482543928423,0.779001479866033,197109000000.0,0.339482543928423,15.3739933435953,-0.486301369863014,0.136640075823395,0.0766706615657562,46.5856885419102,0.0411958030896852
6,2019-06-30 00:00:00+00:00,2,2019,70287000000.0,41480000000.0,162264000000.0,0.0,4213000000.0,26195000000.0,360729000000.0,18835000000.0,0.0,419913000000.0,91977000000.0,308986000000.0,4231093914.0,42533000000.0,27132000000.0,0.0,0.0,250853000000.0,45196000000.0,19001000000.0,29458000000.0,-18205000000.0,51743000000.0,42533000000.0,191377000000.0,0.0,-3715000000.0,-6173000000.0,-373000000.0,0.0,5947000000.0,9000000.0,0.0,548000000.0,-226000000.0,-6877000000.0,0.0,4365000000.0,4631000000.0,-787000000.0,333000000.0,2827000000.0,0.0,69091000000.0,4371000000.0,216000000.0,3130000000.0,3130000000.0,261000000.0,0.73,4587000000.0,1241000000.0,4848000000.0,17626000000.0,0.73,9218000000.0,3391000000.0,22474000000.0,46617000000.0,4231093914.0,0.0,5.0,-0.0599991836845757,0.325281150945854,0.736167427831605,198465000000.0,0.325281150945854,16.3293468318888,-0.206521739130435,0.0992857030886679,0.092682914072164,46.9063093455127,0.0499949920366329
7,2019-03-31 00:00:00+00:00,1,2019,66632000000.0,42090000000.0,158168000000.0,0.0,4586000000.0,21794000000.0,356189000000.0,18332000000.0,0.0,420498000000.0,91536000000.0,304613000000.0,4234802431.0,42068000000.0,27105000000.0,0.0,0.0,248563000000.0,40825000000.0,19031000000.0,30035000000.0,-18782000000.0,51576000000.0,42068000000.0,191222000000.0,0.0,-3505000000.0,-5199000000.0,1544000000.0,-421000000.0,8338000000.0,43000000.0,0.0,-1044000000.0,3139000000.0,-5793000000.0,0.0,2999000000.0,4571000000.0,-803000000.0,280000000.0,2770000000.0,0.0,63625000000.0,4233000000.0,181000000.0,2350000000.0,2350000000.0,56000000.0,0.55,4414000000.0,1883000000.0,4470000000.0,16949000000.0,0.55,8985000000.0,2406000000.0,21419000000.0,42206000000.0,4234802431.0,0.0,4.0,-0.0672325577985955,0.336644400785855,0.774042502101093,198021000000.0,0.336644400785855,15.0243136572904,-0.495412844036697,0.0995230674294799,0.097501587556189,46.7603868719891,0.0527527683466318
8,2018-12-31 00:00:00+00:00,4,2018,57138000000.0,37268000000.0,147668000000.0,0.0,3042000000.0,17258000000.0,346196000000.0,18958000000.0,0.0,421653000000.0,90530000000.0,298223000000.0,4233807170.0,40790000000.0,24701000000.0,0.0,0.0,247101000000.0,37796000000.0,20538000000.0,29856000000.0,-19564000000.0,47973000000.0,40790000000.0,191794000000.0,0.0,-3502000000.0,-6094000000.0,-2627000000.0,-196000000.0,8607000000.0,-149000000.0,0.0,-5501000000.0,2513000000.0,-5584000000.0,0.0,-2272000000.0,5028000000.0,16000000.0,555000000.0,2848000000.0,0.0,71895000000.0,7915000000.0,215000000.0,6000000000.0,6000000000.0,206000000.0,1.41,8130000000.0,1915000000.0,8336000000.0,18940000000.0,1.41,13158000000.0,6206000000.0,27276000000.0,44619000000.0,4233807170.0,0.0,9.0,0.0808840111253102,0.379386605466305,0.839598865903602,198528000000.0,0.379386605466305,16.9811701651023,-0.284263959390863,0.10708364182404,0.110035164788747,46.8911294323308,0.0596092789107863
10,2018-09-30 00:00:00+00:00,3,2018,65288000000.0,41714000000.0,157797000000.0,0.0,5669000000.0,19413000000.0,354628000000.0,18761000000.0,0.0,419155000000.0,92509000000.0,300653000000.0,4233810348.0,40427000000.0,27880000000.0,0.0,0.0,249153000000.0,40037000000.0,20624000000.0,31245000000.0,-18370000000.0,53975000000.0,40427000000.0,190365000000.0,0.0,-3503000000.0,-5204000000.0,2239000000.0,-1000000.0,11108000000.0,-3000000.0,0.0,-4959000000.0,5904000000.0,-3907000000.0,0.0,-1299000000.0,4658000000.0,1082000000.0,292000000.0,2892000000.0,0.0,76605000000.0,8874000000.0,200000000.0,6240000000.0,6240000000.0,206000000.0,1.46,9074000000.0,2634000000.0,9280000000.0,17246000000.0,1.46,13732000000.0,6446000000.0,26526000000.0,50079000000.0,4233810348.0,0.0,9.0,0.253764320785597,0.346269825729391,0.826721602744762,196831000000.0,0.346269825729391,18.0936304896574,0.56989247311828,0.108339243033121,0.123269672316084,46.4902732577477,0.0662985791632017
11,2018-06-30 00:00:00+00:00,2,2018,62447000000.0,38490000000.0,155257000000.0,0.0,3430000000.0,20500000000.0,348790000000.0,18483000000.0,0.0,416418000000.0,92810000000.0,298235000000.0,4233834437.0,39691000000.0,26993000000.0,0.0,0.0,248209000000.0,41220000000.0,20720000000.0,30240000000.0,-18609000000.0,50555000000.0,39691000000.0,187222000000.0,0.0,-3502000000.0,-4927000000.0,-695000000.0,-2000000.0,7780000000.0,-135000000.0,0.0,-3244000000.0,2853000000.0,-5096000000.0,0.0,568000000.0,4589000000.0,-259000000.0,332000000.0,2993000000.0,0.0,73501000000.0,6476000000.0,147000000.0,3950000000.0,3950000000.0,36000000.0,0.92,6623000000.0,2526000000.0,6659000000.0,17140000000.0,0.92,11212000000.0,3986000000.0,23799000000.0,49702000000.0,4233834437.0,0.0,7.0,0.265578456187475,0.323791513040639,0.809566512402517,193533000000.0,0.323791513040639,17.36038597959,0.17948717948718,0.110670754505347,0.112425725903934,45.7110458332266,0.0600400935994968
