,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,68.07,68.21,67.5,68.21,802837,65.5732299984,65.7080948757,65.0241372835,65.7080948757,802837,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,68.9,68.91,67.97,67.99,777684,66.3727860568,66.3824192623,65.4768979431,65.4961643542,777684,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,69.36,69.64,69.03,69.03,796466,66.8159135109,67.0856432656,66.4980177286,66.4980177286,796466,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,69.23,69.54,69.04,69.5,660659,66.6906818391,66.9893112103,66.5076509341,66.9507783882,660659,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,69.48,69.59,68.85,69.2,554660,66.9315119772,67.0374772379,66.3246200292,66.6617822225,554660,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,69.5,69.87,69.38,69.56,687551,66.9507783882,67.3072069926,66.8351799219,67.0085776214,687551,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,69.0,69.4,68.65,69.31,784871,66.4691181121,66.854446333,66.1319559187,66.7677474833,784871,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,69.97,69.98,68.6,68.82,879836,67.4035390478,67.4131722534,66.0837898911,66.2957204126,879836,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,70.46,70.79,70.05,70.11,846228,67.8755661185,68.1934619008,67.480604692,67.5384039252,846228,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,70.54,71.49,70.12,70.88,930674,67.9526317627,68.8677862874,67.5480371307,68.2801607505,930674,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,71.02,71.24,70.7,71.0,957187,68.4150256278,68.6269561493,68.106763051,68.3957592167,957187,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,71.11,71.28,70.74,70.84,999820,68.5017244775,68.6654889714,68.1452958731,68.2416279284,999820,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,71.91,75.16,71.23,71.54,1220820,69.2723809194,72.4031727145,68.6173229438,68.915952315,1220820,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,72.65,72.66,71.5,71.95,794690,69.9852381281,69.9948713336,68.8774194929,69.3109137415,794690,0.0,1.0,12569348627.8408,14355348627.8408,39.6994535519,5.1798093905,1.010531545
14,2018-01-23 00:00:00+00:00,72.61,72.77,72.19,72.5,848743,69.946705306,70.1008365944,69.542110674,69.8407400453,848743,0.0,1.0,12562428133.0698,14348428133.0698,39.6775956284,5.1769574652,1.0099751615
15,2018-01-24 00:00:00+00:00,72.57,73.15,72.12,72.75,615031,69.9081724839,70.4668984043,69.4746782354,70.0815701834,615031,0.0,1.0,12555507638.2988,14341507638.2988,39.6557377049,5.1741055398,1.0094187779
16,2018-01-25 00:00:00+00:00,73.24,73.55,72.36,72.92,701497,70.553597254,70.8522266252,69.7058751679,70.2453346773,701497,0.0,1.0,12671425925.7131,14457425925.7131,40.0218579235,5.2218752892,1.0187382017
17,2018-01-26 00:00:00+00:00,74.41,74.44,73.38,73.5,782296,71.6806823003,71.7095819168,70.6884621313,70.8040605976,782296,0.0,1.0,12873850397.7651,14659850397.7651,40.6612021858,5.3052941053,1.0350124193
18,2018-01-29 00:00:00+00:00,73.41,74.48,73.23,74.07,761367,70.7173617479,71.7481147389,70.5439640485,71.3531533125,761367,0.0,1.0,12700838028.4899,14486838028.4899,40.1147540984,5.2339959719,1.0211028316
19,2018-01-30 00:00:00+00:00,73.07,73.52,72.6,72.84,819729,70.3898327601,70.8233270087,69.9370721005,70.1682690331,819729,0.0,1.0,12642013822.9364,14428013822.9364,39.9289617486,5.2097546065,1.0163735718
20,2018-01-31 00:00:00+00:00,72.26,73.99,72.09,73.26,1615675,69.6095431127,71.2760876683,69.4457786188,70.5728636651,1615675,0.0,1.0,12501873803.8235,14287873803.8235,39.4863387978,5.1520031185,1.0051068058
21,2018-02-01 00:00:00+00:00,74.84,75.68,72.5,72.5,1815883,72.0949101378,72.9040994017,69.8407400453,69.8407400453,1815883,0.0,1.0,12948245716.5534,14734245716.5534,40.8961748634,5.3359523026,1.040993542
22,2018-02-02 00:00:00+00:00,75.66,76.81,74.65,74.95,2138393,72.8848329907,73.9926516259,71.9118792328,72.2008753985,2138393,0.0,1.0,13090115859.359,14876115859.359,41.3442622951,5.394416772,1.0523994039
23,2018-02-05 00:00:00+00:00,72.66,76.17,72.61,75.22,2191304,69.9948713336,73.3761264724,69.946705306,72.4609719477,2191304,0.0,1.0,12571078751.5335,14357078751.5335,39.7049180328,5.1805223718,1.0106706408
24,2018-02-06 00:00:00+00:00,71.33,71.85,69.69,71.65,2293591,68.713654999,69.2145816862,67.1338092932,69.0219175758,2293591,0.0,1.0,12340972300.3976,14126972300.3976,38.9781420765,5.0856958544,0.9921708892
25,2018-02-07 00:00:00+00:00,71.79,72.86,71.12,71.27,1748814,69.1567824531,70.1875354441,68.511357683,68.6558557659,1748814,0.0,1.0,12420557990.2641,14206557990.2641,39.2295081967,5.1184929958,0.9985692996
26,2018-02-08 00:00:00+00:00,70.24,72.15,70.21,71.74,1493232,67.663635597,69.503577852,67.6347359804,69.1086164255,1493232,0.0,1.0,12152388817.8876,13938388817.8876,38.3825136612,5.0079808891,0.9770094386
27,2018-02-09 00:00:00+00:00,70.82,71.3,68.38,70.98,1722690,68.2223615173,68.6847553825,65.8718593696,68.3764928057,1722690,0.0,1.0,12252735992.0672,14038735992.0672,38.6994535519,5.0493338064,0.9850769995
28,2018-02-12 00:00:00+00:00,71.93,72.6,71.0,71.27,1039161,69.2916473304,69.9370721005,68.3957592167,68.6558557659,1039161,0.0,1.0,12444779721.9627,14230779721.9627,39.306010929,5.1284747345,1.0005166418
29,2018-02-13 00:00:00+00:00,72.77,72.95,71.43,71.45,987150,70.1008365944,70.2742342938,68.8099870543,68.8292534653,987150,0.0,1.0,12590110112.1538,14376110112.1538,39.7650273224,5.1883651665,1.0122006955
30,2018-02-14 00:00:00+00:00,73.31,73.51,71.96,72.17,1367705,70.8233270087,71.0165430147,69.519118968,69.7219957743,1367705,0.21,1.0,12719869389.1102,14505869389.1102,40.0601092896,5.2268661585,1.0197118728
31,2018-02-15 00:00:00+00:00,74.73,74.83,73.18,73.89,1217705,72.1951606514,72.2917686545,70.6977366048,71.3836534261,1217705,0.0,1.0,12966250708.6101,14752250708.6101,40.8360655738,5.328109508,1.0394634873
32,2018-02-16 00:00:00+00:00,75.23,75.9,74.37,74.54,955520,72.6782006665,73.3254742867,71.8473718406,72.0116054457,955520,0.0,1.0,13053004694.3495,14839004694.3495,41.1092896175,5.3637585746,1.0464182812
33,2018-02-20 00:00:00+00:00,74.73,75.91,74.51,75.03,1165542,72.1951606514,73.335135087,71.9826230448,72.4849846605,1165542,0.0,1.0,12966250708.6101,14752250708.6101,40.8360655738,5.328109508,1.0394634873
34,2018-02-21 00:00:00+00:00,75.18,76.35,74.9,75.02,1011449,72.629896665,73.7602103003,72.3593942566,72.4753238602,1011449,0.0,1.0,13044329295.7755,14830329295.7755,41.0819672131,5.360193668,1.0457228018
35,2018-02-22 00:00:00+00:00,75.05,76.035,74.87,75.57,704636,72.5043062611,73.4558950908,72.3304118557,73.0066678768,704636,0.0,1.0,13021773259.4833,14807773259.4833,41.0109289617,5.3509249106,1.0439145554
36,2018-02-23 00:00:00+00:00,75.93,75.96,74.8,75.13,434983,73.3544566876,73.3834390885,72.2627862536,72.5815926635,434983,0.0,1.0,13195956577.8535,14981956577.8535,41.4918032787,5.413667268,1.0561549925
37,2018-02-26 00:00:00+00:00,76.26,76.61,75.55,76.25,1014143,73.6732630975,74.0113911081,72.9873462762,73.6636022972,1014143,0.0,1.0,13253307633.7036,15039307633.7036,41.6721311475,5.437195652,1.0607451565
38,2018-02-27 00:00:00+00:00,75.75,76.62,75.73,76.37,813698,73.1805622822,74.0210519084,73.1612406816,73.7795319009,813698,0.0,1.0,13164674183.7535,14950674183.7535,41.393442623,5.400833604,1.0536512668
39,2018-02-28 00:00:00+00:00,74.58,76.68,74.56,75.78,998775,72.0502486469,74.0790167102,72.0309270463,73.2095446831,998775,0.0,1.0,12961338622.1035,14747338622.1035,40.7540983607,5.3174147879,1.0373770492
40,2018-03-01 00:00:00+00:00,73.27,74.71,72.44,74.5,1520149,70.7846838075,72.1758390508,69.9828373825,71.9729622445,1520149,0.0,1.0,12733672309.4867,14519672309.4867,40.0382513661,5.2240142332,1.0191554893
41,2018-03-02 00:00:00+00:00,73.51,73.75,72.28,72.75,910076,71.0165430147,71.2484022219,69.8282645776,70.2823221918,910076,0.0,1.0,12775382168.2868,14561382168.2868,40.1693989071,5.2411257852,1.0224937904
42,2018-03-05 00:00:00+00:00,73.86,74.09,72.55,73.21,1023115,71.3546710252,71.5768694322,70.0891061858,70.7267190057,1023115,0.0,1.0,12836209045.7034,14622209045.7034,40.3606557377,5.2660801319,1.0273621461
43,2018-03-06 00:00:00+00:00,75.28,75.36,74.23,74.24,907477,72.726504668,72.8037910704,71.7121206364,71.7217814367,907477,0.0,1.0,13082992376.9368,14868992376.9368,41.1366120219,5.3673234813,1.0471137606
44,2018-03-07 00:00:00+00:00,76.38,76.54,74.36,74.45,1229483,73.7891927012,73.943765506,71.8377110403,71.924658243,1229483,0.0,1.0,13274162563.1036,15060162563.1036,41.737704918,5.445751428,1.062414307
45,2018-03-08 00:00:00+00:00,77.19,77.26,75.82,76.79,948126,74.5717175256,74.6393431277,73.2481878843,74.1852855135,948126,0.0,1.0,13414933336.5536,15200933336.5536,42.1803278689,5.5035029161,1.073681073
46,2018-03-09 00:00:00+00:00,79.48,79.52,77.59,77.7,1202285,76.7840407946,76.8226839958,74.9581495376,75.0644183409,1202285,0.0,1.0,13812914905.937,15598914905.937,43.4316939891,5.6667756415,1.1055340288
47,2018-03-12 00:00:00+00:00,78.09,79.67,77.81,79.5,882915,75.4411895527,76.9675960003,75.1706871442,76.8033623952,882915,0.0,1.0,13571345307.0536,15357345307.0536,42.6721311475,5.5676712361,1.0861997019
48,2018-03-13 00:00:00+00:00,77.98,79.03,77.69,78.35,697911,75.3349207494,76.349304781,75.0547575406,75.6923703605,697911,0.0,1.0,13552228288.437,15338228288.437,42.6120218579,5.5598284415,1.0846696473
49,2018-03-14 00:00:00+00:00,77.11,78.43,76.98,78.43,831773,74.4944311232,75.7696567629,74.3688407192,75.7696567629,831773,0.0,1.0,13401030050.2869,15187030050.2869,42.1366120219,5.4977990654,1.072568306
50,2018-03-15 00:00:00+00:00,77.64,78.08,77.06,77.43,555282,75.0064535391,75.4315287524,74.4461271216,74.8035767328,555282,0.0,1.0,13493139321.8036,15279139321.8036,42.4262295082,5.5355870761,1.0799403875
